timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
47293.86,1,253952,62,94159,6203264950,122,621,1092426,20,22655,67,6744,132085649,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,18342657,15216074,1846714752,0,621,3122,2,1,8,8,460,1,1864096110,1816720800,93565585,140651068,140667452,2,1,6188646992,73389,73389,8,8,8,140651068,10,3,339946,1119820,1673352,14233,1864096110,1092426,16670292,20938
48305.03,1,253952,62,98442,6485548350,123,621,1164377,20,23915,67,6744,132351101,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,19707011,16972814,1930248866,0,621,3122,2,1,8,8,460,1,1946802542,1899194771,111927628,147068834,147085218,2,1,6471028696,73389,73389,8,8,8,147068834,10,3,345939,1192591,1730515,14864,1946802542,1164377,17977524,20938
49323.84,1,253952,62,102491,6752230874,123,621,1226596,20,25021,67,6744,132351101,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,20397346,18021149,2008668855,0,621,3122,2,1,8,8,460,1,2024790382,1977154556,126437797,153144695,153144695,2,1,6737645684,73389,73389,8,8,8,153128311,10,3,350105,1255507,1780094,15459,2024790382,1226596,18618323,20938
50343.87,1,253952,62,106143,6992895606,124,621,1282385,20,26071,67,6744,132351101,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,21673521,20005628,2080142921,0,621,3122,2,1,8,8,460,1,2094913902,2047513190,146377670,158614348,158614348,2,1,6978310416,73389,73389,8,8,8,158597964,10,3,355780,1311927,1840433,15994,2094913902,1282385,19834199,20938
51360.15,1,253952,62,109838,7236378386,125,621,1355650,20,27130,67,6744,132616553,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,22610357,21388042,2150830496,0,621,3122,2,1,8,8,460,1,2165823854,2118655701,153840109,164141345,164157729,2,1,7222219180,73389,73389,8,8,8,164141345,10,3,361536,1385882,1890751,16535,2165823854,1355650,20719757,20938
52383.04,1,253952,62,114244,7526722714,125,621,1446904,20,28339,67,6744,132616553,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,23640416,22751651,2235149684,0,621,3122,2,1,8,8,460,1,2251020654,2203541335,159897221,170747527,170763911,2,1,7512891188,73389,73389,8,8,8,170747527,10,3,366769,1477916,1948424,17185,2251020654,1446904,21693185,20938
53392.40,1,253952,62,118661,7817787938,126,621,1516275,20,29596,67,6744,132882005,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,25764356,26221411,2317244572,0,621,3122,2,1,8,8,460,1,2335955310,2288683545,180752974,177361901,177361901,2,1,7803202748,73389,73389,8,8,8,177345517,10,3,381633,1548105,2029187,17833,2335955310,1516275,23736407,20938
54401.76,1,253952,62,124310,8189858966,127,621,1596015,20,31171,67,6744,132882005,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,27028823,27600403,2421486960,0,621,3122,2,1,8,8,460,1,2444482926,2397446571,191669739,185809124,185825508,2,1,8175601456,73389,73389,8,8,8,185809124,10,3,395231,1628669,2107539,18661,2444482926,1596015,24922558,20938
55416.01,1,253952,62,129686,8544038666,128,621,1674779,20,32691,67,6744,132882005,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,28532938,29437684,2527303854,0,621,3122,2,1,8,8,460,1,2547767662,2500968362,205842506,193871323,193871323,2,1,8529617316,73389,73389,8,8,8,193854939,10,3,408558,1708282,2186616,19449,2547767662,1674779,26347640,20938
56434.84,1,253952,62,133118,8770285478,128,621,1739566,20,33650,67,6744,132882005,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,29598905,31012040,2594712822,0,621,3122,2,1,8,8,460,1,2613959022,2567103152,212100218,199013296,199029680,2,1,8756585024,73389,73389,8,8,8,199013296,10,3,409069,1773671,2231103,19954,2613959022,1739566,27369157,20938
57448.52,1,253952,62,136902,9019600962,129,621,1798283,20,34716,67,6744,133147457,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,31079331,33034813,2667495113,0,621,3122,2,1,8,8,460,1,2686966126,2639916421,223606235,204671365,204687749,2,1,9005540060,73389,73389,8,8,8,204671365,10,3,412517,1833081,2297597,20511,2686966126,1798283,28783124,20938
58464.73,1,253952,62,141258,9306668490,130,621,1862243,20,35981,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,32334111,34645849,2753518555,0,621,3122,2,1,8,8,460,1,2770983278,2723891919,233347745,211203819,211203819,2,1,9292968036,73389,73389,8,8,8,211203819,10,3,422053,1897733,2367907,21152,2770983278,1862243,29967638,20938
59490.83,1,253952,62,144030,9489396090,130,621,1919618,20,36736,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,33682340,36930073,2809130563,0,621,3122,2,1,8,8,460,1,2824198510,2777309383,252075839,215356719,215356719,2,1,9474974740,73389,73389,8,8,8,215340335,10,3,423996,1955617,2412545,21558,2824198510,1919618,31271263,20938
60526.81,1,253952,62,146074,9624148030,130,621,1988689,20,37292,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,34180003,38238158,2848226175,0,621,3122,2,1,8,8,460,1,2863520110,2816711405,281249009,218405858,218422242,2,1,9609857752,73389,73389,8,8,8,218405858,10,3,429614,2025046,2445351,21858,2863520110,1988689,31736158,20938
61551.94,1,253952,62,148036,9753260566,131,621,2074610,20,37880,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,34837294,40201924,2886405379,0,621,3122,2,1,8,8,460,1,2901137774,2854468258,289039272,221350660,221350660,2,1,9738708144,73389,73389,8,8,8,221334276,10,3,431935,2111432,2491376,22145,2901137774,2074610,32347464,20938
62580.94,1,253952,62,149864,9873591278,131,621,2134164,20,38382,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,35665244,42521843,2922354131,0,621,3122,2,1,8,8,460,1,2936527214,2889642202,300136785,224082470,224098854,2,1,9859628680,73389,73389,8,8,8,224082470,10,3,433920,2171331,2523625,22415,2936527214,2134164,33143205,20938
63608.84,1,253952,62,151536,9983963826,131,621,2208643,20,38839,67,6744,133412909,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,35900325,43358612,2954629943,0,621,3122,2,1,8,8,460,1,2968508782,2921886250,302420838,226590937,226607321,2,1,9970001228,73389,73389,8,8,8,226590937,10,3,436546,2246140,2551535,22659,2968508782,2208643,33350411,20938
64642.82,1,253952,62,152686,10059861130,132,621,2311074,20,39189,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,36079550,44194615,2976939343,0,621,3122,2,1,8,8,460,1,2990922094,2944102191,303450331,228315131,228315131,2,1,10045144868,73389,73389,8,8,8,228298747,10,3,436565,2348841,2568460,22830,2990922094,2311074,33512736,20938
65672.50,1,253952,62,153928,10141522294,132,621,2389272,20,39543,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,36276112,44996927,3000299259,0,621,3122,2,1,8,8,460,1,3014646126,2968024385,304478094,230156172,230172556,2,1,10126871568,73389,73389,8,8,8,230156172,10,3,436575,2427319,2585489,23011,3014646126,2389272,33692299,20938
66704.83,1,253952,62,155080,10217550670,132,621,2425910,20,39857,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,36608532,46511319,3023131997,0,621,3122,2,1,8,8,460,1,3037059438,2990187018,308798024,231888558,231904942,2,1,10203096552,73389,73389,8,8,8,231888558,10,3,436614,2464212,2602401,23182,3037059438,2425910,34007834,20938
67794.06,1,253952,62,156294,10297376826,132,621,2494829,20,40189,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,36770234,47370491,3045964336,0,621,3122,2,1,8,8,460,1,3059997038,3013539157,309819402,233713215,233713215,2,1,10282660564,73389,73389,8,8,8,233696831,10,3,436629,2547981,2617318,23357,3059997038,2494829,34154644,20938
68827.02,1,253952,62,157329,10365737490,132,621,2531719,20,40471,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,37074327,48928039,3066335338,0,621,3122,2,1,8,8,460,1,3080214616,3033526682,320025086,235248993,235265377,2,1,10350955692,73389,73389,8,8,8,235248993,10,3,438530,2585069,2628171,23512,3080214616,2531719,34447904,20938
69893.20,1,253952,62,158625,10450777066,133,621,2628536,20,40824,67,6744,133678361,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,37860377,52818756,3090567025,0,621,3122,2,1,8,8,460,1,3104419103,3058317532,365577133,237194371,237210755,2,1,10436552324,73389,73389,8,8,8,237194371,10,3,442833,2682167,2662737,23700,3104419103,2628536,35199413,20938
70932.66,1,253952,62,160064,10545614274,133,621,2691889,20,41272,67,6744,133943813,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,38034259,53698849,3118120391,0,621,3122,2,1,8,8,460,1,3131944223,3086082271,366631364,239352741,239369125,2,1,10531520604,73389,73389,8,8,8,239352741,10,3,444127,2745809,2683674,23910,3131944223,2691889,35352388,20938
71980.84,1,253952,62,161568,10644711322,133,621,2771825,20,41680,67,6744,133943813,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,38463817,55768857,3147377676,0,621,3122,2,1,8,8,460,1,3161042207,3115059011,373074211,241593031,241609415,2,1,10630093364,73389,73389,8,8,8,241593031,10,3,444806,2826030,2700130,24132,3161042207,2771825,35765521,20938
73023.48,1,253952,62,162808,10726506866,134,621,2867665,20,42063,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,39668382,60239608,3172832287,0,621,3122,2,1,8,8,460,1,3184766239,3138981894,407169099,243456489,243472873,2,1,10712085516,73389,73389,8,8,8,243456489,10,3,451119,2922118,2738237,24313,3184766239,2867665,36932011,20938
74060.82,1,253952,62,164110,10812365642,134,621,2911494,20,42427,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,39886059,61256394,3197108270,0,621,3122,2,1,8,8,460,1,3209538847,3164085271,421037652,245418251,245418251,2,1,10797682148,73389,73389,8,8,8,245401867,10,3,451644,2966220,2751205,24502,3209538847,2911494,37136749,20938
75105.98,1,253952,62,165230,10886031414,134,621,3012993,20,42733,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,40050309,62128606,3219154610,0,621,3122,2,1,8,8,460,1,3231296799,3185612946,422076306,247079068,247095452,2,1,10871478992,73389,73389,8,8,8,247079068,10,3,451806,3067966,2767133,24668,3231296799,3012993,37285097,20938
76146.84,1,253952,62,166513,10970645006,134,621,3094939,20,43076,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,40353249,63660464,3243431136,0,621,3122,2,1,8,8,460,1,3255938335,3210315587,436918563,249008062,249024446,2,1,10956354728,73389,73389,8,8,8,249008062,10,3,451892,3150179,2782281,24856,3255938335,3094939,37572918,20938
77183.70,1,253952,62,167709,11049556966,134,621,3141241,20,43409,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,40698526,65485250,3266657639,0,621,3122,2,1,8,8,460,1,3279138079,3233402813,442451982,250805984,250822368,2,1,11035463296,73389,73389,8,8,8,250805984,10,3,452175,3196740,2792801,25033,3279138079,3141241,37907702,20938
78227.80,1,253952,62,168960,11131807954,135,621,3216183,20,43804,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,41613970,69550332,3290540400,0,621,3122,2,1,8,8,460,1,3303255327,3257491364,467419026,252663409,252679793,2,1,11117189996,73389,73389,8,8,8,252663409,10,3,456055,3271942,2839312,25217,3303255327,3216183,38776662,20938
79259.37,1,253952,62,170369,11224679082,135,621,3296142,20,44188,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,41804261,70400523,3317963972,0,621,3122,2,1,8,8,460,1,3330256159,3284636200,468460412,254789011,254789011,2,1,11209995588,73389,73389,8,8,8,254772627,10,3,456055,3352193,2854393,25423,3330256159,3296142,38951904,20938
80283.32,1,253952,62,171728,11314007958,135,621,3355630,20,44556,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,42327343,72959816,3343552160,0,621,3122,2,1,8,8,460,1,3356208415,3310733953,496512868,256810276,256826660,2,1,11299652144,73389,73389,8,8,8,256810276,10,3,458797,3411948,2878940,25621,3356208415,3355630,39450468,20938
81308.87,1,253952,62,173222,11412449646,135,621,3449993,20,44966,67,6744,134209265,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,42622471,74170376,3372287522,0,621,3122,2,1,8,8,460,1,3385175327,3339479810,498857711,259050566,259066950,2,1,11398224904,73389,73389,8,8,8,259050566,10,3,459401,3506654,2896103,25842,3385175327,3449993,39728462,20938
82338.81,1,253952,62,174665,11507814450,136,621,3538957,20,45381,67,6744,134474717,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,42830090,74981730,3400105341,0,621,3122,2,1,8,8,460,1,3412700447,3367418015,499877457,261206777,261223161,2,1,11493098188,73389,73389,8,8,8,261206777,10,3,461332,3595942,2919095,26052,3412700447,3538957,39913123,20938
83375.80,1,253952,62,176047,11598916106,136,621,3577047,20,45791,67,6744,134474717,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,43084603,76166235,3426743027,0,621,3122,2,1,8,8,460,1,3439176991,3394031057,514532094,263283227,263299611,2,1,11584461988,73389,73389,8,8,8,263283227,10,3,462106,3634326,2932311,26254,3439176991,3577047,40154449,20938
84415.74,1,253952,62,177261,11678742262,136,621,3631257,20,46123,67,6744,134474717,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,43605066,78759779,3449969446,0,621,3122,2,1,8,8,460,1,3462901023,3417382785,525545357,265091500,265107884,2,1,11664026000,73389,73389,8,8,8,265091500,10,3,464717,3688786,2949478,26435,3462901023,3631257,40657772,20938
85452.46,1,253952,62,178595,11766698190,136,621,3766851,20,46489,67,6744,134474717,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,43932927,80389850,3475293987,0,621,3122,2,1,8,8,460,1,3488328991,3443092538,528991773,267102414,267118798,2,1,11752506216,73389,73389,8,8,8,267102414,10,3,465259,3831545,2965683,26629,3488328991,3766851,40969455,20938
86483.77,1,253952,62,179984,11858258598,136,621,3876717,20,46867,67,6744,134474717,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,44902414,84524734,3502324152,0,621,3122,2,1,8,8,460,1,3515198751,3469834909,570655150,269178864,269195248,2,1,11843870016,73389,73389,8,8,8,269178864,10,3,466631,3941710,3007045,26834,3515198751,3876717,41897610,20938
87508.89,1,253952,62,181214,11939398782,137,621,3900565,20,47257,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,45229265,86089270,3526601628,0,621,3122,2,1,8,8,460,1,3538922783,3493544889,576834974,271034130,271034130,2,1,11924780824,73389,73389,8,8,8,271017746,10,3,469351,3978832,3028924,27015,3538922783,3900565,42202609,20938
88553.78,1,253952,62,182609,12031352406,137,621,3939645,20,47636,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,45442273,87097282,3553500536,0,621,3122,2,1,8,8,460,1,3565399327,3520384538,579053242,273126964,273126964,2,1,12016865520,73389,73389,8,8,8,273110580,10,3,470111,4018194,3051685,27217,3565399327,3939645,42392883,20938
89589.80,1,253952,62,183898,12116359214,137,621,3970862,20,47990,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,45786363,88676075,3578171233,0,621,3122,2,1,8,8,460,1,3590696223,3545271559,592463399,275055958,275072342,2,1,12102462152,73389,73389,8,8,8,275055958,10,3,470900,4049704,3070096,27410,3590696223,3970862,42718589,20938
90616.60,1,253952,62,185013,12189697306,137,621,4053761,20,48291,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,46324547,91335168,3599691887,0,621,3122,2,1,8,8,460,1,3611929887,3566653816,606427419,276716775,276733159,2,1,12175538100,73389,73389,8,8,8,276716775,10,3,472460,4132832,3085078,27572,3611929887,4053761,43241818,20938
91639.90,1,253952,62,186393,12280667890,137,621,4133881,20,48666,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,47393644,96044439,3625936943,0,621,3122,2,1,8,8,460,1,3638537503,3593256367,641952917,278776841,278793225,2,1,12266181004,73389,73389,8,8,8,278776841,10,3,477797,4213238,3129700,27775,3638537503,4133881,44266320,20938
92674.79,1,253952,62,188226,12401326282,138,621,4159824,20,49223,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,47649714,96819856,3661491615,0,621,3122,2,1,8,8,460,1,3673664799,3628514014,697454305,281525035,281541419,2,1,12387101540,73389,73389,8,8,8,281525035,10,3,481600,4239525,3145543,28043,3673664799,4159824,44506580,20938
93707.74,1,253952,62,190394,12544204686,138,621,4214901,20,49812,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,48359619,99502613,3702945540,0,621,3122,2,1,8,8,460,1,3715607839,3670303065,716175445,284770782,284787166,2,1,12529914408,73389,73389,8,8,8,284770782,10,3,482155,4295007,3170701,28363,3715607839,4214901,45191367,20938
94742.76,1,253952,62,192553,12686493266,138,621,4282404,20,50400,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,49291870,102900629,3744008116,0,621,3122,2,1,8,8,460,1,3757026591,3711894451,794396758,288016529,288016529,2,1,12672006380,73389,73389,8,8,8,288000145,10,3,486283,4362920,3211414,28679,3757026591,4282404,46082944,20938
95775.79,1,253952,62,194784,12833234986,139,621,4360063,20,51070,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,50013093,105420198,3787560057,0,621,3122,2,1,8,8,460,1,3799756063,3754763803,823060407,291346355,291362739,2,1,12819239620,73389,73389,8,8,8,291346355,10,3,491058,4440996,3239825,29005,3799756063,4360063,46775793,20938
96786.39,1,253952,62,197441,13008425946,139,621,4425662,20,51793,67,6744,134740169,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,50370327,106195299,3838714129,0,621,3122,2,1,8,8,460,1,3851398431,3806002523,824701769,295319031,295335415,2,1,12994037364,73389,73389,8,8,8,295319031,10,3,491975,4507123,3269699,29399,3851398431,4425662,47103190,20938
97805.61,1,253952,62,199538,13146651294,140,621,4490718,20,52420,67,6744,135005621,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,51151708,108270069,3879512687,0,621,3122,2,1,8,8,460,1,3891637535,3846402211,832579816,298474666,298474666,2,1,13132164408,73389,73389,8,8,8,298458282,10,3,495484,4578618,3299807,29706,3891637535,4490718,47854501,20938
98833.81,1,253952,62,201826,13297394018,140,621,4584446,20,53038,67,6744,135005621,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,52481262,112982824,3923721650,0,621,3122,2,1,8,8,460,1,3935808799,3890468615,882845542,301900637,301900637,2,1,13283628028,73389,73389,8,8,8,301900637,10,3,499368,4672784,3342442,30043,3935808799,4584446,49141461,20938
99863.79,1,253952,62,204197,13453576230,140,621,4672879,20,53692,67,6744,135005621,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,53242636,115172741,3968321751,0,621,3122,2,1,8,8,460,1,3981421855,3936097488,906109796,305441296,305457680,2,1,13439417024,73389,73389,8,8,8,305441296,10,3,502243,4761690,3382322,30391,3981421855,4672879,49862990,20938
100891.87,1,253952,62,205563,13543629310,141,621,4765903,20,54118,67,6744,135005621,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,53439294,115990074,3994827880,0,621,3122,2,1,8,8,460,1,4007898399,3962535089,907136563,307476786,307493170,2,1,13528978584,73389,73389,8,8,8,307476786,10,3,503441,4855031,3404514,30593,4007898399,4765903,50037484,20938
101918.84,1,253952,62,207325,13659900098,141,621,4823826,20,54601,67,6744,135271073,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,54156999,118162244,4028022631,0,621,3122,2,1,8,8,460,1,4041583903,3996513605,919337608,310132709,310149093,2,1,13645839196,73389,73389,8,8,8,310132709,10,3,505623,4913348,3429810,30850,4041583903,4823826,50729926,20938
102945.43,1,253952,62,209103,13776954010,141,621,4904158,20,55084,67,6744,135271073,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,54390550,118950259,4062265879,0,621,3122,2,1,8,8,460,1,4075924767,4030729047,920358963,312782599,312798983,2,1,13762434356,73389,73389,8,8,8,312782599,10,3,506370,4994010,3452076,31112,4075924767,4904158,50941241,20938
103956.57,1,253952,62,210912,13896304990,141,621,4993411,20,55576,67,6744,135271073,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,54617411,119751745,4097295021,0,621,3122,2,1,8,8,460,1,4110789919,4065635088,921387852,315504058,315504058,2,1,13881457656,73389,73389,8,8,8,315487674,10,3,506448,5083583,3467758,31378,4110789919,4993411,51152452,20938
