timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
90735.74,1,253952,62,35900,2364497870,113,2,621,2287303,15,6294,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,6259870,29603397,733954611,0,621,3657,2,1,8,8,509,1,742906222,694470714,92937888,53427214,53427214,2,1,2350076520,73389,73389,8,8,8,53410830,8,3,135683,2312569,783702,5679,742906222,2287303,5477085,19561
91769.75,1,253952,62,37564,2474080678,113,2,621,2369242,15,6764,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,6839667,31708624,765969529,0,621,3657,2,1,8,8,509,1,774887790,726496549,109787931,55913264,55929648,2,1,2460183616,73389,73389,8,8,8,55913264,8,3,136772,2394860,817115,5923,774887790,2369242,6023504,19561
92804.66,1,253952,62,39416,2595984254,113,2,621,2437617,15,7270,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,7371159,33723433,800999133,0,621,3657,2,1,8,8,509,1,810015086,762146945,122963624,58677842,58694226,2,1,2581825048,73389,73389,8,8,8,58677842,8,3,137828,2463605,834184,6191,810015086,2437617,6537963,19561
93841.74,1,253952,62,40911,2694491478,113,2,621,2491342,15,7676,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,7852314,35644126,830259607,0,621,3657,2,1,8,8,509,1,839113070,790924368,137770235,60918132,60934516,2,1,2680397808,73389,73389,8,8,8,60918132,8,3,138656,2541669,861824,6413,839113070,2491342,6991518,19561
94872.79,1,253952,62,42630,2807678766,114,2,621,2522348,15,8198,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,8133280,36613567,862273979,0,621,3657,2,1,8,8,509,1,872012142,824087958,154318054,63486102,63502486,2,1,2793388488,73389,73389,8,8,8,63486102,8,3,140297,2573040,887197,6664,872012142,2522348,7247144,19561
95896.74,1,253952,62,44931,2959273458,114,2,621,2601583,15,8827,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,8763049,38536005,906741577,0,621,3657,2,1,8,8,509,1,916314478,868378641,166708742,66928457,66944841,2,1,2944852108,73389,73389,8,8,8,66928457,8,3,142231,2652727,917827,7002,916314478,2601583,7846316,19561
96915.81,1,253952,62,47297,3115127990,114,2,621,2665611,15,9472,49,67,1,75091,130770455,1244,1,0,66,70,4,106788,621,0,0,0,9471196,40670795,950819892,0,621,3657,2,1,8,8,509,1,961927534,913969937,182954153,70485500,70485500,2,1,3100641104,73389,73389,8,8,8,70469116,8,3,145506,2717243,952086,7350,961927534,2665611,8520242,19561
97937.56,1,253952,62,49535,3262859366,115,2,621,2783210,15,10122,49,67,1,75091,131035907,1244,1,0,66,70,4,106788,621,0,0,0,9764073,41409653,993190545,0,621,3657,2,1,8,8,509,1,1004788078,957146243,183985627,73843776,73843776,2,1,3249126144,73389,73389,8,8,8,73843776,8,3,145552,2835320,979326,7678,1004919150,2783271,8785912,19561
98963.92,1,253952,62,52517,3459349526,115,2,621,2885209,15,10949,49,67,1,75091,131035907,1244,1,0,66,70,4,106788,621,0,0,0,10517544,42947195,1052339556,0,621,3657,2,1,8,8,509,1,1062590830,1014622477,195025300,78307972,78307972,2,1,3444829872,73389,73389,8,8,8,78291588,8,3,147501,2937831,1021940,8118,1062590830,2885209,9496807,19561
99981.42,1,253952,62,55305,3643125702,116,2,621,2976919,15,11768,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,11411549,45052890,1106508485,0,621,3657,2,1,8,8,509,1,1116068206,1068264448,206380053,82485448,82501832,2,1,3629359712,73389,73389,8,8,8,82485448,8,3,148925,3031004,1068925,8526,1116068206,2976919,10343867,19561
101020.78,1,253952,62,57453,3784693386,116,2,621,3045762,15,12353,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,12089120,46705864,1147438009,0,621,3657,2,1,8,8,509,1,1157355886,1109640312,211752877,85698427,85714811,2,1,3770730788,73389,73389,8,8,8,85698427,8,3,149860,3100256,1099360,8841,1157355886,3045762,10991041,19561
102052.71,1,253952,62,59724,3934321998,116,2,621,3135621,15,12973,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,12370963,47458952,1191250761,0,621,3657,2,1,8,8,509,1,1201265006,1153433270,212788101,89091630,89108014,2,1,3920031720,73389,73389,8,8,8,89091630,8,3,150922,3191493,1122233,9176,1201265006,3135621,11250047,19561
103078.51,1,253952,62,62166,4095157266,117,2,621,3184291,15,13695,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,13939043,53270044,1238864821,0,621,3657,2,1,8,8,509,1,1248319854,1200394901,284017573,92763361,92763361,2,1,4081587884,73389,73389,8,8,8,92763361,8,3,155295,3256706,1176366,9535,1248319854,3184291,12764027,19561
104090.79,1,253952,62,63920,4210638314,117,2,621,3243725,15,14173,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,14208623,54207475,1272057847,0,621,3657,2,1,8,8,509,1,1281481070,1234113357,285950089,95380483,95396867,2,1,4196741252,73389,73389,8,8,8,95380483,8,3,155298,3316448,1196729,9788,1281481070,3243725,13013276,19561
105120.38,1,253952,62,65786,4333724846,117,2,621,3321221,15,14682,49,67,1,75091,131301359,1244,1,0,66,70,4,106788,621,0,0,0,14534347,55322702,1308266539,0,621,3657,2,1,8,8,509,1,1317919086,1270132926,289310666,98183862,98200246,2,1,4320089928,73389,73389,8,8,8,98183862,8,3,155370,3394282,1211950,10066,1317919086,3321221,13323811,19561
106141.01,1,253952,62,67858,4470299728,118,2,621,3402813,15,15299,49,67,1,75091,131554745,1244,1,0,66,70,4,106788,621,0,0,0,15677894,58894301,1347097891,0,621,3657,2,1,8,8,509,1,1357764974,1310063186,337285796,101273961,101290345,2,1,4456054284,73389,73389,8,8,8,101273961,8,3,158335,3476272,1243059,10370,1357764974,3402813,14436293,19561
107189.90,1,253952,62,69453,4575360552,118,2,621,3527694,15,15734,49,67,1,75091,131554745,1244,1,0,66,70,4,106788,621,0,0,0,16263657,60776597,1377669837,0,621,3657,2,1,8,8,509,1,1388435822,1340742481,349405785,103678091,103678091,2,1,4561115108,73389,73389,8,8,8,103661707,8,3,160760,3601476,1272385,10604,1388435822,3527694,14992762,19561
108227.15,1,253952,62,70708,4658139136,118,2,621,3587286,15,16078,49,67,1,75091,131554745,1244,1,0,66,70,4,106788,621,0,0,0,16434188,61648025,1401681354,0,621,3657,2,1,8,8,509,1,1412553070,1364945948,350453387,105541549,105557933,2,1,4643828156,73389,73389,8,8,8,105541549,8,3,161372,3661330,1292252,10788,1412553070,3587286,15143453,19561
109261.47,1,253952,62,72083,4748516588,118,2,621,3644520,15,16451,49,67,1,75091,131554745,1244,1,0,66,70,4,106788,621,0,0,0,16876568,63689616,1429105610,0,621,3657,2,1,8,8,509,1,1439291758,1391398736,354877979,107611966,107628350,2,1,4734926504,73389,73389,8,8,8,107611966,8,3,161634,3718838,1309156,10992,1439291758,3644520,15568957,19561
110300.26,1,253952,62,73349,4832281520,119,2,621,3665257,15,16847,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,17969789,68094313,1454167164,0,621,3657,2,1,8,8,509,1,1463540078,1415858222,400133814,109506033,109522417,2,1,4818265452,73389,73389,8,8,8,109506033,8,3,167898,3739832,1353705,11177,1463540078,3665257,16617656,19561
111363.53,1,253952,62,74675,4919447708,119,2,621,3769236,15,17215,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,18163458,69068933,1479883548,0,621,3657,2,1,8,8,509,1,1489230190,1441396269,401511115,111494530,111494530,2,1,4905759320,73389,73389,8,8,8,111494530,8,3,168018,3844097,1365087,11373,1489230190,3769236,16799972,19561
112418.57,1,253952,62,75978,5005372020,119,2,621,3821383,15,17570,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,18337712,69966659,1505207239,0,621,3657,2,1,8,8,509,1,1514133870,1466465050,402583226,113439908,113456292,2,1,4991355952,73389,73389,8,8,8,113439908,8,3,168068,3896525,1379300,11563,1514133870,3821383,16960040,19561
113465.63,1,253952,62,77306,5092934732,119,2,621,3964779,15,17933,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,18974787,73120721,1531055230,0,621,3657,2,1,8,8,509,1,1539823982,1492085066,445322671,115434438,115450822,2,1,5079115272,73389,73389,8,8,8,115434438,8,3,168526,4040211,1401221,11759,1539823982,3964779,17575225,19561
114514.75,1,253952,62,78674,5182865498,120,2,621,4086120,15,18349,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,19244767,74414189,1557297917,0,621,3657,2,1,8,8,509,1,1566038382,1518365786,450442193,117472087,117488471,2,1,5168771828,73389,73389,8,8,8,117472087,8,3,169126,4161826,1428678,11959,1566038382,4086120,17817781,19561
115531.26,1,253952,62,80364,5294152242,120,2,621,4203282,15,18817,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,19468138,75215203,1589181567,0,621,3657,2,1,8,8,509,1,1598544238,1550962985,451485104,120007289,120007289,2,1,5279599820,73389,73389,8,8,8,119990905,8,3,169387,4279329,1456373,12207,1598544238,4203282,18013491,19561
116559.64,1,253952,62,82256,5418942710,120,2,621,4266571,15,19334,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,19979341,77025684,1625786470,0,621,3657,2,1,8,8,509,1,1634982254,1587444941,494286734,122843436,122843436,2,1,5405111184,73389,73389,8,8,8,122843436,8,3,169446,4342988,1476064,12485,1634982254,4266571,18505040,19561
117606.68,1,253952,62,84168,5544947370,120,2,621,4372385,15,19858,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,21095969,80941297,1662653106,0,621,3657,2,1,8,8,509,1,1671944558,1624247504,521415796,125689934,125712351,2,1,5530357096,73389,73389,8,8,8,125689934,8,3,170304,4449201,1503764,12767,1671944558,4372385,19594006,19561
118635.19,1,253952,62,85969,5663339686,121,2,621,4426586,15,20402,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,21611782,82814651,1697947739,0,621,3657,2,1,8,8,509,1,1706416494,1658927223,539007834,128380784,128397168,2,1,5648754496,73389,73389,8,8,8,128380784,8,3,172689,4503802,1532386,13030,1706416494,4426586,20081235,19561
119655.77,1,253952,62,87648,5774170986,121,2,621,4521010,15,20859,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,21961291,84008940,1729830850,0,621,3657,2,1,8,8,509,1,1738922350,1691289358,541424344,130905635,130922019,2,1,5759847940,73389,73389,8,8,8,130905635,8,3,172798,4611624,1553263,13278,1738922350,4521010,20409901,19561
120686.77,1,253952,62,89316,5884015938,121,2,621,4570587,15,21319,49,67,1,75091,131820197,1244,1,0,66,70,4,106788,621,0,0,0,22513959,85896200,1762370764,0,621,3657,2,1,8,8,509,1,1771034990,1723469785,569043075,133408069,133424453,2,1,5869955036,73389,73389,8,8,8,133408069,8,3,173847,4661531,1581710,13523,1771034990,4570587,20934158,19561
121719.67,1,253952,62,91232,6010379270,122,2,621,4684797,15,21857,49,67,1,75091,132085649,1244,1,0,66,70,4,106788,621,0,0,0,22983901,87478263,1799761313,0,621,3657,2,1,8,8,509,1,1807997294,1760330479,573614764,136268792,136285176,2,1,5995826848,73389,73389,8,8,8,136268792,8,3,175514,4776131,1615170,13805,1807997294,4684797,21370674,19561
122748.02,1,253952,62,93277,6145196746,122,2,621,4744901,15,22453,49,67,1,75091,132085649,1244,1,0,66,70,4,106788,621,0,0,0,24028722,91096761,1839249704,0,621,3657,2,1,8,8,509,1,1847318894,1799743696,613264598,139334315,139350699,2,1,6130709860,73389,73389,8,8,8,139334315,8,3,176825,4842994,1651400,14105,1847318894,4744901,22379299,19561
123775.59,1,253952,62,95587,6297381262,122,2,621,4846865,15,23083,49,67,1,75091,132085649,1244,1,0,66,70,4,106788,621,0,0,0,24674698,92967114,1883980800,0,621,3657,2,1,8,8,509,1,1891883374,1844222461,620042450,142793054,142809438,2,1,6282894376,73389,73389,8,8,8,142793054,8,3,177771,4945404,1684265,14445,1891883374,4846865,22992450,19561
124812.08,1,253952,62,97611,6430822482,123,2,621,4885045,15,23692,49,67,1,75091,132351101,1244,1,0,66,70,4,106788,621,0,0,0,25229303,94756656,1922812309,0,621,3657,2,1,8,8,509,1,1930680686,1883187281,635488675,145866769,145883153,2,1,6418137836,73389,73389,8,8,8,145866769,8,3,179772,4984099,1713504,14743,1930942830,4885152,23517849,19561
125829.59,1,253952,62,99751,6571865878,123,2,621,4907408,15,24274,49,67,1,75091,132351101,1244,1,0,66,70,4,106788,621,0,0,0,26074166,97488914,1963219485,0,621,3657,2,1,8,8,509,1,1972099438,1924452074,660021467,149030596,149046980,2,1,6557346224,73389,73389,8,8,8,149030596,8,3,182887,5013405,1744518,15057,1972099438,4907408,24331735,19561
126846.37,1,253952,62,101940,6716120538,123,2,621,4982521,15,24871,49,67,1,75091,132351101,1244,1,0,66,70,4,106788,621,0,0,0,27364749,101447143,2005461738,0,621,3657,2,1,8,8,509,1,2014042478,1966577517,681198495,152325495,152325495,2,1,6702321780,73389,73389,8,8,8,152325495,8,3,185259,5088959,1781621,15377,2014042478,4982521,25585256,19561
127875.68,1,253952,62,105066,6921782430,124,2,621,5040107,15,25778,49,67,1,75091,132351101,1244,1,0,66,70,4,106788,621,0,0,0,28746671,105400063,2064220355,0,621,3657,2,1,8,8,509,1,2073811310,2026682683,763732213,156996650,157013034,2,1,6907852600,73389,73389,8,8,8,156996650,8,3,190683,5147126,1841332,15833,2073811310,5040107,26907508,19561
128892.67,1,253952,62,107781,7100774478,124,2,621,5137756,15,26518,49,67,1,75091,132351101,1244,1,0,66,70,4,106788,621,0,0,0,29133341,106239125,2117996396,0,621,3657,2,1,8,8,509,1,2126502254,2079023266,768850912,161051246,161067630,2,1,7086254824,73389,73389,8,8,8,161051246,8,3,191008,5245310,1870161,16235,2126502254,5137756,27265386,19561
129911.30,1,253952,62,110975,7311423722,125,2,621,5196567,15,27441,49,67,1,75091,132616553,1244,1,0,66,70,4,106788,621,0,0,0,30235893,108594410,2178196586,0,621,3657,2,1,8,8,509,1,2187712878,2140615324,780144432,165857347,165857347,2,1,7297002372,73389,73389,8,8,8,165840963,8,3,192990,5308655,1901714,16702,2187712878,5196567,28336422,19561
130928.86,1,253952,62,114298,7530261658,125,2,621,5258623,15,28354,49,67,1,75091,132616553,1244,1,0,66,70,4,106788,621,0,0,0,31394277,110745613,2241148725,0,621,3657,2,1,8,8,509,1,2251938158,2204607637,790030169,170829447,170845831,2,1,7516495668,73389,73389,8,8,8,170829447,8,3,197013,5371348,1944677,17192,2251938158,5258623,29451880,19561
131932.55,1,253952,62,123371,8128055210,127,2,621,5317041,15,30883,49,67,1,75091,132882005,1244,1,0,66,70,4,106788,621,0,0,0,33760145,112751042,2414104671,0,621,3657,2,1,8,8,509,1,2426263918,2379388889,810251401,184410451,184426835,2,1,8114059844,73389,73389,8,8,8,184410451,8,3,204735,5430654,2025055,18522,2426263918,5317041,31737442,19561
132936.09,1,253952,62,134375,8853195134,129,2,621,5357444,15,33994,49,67,1,75091,133147457,1244,1,0,66,70,4,106788,621,0,0,0,35797103,112751069,2625214239,0,621,3657,2,1,8,8,509,1,2638469486,2591306921,813191040,200884946,200901330,2,1,8838937624,73389,73389,8,8,8,200884946,8,3,205046,5471941,2077258,20141,2638469486,5357444,33722282,19561
133939.73,1,253952,62,145526,9587968850,130,2,621,5399070,15,37090,49,67,1,75091,133412909,1244,1,0,66,70,4,106788,621,0,0,0,37879039,112751216,2840912295,0,621,3657,2,1,8,8,509,1,2853034350,2806129109,818459174,217597009,217597009,2,1,9573547500,73389,73389,8,8,8,217580625,8,3,209354,5514520,2142280,21778,2853034350,5399070,35739279,19561
134943.12,1,253952,62,156297,10297573434,132,2,621,5440145,15,40138,49,67,1,75091,133678361,1244,1,0,66,70,4,106788,621,0,0,0,39996659,112846303,3048613960,0,621,3657,2,1,8,8,509,1,3060128110,3013605530,824599592,233713215,233729599,2,1,10283381460,73389,73389,8,8,8,233713215,8,3,215752,5556594,2211333,23358,3060128110,5440145,37787929,19561
135946.60,1,253952,62,167163,11013508858,134,2,621,5482133,15,43207,49,67,1,75091,134209265,1244,1,0,66,70,4,106788,621,0,0,0,42091615,112846306,3257745650,0,621,3657,2,1,8,8,509,1,3268652319,3222870946,827623556,249980751,249997135,2,1,10999153044,73389,73389,8,8,8,249980751,8,3,215823,5599527,2251976,24953,3268652319,5482133,39842330,19561
136950.00,1,253952,62,178018,11728618466,136,2,621,5523315,15,46276,49,67,1,75091,134474717,1244,1,0,66,70,4,106788,621,0,0,0,44135918,112846323,3466364867,0,621,3657,2,1,8,8,509,1,3477187871,3431956810,830581636,266228029,266244413,2,1,11714033276,73389,73389,8,8,8,266228029,8,3,216904,5641656,2292773,26544,3477187871,5523315,41845924,19561
137954.10,1,253952,62,188997,12452119990,138,2,621,5565991,15,49381,49,67,1,75091,134740169,1244,1,0,66,70,4,106788,621,0,0,0,46225649,112846693,3677473932,0,621,3657,2,1,8,8,509,1,3688738079,3643358138,836762839,282677948,282694332,2,1,12437829712,73389,73389,8,8,8,282677948,8,3,221136,5685287,2349962,28158,3688738079,5565991,43878550,19561
138958.09,1,253952,62,200022,13178636170,140,2,621,5608229,15,52498,49,67,1,75091,135005621,1244,1,0,66,70,4,106788,621,0,0,0,48324355,112846738,3890417492,0,621,3657,2,1,8,8,509,1,3900943647,3855747329,845278617,299201595,299201595,2,1,13164870180,73389,73389,8,8,8,299201595,8,3,225322,5728461,2406851,29777,3900943647,5608229,45920450,19561
139961.42,1,253952,62,211396,13928024414,142,2,621,5651364,15,55666,49,67,1,75091,135271073,1244,1,0,66,70,4,106788,621,0,0,0,50394423,112846752,4108737525,0,621,3657,2,1,8,8,509,1,4120096031,4074917456,848796136,316224954,316224954,2,1,13913897976,73389,73389,8,8,8,316224954,8,3,226505,5772516,2454825,31449,4120096031,5651364,47942633,19561
140964.55,1,253952,62,222498,14659586866,143,2,621,5693264,15,58792,49,67,1,75091,135536525,1244,1,0,66,70,4,106788,621,0,0,0,52445271,112848090,4322469006,0,621,3657,2,1,8,8,509,1,4333743391,4288723266,852911277,332855097,332855097,2,1,14645624268,73389,73389,8,8,8,332855097,8,3,227443,5815385,2501531,33079,4333743391,5693264,49946861,19561
141968.45,1,253952,62,233558,15388396806,145,2,621,5734511,15,61918,49,67,1,75091,135801977,1244,1,0,66,70,4,106788,621,0,0,0,54496423,112848198,4537382085,0,621,3657,2,1,8,8,509,1,4546604319,4501736802,856485670,349419704,349419704,2,1,15374466976,73389,73389,8,8,8,349419704,8,3,227598,5857573,2554274,34703,4546604319,5734511,51945364,19561
142971.43,1,253952,62,244550,16112750298,147,2,621,5775738,15,65029,49,67,1,75091,136332881,1244,1,0,66,70,4,106788,621,0,0,0,56520104,112848255,4746262987,0,621,3657,2,1,8,8,509,1,4758154527,4713546112,861077660,365877815,365894199,2,1,16098623860,73389,73389,8,8,8,365877815,8,3,234211,5899704,2617600,36317,4758154527,5775738,53905799,19561
143974.40,1,253952,62,255612,16841425858,149,2,621,5816900,15,68155,49,67,1,75091,136332881,1244,1,0,66,70,4,106788,621,0,0,0,58591418,112848622,4958945032,0,621,3657,2,1,8,8,509,1,4970884383,4926503671,864134593,382436389,382452773,2,1,16827201116,73389,73389,8,8,8,382436389,8,3,234568,5941784,2664637,37940,4970884383,5816900,55930162,19561
144977.58,1,253952,62,266892,17584919170,151,2,621,5858628,15,71319,49,67,1,75091,136598333,1244,1,0,66,70,4,106788,621,0,0,0,60613850,112848671,5177921115,0,621,3657,2,1,8,8,509,1,5188201759,5143841544,874387469,399342901,399342901,2,1,17571087644,73389,73389,8,8,8,399342901,8,3,235825,5984435,2728999,39598,5188201759,5858628,57888316,19561
145980.74,1,253952,62,278298,18336404566,152,2,621,5900410,15,74506,49,67,1,75091,136863785,1244,1,0,66,70,4,106788,621,0,0,0,62654202,112848673,5397422480,0,621,3657,2,1,8,8,509,1,5408009503,5363557828,877428191,416407220,416423604,2,1,18321917680,73389,73389,8,8,8,416407220,8,3,237033,6027153,2778022,41275,5408009503,5900410,59879741,19561
146983.95,1,253952,62,289479,19073409814,154,2,621,5941762,15,77665,49,67,1,75091,137394689,1244,1,0,66,70,4,106788,621,0,0,0,64703595,112848747,5611809277,0,621,3657,2,1,8,8,509,1,5623098655,5579038218,882606018,433166276,433166276,2,1,19059316144,73389,73389,8,8,8,433166276,8,3,238562,6069410,2842286,42916,5623098655,5941762,61864957,19561
