timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
100365.87,54,253952,62,238661,15724420214,1583,39,576,9329219,20,93774,71,31523,117083050,1154,1,0,4,14877,297321539,12,1188657756,70,70,2,8,50818,576,0,0,162426472,475131114,4983007202,0,576,4230,3,1,8,8,30781,3,4982631841,4953429397,682854978,302152874,302234794,3,1,15709393576,73389,73389,8,8,8,302103726,10,1,3,503765,9527559,3860501,41350,4982762913,9329284,158570975,28061
101395.69,61,253952,62,258955,17061019966,1715,41,576,10128574,20,101761,71,31523,117107182,1154,1,0,4,14877,322622855,12,1290038920,70,70,2,8,50818,576,0,0,176478432,523312171,5402459803,0,576,4230,3,1,8,8,30781,3,5404006510,5374150252,748206931,327830415,327945103,3,1,17044625708,73389,73389,8,8,8,327781267,10,1,3,581991,10356298,4274749,44842,5404137582,10128623,172209178,28061
102420.81,66,253952,62,278682,18362258640,1838,43,576,10800407,20,109532,71,31523,117396766,1154,1,0,4,14877,347347309,12,1388742780,70,70,2,8,50818,576,0,0,189558252,566524685,5809693314,0,576,4230,3,1,8,8,30781,3,5812354794,5783764354,809940964,352847834,352995290,3,1,18346383464,73389,73389,8,8,8,352815070,10,1,3,626543,11058377,4571317,48218,5812354794,10800407,184992868,28061
103439.00,72,253952,62,299375,19724391890,1977,44,594,11647622,20,117667,71,31523,120394185,1190,1,0,4,14877,373039381,12,1491511256,70,70,2,8,50818,594,0,0,204934947,616056385,6239217563,0,594,4257,3,1,8,8,30781,3,6241377233,6212715639,879319381,379045789,379193245,3,1,19707825156,73389,73389,8,8,8,378996641,10,1,3,680943,11925545,4941094,51777,6241377233,11647622,200000261,28151
104457.73,76,253952,62,319127,21027896396,2105,45,594,12573423,20,125511,71,31523,121021617,1190,1,0,4,14877,398011850,12,1591151876,70,70,2,8,50818,594,0,0,217659423,656708297,6648360850,0,594,4257,3,1,8,8,30781,3,6650708663,6623088424,936846204,404116234,404230922,3,1,21008080424,73389,73389,8,8,8,404001550,10,1,3,719651,12893074,5255858,55167,6650708663,12573423,212410451,28151
105481.77,79,253952,62,338299,22291278472,2229,46,594,13512744,20,133009,71,31523,121021617,1190,1,0,4,14877,421807991,12,1686198628,70,70,2,8,50818,594,0,0,230456532,701612746,7046909619,0,594,4257,3,1,8,8,30781,3,7047867943,7020664558,1000139683,428415360,428546432,3,1,22275042848,73389,73389,8,8,8,428366212,10,1,3,759873,13836819,5590974,58451,7047867943,13512744,224872910,28151
106505.94,79,253952,62,357945,23584783464,2352,48,594,14261752,20,140734,71,31523,121021617,1190,1,0,4,14877,446203720,12,1784168632,70,70,2,8,50818,594,0,0,243830329,745540600,7454428063,0,594,4257,3,1,8,8,30781,3,7456700795,7427958972,1062793651,453278019,453409091,3,1,23567901116,73389,73389,8,8,8,453228871,10,1,3,801907,14590307,5884220,61834,7456700795,14261752,237952891,28151
107549.80,81,253952,62,374196,24656360838,2457,50,594,15114291,20,147175,71,31523,121021617,1190,1,0,4,14877,466691287,12,1865989832,70,70,2,8,50818,594,0,0,256003680,792081649,7798849962,0,594,4257,3,1,8,8,30781,3,7795392955,7765320031,1127804771,473942056,474040360,3,1,24640727104,73389,73389,8,8,8,473860140,10,1,3,856397,15473465,6203724,64645,7795392955,15114291,249808121,28151
108584.28,87,253952,62,388341,25587445866,2550,52,603,16021019,20,152716,71,31523,122463765,1208,1,0,4,14877,484280676,12,1936217960,70,70,2,8,50818,603,0,0,266006864,841324482,8091014929,0,603,4269,3,1,8,8,30781,3,8089199242,8058604934,1191949590,491797125,491911813,3,1,25569190692,73389,73389,8,8,8,491715209,10,1,3,897657,16383749,6467614,67076,8089199242,16021019,259547764,28192
109632.47,88,253952,62,402294,26507214912,2641,54,603,16824662,20,158223,71,31523,122463765,1208,1,0,4,14877,501787635,12,2006181528,70,70,2,8,50818,603,0,0,275977040,891499923,8385070167,0,603,4269,3,1,8,8,30781,3,8380793969,8348186937,1257002438,509471526,509602598,3,1,26491667416,73389,73389,8,8,8,509455146,10,1,3,926628,17190980,6673911,69503,8380793969,16824662,269312018,28192
110676.68,94,253952,62,415850,27400652450,2728,55,603,17778184,20,163578,71,31523,122463765,1208,1,0,4,14877,518799256,12,2074292900,70,70,2,8,50818,603,0,0,285527024,938808900,8661542945,0,603,4269,3,1,8,8,30781,3,8660980187,8629540161,1318743704,526722102,526738486,3,1,27381881624,73389,73389,8,8,8,526574650,10,1,3,959736,18147838,6905699,71811,8660980187,17778184,278629555,28192
111726.46,95,253952,62,429135,28275400650,2812,56,603,18579889,20,168857,71,31523,122463765,1208,1,0,4,14877,535440524,12,2141374900,70,70,2,8,50818,603,0,0,295466723,989190538,8938438448,0,603,4269,3,1,8,8,30781,3,8935902368,8904916977,1385226397,543536787,543583780,3,1,28254541308,73389,73389,8,8,8,543356567,10,1,3,1001566,18961876,7161438,74087,8935902368,18579889,288314859,28192
112774.79,100,253952,62,442801,29175676532,2901,57,603,19501570,20,174197,71,31523,122463765,1208,1,0,4,14877,552433189,12,2208764004,70,70,2,8,50818,603,0,0,304542771,1034770877,9224344322,0,603,4269,3,1,8,8,30781,3,9219610029,9188313406,1444956664,560838674,560904210,3,1,29161907144,73389,73389,8,8,8,560805910,10,1,3,1049033,19904705,7450044,76446,9219610029,19501570,297115653,28192
113814.99,104,253952,62,456317,30066987980,2985,59,621,20348566,20,179520,71,31523,125403913,1244,1,0,4,14877,569207663,12,2276572124,70,70,2,8,50818,621,0,0,315600856,1089998304,9507080415,0,621,4306,3,1,8,8,30781,3,9502267871,9469325959,1520741807,577894357,578041813,3,1,30046359024,73389,73389,8,8,8,577814600,10,1,3,1092582,20755101,7706990,78792,9502267871,20348566,307903140,28291
114867.49,110,253952,62,470842,31022863566,3073,60,738,21486423,20,185276,71,31523,145049878,1478,1,0,4,14877,587522389,12,2349830824,70,70,2,8,50818,738,0,0,325936928,1138807452,9829866027,0,738,4503,3,1,8,8,30781,3,9822348839,9772129390,1584865840,596187032,596301720,3,1,31000021760,73389,73389,8,8,8,596154268,10,1,3,1138491,21896768,8016868,81472,9822348839,21486423,317929720,28877
115406.56,110,253952,62,473861,31220512386,3118,60,738,21649494,20,186567,76,31523,152390351,1485,1,1228,4,14877,591599349,12,2366397396,75,77,2,70,51080,738,1228,89,329631537,1156688350,9895823422,8,738,4503,3,1,8,8,30781,3,9885219758,9834626506,1649915513,600037902,600037902,3,1,31201970936,73389,73389,8,8,8,600037906,10,1,3,1154161,22060667,8119712,81992,9885219758,21649494,321522645,28877
