timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
84970.59,253952,62,34744,2288207350,112,1,621,2676856,16,5941,49,68,52,115055,130517069,1244,1,0,67,70,6694,5,134547,621,0,0,0,5694011,29852813,711643379,0,621,6713,2,1,8,8,400,1,720361838,672179717,92139051,51686636,51703020,2,1,2274211984,73389,73389,8,8,8,51686636,12,3,106332,2697002,686488,5507,720361838,2676856,5008949,8819
86000.74,253952,62,36447,2400346062,113,1,621,2772188,16,6460,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,6083842,31414875,743130667,0,621,6713,2,1,8,8,400,1,752998766,704950397,98547559,54230030,54246414,2,1,2386121320,73389,73389,8,8,8,54230030,12,3,108959,2792661,718588,5756,752998766,2772188,5366713,8819
87024.59,253952,62,38226,2517730962,113,1,621,2864463,16,6946,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,6378776,32592651,778027752,0,621,6713,2,1,8,8,400,1,787470702,739219787,101106238,56902337,56918721,2,1,2503702828,73389,73389,8,8,8,56902337,12,3,109200,2885311,732249,6019,787470702,2864463,5648019,8819
88077.85,253952,62,40114,2641993834,113,1,621,2926432,16,7459,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,6766496,34163417,814499132,0,621,6713,2,1,8,8,400,1,823908718,775629885,114798106,59732451,59732451,2,1,2628227844,73389,73389,8,8,8,59732451,12,3,110758,2947645,756991,6297,823908718,2926432,6011028,8819
89109.74,253952,62,41627,2741680706,114,1,621,2982728,16,7901,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,7537037,37616166,843758236,0,621,6713,2,1,8,8,400,1,852875630,804759563,131887610,61989125,62005509,2,1,2727521500,73389,73389,8,8,8,61989125,12,3,115511,3004213,795022,6518,852875630,2982728,6743566,8819
90158.78,253952,62,43402,2858538010,114,1,621,3076867,16,8408,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,7904019,38976437,878130083,0,621,6713,2,1,8,8,400,1,886561134,838939641,155884834,64655399,64655399,2,1,2844116660,73389,73389,8,8,8,64639015,12,3,117302,3098716,819907,6775,886561134,3076867,7085693,8819
91176.67,253952,62,45084,2969300466,114,1,621,3182184,16,8871,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,8362427,40838742,910404313,0,621,6713,2,1,8,8,400,1,919329134,871300759,172305119,67174217,67174217,2,1,2955665548,73389,73389,8,8,8,67174217,12,3,118992,3204388,847617,7025,919329134,3182184,7516425,8819
92191.80,253952,62,46819,3083801782,114,1,621,3256632,16,9343,49,68,52,115055,130770455,1244,1,0,67,70,6694,5,134547,621,0,0,0,9304207,44451551,944256160,0,621,6713,2,1,8,8,400,1,952883566,904773590,193315689,69764604,69780988,2,1,3069642576,73389,73389,8,8,8,69764604,12,3,123059,3279204,894057,7281,952883566,3256632,8411807,8819
93229.24,253952,62,48358,3185192590,115,1,621,3318807,16,9817,49,68,52,115055,131035907,1244,1,0,67,70,6694,5,134547,621,0,0,0,9927246,47092171,973779362,0,621,6713,2,1,8,8,400,1,982374766,934480882,211957131,72062238,72078622,2,1,3170738472,73389,73389,8,8,8,72062238,12,3,131160,3341699,940139,7506,982374766,3318807,8988799,8819
94262.22,253952,62,50218,3307885906,115,1,621,3387017,16,10324,49,68,52,115055,131035907,1244,1,0,67,70,6694,5,134547,621,0,0,0,10617714,49814369,1008942880,0,621,6713,2,1,8,8,400,1,1018288494,970323087,235398489,74865617,74865617,2,1,3294087148,73389,73389,8,8,8,74865617,12,3,133906,3414682,973744,7780,1018288494,3387017,9645693,8819
95292.08,253952,62,52188,3437522730,115,1,621,3403917,16,10861,49,68,52,115055,131035907,1244,1,0,67,70,6694,5,134547,621,0,0,0,11070396,51347302,1046724529,0,621,6713,2,1,8,8,400,1,1056037230,1008262049,239045882,77810419,77810419,2,1,3422937540,73389,73389,8,8,8,77794035,12,3,134556,3431943,988582,8068,1056037230,3403917,10082565,8819
96324.70,253952,62,54687,3602359002,116,1,621,3463964,16,11598,49,68,52,115055,131301359,1244,1,0,67,70,6694,5,134547,621,0,0,0,12272360,55428171,1094994763,0,621,6713,2,1,8,8,400,1,1104140654,1056383672,280940894,81545527,81561911,2,1,3588003188,73389,73389,8,8,8,81545527,12,3,143175,3492517,1043997,8435,1104140654,3463964,11229149,8819
97354.74,253952,62,56618,3729705374,116,1,621,3539173,16,12127,49,68,52,115055,131301359,1244,1,0,67,70,6694,5,134547,621,0,0,0,12568950,56272270,1132515217,0,621,6713,2,1,8,8,400,1,1141627246,1093589025,282399623,84447210,84463594,2,1,3715677240,73389,73389,8,8,8,84447210,12,3,143595,3574131,1065866,8721,1141627246,3539173,11503904,8819
98386.47,253952,62,59903,3946052942,116,1,621,3603202,16,13022,49,68,52,115055,131301359,1244,1,0,67,70,6694,5,134547,621,0,0,0,13860779,60008704,1194024807,0,621,6713,2,1,8,8,400,1,1204672878,1156845478,303317079,89370158,89386542,2,1,3932286952,73389,73389,8,8,8,89370158,12,3,151438,3638759,1141058,9202,1204672878,3603202,12720580,8819
99418.71,253952,62,62621,4124976146,117,1,621,3685383,16,13813,49,68,52,115055,131301359,1244,1,0,67,70,6694,5,134547,621,0,0,0,14190366,60707698,1246621005,0,621,6713,2,1,8,8,400,1,1256970606,1209059409,304345600,93435105,93451489,2,1,4111144620,73389,73389,8,8,8,93435105,12,3,152087,3721500,1169461,9601,1256970606,3685383,13021799,8819
100467.69,253952,62,64675,4260383446,117,1,621,3756265,16,14376,49,68,52,115055,131301359,1244,1,0,67,70,6694,5,134547,621,0,0,0,14470428,61592746,1286760220,0,621,6713,2,1,8,8,400,1,1296685422,1248748117,307004021,96517012,96533396,2,1,4246748528,73389,73389,8,8,8,96517012,12,3,152387,3792776,1186866,9904,1296685422,3756265,13284492,8819
101503.73,253952,62,66644,4390208120,118,1,621,3807410,16,14947,49,68,52,115055,131554745,1244,1,0,67,70,6694,5,134547,621,0,0,0,15344218,64486991,1323887596,0,621,6713,2,1,8,8,400,1,1334434158,1286617194,327417274,99459655,99476039,2,1,4376224820,73389,73389,8,8,8,99459655,12,3,153511,3844321,1220870,10192,1334434158,3807410,14124312,8819
102530.06,253952,62,68498,4512508220,118,1,621,3877648,16,15475,49,68,52,115055,131554745,1244,1,0,67,70,6694,5,134547,621,0,0,0,15729585,65851262,1360751925,0,621,6713,2,1,8,8,400,1,1370347886,1322408033,342555668,102246650,102246650,2,1,4498131704,73389,73389,8,8,8,102230266,12,3,154807,3914911,1245127,10466,1370347886,3877648,14485459,8819
103561.56,253952,62,70478,4642800404,118,1,621,3914980,16,16012,49,68,52,115055,131554745,1244,1,0,67,70,6694,5,134547,621,0,0,0,16888042,70171017,1397487012,0,621,6713,2,1,8,8,400,1,1408096622,1360501180,392602314,105207836,105224220,2,1,4629144784,73389,73389,8,8,8,105207836,12,3,164418,3952617,1298603,10754,1408096622,3914980,15590480,8819
104599.24,253952,62,72505,4776438232,119,1,621,3993164,16,16580,49,68,52,115055,131554745,1244,1,0,67,70,6694,5,134547,621,0,0,0,17501762,72179961,1438156128,0,621,6713,2,1,8,8,400,1,1447287150,1399555113,421296947,108232399,108248783,2,1,4762225556,73389,73389,8,8,8,108232399,12,3,166052,4031209,1331220,11053,1447287150,3993164,16171619,8819
105626.77,253952,62,74421,4902801564,119,1,621,4082403,16,17146,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,18549040,75408524,1475022325,0,621,6713,2,1,8,8,400,1,1483987310,1436495970,435400719,111101314,111117698,2,1,4888457816,73389,73389,8,8,8,111101314,12,3,169447,4120868,1361968,11333,1483987310,4082403,17189189,8819
106651.15,253952,62,75945,5003209332,119,1,621,4143399,16,17559,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,18988591,77069444,1504154362,0,621,6713,2,1,8,8,400,1,1513609582,1465829277,448639864,113390756,113407140,2,1,4989193264,73389,73389,8,8,8,113390756,12,3,175497,4182203,1405617,11559,1513609582,4143399,17585123,8819
107695.75,253952,62,77455,5102699596,119,1,621,4209853,16,17974,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,19265394,78148051,1533020426,0,621,6713,2,1,8,8,400,1,1542707566,1494931700,451995631,115647430,115663814,2,1,5088486920,73389,73389,8,8,8,115647430,12,3,176048,4248977,1426978,11781,1542707566,4209853,17840596,8819
108736.29,253952,62,78646,5181030490,120,1,621,4240989,16,18316,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,19638833,79843264,1556246707,0,621,6713,2,1,8,8,400,1,1565514094,1517896807,459578862,117422935,117439319,2,1,5166609140,73389,73389,8,8,8,117422935,12,3,177308,4288226,1444189,11955,1565514094,4240989,18196851,8819
109789.75,253952,62,80008,5270821426,120,1,621,4287957,16,18724,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,20893021,85216071,1583015573,0,621,6713,2,1,8,8,400,1,1591597422,1544131407,533936005,119466617,119483001,2,1,5256531148,73389,73389,8,8,8,119466617,12,3,180529,4344598,1468253,12154,1591597422,4287957,19427008,8819
110816.19,253952,62,81112,5343438622,120,1,621,4328789,16,19024,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,21051135,86063692,1604798277,0,621,6713,2,1,8,8,400,1,1613093230,1565375532,535003060,121127434,121127434,2,1,5329607096,73389,73389,8,8,8,121127434,12,3,180666,4385652,1475023,12318,1613093230,4328789,19578380,8819
111860.87,253952,62,82266,5419598070,120,1,621,4403546,16,19340,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,21211217,86869737,1626712529,0,621,6713,2,1,8,8,400,1,1635244398,1587607396,536010907,122859820,122859820,2,1,5405832080,73389,73389,8,8,8,122859820,12,3,180903,4460662,1491257,12487,1635244398,4403546,19722254,8819
112913.78,253952,62,83677,5512600270,120,1,621,4452924,16,19720,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,21458888,88002942,1653872768,0,621,6713,2,1,8,8,400,1,1662507374,1614799028,539598067,124969038,124985422,2,1,5498637672,73389,73389,8,8,8,124969038,12,3,180907,4510306,1503773,12695,1662507374,4452924,19957439,8819
113952.40,253952,62,84920,5594326970,121,1,621,4516717,16,20115,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,22026282,90952068,1677625148,0,621,6713,2,1,8,8,400,1,1686362478,1638716388,561073418,126818271,126834655,2,1,5580003924,73389,73389,8,8,8,126818271,12,3,184116,4574363,1531091,12877,1686362478,4516717,20497544,8819
114993.69,253952,62,86279,5683921298,121,1,621,4605139,16,20485,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,22245304,91983773,1703080024,0,621,6713,2,1,8,8,400,1,1712314734,1664935583,562539857,128861953,128861953,2,1,5669205036,73389,73389,8,8,8,128845569,12,3,184146,4663074,1546229,13075,1712314734,4605139,20701458,8819
116021.32,253952,62,87883,5789571946,121,1,621,4682413,16,20924,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,22596656,93493824,1734306198,0,621,6713,2,1,8,8,400,1,1743247726,1695811633,568729481,131249699,131266083,2,1,5774986756,73389,73389,8,8,8,131249699,12,3,184424,4740665,1559109,13311,1743247726,4682413,21039967,8819
117044.44,253952,62,90059,5932974638,121,1,621,4741536,16,21520,49,68,52,115055,131820197,1244,1,0,67,70,6694,5,134547,621,0,0,0,23256335,95782418,1776286020,0,621,6713,2,1,8,8,400,1,1785321838,1737736650,577987564,134511830,134528214,2,1,5918520520,73389,73389,8,8,8,134511830,12,3,184948,4800234,1581362,13632,1785321838,4741536,21677430,8819
118071.75,253952,62,91980,6059665650,122,1,621,4776666,16,22101,49,68,52,115055,132085649,1244,1,0,67,70,6694,5,134547,621,0,0,0,23898173,97711815,1814201269,0,621,6713,2,1,8,8,400,1,1822284142,1774735982,598859601,137405321,137421705,2,1,6045834124,73389,73389,8,8,8,137405321,12,3,187243,4835751,1606668,13914,1822284142,4776666,22293996,8819
119094.63,253952,62,93979,6191468470,122,1,621,4838645,16,22642,49,68,52,115055,132085649,1244,1,0,67,70,6694,5,134547,621,0,0,0,24168990,98437245,1852245791,0,621,6713,2,1,8,8,400,1,1860819310,1813282357,599887493,140366507,140388924,2,1,6176126308,73389,73389,8,8,8,140366507,12,3,187474,4898122,1628458,14208,1860819310,4838645,22543059,8819
120124.66,253952,62,96291,6343784058,122,1,621,4893172,16,23275,49,68,52,115055,132085649,1244,1,0,67,70,6694,5,134547,621,0,0,0,25132526,101440448,1896848832,0,621,6713,2,1,8,8,400,1,1905383790,1857789616,634652337,143847663,143864047,2,1,6329297172,73389,73389,8,8,8,143847663,12,3,190561,4953079,1665330,14548,1905383790,4893172,23469766,8819
121162.05,253952,62,98144,6466018622,123,1,621,4932687,16,23836,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,26661280,107096206,1930567530,0,621,6713,2,1,8,8,400,1,1940904302,1893500886,702250016,146626466,146642850,2,1,6451564504,73389,73389,8,8,8,146626466,12,3,195268,4992977,1704562,14819,1940904302,4932687,24959315,8819
122191.18,253952,62,100040,6590805782,123,1,621,4987628,16,24351,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,26973071,108182583,1967300921,0,621,6713,2,1,8,8,400,1,1977473390,1929939563,711147727,149472964,149489348,2,1,6576810416,73389,73389,8,8,8,149472964,12,3,195778,5048285,1720257,15098,1977473390,4987628,25255448,8819
123214.30,253952,62,101846,6709960154,123,1,621,5060801,16,24844,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,27244902,109168454,2002329957,0,621,6713,2,1,8,8,400,1,2012469614,1964791466,713414411,152178039,152178039,2,1,6694847368,73389,73389,8,8,8,152155622,12,3,195798,5121814,1737451,15365,2012469614,5060801,25510120,8819
124235.72,253952,62,104071,6856308658,124,1,621,5106962,16,25505,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,28031592,111670256,2044964050,0,621,6713,2,1,8,8,400,1,2054936942,2007587167,729233483,155499673,155516057,2,1,6841985612,73389,73389,8,8,8,155499673,12,3,200148,5168368,1774453,15689,2054936942,5106962,26259851,8819
125262.66,253952,62,106089,6989356662,124,1,621,5174196,16,26057,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,28510913,113126429,2085894708,0,621,6713,2,1,8,8,400,1,2093865326,2046447764,738463836,158532428,158548812,2,1,6975426832,73389,73389,8,8,8,158532428,12,3,200639,5242028,1799487,15986,2093865326,5174196,26714178,8819
126285.85,253952,62,108079,7120304206,124,1,621,5211437,16,26599,49,68,52,115055,132351101,1244,1,0,67,70,6694,5,134547,621,0,0,0,29053155,114750392,2124333107,0,621,6713,2,1,8,8,400,1,2132269422,2084764667,747638890,161509998,161509998,2,1,7105719016,73389,73389,8,8,8,161493614,12,3,200949,5279672,1818818,16279,2132269422,5211437,27237126,8819
127309.59,253952,62,110315,7267904510,125,1,621,5270656,16,27267,49,68,52,115055,132616553,1244,1,0,67,70,6694,5,134547,621,0,0,0,29500767,115952184,2166837158,0,621,6713,2,1,8,8,400,1,2175129966,2127896699,751262356,164868274,164868274,2,1,7254204056,73389,73389,8,8,8,164868274,12,3,202605,5344619,1850492,16606,2175129966,5270656,27653106,8819
128329.79,253952,62,114040,7513353370,125,1,621,5371846,16,28280,49,68,52,115055,132616553,1244,1,0,67,70,6694,5,134547,621,0,0,0,30921261,119530468,2237916361,0,621,6713,2,1,8,8,400,1,2247088494,2199628173,784959275,170436231,170452615,2,1,7499194164,73389,73389,8,8,8,170436231,12,3,206282,5446456,1911459,17155,2247088494,5371846,29012674,8819
129350.65,253952,62,117471,7739534646,126,1,621,5429226,16,29268,49,68,52,115055,132882005,1244,1,0,67,70,6694,5,134547,621,0,0,0,31806461,121177842,2303751641,0,621,6713,2,1,8,8,400,1,2312755566,2265807288,790753010,175570012,175586396,2,1,7725080528,73389,73389,8,8,8,175570012,12,3,208142,5504463,1950025,17656,2312755566,5429226,29859343,8819
130365.72,253952,62,120421,7933927654,126,1,621,5514399,16,30076,49,68,52,115055,132882005,1244,1,0,67,70,6694,5,134547,621,0,0,0,32710729,123797752,2361066304,0,621,6713,2,1,8,8,400,1,2370034030,2322628909,835144799,179985056,180001440,2,1,7919342464,73389,73389,8,8,8,179985056,12,3,212624,5590202,2007431,18093,2370034030,5514399,30706245,8819
131369.19,253952,62,124788,8221450626,127,1,621,5549487,16,31267,49,68,52,115055,132882005,1244,1,0,67,70,6694,5,134547,621,0,0,0,34531703,128132513,2444469027,0,621,6713,2,1,8,8,400,1,2453789038,2406705668,874300617,186536053,186536053,2,1,8207586332,73389,73389,8,8,8,186536053,12,3,221017,5625894,2052531,18732,2453789038,5549487,32482166,8819
132372.58,253952,62,135829,8949015382,129,1,621,5590620,16,34390,49,68,52,115055,133147457,1244,1,0,67,70,6694,5,134547,621,0,0,0,37362176,130005076,2656233749,0,621,6713,2,1,8,8,400,1,2666125678,2619317487,900329700,203076084,203076084,2,1,8935347696,73389,73389,8,8,8,203076084,12,3,227020,5667952,2120956,20352,2666125678,5590620,35244306,8819
133375.82,253952,62,146949,9681492030,131,1,621,5632041,16,37534,49,68,52,115055,133412909,1244,1,0,67,70,6694,5,134547,621,0,0,0,39392935,130005079,2870883345,0,621,6713,2,1,8,8,400,1,2880428398,2833479237,903784235,219716578,219732962,2,1,9667529432,73389,73389,8,8,8,219716578,12,3,228428,5710360,2176108,21987,2880428398,5632041,37220010,8819
134379.09,253952,62,158413,10437043966,132,1,621,5675493,16,40714,49,68,52,115055,133678361,1244,1,0,67,70,6694,5,134547,621,0,0,0,41452807,130005371,3090417581,0,621,6713,2,1,8,8,400,1,3100768638,3054360963,907912894,236877042,236893426,2,1,10422589848,73389,73389,8,8,8,236877042,12,3,231595,5754775,2230362,23669,3100768638,5675493,39225720,8819
135382.40,253952,62,169334,11156318418,135,1,621,5718111,16,43852,49,68,52,115055,134209265,1244,1,0,67,70,6694,5,134547,621,0,0,0,43427388,130005407,3300434692,0,621,6713,2,1,8,8,400,1,3310071071,3264647425,910830981,253236849,253236849,2,1,11142421356,73389,73389,8,8,8,253236849,12,3,232382,5798345,2273143,25269,3310071071,5718111,41157608,8819
136385.69,253952,62,180554,11895879570,137,1,621,5761800,16,47021,49,68,52,115055,134474717,1244,1,0,67,70,6694,5,134547,621,0,0,0,45470042,130005589,3516526468,0,621,6713,2,1,8,8,400,1,3526339871,3480821621,915868465,270045057,270045057,2,1,11881982508,73389,73389,8,8,8,270045057,12,3,232747,5842984,2321549,26919,3526339871,5761800,43151937,8819
137388.92,253952,62,192044,12652869990,138,1,621,5806348,16,50212,49,68,52,115055,134740169,1244,1,0,67,70,6694,5,134547,621,0,0,0,47563068,130005765,3738519275,0,621,6713,2,1,8,8,400,1,3747458335,3702080717,918942954,287240448,287256832,2,1,12638579712,73389,73389,8,8,8,287240448,12,3,233653,5888482,2368189,28606,3747458335,5806348,45198410,8819
138392.20,253952,62,203222,13389413178,140,1,621,5848536,16,53371,49,68,52,115055,135005621,1244,1,0,67,70,6694,5,134547,621,0,0,0,49577896,130005929,3952381865,0,621,6713,2,1,8,8,400,1,3962285343,3917393518,928327773,303977087,303993471,2,1,13374991828,73389,73389,8,8,8,303977087,12,3,238606,5931616,2430633,30245,3962285343,5848536,47150883,8819
139395.22,253952,62,214313,14120254734,142,1,621,5890812,16,56503,49,68,52,115055,135271073,1244,1,0,67,70,6694,5,134547,621,0,0,0,51680307,130006037,4168342456,0,621,6713,2,1,8,8,400,1,4176194847,4131144625,934123655,320590846,320590846,2,1,14105997224,73389,73389,8,8,8,320590846,12,3,247382,5974847,2495379,31877,4176194847,5890812,49188641,8819
140398.01,253952,62,225374,14849130210,144,1,621,5932607,16,59632,49,68,52,115055,135801977,1244,1,0,67,70,6694,5,134547,621,0,0,0,53738542,130006811,4379058756,0,621,6713,2,1,8,8,400,1,4388924703,4344149426,938744927,337147261,337163645,2,1,14834479484,73389,73389,8,8,8,337147261,12,3,250985,6017556,2547749,33500,4388924703,5932607,51194589,8819
141401.43,253952,62,236490,15581610166,146,1,621,5975003,16,62773,49,68,52,115055,136067429,1244,1,0,67,70,6694,5,134547,621,0,0,0,55821798,130006866,4593970353,0,621,6713,2,1,8,8,400,1,4602965279,4558264140,941800594,353810172,353810172,2,1,15567647568,73389,73389,8,8,8,353810172,12,3,258207,6060858,2619811,35133,4602965279,5975003,53205865,8819
