timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
111405.33,253952,62,37536,2472245670,113,2,621,1420609,13,6755,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,6849022,27748718,766767274,0,621,639,2,1,8,8,8692,1,774232430,725985512,98720926,55864112,55880496,2,1,2458020928,73389,73389,8,8,8,55864112,10,3,229382,1482203,1009553,5918,774232430,1420609,5840307,8888
112441.26,253952,62,38863,2559742846,113,2,621,1483133,13,7120,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,7374726,30194576,792092989,0,621,639,2,1,8,8,8692,1,799529326,751487859,113112867,57858642,57875026,2,1,2545780248,73389,73389,8,8,8,57858642,10,3,232995,1544992,1033439,6111,799529326,1483133,6342154,8888
113481.74,253952,62,40149,2644287594,113,2,621,1544778,13,7471,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,7630193,31408208,817418263,0,621,639,2,1,8,8,8692,1,824695150,776284812,115689765,59781603,59797987,2,1,2630390532,73389,73389,8,8,8,59781603,10,3,233245,1606894,1048792,6303,824695150,1544778,6582297,8888
114531.98,253952,62,41436,2729163330,113,2,621,1637968,13,7822,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,7807755,32286617,842480774,0,621,639,2,1,8,8,8692,1,849205614,801072573,116746213,61710597,61726981,2,1,2715266268,73389,73389,8,8,8,61710597,10,3,233316,1700331,1058735,6490,849205614,1637968,6749944,8888
115546.96,253952,62,42647,2808792878,114,2,621,1689176,13,8204,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,8943170,37777624,864789743,0,621,639,2,1,8,8,8692,1,872274286,824375261,146717522,63518870,63535254,2,1,2794830280,73389,73389,8,8,8,63518870,10,3,237791,1751789,1094528,6666,872274286,1689176,7849593,8888
116583.52,253952,62,44144,2907431174,114,2,621,1709412,13,8612,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,9531734,40137644,894575699,0,621,639,2,1,8,8,8692,1,901241198,853190834,164309705,65759160,65775544,2,1,2893403040,73389,73389,8,8,8,65759160,10,3,241181,1772314,1119864,6887,901241198,1709412,8412856,8888
117616.41,253952,62,45835,3018783454,114,2,621,1765890,13,9064,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,9913290,41866834,926719270,0,621,639,2,1,8,8,8692,1,933484910,885776709,173083084,68294362,68310746,2,1,3004951928,73389,73389,8,8,8,68294362,10,3,244987,1829104,1144217,7133,933484910,1765890,8770096,8888
118655.69,253952,62,47822,3150065294,115,2,621,1830469,13,9651,71,5627,131035907,1244,1,0,70,70,8,10581,621,0,0,0,10292981,43360598,964763598,0,621,639,2,1,8,8,8692,1,972151150,924169298,181514566,71275806,71292190,2,1,3136135464,73389,73389,8,8,8,71275806,10,3,248224,1894049,1171697,7428,972151150,1830469,9122340,8888
119678.73,253952,62,49393,3253553254,115,2,621,1881174,13,10099,71,5627,131035907,1244,1,0,70,70,8,10581,621,0,0,0,10916898,46173673,994549224,0,621,639,2,1,8,8,8692,1,1002035566,954450961,200850912,73614400,73630784,2,1,3239033600,73389,73389,8,8,8,73614400,10,3,252153,1945067,1201522,7656,1002035566,1881174,9716467,8888
120707.95,253952,62,51406,3386008126,115,2,621,1990756,13,10648,71,5627,131035907,1244,1,0,70,70,8,10581,621,0,0,0,11651686,49248240,1032856873,0,621,639,2,1,8,8,8692,1,1040963950,993171951,229647026,76624738,76641122,2,1,3371488472,73389,73389,8,8,8,76624738,10,3,253553,2055040,1235742,7953,1040963950,1990756,10417071,8888
121735.41,253952,62,53174,3502672130,115,2,621,2108798,13,11131,71,5627,131035907,1244,1,0,70,70,8,10581,621,0,0,0,12078294,50841434,1067362354,0,621,639,2,1,8,8,8692,1,1075173742,1027286905,235570341,79280661,79297045,2,1,3488349084,73389,73389,8,8,8,79280661,10,3,256017,2173428,1267177,8214,1075173742,2108798,10812278,8888
122764.60,253952,62,54699,3603145434,116,2,621,2161049,13,11605,71,5627,131301359,1244,1,0,70,70,8,10581,621,0,0,0,12373660,51983482,1097409278,0,621,639,2,1,8,8,8692,1,1104402798,1056612855,239921688,81578295,81594679,2,1,3589444980,73389,73389,8,8,8,81578295,10,3,259783,2225990,1292298,8437,1104402798,2161049,11082553,8888
123796.76,253952,62,56471,3720071582,116,2,621,2236460,13,12086,71,5627,131301359,1244,1,0,70,70,8,10581,621,0,0,0,12638341,53050678,1131783538,0,621,639,2,1,8,8,8692,1,1138612590,1090786207,242759036,84234218,84250602,2,1,3706305592,73389,73389,8,8,8,84234218,10,3,259832,2301774,1306202,8698,1138612590,2236460,11333369,8888
124825.77,253952,62,58621,3861619513,116,2,621,2344732,13,12673,71,5627,131301359,1244,1,0,70,70,8,10581,621,0,0,0,13803617,57296087,1172452907,0,621,639,2,1,8,8,8692,1,1179900270,1132070207,263831767,87441164,87463581,2,1,3847411216,73389,73389,8,8,8,87441164,10,3,261115,2410499,1347232,9013,1179900270,2344732,12457653,8888
125845.43,253952,62,60489,3984457038,117,2,621,2428852,13,13237,71,5627,131301359,1244,1,0,70,70,8,10581,621,0,0,0,14065080,58091777,1208141559,0,621,639,2,1,8,8,8692,1,1215682926,1168016746,266339646,90238510,90254894,2,1,3970494440,73389,73389,8,8,8,90238510,10,3,261835,2494996,1372136,9286,1215682926,2428852,12694251,8888
126866.12,253952,62,62842,4139725054,117,2,621,2517706,13,13877,71,5627,131301359,1244,1,0,70,70,8,10581,621,0,0,0,14370688,58809152,1253397437,0,621,639,2,1,8,8,8692,1,1261164910,1213386462,267362041,93768818,93785202,2,1,4125827992,73389,73389,8,8,8,93768818,10,3,261840,2584318,1403656,9633,1261164910,2517706,12968377,8888
127898.64,253952,62,66220,4362420856,118,2,621,2589402,13,14820,71,5627,131554745,1244,1,0,70,70,8,10581,621,0,0,0,15783286,62784568,1317267478,0,621,639,2,1,8,8,8692,1,1326438766,1278506192,323567830,98837063,98837063,2,1,4348830772,73389,73389,8,8,8,98837063,10,3,267143,2656582,1448957,10131,1326438766,2589402,14335715,8888
128915.28,253952,62,69187,4557927976,118,2,621,2633618,13,15664,71,5627,131554745,1244,1,0,70,70,8,10581,621,0,0,0,16731167,64979172,1375500351,0,621,639,2,1,8,8,8692,1,1383586158,1335648014,340068416,103268491,103284875,2,1,4543813604,73389,73389,8,8,8,103268491,10,3,272819,2701393,1484526,10567,1383586158,2633618,15248069,8888
129940.27,253952,62,72607,4783388356,119,2,621,2714315,13,16653,71,5627,131820197,1244,1,0,70,70,8,10581,621,0,0,0,18059034,67684486,1440944267,0,621,639,2,1,8,8,8692,1,1449253230,1401613006,359661679,108402272,108402272,2,1,4769699968,73389,73389,8,8,8,108402272,10,3,280617,2782776,1543652,11068,1449253230,2714315,16516850,8888
130964.57,253952,62,76090,5012712052,119,2,621,2814130,13,17600,71,5627,131820197,1244,1,0,70,70,8,10581,621,0,0,0,18939517,69391988,1508222505,0,621,639,2,1,8,8,8692,1,1516099950,1468627364,368949779,113603748,113620132,2,1,4998564912,73389,73389,8,8,8,113603748,10,3,285585,2883299,1598272,11578,1516099950,2814130,17342751,8888
131967.81,253952,62,85663,5643285670,121,2,621,2873898,13,20266,71,5627,131820197,1244,1,0,70,70,8,10581,621,0,0,0,21156687,71189446,1691796948,0,621,639,2,1,8,8,8692,1,1700649326,1653055035,383497186,127938416,127938416,2,1,5629290304,73389,73389,8,8,8,127938416,10,3,295149,2944028,1682556,12986,1700649326,2873898,19475718,8888
132971.42,253952,62,97002,6390645606,123,2,621,2910340,13,23430,71,5627,132085649,1244,1,0,70,70,8,10581,621,0,0,0,23252738,71189449,1910380282,0,621,639,2,1,8,8,8692,1,1919015278,1871471600,386590405,144926848,144926848,2,1,6376781312,73389,73389,8,8,8,144926848,10,3,297416,2981413,1723671,14652,1919015278,2910340,21530743,8888
133974.79,253952,62,108177,7126726734,124,2,621,2947086,13,26572,71,5627,132351101,1244,1,0,70,70,8,10581,621,0,0,0,25602936,71814729,2127128485,0,621,639,2,1,8,8,8692,1,2134104430,2086613928,394510654,161657454,161657454,2,1,7112927976,73389,73389,8,8,8,161657454,10,3,303997,3019148,1790732,16293,2134104430,2947086,23813964,8888
134978.13,253952,62,119038,7842760462,126,2,621,2988503,13,29647,71,5627,132882005,1244,1,0,70,70,8,10581,621,0,0,0,27834426,72185758,2333912817,0,621,639,2,1,8,8,8692,1,2343033198,2295893566,406539894,177924990,177941374,2,1,7828699560,73389,73389,8,8,8,177924990,10,3,306689,3061661,1861671,17887,2343033198,2988503,25974598,8888
135981.38,253952,62,129760,8548888330,128,2,621,3030670,13,32680,71,5627,132882005,1244,1,0,70,70,8,10581,621,0,0,0,29883492,72185777,2540564244,0,621,639,2,1,8,8,8692,1,2549078382,2502349996,409485701,193969627,193986011,2,1,8534663588,73389,73389,8,8,8,193969627,10,3,307608,3104886,1910449,19459,2549078382,3030670,27974971,8888
136984.71,253952,62,140774,9274949066,130,2,621,3069261,13,35794,71,5627,133412909,1244,1,0,70,70,8,10581,621,0,0,0,32023285,72185834,2753116345,0,621,639,2,1,8,8,8692,1,2761677166,2714609326,414394255,210482923,210482923,2,1,9261248612,73389,73389,8,8,8,210482923,10,3,310454,3144505,1962725,21081,2761677166,3069261,30062572,8888
137988.03,253952,62,152064,10018566834,131,2,621,3107570,13,38929,71,5627,133412909,1244,1,0,70,70,8,10581,621,0,0,0,34094051,72186378,2971177009,0,621,639,2,1,8,8,8692,1,2978732398,2932006323,417404376,227377369,227393753,2,1,10004604236,73389,73389,8,8,8,227377369,10,3,311079,3183791,2006915,22737,2978732398,3107570,32089236,8888
138991.39,253952,62,162679,10718052722,134,2,621,3141809,13,41983,71,5627,134209265,1244,1,0,70,70,8,10581,621,0,0,0,36137457,72186520,3172574509,0,621,639,2,1,8,8,8692,1,3182013727,3136506479,424871123,243276265,243276265,2,1,10704155660,73389,73389,8,8,8,243276265,10,3,315558,3218988,2070038,24292,3182013727,3141809,34069611,8888
139994.13,253952,62,173866,11454920282,135,2,621,3176471,13,45088,71,5627,134209265,1244,1,0,70,70,8,10581,621,0,0,0,38181166,72186770,3388273518,0,621,639,2,1,8,8,8692,1,3397233951,3351933463,427788510,260023255,260023255,2,1,11441023220,73389,73389,8,8,8,260023255,10,3,319818,3254582,2112954,25934,3397233951,3176471,36070486,8888
140997.23,253952,62,184752,12172592410,137,2,621,3207589,13,48169,71,5627,134740169,1244,1,0,70,70,8,10581,621,0,0,0,40266423,72187086,3597548426,0,621,639,2,1,8,8,8692,1,3607080223,3561697820,433192050,276323559,276339943,2,1,12158236596,73389,73389,8,8,8,276323559,10,3,323475,3286655,2162231,27535,3607080223,3207589,38106551,8888
142000.51,253952,62,195825,12901723414,139,2,621,3239211,13,51298,71,5627,134740169,1244,1,0,70,70,8,10581,621,0,0,0,42287934,72187222,3811281721,0,621,639,2,1,8,8,8692,1,3820072223,3774792278,441568193,292908868,292908868,2,1,12887990192,73389,73389,8,8,8,292908868,10,3,328400,3319186,2213445,29160,3820072223,3239211,40076940,8888
143003.66,253952,62,206977,13636828118,141,2,621,3273097,13,54451,71,5627,135271073,1244,1,0,70,70,8,10581,621,0,0,0,44327806,72188325,4025801152,0,621,639,2,1,8,8,8692,1,4034637087,3989699171,446996545,309602388,309618772,2,1,13622505072,73389,73389,8,8,8,309602388,10,3,333793,3354014,2270486,30797,4034637087,3273097,42059853,8888
144006.69,253952,62,217922,14358101418,143,2,621,3311326,13,57544,71,5627,135536525,1244,1,0,70,70,8,10581,621,0,0,0,46411328,72189176,4236386687,0,621,639,2,1,8,8,8692,1,4245531935,4200582251,452252706,326003155,326003155,2,1,14344138820,73389,73389,8,8,8,326003155,10,3,336229,3393250,2318277,32406,4245531935,3311326,44095669,8888
145009.71,253952,62,229391,15113981034,144,2,621,3344903,13,60727,71,5627,135801977,1244,1,0,70,70,8,10581,621,0,0,0,48432136,72189189,4459428575,0,621,639,2,1,8,8,8692,1,4466257183,4421538885,456956503,343180003,343180003,2,1,15099920132,73389,73389,8,8,8,343180003,10,3,339090,3427718,2364855,34090,4466257183,3344903,46069991,8888
146012.67,253952,62,240701,15859174974,146,2,621,3376884,13,63923,71,5627,136067429,1244,1,0,70,70,8,10581,621,0,0,0,50463059,72189202,4676832975,0,621,639,2,1,8,8,8692,1,4683967775,4639364621,460056936,360121442,360121442,2,1,15845343448,73389,73389,8,8,8,360121442,10,3,342268,3460592,2411598,35751,4683967775,3376884,48054257,8888
147015.71,253952,62,251963,16601223186,148,2,621,3407730,13,67104,71,5627,136332881,1244,1,0,70,70,8,10581,621,0,0,0,52402007,72189225,4893582105,0,621,639,2,1,8,8,8692,1,4900629791,4856385389,462974100,376980961,376980961,2,1,16587162284,73389,73389,8,8,8,376980961,10,3,345725,3492306,2455000,37404,4900629791,3407730,49948894,8888
148018.56,253952,62,263324,17349759462,150,2,621,3439009,13,70312,71,5627,136598333,1244,1,0,70,70,8,10581,621,0,0,0,54392217,72189243,5111641420,0,621,639,2,1,8,8,8692,1,5119520031,5075115542,465970279,393996128,393996128,2,1,17335108736,73389,73389,8,8,8,393979744,10,3,346058,3524485,2481011,39074,5119520031,3439009,51914181,8888
149021.41,253952,62,274480,18084860858,152,2,621,3473745,13,73465,71,5627,136863785,1244,1,0,70,70,8,10581,621,0,0,0,56482781,72189322,5327602476,0,621,639,2,1,8,8,8692,1,5334084895,5290019674,473463803,410691807,410708191,2,1,18070439508,73389,73389,8,8,8,410691807,10,3,350602,3560148,2536632,40711,5334084895,3473745,53949205,8888
150024.80,253952,62,285676,18822589727,154,2,621,3506120,13,76630,71,5627,137135270,1244,1,0,70,70,8,10581,621,0,0,0,58510539,72189359,5542777195,0,621,639,2,1,8,8,8692,1,5549829407,5505730427,477505882,427461214,427477598,2,1,18808293416,73389,73389,8,8,8,427461214,10,3,352544,3593413,2568956,42357,5549829407,3506120,55944731,8888
151027.77,253952,62,296638,19544610658,156,2,621,3543295,13,79726,71,5627,137660141,1244,1,0,70,70,8,10581,621,0,0,0,60566234,72189388,5751124416,0,621,639,2,1,8,8,8692,1,5759796679,5716769644,481094999,443878365,443878365,2,1,19530648060,73389,73389,8,8,8,443878365,10,3,354433,3631606,2619631,43963,5759796679,3543295,57949840,8888
152030.89,253952,62,307605,20267325750,158,2,621,3579120,13,82825,71,5627,137925593,1244,1,0,70,70,8,10581,621,0,0,0,62621094,72189435,5964200817,0,621,639,2,1,8,8,8692,1,5971215815,5928041392,484143050,460303708,460303708,2,1,20253363152,73389,73389,8,8,8,460303708,10,3,355201,3668387,2662528,45576,5971215815,3579120,59961883,8888
153033.76,253952,62,318626,20993314334,160,2,621,3614670,13,85942,71,5627,138191045,1244,1,0,70,70,8,10581,621,0,0,0,64624944,72189549,6176490834,0,621,639,2,1,8,8,8692,1,6183159239,6140271379,489395750,476788554,476804938,2,1,20978696376,73389,73389,8,8,8,476788554,10,3,358827,3704900,2722572,47193,6183159239,3614670,61905778,8888
154036.68,253952,62,329630,21718293726,162,2,621,3652147,13,89053,71,5627,138721949,1244,1,0,70,70,8,10581,621,0,0,0,66690835,72189558,6385746059,0,621,639,2,1,8,8,8692,1,6394165008,6352146016,492445986,493269082,493285466,2,1,21703839608,73389,73389,8,8,8,493269082,10,3,359854,3743375,2771831,48808,6394165008,3652147,63922491,8888
155039.45,253952,62,340658,22445006514,164,2,621,3688164,13,92167,71,5627,138987401,1244,1,0,70,70,8,10581,621,0,0,0,68710473,72189586,6598953491,0,621,639,2,1,8,8,8692,1,6606632720,6564639884,495417422,509762120,509784537,2,1,22429533280,73389,73389,8,8,8,509762120,10,3,360350,3780353,2819017,50429,6606632720,3688164,65894022,8888
156041.97,253952,62,351560,23162672026,167,2,621,3724902,13,95308,71,5627,139518305,1244,1,0,70,70,8,10581,621,0,0,0,70747032,72189626,6808428201,0,621,639,2,1,8,8,8692,1,6815630306,6774457809,501507732,526105543,526121927,2,1,23148643892,73389,73389,8,8,8,526105543,10,3,365169,3818013,2873351,52028,6815630306,3724902,67877335,8888
157043.67,253952,62,362919,23911077230,169,2,621,3762827,13,98515,71,5627,139783757,1244,1,0,70,70,8,10581,621,0,0,0,72701218,72189633,7027143228,0,621,639,2,1,8,8,8692,1,7033603042,6993192236,504480796,543104326,543120710,2,1,23896590344,73389,73389,8,8,8,543104326,10,3,366183,3856765,2914707,53691,7033603042,3762827,69790250,8888
158046.40,253952,62,374144,24650966062,171,2,621,3798955,13,101722,71,5627,140302595,1244,1,0,70,70,8,10581,621,0,0,0,74691832,72189937,7241981263,0,621,639,2,1,8,8,8692,1,7249795649,7209475721,522707814,559920726,559937110,2,1,24636511944,73389,73389,8,8,8,559920726,10,3,375985,3893695,2969694,55341,7249795649,3798955,71725969,8888
159049.05,253952,62,385795,25418507778,173,2,621,3830919,13,105007,71,5627,140568047,1244,1,0,70,70,8,10581,621,0,0,0,76681851,72190032,7467776233,0,621,639,2,1,8,8,8692,1,7473797697,7433786281,525763080,577378261,577378261,2,1,25404643484,73389,73389,8,8,8,577378261,10,3,379481,3926489,3011164,57050,7473797697,3830919,73674612,8888
160051.73,253952,62,397520,26191430062,175,2,621,3864756,13,108316,71,5627,141098951,1244,1,0,70,70,8,10581,621,0,0,0,78670284,72190805,7693829894,0,621,639,2,1,8,8,8692,1,7699503681,7659731909,528769035,594929782,594946166,2,1,26176910408,73389,73389,8,8,8,594929782,10,3,380713,3961087,3069015,58772,7699503681,3864756,75605280,8888
160409.30,253952,62,400935,26415466446,178,2,621,3874762,13,109410,78,5627,148439424,1251,1,1039,77,77,70,10599,621,319,1039,58,81767581,78050925,7767441396,8,621,639,2,1,8,8,8692,1,7763456807,7725180361,3794831951,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,10,3,393477,3971331,3148914,59276,7763456807,3874762,78622757,8888
