timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
56479.37,59,262144,64,67783,4466165632,119,1,603,1687886,35,15363,68,129035202,1208,1,67,10418,2803555,3,666860,603,41566,87244720,28921781,97995066,1362656053,603,4766,2,1,4,4,756,1,1356292108,1309108691,463658377,101148922,101165306,2,1,4450552568,73389,73389,4,4,4,101148922,26,3,219136,48589365,2712706,51142,10350,1356292108,1636744,26206010,16086
61631.70,59,262144,64,71978,4742681864,120,1,603,1753743,35,16557,68,129300654,1208,1,67,11038,2968938,3,666860,603,44050,105349936,30917858,105359254,1444308428,603,4766,2,1,4,4,756,1,1437556748,1389916171,535338793,107443808,107460192,2,1,4727527552,73389,73389,4,4,4,107443808,26,3,221321,51907779,2778841,53443,10970,1437556748,1700300,28136193,16086
66673.90,59,262144,64,76081,5012903332,121,1,603,1815021,35,17690,68,129300654,1208,1,67,11640,3273229,3,666860,603,46458,123437504,33440151,112419865,1523465790,603,4766,2,1,4,4,756,1,1516331020,1468926093,609769462,113577013,113593397,2,1,4997388572,73389,73389,4,4,4,113577013,26,3,232860,55141213,2901762,55668,11572,1516331020,1759353,30535861,16086
72259.34,59,262144,64,80362,5295055660,121,1,603,1887233,35,18905,68,129300654,1208,1,67,12268,3537799,3,666860,603,48978,124636928,35253452,118849848,1606435849,603,4766,2,1,4,4,756,1,1598906380,1551435264,693394859,119986587,120002971,2,1,5279409828,73389,73389,4,4,4,119986587,26,3,235586,58595348,2968045,58227,12201,1598906380,1829006,32283096,16086
77472.60,59,262144,64,84786,5586579636,122,1,603,1960261,35,20167,68,129566106,1208,1,67,12918,3681084,3,666860,603,51574,125871936,36898894,125014820,1691911159,603,4766,2,1,4,4,756,1,1683972108,1636652543,726161982,126625537,126641921,2,1,5571523628,73389,73389,4,4,4,126625537,26,3,244666,62065791,3071151,60624,12850,1683972108,1899637,33825224,16086
82846.52,59,262144,64,88387,5823902032,123,1,603,2061225,35,21203,68,129566106,1208,1,67,13446,3844083,3,666860,603,53686,126872064,39479343,135039600,1761456925,603,4766,2,1,4,4,756,1,1753178124,1705992211,774821228,132005078,132021462,2,1,5808223432,73389,73389,4,4,4,132005078,26,3,251123,65319655,3191885,106218,13378,1753178124,1955007,36284982,16086
87880.40,59,262144,64,92810,6115360472,123,1,603,2133670,35,22409,68,129566106,1208,1,67,14096,3929018,3,666860,603,56286,128108096,40963887,141050994,1847066833,603,4766,2,1,4,4,756,1,1838374924,1791167436,793218145,138644028,138644028,2,1,6099616336,73389,73389,4,4,4,138627644,26,3,254142,68446062,3256047,110644,14028,1838374924,2023026,37705232,16086
92965.62,59,262144,64,98204,6470719820,124,1,603,2222148,35,23936,68,129831558,1208,1,67,14890,4028804,3,666860,603,59462,129616000,44380556,149785670,1951623963,603,4766,2,1,4,4,756,1,1942446092,1895074233,890312722,146714419,146730803,2,1,6455434436,73389,73389,4,4,4,146714419,26,3,262192,71319606,3368998,113543,14822,1942446092,2108605,41009058,16086
98002.39,59,262144,64,104937,6914628228,125,1,603,2330747,35,25826,68,130097010,1208,1,67,15877,4164936,3,666860,603,63410,131478208,47410112,156278560,2081584130,603,4766,2,1,4,4,756,1,2071814156,2024805226,921994410,156809949,156809949,2,1,6898916860,73389,73389,4,4,4,156793565,26,3,265222,73978626,3479281,117390,15809,2071814156,2213357,43927526,16086
103017.27,59,262144,64,122499,8071676856,128,1,603,2577720,35,30728,68,130362462,1208,1,67,18457,4193997,3,666860,603,73742,187078088,57072207,162843961,2421159857,603,4766,2,1,4,4,756,1,2409979916,2363006822,1002473808,183097572,183113956,2,1,8056293168,73389,73389,4,4,4,183097572,26,3,288768,75485610,3820130,132326,18389,2409979916,2445394,53249867,16086
108029.92,59,262144,64,144676,9533032288,132,2,603,2861996,35,37015,68,131158818,1208,1,67,21716,4198958,3,666860,603,86778,193056840,66998837,163745737,2850051917,603,4766,2,1,4,4,756,1,2837143564,2790238233,1026262041,216308706,216325090,2,1,9517583064,73389,73389,4,4,4,216308706,26,3,295685,76283050,4104776,140021,21648,2837143564,2721975,62891592,16086
113037.81,59,262144,64,167847,11059808022,136,2,603,3177618,35,43532,68,131689722,1208,1,67,25120,4208834,3,666860,603,100398,216576104,78540592,164632092,3298053289,603,4766,2,1,4,4,756,1,3283312652,3236538772,1071746066,251016817,251016817,2,1,11044739948,73389,73389,4,4,4,251016817,26,3,320460,77115178,4510210,148702,25052,3283312652,3028916,74028507,16086
118046.52,59,262144,64,191371,12609181610,140,2,603,3486523,35,50222,68,132220626,1208,1,67,28572,4214755,3,666860,603,114206,222850216,88531540,165062034,3751770709,603,4766,2,1,4,4,756,1,3735180830,3689384759,1098083352,286232832,286232832,2,1,12593523712,73389,73389,4,4,4,286216448,26,3,336480,77877348,4793966,156623,28504,3735180830,3329900,83736929,16086
123055.15,59,262144,64,215223,14180840746,144,2,603,3823331,35,56898,68,132751530,1208,1,67,32077,4219877,3,666860,603,128226,229201832,99475228,165512601,4213067862,603,4766,2,1,4,4,756,1,4194588190,4148872945,1131158029,321946400,321962784,2,1,14165641600,73389,73389,4,4,4,321946400,26,3,354710,78673239,5104437,164992,32009,4194588190,3658339,94369492,16086
128063.32,59,262144,64,239853,15803752342,149,3,603,4169049,35,63886,68,133547886,1208,1,67,35695,4225539,3,666860,603,142702,252769072,109840303,165890675,4689225451,603,4766,2,1,4,4,756,1,4668806686,4623241442,1155505310,358821073,358837457,2,1,15788127212,73389,73389,4,4,4,358821073,26,3,376452,79479490,5452512,173499,35627,4668806686,3995550,104386285,16086
133069.89,59,262144,64,264274,17413232366,153,3,603,4496113,35,70779,68,134344242,1208,1,67,39285,4229800,3,666860,603,157062,259267056,120876949,166196351,5161655332,603,4766,2,1,4,4,756,1,5139355166,5093746902,1180259359,395415059,395415059,2,1,17397276248,73389,73389,4,4,4,395392642,26,3,390705,80240899,5690078,181445,39217,5139355166,4314668,115185612,16086
138077.35,59,262144,64,290619,19149069106,157,3,603,4845917,35,78167,68,134875146,1208,1,67,43155,4233896,3,666860,603,172546,283055064,131612692,166338698,5670965229,603,4766,2,1,4,4,756,1,5646603806,5601181362,1219185019,434865894,434865894,2,1,19133378440,73389,73389,4,4,4,434849510,26,3,420972,81022324,5984479,190103,43087,5646603806,4655814,125627680,16086
143084.53,59,262144,64,318097,20959713170,162,3,603,5181402,35,85937,68,135671502,1208,1,67,47190,4237262,3,666860,603,188690,307492304,141946129,166424575,6202054525,603,4766,2,1,4,4,756,1,6175479326,6130454015,1255660610,476008155,476024539,2,1,20944358820,73389,73389,4,4,4,476008155,26,3,436676,81770273,6219737,199159,47122,6175479326,4982243,135725848,16086
148091.50,59,262144,64,345753,22781474222,167,3,603,5535486,35,93749,68,136467858,1208,1,67,51250,4240848,3,666860,603,204934,331560240,152267294,166474777,6735770074,603,4766,2,1,4,4,756,1,6707029804,6662996989,1279687346,517420752,517420752,2,1,22765792192,73389,73389,4,4,4,517404368,26,3,449019,82540830,6427755,208058,51182,6707029804,5327428,145838249,16086
153097.20,59,262144,64,374230,24657842136,172,3,603,5909241,35,101771,68,136998762,1208,1,67,55435,4243928,3,666860,603,221674,339067440,162661264,166513632,7286547652,603,4766,2,1,4,4,756,1,7255566124,7211542068,1304320811,560059990,560059990,2,1,24642639560,73389,73389,4,4,4,560059990,26,3,470333,83334114,6720066,216696,55367,7255566124,5692545,155939904,16086
