timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55137.65,26,262144,64,221369,14586014070,145,8,603,3097407,36,30,58676,70,172,133016982,1208,1,69,32982,525542,4,902,603,131868,316231672,76783706,47678440,4330808370,567,1024,36,23,1,2,1,4,4,917,1,4313077278,4267285163,654701437,331159353,331159353,2,1,14571011532,73389,73389,4,4,4,331159353,45,1,3,417854,20473573,3612336,130142,32914,4313077278,2967265,73176966,6756
60172.19,26,262144,64,227820,15010910422,147,8,603,3213595,36,30,60508,70,172,133282434,1208,1,69,33927,629774,4,902,603,135656,318020664,81186538,54070277,4455501586,567,1024,36,23,1,2,1,4,4,917,1,4437202462,4391479502,696148221,340808641,340825025,2,1,14995580204,73389,73389,4,4,4,340808641,45,1,3,429133,23072017,3790913,134370,33860,4437202462,3079225,77401756,6756
65207.55,26,262144,64,233874,15410054434,148,8,603,3324306,36,30,62253,70,172,133547886,1208,1,69,34819,787068,4,902,603,139220,319708152,84177524,59712107,4572822857,567,1024,36,23,1,2,1,4,4,917,1,4553987614,4508175318,727993322,349890522,349906906,2,1,15395182968,73389,73389,4,4,4,349890522,45,1,3,436890,25777575,3938091,138280,34751,4553987614,3186026,80244874,6756
70217.71,26,262144,64,242229,15960262234,149,8,603,3467155,36,30,64586,70,172,133547886,1208,1,69,36045,845910,4,902,603,144124,322023800,88760935,66600856,4734229496,567,1024,36,23,1,2,1,4,4,917,1,4714681886,4668993917,788535509,362394500,362394500,2,1,15945358000,73389,73389,4,4,4,362394500,45,1,3,446546,28282375,4136395,143119,35977,4714681886,3324036,84630636,6756
75228.77,26,262144,64,258335,17021624994,152,8,603,3702100,36,30,69143,70,172,134078790,1208,1,69,38412,912529,4,902,603,153592,326369336,95410444,71729170,5045744987,567,1024,36,23,1,2,1,4,4,917,1,5024929310,4979238326,829559194,386505210,386521594,2,1,17006229240,73389,73389,4,4,4,386505210,45,1,3,468814,30103620,4374607,148988,38344,5024929310,3553112,91042920,6756
80241.25,26,262144,64,265611,17501119450,153,8,603,3839777,36,30,71159,70,172,134344242,1208,1,69,39482,977327,4,902,603,157880,345347488,99777979,78345921,5186746305,567,1024,36,23,1,2,1,4,4,917,1,5165307422,5119414248,949471383,397403556,397419940,2,1,17485756464,73389,73389,4,4,4,397403556,45,1,3,476420,32645205,4545846,154459,39415,5165307422,3685318,95239623,6756
85269.07,26,262144,64,271819,17910090554,154,8,603,3945608,36,30,72928,70,172,134344242,1208,1,69,40392,1163767,4,902,603,161520,347065376,103290490,85604389,5306565378,567,1024,36,23,1,2,1,4,4,917,1,5284582942,5238936709,981894792,406700588,406716972,2,1,17894825872,73389,73389,4,4,4,406700588,45,1,3,480666,35386048,4649756,158304,40325,5284582942,3787304,98647436,6756
91522.22,26,262144,64,279545,18419341662,155,8,603,4071368,36,30,75084,70,172,134609694,1208,1,69,41527,1288001,4,902,603,166060,349215264,107008061,94323531,5456009417,567,1024,36,23,1,2,1,4,4,917,1,5433349662,5387870480,1036568041,418268519,418284903,2,1,18403814836,73389,73389,4,4,4,418268519,45,1,3,489264,39108776,4831997,163369,41460,5433349662,3907999,102182791,6756
96558.83,26,262144,64,284405,18739439334,156,8,603,4149086,36,30,76474,70,172,134609694,1208,1,69,42241,1462089,4,902,603,168916,350571744,109547516,101890481,5550026856,567,1024,36,23,1,2,1,4,4,917,1,5526935070,5481471670,1086458837,425554637,425554637,2,1,18724404028,73389,73389,4,4,4,425554637,45,1,3,493045,42267580,4944843,166365,42174,5526935070,3982721,104609872,6756
101773.96,26,262144,64,289144,19051872602,157,8,603,4231172,36,30,77819,70,172,134875146,1208,1,69,42937,1583333,4,902,603,171696,351891296,111091148,108263392,5641554013,567,1024,36,23,1,2,1,4,4,917,1,5618030110,5572755515,1106245047,432658372,432658372,2,1,19036968368,73389,73389,4,4,4,432658372,45,1,3,493307,45649855,5004137,170475,42869,5618030110,4060697,106094293,6756
106849.69,26,262144,64,293660,19349160438,158,8,603,4307014,36,30,79106,70,172,134875146,1208,1,69,43602,1719077,4,902,603,174356,353150944,114429047,118314098,5729133785,567,1024,36,23,1,2,1,4,4,917,1,5705192990,5659757604,1196525751,439397785,439414169,2,1,19333502540,73389,73389,4,4,4,439397785,45,1,3,506821,48589016,5155725,173340,43534,5705192990,4133674,109280504,6756
111882.00,26,262144,64,299100,19707534442,158,8,603,4401007,36,30,80591,70,172,134875146,1208,1,69,44400,1898559,4,902,603,177552,354663968,117496113,126049877,5834347704,567,1024,36,23,1,2,1,4,4,917,1,5809919518,5764449578,1254806780,447550096,447566480,2,1,19692204224,73389,73389,4,4,4,447550096,45,1,3,514580,51383455,5277043,176829,44333,5809919518,4224178,112226292,6756
117126.86,26,262144,64,304418,20058178506,159,8,603,4498094,36,30,82094,70,172,135140598,1208,1,69,45182,2015387,4,902,603,180676,356143008,119899002,132603204,5937195403,567,1024,36,23,1,2,1,4,4,917,1,5912286750,5866952690,1300682884,455528216,455528216,2,1,20043241504,73389,73389,4,4,4,455528216,45,1,3,521748,54296880,5401662,180397,45114,5912286750,4317697,114504271,6756
122231.64,26,262144,64,308355,20317786450,160,8,603,4578938,36,30,83225,70,172,135406050,1208,1,69,45761,2147778,4,902,603,182992,357245088,122412837,140697368,6013449474,567,1024,36,23,1,2,1,4,4,917,1,5988177438,5942747587,1345873703,461421694,461438078,2,1,20302554536,73389,73389,4,4,4,461421694,45,1,3,529645,57267550,5527661,183036,45693,5988177438,4395902,116892567,6756
127432.98,26,262144,64,312641,20600025138,161,9,603,4653647,36,30,84443,70,172,135406050,1208,1,69,46390,2228516,4,902,603,185512,358445280,124871233,147790025,6096423476,567,1024,36,23,1,2,1,4,4,917,1,6070752798,6025313311,1385985059,467833427,467849811,2,1,20584670788,73389,73389,4,4,4,467833427,45,1,3,538997,60168547,5659445,185860,46323,6070752798,4467787,119219974,6756
132448.09,26,262144,64,317382,20912589478,162,9,603,4732269,36,30,85796,70,172,135671502,1208,1,69,47088,2404219,4,902,603,188300,359768800,127343388,155812762,6188207195,567,1024,36,23,1,2,1,4,4,917,1,6162109982,6116657789,1433482008,474937162,474953546,2,1,20897235128,73389,73389,4,4,4,474937162,45,1,3,550536,63648110,5767715,192029,47020,6162109982,4540240,121583781,6756
137524.22,26,262144,64,321651,21193431086,163,9,603,4806517,36,30,87013,70,172,135936954,1208,1,69,47711,2511451,4,902,603,190792,360949920,129129647,162157616,6269655735,567,1024,36,23,1,2,1,4,4,917,1,6243165996,6198763016,1498247548,481330352,481330352,2,1,21178535488,73389,73389,4,4,4,481330352,45,1,3,558139,66578174,5892046,194761,47643,6243165996,4611756,123245987,6756
142554.88,26,262144,64,326235,21495440822,163,9,603,4882116,36,30,88262,70,172,135936954,1208,1,69,48387,2610571,4,902,603,193496,362232160,132198612,170524530,6358682607,567,1024,36,23,1,2,1,4,4,917,1,6331770668,6287062046,1637179490,488182294,488198678,2,1,21480020936,73389,73389,4,4,4,488182294,45,1,3,574449,69454807,6040563,197620,48320,6331770668,4684496,126166987,6756
148322.83,26,262144,64,330576,21781259858,164,9,603,4955762,36,30,89495,70,172,135936954,1208,1,69,49020,2799020,4,902,603,196028,363433312,134411438,178227210,6442048593,567,1024,36,23,1,2,1,4,4,917,1,6414739244,6370616541,1672563590,494675947,494692331,2,1,21765741668,73389,73389,4,4,4,494675947,45,1,3,577516,72850072,6116296,200366,48952,6414739244,4755396,128303906,6756
153348.37,26,262144,64,334342,22029661146,165,10,603,5023191,36,30,90551,70,172,136202406,1208,1,69,49575,2955348,4,902,603,198248,364488544,135658079,184283478,6515146504,567,1024,36,23,1,2,1,4,4,917,1,6487484204,6443226990,1692182198,500331857,500331857,2,1,22014601708,73389,73389,4,4,4,500331857,45,1,3,586262,76235000,6235261,202992,49507,6487484204,4820199,129431226,6756
158696.89,26,262144,64,337636,22246598538,165,10,603,5087225,36,30,91481,70,172,136202406,1208,1,69,50059,3281856,4,902,603,200188,365414880,137848805,194585662,6579032307,567,1024,36,23,1,2,1,4,4,917,1,6551054124,6506594787,1748850577,505254805,505271189,2,1,22231211420,73389,73389,4,4,4,505254805,45,1,3,594665,79871529,6345758,205385,49992,6551054124,4881840,131511672,6756
163729.29,26,262144,64,341493,22500698150,166,10,603,5161329,36,30,92588,70,172,136202406,1208,1,69,50625,3412965,4,902,603,202448,366488224,139859164,201817241,6653445624,567,1024,36,23,1,2,1,4,4,917,1,6625109804,6580895989,1806878079,511027562,511043946,2,1,22485212728,73389,73389,4,4,4,511027562,45,1,3,600390,83120055,6457905,207993,50557,6625109804,4953336,133409812,6756
168769.47,26,262144,64,345206,22745360578,167,10,603,5228629,36,30,93656,70,172,136467858,1208,1,69,51169,3556509,4,902,603,204628,367524384,141771181,208928173,6725225199,567,1024,36,23,1,2,1,4,4,917,1,6696544044,6652354814,1858424808,516595519,516611903,2,1,22730202836,73389,73389,4,4,4,516595519,45,1,3,603501,86181770,6534263,210374,51102,6696544044,5018255,135245559,6756
173997.49,26,262144,64,349959,23058566558,167,10,603,5301245,36,30,94950,70,172,136467858,1208,1,69,51869,3793057,4,902,603,207424,368852256,144044246,217299696,6817280255,567,1024,36,23,1,2,1,4,4,917,1,6788163372,6743922738,2062749648,523709605,523732022,2,1,23043222620,73389,73389,4,4,4,523709605,45,1,3,613588,89425628,6651001,213425,51802,6788163372,5087822,137401969,6756
179478.46,26,262144,64,354583,23363342526,168,10,603,5387261,36,30,96212,70,172,136733310,1208,1,69,52548,3990078,4,902,603,210140,370141984,146383410,224709973,6906703112,567,1024,36,23,1,2,1,4,4,917,1,6877161260,6833140014,2190035998,530641308,530641308,2,1,23348217552,73389,73389,4,4,4,530641308,45,1,3,617843,92755408,6734473,216739,52480,6877161260,5170522,139656860,6756
184519.71,26,262144,64,358117,23596020624,169,10,603,5455176,36,30,97288,70,172,136733310,1208,1,69,53066,4098909,4,902,603,212216,387915368,148120684,233112892,6974928429,567,1024,36,23,1,2,1,4,4,917,1,6945056556,6901116161,2232117521,535932896,535932896,2,1,23581047424,73389,73389,4,4,4,535932896,45,1,3,623418,95882331,6822528,219171,52998,6945056556,5236005,141305643,6756
189595.82,26,262144,64,362165,23862903064,169,10,603,5525439,36,30,98390,70,172,136733310,1208,1,69,53661,4188234,4,902,603,214596,389046504,150050197,239532338,7053295523,567,1024,36,23,1,2,1,4,4,917,1,7023044396,6979111281,2263506799,541998406,541998406,2,1,23847929864,73389,73389,4,4,4,541998406,45,1,3,627726,98803492,6916327,221923,53593,7023044396,5303516,143141223,6756
194633.83,26,262144,64,366565,24152854176,170,11,603,5598942,36,30,99622,70,172,136998762,1208,1,69,54306,4384919,4,902,603,217184,407231856,151763910,246805660,7138374706,567,1024,36,23,1,2,1,4,4,917,1,7107716908,7063864983,2297891599,548588204,548588204,2,1,24137880976,73389,73389,4,4,4,548588204,45,1,3,634758,102090561,7004089,229125,54239,7107716908,5369817,144767527,6756
199663.81,26,262144,64,371314,24465677352,171,11,603,5669451,36,30,100994,70,172,136998762,1208,1,69,55006,4529164,4,902,603,219984,425509128,154751689,255405232,7230429845,567,1024,36,23,1,2,1,4,4,917,1,7199336236,7155399538,2335836341,555677714,555694098,2,1,24449819416,73389,73389,4,4,4,555677714,45,1,3,640776,105228720,7094280,232203,54938,7199336236,5437248,147665409,6756
204687.76,26,262144,64,377228,24855380872,172,11,603,5767095,36,30,102662,70,172,137264214,1208,1,69,55875,4621791,4,902,603,223464,427160712,157900621,264620331,7344991304,567,1024,36,23,1,2,1,4,4,917,1,7313368876,7269255296,2406541716,564540570,564556954,2,1,24839785080,73389,73389,4,4,4,564540570,45,1,3,653248,108285517,7223430,235694,55808,7313368876,5531401,150685768,6756
209700.38,26,262144,64,386156,25443671704,174,11,603,5906467,36,30,105118,70,172,137264214,1208,1,69,57187,4753361,4,902,603,228708,429622344,163053698,273867726,7517577374,567,1024,36,23,1,2,1,4,4,917,1,7485204268,7441215161,2527111723,577924966,577924966,2,1,25428698504,73389,73389,4,4,4,577924966,45,1,3,667957,110965806,7404350,240676,57119,7485204268,5665791,155657942,6756
