event,value,description
SelectedRows,12040532362,Number of rows SELECTed from all tables.
SelectedBytes,296578882238,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,12040531828,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,27601592084,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,31,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14480,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,491,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,1187408,Time spent loading marks
LoadedMarksFiles,69,Number of mark files loaded.
LoadedMarksCount,338957,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,1522808,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,437,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,12524,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,125,Time spent resetting task for Common executor.
ContextLock,86470,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,42042,Context lock wait time in microseconds
RWLockAcquiredReadLocks,662,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12421,Total time spent holding data parts lock in MergeTree tables
PartsLocks,340,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,6001,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,22,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,37585,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,1699171323,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,744922873,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,101349594,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,30796442,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,307612183,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,846247268,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,148574562239,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,1160,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,1136958,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,148537423884,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,53885033,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,54731138,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
AggregationPreallocatedElementsInHashTables,233943422,How many elements were preallocated in hash tables for aggregation.
AggregationHashTablesInitializedAsTwoLevel,1178,How many hash tables were inited as two-level for aggregation.
HashJoinPreallocatedElementsInHashTables,396047104,How many elements were preallocated in hash tables for hash join.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,16072,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1716,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3694,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,340,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1309,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,160,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1191921,Cumulative time spend in logging
InterfaceHTTPSendBytes,56613698,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,61893,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,116,Number of created server HTTP connections
HTTPServerConnectionsReused,34,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,34,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,111,Number of expired server HTTP connections.
HTTPServerConnectionsReset,111,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,2108,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,16709708,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,104181678,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,2235,Total number of CPU preemptions
ConcurrencyControlPreemptionResumes,2235,Total number of CPU preemption resumed
ConcurrencyControlUpscales,2108,Total number of CPU upscaling events
ConcurrencyControlDownscales,2108,Total number of CPU downscaling events
MemoryWorkerRun,43280,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,2820026,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,942229,Number of rows that passed the filter in the query
FilterTransformPassedBytes,259773601,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
