timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55230.69,262144,64,170611,11242252654,136,0,585,3278952,2,44448,60,67,21834,128417772,1172,1,66,25513,682345,2,22166,585,54309857,36802059,3348830963,585,216,2,1,2,2,317,1,3335168412,3289661314,560837148,255159366,255175750,2,1,11227012104,73389,73389,2,2,2,255159366,4,3,387618,20378482,4295634,95005,25447,3335168412,3183947,50010828,3724
60988.30,262144,64,174025,11467319818,136,0,585,3389007,2,45378,60,67,21834,128417772,1172,1,66,26012,861843,2,22166,585,56659168,42143057,3414564383,585,216,2,1,2,2,317,1,3400573340,3355437206,613628423,260268571,260284955,2,1,11451817124,73389,73389,2,2,2,260268571,4,3,390720,23067472,4401978,109842,25947,3400573340,3279165,52254549,3724
66092.59,262144,64,177243,11679276474,137,0,585,3474274,2,46311,60,67,21834,128417772,1172,1,66,26485,1122972,2,22166,585,57654948,46604649,3476875688,585,216,2,1,2,2,317,1,3462570396,3417381418,624119485,265085023,265101407,2,1,11663741012,73389,73389,2,2,2,265085023,4,3,391904,25682131,4472661,112801,26420,3462570396,3361473,53179340,3724
71174.51,262144,64,180412,11888021866,138,0,585,3547761,2,47229,60,67,21834,128417772,1172,1,66,26951,1485710,2,22166,585,59334433,51257902,3538260110,585,216,2,1,2,2,317,1,3523649948,3478403806,676537234,269827747,269844131,2,1,11872420868,73389,73389,2,2,2,269827747,4,3,395503,28824001,4573994,115932,26885,3523649948,3431829,54757697,3724
76200.29,262144,64,183498,12091593222,138,0,585,3617989,2,48069,60,67,21834,128683224,1172,1,66,27406,1774010,2,22166,585,60955558,56581610,3598195490,585,216,2,1,2,2,317,1,3583287708,3537952613,773169182,274461816,274461816,2,1,12076319904,73389,73389,2,2,2,274461816,4,3,397089,31454641,4656692,119069,27340,3583287708,3498920,56296219,3724
81239.85,262144,64,186481,12288148918,139,0,585,3683896,2,48939,60,67,21834,128948676,1172,1,66,27844,2231261,2,22166,585,62278696,61336682,3655891103,585,216,2,1,2,2,317,1,3640697244,3595347991,840217689,278934204,278934204,2,1,12273104976,73389,73389,2,2,2,278934204,4,3,398684,34305495,4737009,122419,27778,3640697244,3561477,57538724,3724
86273.49,262144,64,189781,12505479526,139,0,585,3759044,2,49841,60,67,21834,128948676,1172,1,66,28328,2503982,2,22166,585,63787060,65962683,3719647758,585,216,2,1,2,2,317,1,3704136092,3658888448,904621818,283873536,283873536,2,1,12490435584,73389,73389,2,2,2,283873536,4,3,399971,37083818,4803751,125135,28262,3704136092,3633909,58978977,3724
91310.59,262144,64,193266,12734946360,140,0,585,3848373,2,50847,60,67,21834,128948676,1172,1,66,28840,2687203,2,22166,585,65505312,71114485,3786957953,585,216,2,1,2,2,317,1,3771113884,3725983085,950060986,289083204,289099588,2,1,12719660976,73389,73389,2,2,2,289083204,4,3,401427,39723732,4881081,127985,28774,3771113884,3720388,60619102,3724
96396.97,262144,64,197113,12988643998,140,0,585,3955065,2,51894,60,67,21834,128948676,1172,1,66,29406,2846584,2,22166,585,67162623,75600963,3861774924,585,216,2,1,2,2,317,1,3845562780,3800129509,1059367910,294837418,294853802,2,1,12972846392,73389,73389,2,2,2,294837418,4,3,402660,42158585,4982389,131303,29341,3845562780,3823762,62176072,3724
101410.31,262144,64,202366,13334762770,141,1,585,4064771,2,53382,60,67,21834,129214128,1172,1,66,30173,3038647,2,22166,585,69797135,80180224,3962645137,585,216,2,1,2,2,317,1,3945963932,3901353110,1106056194,302711201,302727585,2,1,13319292844,73389,73389,2,2,2,302711201,4,3,409140,44508021,5117128,139421,30107,3945963932,3925350,64675782,3724
106446.34,262144,64,209095,13778143582,142,1,585,4213587,2,55270,60,67,21834,129214128,1172,1,66,31165,3114550,2,22166,585,73029373,84628732,4093263981,585,216,2,1,2,2,317,1,4075987356,4030949850,1261189126,312784314,312800698,2,1,13762509816,73389,73389,2,2,2,312784314,4,3,414906,46516225,5256799,143962,31099,4075987356,4069625,67767774,3724
111478.25,262144,64,216281,14251474346,144,1,585,4387356,2,57342,60,67,21834,129479580,1172,1,66,32220,3217599,2,22166,585,75891641,88756217,4232180159,585,216,2,1,2,2,317,1,4214268316,4169359552,1310813411,323545555,323561939,2,1,14236004420,73389,73389,2,2,2,323545555,4,3,419800,48523648,5431012,148948,32154,4214268316,4238408,70457108,3724
116509.19,262144,64,223713,14741216550,145,1,585,4565919,2,59421,60,67,21834,129745032,1172,1,66,33310,3260145,2,22166,585,79305028,93209957,4375834142,585,216,2,1,2,2,317,1,4357267868,4312519971,1374087043,334665085,334681469,2,1,14725263740,73389,73389,2,2,2,334665085,4,3,433161,50551294,5652944,154023,33245,4357267868,4411896,73648063,3724
121515.48,262144,64,267052,17597191186,152,1,585,4881133,2,71625,60,67,21834,130806840,1172,1,66,39680,3264799,2,22166,585,90675155,94379876,5213811152,585,216,2,1,2,2,317,1,5192065436,5147356396,1426308480,399590376,399590376,2,1,17581255648,73389,73389,2,2,2,399573992,4,3,454611,51348195,5953097,162124,39614,5192065436,4719009,84718325,3724
126521.33,262144,64,310993,20492570230,159,1,585,5200873,2,83993,60,67,21834,131868648,1172,1,66,46137,3267782,2,22166,585,101449174,94631525,6063360995,585,216,2,1,2,2,317,1,6038397340,5993859203,1458062308,465400403,465416787,2,1,20477617732,73389,73389,2,2,2,465400403,4,3,477760,52085355,6198365,170505,46071,6038397340,5030368,95247771,3724
131526.34,262144,64,356538,23493334470,167,1,585,5527307,2,96856,60,67,21834,132930456,1172,1,66,52824,3270426,2,22166,585,112418679,94781627,6943157723,585,216,2,1,2,2,317,1,6914875804,6871018262,1485431140,533600335,533616719,2,1,23478414740,73389,73389,2,2,2,533600335,4,3,489970,52813223,6413360,178761,52758,6914875804,5348546,106002562,3724
