event,value,description
SelectedPartsTotal,2964,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,2964,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,16732692,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,16732692,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,136808642855,Number of rows SELECTed from all tables.
SelectedBytes,6590816413247,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,136808641656,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,136808641656,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14493,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,10804,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,2689659,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,112993,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,16942,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,140,Time spent resetting task for Common executor.
ContextLock,412309,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,8890,Context lock wait time in microseconds
RWLockAcquiredReadLocks,814,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,1,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12599,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,7,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,294,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,42175,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,388,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,19378,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,234977655440,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,71040588569,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,2062059079,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,196840959,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,4323323990,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,73100827214,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,2033395883235,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,1872,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,16305415,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,2031641176901,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,1152812943,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,1180050083,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,101,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,22481,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2346,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4733,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,325,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1385,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,157,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1884392,Cumulative time spend in logging
InterfaceHTTPSendBytes,349539,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,249946,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,90,Number of created server HTTP connections
HTTPServerConnectionsReused,178,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,228,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,56,Number of expired server HTTP connections.
HTTPServerConnectionsReset,6,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,19088,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,8725634304,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,17758658461,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,389824,Total number of CPU preemptions
ConcurrencyControlUpscales,19088,Total number of CPU upscaling events
ConcurrencyControlDownscales,19088,Total number of CPU downscaling events
MemoryWorkerRun,19974,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,5962608,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
