timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
49741.64,5,253952,62,108219,7128981354,8,20922516,880,13,13,3120,749,8,576,945173,0,9,42569,1,15,258,116602928,1154,1,4,3997,134939971,8,539630456,14,27,6,4113,576,65711481,4127222,2276394656,576,522,0,3,1,14,14,4557,3,2275911083,2247402282,90523161,136897861,136914245,1,3,1,7118688804,73389,73389,14,14,14,136897865,7,3,146050,967938,1420012,18935,2275911083,945173,64293726,2784
51748.97,5,253952,62,120194,7917527480,8,23156652,967,13,13,3120,822,8,594,1054360,0,9,47274,1,15,258,119855639,1190,1,4,3997,149858000,8,599302792,14,27,6,4113,594,73118239,4418658,2527036448,594,557,0,3,1,14,14,4557,3,2525078265,2495923872,100432863,152059921,152059921,1,3,1,7907115924,73389,73389,14,14,14,152059925,7,3,154156,1079583,1547195,20994,2525078265,1054360,71573540,2850
53758.42,5,253952,62,132048,8699145228,8,25594489,1065,13,13,3120,897,8,594,1153841,0,9,51940,1,15,258,120169355,1190,1,4,3997,164639326,8,658436224,14,27,6,4113,594,80509147,4715161,2772077627,594,557,0,3,1,14,14,4557,3,2769774404,2741793142,110101524,167084432,167100816,1,3,1,8687538528,73389,73389,14,14,14,167068052,7,3,164924,1181496,1686808,23028,2769774404,1153841,78825083,2850
55771.79,7,253952,62,143873,9480056966,8,27714321,1152,13,13,3120,977,9,594,1258990,0,9,56619,1,15,258,120483071,1190,1,4,3997,179443041,8,717707552,14,27,6,4113,594,87929708,5077509,3018981259,594,557,0,3,1,14,14,4557,3,3016452161,2987637370,120068926,182116691,182116691,1,3,1,9469215996,73389,73389,14,14,14,182100311,7,3,189540,1289919,1840826,25074,3016452161,1258990,86091858,2850
57786.79,7,253952,62,157272,10361588508,8,29710525,1222,13,13,3120,1062,9,594,1372518,0,9,61884,1,15,258,120483071,1190,1,4,3997,196170635,8,784552928,14,27,6,4113,594,96034618,5373755,3295353178,594,557,0,3,1,14,14,4557,3,3292940316,3265209473,130727444,199066766,199066766,1,3,1,10350619896,73389,73389,14,14,14,199050386,7,3,195404,1406105,1991740,27365,3292940316,1372518,94046129,2850
59794.64,10,253952,62,170526,11235325252,8,31270843,1308,13,13,3120,1149,9,603,1485223,0,9,67098,1,15,258,122295263,1208,1,4,3997,212683351,8,850604188,14,27,6,4113,603,104140061,5785701,3572360672,603,577,0,3,1,14,14,4557,3,3569920809,3540472650,140819885,215831855,215848239,1,3,1,11222404524,73389,73389,14,14,14,215815475,7,3,206915,1521512,2157291,29663,3569920809,1485223,101986298,2882
61802.98,11,253952,62,183555,12093887470,8,32991447,1386,13,13,3120,1233,9,603,1593647,0,9,72240,1,15,258,122295263,1208,1,4,3997,228998773,8,915995092,14,27,6,4113,603,112203935,6051902,3841210322,603,577,0,3,1,14,14,4557,3,3838289176,3810649058,150859451,232363694,232363694,1,3,1,12082912120,73389,73389,14,14,14,232363698,7,3,214198,1632588,2297842,31888,3838289176,1593647,109909881,2882
63811.85,12,253952,62,197839,13033840682,8,33705602,1509,13,13,3120,1324,9,603,1718323,0,9,77858,1,15,258,122295263,1208,1,4,3997,246822330,8,987289320,14,27,6,4113,603,121369368,6252179,4139782003,603,577,0,3,1,14,14,4557,3,4137220596,4106929813,160900247,250409338,250425722,1,3,1,13021285608,73389,73389,14,14,14,250409342,7,3,221264,1760326,2462345,34362,4137220596,1718323,118911111,2882
65818.12,14,253952,62,212714,14013449302,8,34803933,1627,14,14,3120,1423,9,630,1847360,0,9,83709,1,15,258,127048964,1262,1,4,3997,265379512,8,1061388836,14,28,6,4113,630,130771255,6390927,4452251226,630,610,0,3,1,14,14,4557,3,4448623968,4415333844,171441106,269230619,269263387,1,3,1,13999992220,73389,73389,14,14,14,269230623,7,3,231855,1892496,2636790,36952,4448623968,1847360,128138853,2981
67828.20,19,253952,62,228779,15072595660,8,36067939,1743,15,15,3120,1520,9,630,1989672,0,9,90026,1,15,258,127048964,1262,1,4,3997,285431900,8,1141662956,14,29,6,4113,630,141180297,6777124,4787331270,630,610,0,3,1,14,14,4557,3,4783240527,4749024983,183551265,289601903,289601903,1,3,1,15059298988,73389,73389,14,14,14,289601907,7,3,240565,2038232,2812526,39717,4783240527,1989672,138372497,2981
69835.95,20,253952,62,245511,16176624932,9,39051658,1871,15,15,3120,1636,10,639,2134984,0,9,96641,1,15,258,128801355,1280,1,4,3997,306349343,8,1225332700,14,29,6,4113,639,151783957,7262658,5137378323,639,619,0,3,1,14,14,4557,3,5133997456,5096661778,197556810,310816519,310832903,1,3,1,16162459020,73389,73389,14,14,14,310816523,7,3,251623,2187019,2998195,42636,5133997456,2134984,148790840,3017
71844.75,23,253952,62,265995,17525676524,9,40623018,1995,17,17,3120,1766,11,639,2309341,0,9,104696,1,16,258,128801355,1280,1,4,3997,331938476,8,1327689236,15,31,6,4125,639,164442299,7442946,5565503212,639,619,0,3,1,14,14,4557,3,5561335418,5521789582,211943505,336739820,336756204,1,3,1,17510470672,73389,73389,14,14,14,336739824,7,3,269537,2365442,3256189,46159,5561335418,2309341,161191603,3017
73856.75,25,253952,62,287247,18924444398,11,44776816,2083,20,20,3120,1901,11,639,2465179,0,9,113053,1,17,258,128801355,1280,1,4,3997,358438528,8,1433624900,16,34,6,4544,639,175901036,7599489,6007701745,639,619,0,3,1,14,14,4557,3,6003767634,5962137324,227732604,363634095,363650479,1,3,1,18908121004,73389,73389,14,14,14,363617715,7,3,285703,2525102,3487333,49819,6003767634,2465179,172419603,3017
75870.23,28,253952,62,309948,20421274898,11,47330415,2230,20,20,3120,2048,11,639,2679397,0,9,121997,1,17,258,129115071,1280,1,4,3997,386807003,8,1547099032,16,34,6,4544,639,190760605,8340282,6484310685,639,619,0,3,1,14,14,4557,3,6478762728,6433597007,245882700,392407324,392440092,1,3,1,20405180880,73389,73389,14,14,14,392407328,7,3,304099,2744282,3776945,53758,6478762728,2679397,186990050,3017
77882.01,30,253952,62,333024,21942379748,11,50054402,2380,20,20,3120,2197,11,639,2889779,0,9,131078,1,17,258,129115071,1280,1,4,3997,415596185,8,1662255060,16,34,6,4544,639,205630863,8929452,6973835265,639,619,0,3,1,14,14,4557,3,6968846460,6913465859,264006351,421592312,421608696,1,3,1,21922800256,73389,73389,14,14,14,421592316,7,3,312819,2959540,4050360,57830,6968846460,2889779,201587366,3017
79893.53,33,253952,62,356019,23456459136,11,52898281,2556,21,21,3120,2342,11,648,3110738,0,9,140089,1,18,258,130614261,1298,1,4,3997,444179348,8,1776588040,17,35,6,4558,648,220617492,9698330,7472166498,648,629,0,3,1,14,14,4557,3,7466369629,7391931781,282532551,450581136,450613904,1,3,1,23430219104,73389,73389,14,14,14,450581140,7,3,320737,3185558,4304702,61967,7466369629,3110738,216320115,3046
81900.81,49,253952,62,385113,25373962590,11,55874817,2734,27,27,3120,2525,11,720,3420943,0,9,151473,1,24,258,143899357,1442,1,4,3997,480294035,8,1921046804,23,41,6,4890,720,240895832,10727881,8117711765,720,723,0,3,1,14,14,4557,3,8112341015,7999351600,306797451,487226433,487259201,1,3,1,25334922580,73389,73389,14,14,14,487210053,7,3,358617,3503069,4755533,67321,8112341015,3420943,236161524,3386
83914.90,69,253952,62,430951,28391963964,11,58306003,2976,28,28,3120,2820,12,1158,3981920,18,9,169338,1,25,258,218300226,2317,1,4,3997,536917809,8,2147283504,24,42,6,5972,1158,271458239,11765195,9162736091,1140,1316,18,3,1,14,14,4557,3,9158205894,8957231022,340800200,544756951,544789719,1,3,1,28327361484,73389,73389,14,14,14,544756955,7,3,381693,4075792,5463015,76017,9158205894,3981920,266004413,5307
