timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
46943.50,34,253952,62,150663,9926165392,3,18291320,0,991,8,8,2637,1020,6,603,1173513,0,26,59281,3,14,0,4753,121982638,1208,1,0,4,5682,187906280,8,751625120,13,22,18,7,4944,603,0,0,73769296,3310079,3167825669,0,603,533,0,3,1,14,14,6206,0,3,3165653905,3128927191,95162857,190637642,190654026,1,3,1,0,9913157416,73389,73389,14,14,14,190637646,7,1,3,178809,1201332,1658324,26324,3165653905,1173513,72113977,1904
48951.96,38,253952,62,164765,10853510550,4,20633886,0,1078,8,8,2637,1107,6,630,1297843,0,26,64809,3,14,0,4753,127359130,1262,1,0,4,5682,205414526,8,821658104,13,22,18,7,4944,630,0,0,81051586,3562217,3473881398,0,630,561,0,3,1,14,14,6206,0,3,3471003373,3421889841,105025991,208410791,208410791,1,3,1,0,10837361164,73389,73389,14,14,14,208410795,7,1,3,185361,1328258,1794483,28858,3471003373,1297843,79260391,1999
50959.92,41,253952,62,179418,11818865212,4,22078561,0,1174,9,9,2637,1205,6,630,1418413,0,26,70537,3,14,0,4753,127359130,1262,1,0,4,5682,223618545,8,894344772,13,23,18,7,4944,630,0,0,88478897,4046972,3798437227,0,630,561,0,3,1,14,14,6206,0,3,3795059584,3727508545,113904236,226873783,226873783,1,3,1,0,11797436748,73389,73389,14,14,14,226873787,7,1,3,190771,1451495,1934489,31560,3795059584,1418413,86547994,1999
52972.46,47,253952,62,194158,12790886786,4,24248851,0,1269,9,9,2637,1301,7,630,1537780,0,26,76317,3,14,0,4753,127359130,1262,1,0,4,5682,241899254,8,967597016,13,23,18,7,4944,630,0,0,95866603,4309018,4127739219,0,630,561,0,3,1,14,14,6206,0,3,4124463406,4035110025,123930721,245430761,245447145,1,3,1,0,12761547636,73389,73389,14,14,14,245414381,7,1,3,194844,1573627,2073707,34308,4124463406,1537780,93796775,1999
54982.88,49,253952,62,209125,13777109336,4,26858553,0,1359,9,9,2637,1392,7,639,1658995,0,26,82178,3,14,0,4753,128856972,1280,1,0,4,5682,260488638,8,1041954552,13,23,18,7,4944,639,0,0,103302610,4529728,4461925368,0,639,573,0,3,1,14,14,6206,0,3,4458370189,4347363892,134188696,264284810,264317578,1,3,1,0,13742810152,73389,73389,14,14,14,264284814,7,1,3,206341,1697493,2233510,37078,4458370189,1658995,101073290,2031
56993.44,51,253952,62,224579,14794994532,4,28964484,0,1428,9,9,2637,1493,8,675,1777204,0,26,88236,3,14,0,4753,135491514,1352,1,0,4,5682,279701590,8,1118806360,13,23,18,7,4944,675,0,0,111105574,4698306,4803160059,0,675,612,0,3,1,14,14,6206,0,3,4799398145,4669770271,144260157,283755418,283755418,1,3,1,0,14755281768,73389,73389,14,14,14,283755422,7,1,3,209838,1819149,2371757,39912,4799398145,1777204,108738317,2158
59000.82,55,253952,62,240551,15848323560,4,30664521,0,1496,9,9,2637,1596,8,675,1902060,0,26,94504,3,14,0,4753,135491514,1352,1,0,4,5682,299573128,8,1198292512,13,23,18,7,4944,675,0,0,119219332,4917374,5159979090,0,675,612,0,3,1,14,14,6206,0,3,5155406540,5003008214,154293396,303911551,303911551,1,3,1,0,15803400684,73389,73389,14,14,14,303911555,7,1,3,212736,1946961,2536329,42866,5155406540,1902060,116687825,2158
61013.48,56,253952,62,256763,16917417426,4,32491094,0,1562,9,9,2637,1701,9,675,2030448,0,26,100842,3,14,0,4753,136106880,1352,1,0,4,5682,319656705,8,1278626820,13,23,18,7,4944,675,0,0,127287727,5089284,5518200167,0,675,612,0,3,1,14,14,6206,0,3,5514666348,5341698869,164309852,324329828,324329828,1,3,1,0,16865151088,73389,73389,14,14,14,324329832,7,1,3,216281,2078335,2692194,45855,5514666348,2030448,124600674,2158
63024.62,61,253952,62,274003,18052060334,4,33686631,0,1652,10,10,2637,1814,9,675,2162187,0,26,107592,3,15,0,4753,136420596,1352,1,0,4,5682,341093046,8,1364307524,14,24,18,7,6266,675,0,0,135983919,5293103,5897398726,0,675,612,0,3,1,14,14,6206,0,3,5893372252,5700207293,174445659,346039011,346071779,1,3,1,0,17994028604,73389,73389,14,14,14,346039015,7,1,3,221879,2213170,2841449,48996,5893372252,2162187,133147931,2158
65032.11,66,253952,62,292238,19252804446,5,35454456,0,1778,10,10,2637,1925,10,675,2303550,0,26,114734,3,15,0,4753,136420596,1352,1,0,4,5682,363765107,8,1454996000,14,24,18,7,6266,675,0,0,145150461,5445837,6302036778,0,675,612,0,3,1,14,14,6206,0,3,6296982253,6080422439,185514310,369019669,369019669,1,3,1,0,19189022820,73389,73389,14,14,14,369019673,7,1,3,227736,2357846,3017963,52338,6296982253,2303550,142138320,2158
67039.81,69,253952,62,311569,20527651038,5,36886525,0,1880,11,11,2637,2053,10,693,2462795,0,26,122313,3,15,0,4753,139731499,1388,1,0,4,5682,387754560,8,1551018240,14,25,18,7,6266,693,0,0,155311369,5766032,6732176187,0,693,634,0,3,1,14,14,6206,0,3,6727137612,6483970994,197359403,393365344,393381728,1,3,1,0,20454997920,73389,73389,14,14,14,393365348,7,1,3,234695,2520727,3214770,55920,6727137612,2462795,152102804,2220
69047.45,72,253952,62,331506,21840239072,5,38572201,0,2007,12,12,2637,2174,10,720,2634282,0,26,130099,3,16,0,4753,144167694,1442,1,0,4,5682,412507603,8,1649901524,15,26,18,7,6326,720,0,0,165832282,6172603,7176028920,0,720,663,0,3,1,14,14,6206,0,3,7170074145,6899343311,209946994,418490147,418490147,1,3,1,0,21760635708,73389,73389,14,14,14,418473767,7,1,3,243302,2696173,3461664,59583,7170074145,2634282,162377238,2302
71055.75,80,253952,62,353043,23260366544,6,40912604,0,2118,13,13,2637,2310,10,855,2811964,0,26,138548,3,16,0,4753,166890203,1712,1,0,4,5682,439293433,8,1756980056,15,27,18,7,6326,855,0,0,177293166,6428059,7648127845,0,855,818,0,3,1,14,14,6206,0,3,7642016230,7348629623,223925676,445657744,445657744,1,3,1,0,23173350752,73389,73389,14,14,14,445641364,7,1,3,249841,2878011,3678208,63491,7642016230,2811964,173622011,2791
73060.52,92,253952,62,376625,24814225552,6,42010436,0,2202,15,15,2637,2466,10,1035,3005620,0,26,147710,3,18,0,4753,199020867,2072,1,0,4,5682,468312871,8,1873057668,17,29,19,7,6353,1035,0,0,189189625,6617454,8191129202,0,1035,1010,0,3,1,14,14,6206,0,3,8184838788,7842386622,237180496,475238107,475238107,1,3,1,0,24712381596,73389,73389,14,14,14,475238111,7,1,3,260719,3076049,3954463,68012,8184838788,3005620,185242669,3434
75071.11,96,253952,62,402312,26506010278,9,49228874,0,2328,18,18,2637,2627,13,1197,3248667,0,26,157735,3,19,0,4753,228558159,2396,1,0,4,5682,500102471,8,2000216004,18,32,19,7,6368,1197,0,0,203160706,7055798,8790603634,0,1197,1199,0,3,1,14,14,6206,0,3,8783686230,8380606565,258816290,507415334,507415334,1,3,1,0,26384745432,73389,73389,14,14,14,507398954,7,1,3,275152,3324826,4292346,72973,8783686230,3248667,198876362,4085
77079.42,98,253952,62,428112,28205997172,9,51908826,0,2486,18,18,2637,2791,14,1386,3508127,0,26,167819,3,19,0,4753,261678065,2774,1,0,4,5682,532047357,8,2128124696,18,32,19,7,6368,1386,0,0,217972442,7757429,9385488593,0,1386,1425,0,3,1,14,14,6206,0,3,9378973159,8920112779,276829549,539817619,539850387,1,3,1,0,28068812284,73389,73389,14,14,14,539784855,7,1,3,292040,3589763,4593937,77893,9378973159,3508127,213387025,4770
79095.08,102,253952,62,453576,29883774100,9,55200766,0,2635,19,19,2637,2948,14,1593,3746462,0,26,177728,3,19,0,4753,298327786,3188,1,0,4,5682,563527089,8,2253914624,18,33,19,7,6368,1593,0,0,232747846,8516762,9983512642,0,1593,1669,0,3,1,14,14,6206,0,3,9976634237,9453881855,295806529,571742609,571742609,1,3,1,0,29730615700,73389,73389,14,14,14,571742613,7,1,3,299940,3833448,4888039,82847,9976634237,3746462,227868828,5557
80877.24,103,253952,62,476145,31369098794,12,58335140,2,2755,28,28,2637,3130,14,1791,3964525,18,26,186584,3,33,10,4753,339287483,3591,1,1227,4,5682,591599349,8,2366397396,32,49,37,26,7076,1791,1227,164,246481420,9454010,10520657934,8,1773,1883,18,3,1,14,14,6206,56047985,3,10511333814,9925834994,425816380,600037902,600037902,1,3,1,56047985,31201970936,73389,73389,14,14,14,600037906,7,1,3,312762,4056459,5172007,87268,10511333814,3964525,241318932,6314
