timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
62656.90,15,253952,62,206278,13589492688,6,34978204,0,1589,11,11,4057,1376,12,657,1893460,0,28,81066,10,19,0,3628,132439327,1316,1,0,4,5440,256999255,9,1027867664,18,25,1,11,4118,657,0,0,126817435,6693041,4388046000,0,657,557,0,3,1,14,14,7078,0,3,4384133984,4287424040,167999961,260746310,260746310,1,3,1,0,13558808152,73389,73389,14,14,14,260746314,9,3,250086,1938380,2785814,36434,4384133984,1893460,124036428,2202
64663.06,18,253952,62,220877,14551923772,6,35632129,0,1689,11,11,4057,1472,12,657,2020572,0,28,86817,10,19,0,3628,132439327,1316,1,0,4,5440,275199112,9,1100731764,18,25,1,11,4118,657,0,0,136015676,6867624,4702338653,0,657,557,0,3,1,14,14,7078,0,3,4698152831,4591303242,178010887,279204984,279204984,1,3,1,0,14518659200,73389,73389,14,14,14,279204988,9,3,258827,2068787,2972733,39044,4698152831,2020572,133048062,2202
66672.81,25,253952,62,236412,15574755404,6,37028527,0,1803,12,12,4057,1567,13,684,2154595,0,28,92892,10,19,0,3628,137551198,1370,1,0,4,5440,294503058,9,1177883172,18,26,1,11,4118,684,0,0,145870444,7112595,5030897567,0,684,589,0,3,1,14,14,7078,0,3,5027070747,4914147157,189491198,298817015,298817015,1,3,1,0,15538484812,73389,73389,14,14,14,298817019,9,3,266388,2206281,3178256,41761,5027070747,2154595,142697627,2296
68685.52,30,253952,62,253146,16678312448,6,38752135,0,1933,13,13,4057,1682,13,738,2304922,0,28,99471,10,20,0,3628,147484110,1478,1,0,4,5440,315318097,9,1261143016,19,27,1,11,4129,738,0,0,156426750,7680742,5393772503,0,738,649,0,3,1,14,14,7078,0,3,5388924502,5262739516,202278593,319962221,319962221,1,3,1,0,16637183556,73389,73389,14,14,14,319945841,9,3,274537,2360366,3363904,44771,5388924502,2304922,153068638,2503
70692.41,37,253952,62,270939,17850427496,7,41013058,0,2056,14,14,4057,1794,13,738,2466100,0,28,106458,10,20,0,3628,147809892,1478,1,0,4,5440,337488185,9,1349823368,19,28,1,11,4129,738,0,0,167550428,7922037,5778517809,0,738,649,0,3,1,14,14,7078,0,3,5773860530,5633097748,215879481,342416432,342432816,1,3,1,0,17805654496,73389,73389,14,14,14,342416436,9,3,280439,2525371,3590573,47957,5773860530,2466100,163966016,2503
72697.02,41,253952,62,292319,19258549258,7,42517183,0,2164,15,15,4057,1928,13,828,2653322,2,28,114791,10,21,0,3628,164247646,1658,1,0,4,5440,363944072,9,1455711600,20,29,1,11,4139,828,0,0,180218730,8124893,6251956891,0,826,747,2,3,1,14,14,7078,0,3,6248425417,6078510438,230233258,369363733,369363733,1,3,1,0,19206062180,73389,73389,14,14,14,369347353,9,3,296413,2717668,3811710,51882,6248425417,2653322,176413591,2861
74706.16,45,253952,62,314186,20700581128,9,47120552,0,2279,18,18,4057,2074,18,909,2856081,2,28,123406,10,22,0,3628,179442841,1820,1,0,4,5440,391195978,9,1564783912,21,32,1,11,4449,909,0,0,192939220,8561590,6740717400,0,907,827,2,3,1,14,14,7078,0,3,6735357826,6535314752,247984694,396906003,396906003,1,3,1,0,20639112188,73389,73389,14,14,14,396906007,9,3,315419,2925026,4085511,55933,6735357826,2856081,188860724,3137
76717.59,51,253952,62,336995,22202329702,9,49745671,0,2443,18,18,4057,2214,18,990,3102787,2,28,132327,10,22,0,3628,192956241,1982,1,0,4,5440,419515374,9,1677996872,21,32,1,11,4449,990,0,0,207782308,9272961,7236432476,0,988,929,2,3,1,14,14,7078,0,3,7230075605,7009900668,266043502,425628809,425677961,1,3,1,0,22132698100,73389,73389,14,14,14,425628813,9,3,329325,3176980,4395519,60040,7230075605,3102787,203394265,3464
78727.50,53,253952,62,360301,23738383498,10,53005541,0,2583,19,19,4057,2364,19,1125,3338902,4,28,141464,10,23,0,3628,216590127,2252,1,0,4,5440,448514828,9,1793930084,22,33,1,11,4896,1125,0,0,222589318,10105406,7744371389,0,1121,1083,4,3,1,14,14,7078,0,3,7738853167,7495499907,285034202,455059557,455075941,1,3,1,0,23663096996,73389,73389,14,14,14,455059561,9,3,342865,3418319,4689649,64259,7738853167,3338902,217907630,4006
80740.33,57,253952,62,384302,25319988244,10,55378065,0,2736,20,20,4057,2516,22,1188,3569922,4,28,150873,10,23,0,3628,228639713,2378,1,0,4,5440,478335667,9,1913277904,22,34,1,11,4896,1188,0,0,237832921,10957523,8259546229,0,1184,1169,4,3,1,14,14,7078,0,3,8253430239,7995125392,303479651,485356498,485372882,1,3,1,0,25237685960,73389,73389,14,14,14,485340118,9,3,351292,3654708,4977597,68519,8253430239,3569922,232863783,4252
82752.16,75,253952,62,424884,27992775884,10,57944298,0,2964,27,27,4057,2775,25,1206,4092088,4,28,166735,10,30,1,3628,234158284,2414,1,0,4,5440,528639389,9,2114428404,29,41,2,11,6010,1206,0,0,264470305,12061768,9173893398,0,1202,1191,4,3,1,14,14,7078,0,3,9168437376,8842495860,333706547,536377423,536426575,1,3,1,0,27891626028,73389,73389,14,14,14,536377427,9,3,391874,4187572,5648382,76094,9168437376,4092088,258831277,4338
84758.54,110,253952,62,474368,31251773058,10,60422864,0,3204,27,27,4057,3098,26,1638,4636125,13,28,186009,10,30,1,3628,309829552,3278,1,0,4,5440,589887835,9,2359292864,29,41,2,11,6010,1638,0,0,295193695,13027971,10338665021,0,1625,1670,13,3,1,14,14,7078,0,3,10331888496,9879038586,367884207,598399946,598416330,1,3,1,0,31116797224,73389,73389,14,14,14,598399950,9,3,425112,4743833,6352846,85712,10331888496,4636125,288851212,6120
84862.42,110,253952,62,475667,31337229616,16,60615900,6,3213,36,36,4057,3130,26,1638,4649515,13,28,186584,10,46,393,3628,317182091,3285,1,1227,4,5440,591599349,9,2366397396,45,57,2,38,7006,1638,1227,730,296631311,13147831,10370622006,8,1625,1670,13,3,1,14,14,7078,58398839,3,10360998218,9906006754,486588217,600037902,600037902,1,3,1,58398839,31201970936,73389,73389,14,14,14,600037906,9,3,453006,4757559,6587657,85948,10360998218,4649515,290054182,6120
