timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
44843.60,253952,62,225867,14881477554,4,4014128,0,18,28,28,10013,151,0,675,1692286,15,59452,21,38,7,1276,145331408,1352,1,0,37,42,33,9,1651,675,0,0,0,57337220,27847931,4392473361,0,675,463,2,1,14,14,375,1,4402023376,4353950110,261763447,337853932,337870316,1,2,1,14865573008,73389,73389,14,14,14,337853932,7,3,844701,1730780,3883358,33607,4402023376,1692286,53455773,2152
46851.89,253952,62,241034,15880771106,4,4014128,0,18,28,28,10013,153,0,675,1824184,15,63686,21,38,7,1276,145596860,1352,1,0,37,42,33,9,1651,675,0,0,0,61751987,30194765,4682506933,0,675,463,2,1,14,14,375,1,4693658576,4646017772,278869795,360576320,360592704,1,2,1,15865358080,73389,73389,14,14,14,360576320,7,3,884837,1865694,4143586,35832,4693658576,1824184,57610418,2152
48859.60,253952,62,255455,16831174802,4,4014128,0,18,28,28,10013,155,0,675,1965244,15,67739,21,38,7,1276,146127764,1352,1,0,37,42,33,9,1651,675,0,0,0,65741326,32613678,4962185858,0,675,463,2,1,14,14,375,1,4971924432,4923926087,298290874,382160020,382176404,1,2,1,16815040880,73389,73389,14,14,14,382160020,7,3,922707,2009029,4383060,37955,4971924432,1965244,61360385,2152
50873.64,253952,62,269183,17735896598,4,4014128,0,18,28,28,10013,158,0,675,2091646,15,71646,21,38,7,1276,146658668,1352,1,0,37,42,33,9,1651,675,0,0,0,70164306,35391393,5224824835,0,675,463,2,1,14,14,375,1,5235903440,5188328552,315160745,402738263,402738263,1,2,1,17719762676,73389,73389,14,14,14,402721879,7,3,961366,2138650,4629644,39969,5235903440,2091646,65536888,2152
52884.94,253952,62,283827,18700383918,4,4014128,0,18,28,28,10013,160,1,675,2237735,15,75742,21,38,7,1276,146658668,1352,1,0,37,42,33,9,1651,675,0,0,0,74498860,38000024,5507781572,0,675,463,2,1,14,14,375,1,5517577168,5470297374,335809437,424645769,424662153,1,2,1,18684413836,73389,73389,14,14,14,424645769,7,3,994406,2287013,4872947,42118,5517577168,2237735,69628247,2152
54902.05,253952,62,297986,19632925746,4,4014128,0,18,28,28,10013,163,1,675,2367002,15,79769,21,38,7,1276,147189572,1352,1,0,37,42,33,9,1651,675,0,0,0,78781994,40639006,5778695563,0,675,463,2,1,14,14,375,1,5789293387,5742862917,354883497,445854796,445871180,1,2,1,19617611024,73389,73389,14,14,14,445854796,7,3,1024651,2419282,5083833,44195,5789293387,2367002,73700609,2152
56912.87,253952,62,312736,20604432034,4,4014128,0,18,28,28,10013,166,1,675,2488060,15,83958,21,38,7,1276,147720476,1352,1,0,37,42,33,9,1651,675,0,0,0,82876634,43042756,6060908624,0,675,463,2,1,14,14,375,1,6072833385,6026796535,371143153,467930016,467946400,1,2,1,20588920704,73389,73389,14,14,14,467930016,7,3,1065921,2542576,5305627,46365,6072833385,2488060,77573576,2152
58921.38,253952,62,327479,21576058982,4,4014128,0,18,28,28,10013,169,1,675,2623860,15,88154,21,38,7,1276,148106588,1352,1,0,37,42,33,9,1651,675,0,0,0,86959965,45394159,6346756864,0,675,463,2,1,14,14,375,1,6356604265,6310668204,387966215,490013428,490035845,1,2,1,21560590832,73389,73389,14,14,14,490013428,7,3,1097738,2680642,5550880,48530,6356604265,2623860,81411771,2152
60937.96,253952,62,341699,22512755364,4,4014128,0,18,28,28,10013,172,1,675,2752054,15,92231,21,38,7,1276,148782284,1352,1,0,37,42,33,9,1651,675,0,0,0,91335808,47892823,6621140763,0,675,463,2,1,14,14,375,1,6629830666,6584521699,408616936,511310408,511326792,1,2,1,22497657952,73389,73389,14,14,14,511310408,7,3,1136274,2811108,5800234,50621,6629830666,2752054,85538376,2152
62943.99,253952,62,357161,23531647488,4,4014128,0,18,28,28,10013,174,1,675,2863584,15,96551,21,38,7,1276,149047736,1352,1,0,37,42,33,9,1651,675,0,0,0,95437549,49872196,6918407049,0,675,463,2,1,14,14,375,1,6927495178,6882461716,424251104,534464813,534481197,1,2,1,23516451772,73389,73389,14,14,14,534464813,7,3,1157812,2925019,5993057,52892,6927495178,2863584,89447423,2152
64950.39,253952,62,372646,24551620956,4,4014128,0,18,28,28,10013,178,1,675,2998385,15,100993,21,38,7,1276,149844092,1352,1,0,37,42,33,9,1651,675,0,0,0,100155874,51899855,7216177740,0,675,463,2,1,14,14,375,1,7224892227,7180544341,439008137,557643794,557660178,1,2,1,24536326936,73389,73389,14,14,14,557643794,7,3,1197380,3062228,6280247,55167,7224892227,2998385,93878671,2152
66964.68,253952,62,387557,25533518008,4,4014128,0,18,28,28,10013,182,1,675,3141351,15,105227,21,38,7,1276,150374996,1352,1,0,37,42,33,9,1651,675,0,0,0,104355075,53624357,7504094991,0,675,463,2,1,14,14,375,1,7510382875,7467446788,454894061,579978999,579978999,1,2,1,25519075956,73389,73389,14,14,14,579978999,7,3,1225814,3207682,6522334,57358,7510382875,3141351,97835910,2152
68974.61,253952,62,400699,26397541948,4,4014128,0,18,28,28,10013,189,1,675,3253490,15,109236,21,38,7,1276,151171352,1352,1,0,37,42,33,9,1651,675,0,0,0,108893384,56429234,7751725440,0,675,463,2,1,14,14,375,1,7759391183,7719977653,506689117,599606970,599623354,1,2,1,26382706680,73389,73389,14,14,14,599606970,7,3,1270812,3321895,6753832,59285,7759391183,3253490,102142839,2152
69111.33,253952,62,400982,26415782060,6,4034076,2,20,28,28,10013,191,1,675,3255046,15,109422,21,44,8,1276,158511825,1359,1,1037,43,49,33,37,1826,675,829,1037,171,109342127,56756020,7766956264,8,675,463,2,1,14,14,375,1,7763869224,7725268584,1266566751,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,7,3,1289456,3323498,6809616,59330,7763869224,3255046,102535811,2152
