timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
41443.06,15,253952,62,131589,8668974292,5,19172341,0,902,9,9,1816,897,23,603,1135151,0,19,51776,9,15,906,122039952,1208,1,0,4,747,164079132,7,656316528,14,23,7,983,603,0,0,70418892,3298226,2770803541,0,603,332,0,3,1,14,14,1249,3,2768632035,2732724878,92699628,166484257,166498482,1,3,1,8657181396,73389,73389,14,14,14,166484261,5,3,157371,1160345,1641099,23040,2768632035,1135151,68780619,1560
43452.77,18,253952,62,143203,9434042912,5,20329993,0,1001,9,9,1816,976,23,603,1237513,0,19,56332,9,15,906,122039952,1208,1,0,4,747,178525022,7,714100088,14,23,7,983,603,0,0,76980388,3676649,3011762509,0,603,332,0,3,1,14,14,1249,3,3009337174,2973600348,100775763,181201790,181201790,1,3,1,9421641144,73389,73389,14,14,14,181185410,5,3,165948,1265092,1799018,25041,3009337174,1237513,75184434,1560
45462.17,18,253952,62,154641,10187721988,5,21559008,0,1096,9,9,1816,1041,23,612,1341667,0,19,60837,9,15,906,123794821,1226,1,0,4,747,192832937,7,771267124,14,23,7,983,612,0,0,83464569,3992522,3250860233,0,612,342,0,3,1,14,14,1249,3,3248599838,3211128142,108777104,195681755,195681755,1,3,1,10175451292,73389,73389,14,14,14,195681759,5,3,173806,1371596,1940948,27012,3248599838,1341667,81526924,1601
47475.85,18,253952,62,166390,10961794826,5,22652577,0,1192,9,9,1816,1118,23,612,1451294,0,19,65453,9,15,906,123794821,1226,1,0,4,747,207506240,7,829895700,14,23,7,983,612,0,0,90176130,4266620,3496273447,0,612,342,0,3,1,14,14,1249,3,3493562927,3454873828,116847940,210546744,210579512,1,3,1,10948430720,73389,73389,14,14,14,210546748,5,3,177349,1483627,2082263,29046,3493562927,1451294,88097412,1601
49488.79,22,253952,62,179154,11802977938,5,24565184,0,1279,10,10,1816,1204,23,612,1571633,0,19,70491,9,15,906,123794821,1226,1,0,4,747,223465606,7,893797768,14,24,7,983,612,0,0,97610117,4543275,3765141456,0,612,342,0,3,1,14,14,1249,3,3761736193,3719804985,126469016,226734519,226734519,1,3,1,11790195020,73389,73389,14,14,14,226734523,5,3,181954,1606598,2247472,31279,3761736193,1571633,95366452,1601
51498.31,24,253952,62,192050,12652546350,5,26248904,0,1370,10,10,1816,1286,23,612,1686215,0,19,75550,9,15,906,124108537,1226,1,0,4,747,239542893,7,957977888,14,24,7,983,612,0,0,105043886,4822510,4035856582,0,612,342,0,3,1,14,14,1249,3,4032853261,3987709264,135854534,243039141,243039141,1,3,1,12638035364,73389,73389,14,14,14,243039145,5,3,185213,1723870,2388377,33525,4032853261,1686215,102659578,1601
53510.82,34,253952,62,205334,13528225042,6,27716354,0,1457,10,10,1816,1372,24,621,1814711,0,19,80793,9,15,906,125607943,1244,1,0,4,747,256083545,7,1024334180,14,24,7,983,621,0,0,112436071,5006592,4314885438,0,621,356,0,3,1,14,14,1249,3,4312814658,4263850881,144886512,259851223,259851223,1,3,1,13512263628,73389,73389,14,14,14,259851227,5,3,193183,1855115,2549630,35850,4312814658,1814711,109890771,1633
55522.03,35,253952,62,219263,14445552472,6,28336514,0,1551,13,13,1816,1465,24,621,1951990,0,19,86262,9,16,906,125921659,1244,1,0,4,747,273435104,7,1093675792,15,27,7,4125,621,0,0,119865659,5258652,4607929059,0,621,356,0,3,1,14,14,1249,3,4603997734,4553185700,153039513,277450181,277450181,1,3,1,14427409444,73389,73389,14,14,14,277450185,5,3,200615,1995182,2714941,38266,4603997734,1951990,117154337,1633
57528.49,41,253952,62,234291,15436001972,8,32227140,0,1624,13,13,1816,1560,24,630,2099521,2,19,92168,9,16,906,127363326,1262,1,0,4,747,292175107,7,1168571312,15,27,7,4125,630,0,0,127875180,5529983,4931276516,0,628,364,2,3,1,14,14,1249,3,4927182636,4865752640,165335652,296441335,296457719,1,3,1,15414949452,73389,73389,14,14,14,296441339,5,3,207857,2145747,2881376,40940,4927182636,2099521,124998724,1663
59540.34,42,253952,62,249800,16457065664,8,33786534,0,1692,13,13,1816,1657,25,639,2245839,2,19,98260,9,16,906,128915228,1280,1,0,4,747,311484257,7,1245872460,15,27,7,4125,639,0,0,135965679,5927305,5258185563,0,637,373,2,3,1,14,14,1249,3,5253921370,5188074276,175321215,316043015,316059399,1,3,1,16434236812,73389,73389,14,14,14,316043019,5,3,214861,2295097,3060087,43652,5253921370,2245839,132910816,1695
61550.69,43,253952,62,265370,17482854686,8,35588814,0,1758,13,13,1816,1757,26,675,2394371,2,19,104362,9,16,906,135525042,1352,1,0,4,747,330851053,7,1323339504,15,27,7,4125,675,0,0,144041190,6079670,5597771347,0,673,413,2,3,1,14,14,1249,3,5593187739,5511900653,185383727,335716264,335716264,1,3,1,17456393792,73389,73389,14,14,14,335699884,5,3,224202,2446740,3280334,46458,5593187739,2394371,140766371,1825
63558.03,46,253952,62,282598,18618372596,8,36479115,0,1861,13,13,1816,1869,26,684,2559560,4,19,111127,9,16,906,136979117,1370,1,0,4,747,352320184,7,1409086740,15,27,7,4125,684,0,0,153059318,6295302,5972754925,0,680,426,4,3,1,14,14,1249,3,5968009859,5870657417,195474014,357459486,357475870,1,3,1,18587893304,73389,73389,14,14,14,357459490,5,3,228558,2615421,3505858,49565,5968009859,2559560,149559308,1864
65568.92,49,253952,62,300652,19807564090,8,37397722,0,1986,14,14,1816,1982,27,729,2735288,4,19,118187,9,16,906,145332437,1460,1,0,4,747,374709816,7,1498774464,15,28,7,4125,729,0,0,162348594,6453669,6369488143,0,725,477,4,3,1,14,14,1249,3,6364246146,6247131601,205803064,380200417,380200417,1,3,1,19770421716,73389,73389,14,14,14,380200421,5,3,237358,2794816,3730928,52858,6364246146,2735288,158623860,2017
67577.63,61,253952,62,320120,21090071134,8,38807069,0,2095,14,14,1816,2110,28,801,2928797,6,19,125836,9,16,906,157626492,1604,1,0,4,747,398948371,7,1595599496,15,28,7,4125,801,0,0,172718722,6757190,6788212203,0,795,560,6,3,1,14,14,1249,3,6782736988,6652130765,217886799,404767720,404784104,1,3,1,21047921472,73389,73389,14,14,14,404767724,5,3,242917,2992301,3975140,56342,6782736988,2928797,168750153,2280
69589.60,63,253952,62,339513,22369030998,8,40005145,0,2217,14,14,1816,2236,29,909,3126841,8,19,133456,9,16,906,176122578,1820,1,0,4,747,423088491,7,1692289444,15,28,7,4125,909,0,0,183291219,7086950,7202157268,0,901,702,8,3,1,14,14,1249,3,7196550826,7056026530,229965695,429293619,429293619,1,3,1,22322416252,73389,73389,14,14,14,429277239,5,3,249627,3194328,4207972,59779,7196550826,3126841,179107172,2665
71600.03,67,253952,62,362642,23892279732,8,41425192,0,2331,16,16,1816,2382,29,999,3358579,8,19,142528,9,17,906,192077620,2000,1,0,4,747,451863305,7,1807259380,16,30,7,4281,999,0,0,195582878,7339473,7699770343,0,991,789,8,3,1,14,14,1249,3,7693061241,7536778786,243904240,458488958,458521726,1,3,1,23841425848,73389,73389,14,14,14,458488962,5,3,263549,3430797,4463004,63888,7693061241,3358579,191127280,2988
73607.05,70,253952,62,385728,25411886988,10,45529165,0,2411,18,18,1816,2528,30,1143,3573504,8,19,151541,9,17,906,217221816,2288,1,0,4,747,480459299,7,1921707808,16,32,7,4281,1143,0,0,206956446,7500510,8223910956,0,1135,918,8,3,1,14,14,1249,3,8217818549,8018886723,259543301,487492451,487492451,1,3,1,25348755516,73389,73389,14,14,14,487476071,5,3,279789,3650070,4705681,68240,8217818549,3573504,202258606,3467
75618.33,76,253952,62,411767,27127314828,10,47970836,0,2569,19,19,1816,2691,30,1197,3883961,8,19,161668,9,18,906,227491347,2396,1,0,4,747,512533237,7,2050068276,17,33,7,4398,1197,0,0,221760982,8210181,8841060914,0,1189,967,8,3,1,14,14,1249,3,8835339303,8565265136,277447761,520038948,520104484,1,3,1,27042025328,73389,73389,14,14,14,520038952,5,3,285710,3966511,5096392,73357,8835339303,3883961,216672966,3653
77629.73,82,253952,62,437559,28825544438,10,50485757,0,2723,19,19,1816,2855,30,1475,4176822,8,19,171684,9,18,906,277217823,2952,1,0,4,747,544311394,7,2177051828,17,33,7,4398,1475,0,0,236607751,8840277,9463008548,0,1467,1299,8,3,1,14,14,1249,3,9456137694,9106441226,295396940,552320512,552336896,1,3,1,28719814688,73389,73389,14,14,14,552304132,5,3,296464,4265200,5458941,78498,9456137694,4176822,231157697,4676
79642.25,87,253952,62,463230,30516872066,10,53217073,0,2859,20,20,1816,3010,31,1566,4436071,8,19,181656,9,19,906,296978524,3134,1,0,4,747,575947147,7,2303724092,18,34,7,4411,1566,0,0,251541281,9653237,10086838933,0,1558,1405,8,3,1,14,14,1249,3,10078574993,9645932586,313884188,584372700,584421852,1,3,1,30387380432,73389,73389,14,14,14,584372704,5,3,309824,4530137,5789796,83620,10078574993,4436071,245760881,5042
80676.63,87,253952,62,475707,31339609736,18,55127042,8,2928,31,31,1816,3127,33,1566,4562040,8,19,186584,9,36,906,306804593,3141,1,1227,4,747,591599349,7,2366397396,35,52,29,4860,1566,1227,1788,259334406,10190206,10387008490,8,1558,1405,8,3,1,14,14,1249,3,10377682682,9907957516,383755469,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,5,3,321428,4658849,5998653,86077,10377682682,4562040,253345408,5042
