timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
46554.08,20,253952,62,107415,7075988760,4,17270998,0,884,8,8,2897,750,11,585,918074,0,30,42259,3,14,0,1765,115255516,1172,1,0,4,5874,133886190,9,535544760,13,22,15,7,8709,585,0,0,65059576,4021607,2265030962,0,585,499,0,3,1,14,14,6478,3,2263106043,2230917401,86167284,135876020,135876020,1,3,1,7065553072,73389,73389,14,14,14,135876024,7,3,141578,940810,1425871,18829,2263106043,918074,63636152,1923
48563.18,20,253952,62,119230,7854676558,4,17833867,0,963,9,9,2897,815,11,585,1013569,0,30,46912,3,14,0,1765,116498314,1172,1,0,4,5874,148684850,9,594739400,13,23,15,7,8709,585,0,0,72210086,4346822,2507735867,0,585,499,0,3,1,14,14,6478,3,2505572338,2476057170,94203153,150853538,150853538,1,3,1,7844384008,73389,73389,14,14,14,150853542,7,3,145363,1038767,1545411,20818,2505572338,1013569,70667371,1923
50577.67,20,253952,62,131465,8659134456,4,20258153,0,1055,9,9,2897,901,11,594,1118143,0,30,51712,3,14,0,1765,118310338,1190,1,0,4,5874,163913715,9,655525700,13,23,15,7,8709,594,0,0,79626767,4677213,2764756001,0,594,508,0,3,1,14,14,6478,3,2762609680,2729378344,104320390,166314828,166331212,1,3,1,8648371088,73389,73389,14,14,14,166314832,7,3,154563,1146751,1685218,22960,2762609680,1118143,77944506,1955
52585.97,21,253952,62,143773,9470879594,4,22184534,0,1157,9,9,2897,974,11,612,1226518,0,30,56553,3,14,0,1765,121995033,1226,1,0,4,5874,179305429,9,717092620,13,23,15,7,8709,612,0,0,87070697,5080329,3022070832,0,612,526,0,3,1,14,14,6478,3,3019544017,2984976571,114043130,181910620,181927004,1,3,1,9459352272,73389,73389,14,14,14,181910624,7,3,159625,1257737,1833047,25084,3019544017,1226518,85240865,2021
54597.50,24,253952,62,155595,10249941682,4,24903817,0,1252,9,9,2897,1046,11,621,1332700,0,30,61202,3,14,0,1765,124978312,1244,1,0,4,5874,194047759,9,776126236,13,23,15,7,8709,621,0,0,94448805,5379139,3269063593,0,621,535,0,3,1,14,14,6478,3,3266562421,3230619323,124397545,196879946,196879946,1,3,1,10237757224,73389,73389,14,14,14,196879950,7,3,165064,1366466,1962345,27125,3266562421,1332700,92489914,2054
56607.44,24,253952,62,168111,11074383776,4,27013594,0,1325,9,9,2897,1128,11,630,1446170,0,30,66118,3,14,0,1765,127104207,1262,1,0,4,5874,209614101,9,838391792,13,23,15,7,8709,630,0,0,102154225,5685194,3538930509,0,630,542,0,3,1,14,14,6478,3,3535919025,3491057904,134382982,212668472,212668472,1,3,1,11058760576,73389,73389,14,14,14,212668476,7,3,182649,1482636,2115106,29367,3535919025,1446170,100042839,2088
58617.71,27,253952,62,181430,11952078710,4,28571006,0,1413,9,9,2897,1218,11,648,1570972,0,30,71353,3,14,0,1765,130101684,1298,1,0,4,5874,226191564,9,904636948,13,23,15,7,8709,648,0,0,110245104,6091453,3825015697,0,648,565,0,3,1,14,14,6478,3,3821735207,3768304609,144519921,229482713,229482713,1,3,1,11933101108,73389,73389,14,14,14,229482717,7,3,197811,1610246,2255387,31745,3821735207,1570972,107993713,2148
60626.66,28,253952,62,194721,12829054158,4,30274374,0,1497,9,9,2897,1298,11,657,1696970,0,30,76565,3,14,0,1765,131857067,1316,1,0,4,5874,242716936,9,970747064,13,23,15,7,8709,657,0,0,118321501,6449100,4111207519,0,657,575,0,3,1,14,14,6478,3,4108701837,4045637172,154486832,246259868,246276252,1,3,1,12805513168,73389,73389,14,14,14,246259872,7,3,204828,1739017,2420403,34109,4108701837,1696970,115905356,2187
62633.70,31,253952,62,208405,13729785484,4,32077902,0,1602,10,10,2897,1392,12,666,1826546,0,30,81941,3,15,0,1765,133299563,1334,1,0,4,5874,259739433,9,1038893292,14,24,15,7,9345,666,0,0,126778736,6725245,4408411530,0,666,583,0,3,1,14,14,6478,3,4405250140,4330117134,165111562,263525113,263525113,1,3,1,13703305908,73389,73389,14,14,14,263525117,7,3,215969,1871589,2587752,36584,4405250140,1826546,124195520,2217
64644.34,35,253952,62,223367,14715290568,5,34149998,0,1711,10,10,2897,1491,13,702,1969286,0,30,87799,3,15,0,1765,139550394,1406,1,0,4,5874,278272653,9,1113090612,14,24,15,7,9345,702,0,0,135990383,6925782,4733264660,0,702,623,0,3,1,14,14,6478,3,4730451638,4641596450,176571843,282356745,282389513,1,3,1,14682550772,73389,73389,14,14,14,282356749,7,3,221783,2017732,2806201,39298,4730451638,1969286,133189019,2357
66653.56,36,253952,62,239704,15793155602,5,35542274,0,1821,11,11,2897,1589,13,729,2120860,0,30,94216,3,15,0,1765,144674659,1460,1,0,4,5874,298641636,9,1194566544,14,25,15,7,9345,729,0,0,145860874,7118930,5087364825,0,729,649,0,3,1,14,14,6478,3,5083562854,4981897264,188004724,303016464,303049232,1,3,1,15756004192,73389,73389,14,14,14,303000084,7,3,230063,2172966,2998840,42218,5083562854,2120860,142867210,2458
68660.93,39,253952,62,257187,16944240820,5,36643161,0,1945,11,11,2897,1701,14,729,2285833,0,30,101066,3,15,0,1765,144988375,1460,1,0,4,5874,320398298,9,1281528644,14,25,15,7,9345,729,0,0,156412187,7560985,5465948537,0,729,649,0,3,1,14,14,6478,3,5461689975,5345573957,200065962,325083936,325083936,1,3,1,16903512736,73389,73389,14,14,14,325067556,7,3,238618,2341835,3186321,45354,5461689975,2285833,153231388,2458
70667.84,44,253952,62,275815,18170503978,5,37996571,0,2066,12,12,2897,1825,14,837,2457356,2,30,108360,3,16,0,1765,163441831,1676,1,0,4,5874,343511891,9,1374047564,15,26,15,7,9359,837,0,0,167506206,7796190,5874376815,0,835,765,2,3,1,14,14,6478,3,5870028681,5733405679,212721497,348543604,348559988,1,3,1,18124267440,73389,73389,14,14,14,348543608,7,3,250661,2517356,3404327,48767,5870028681,2457356,164107782,2858
72671.97,44,253952,62,298118,19639759684,5,39477454,0,2178,13,13,2897,1964,14,900,2648659,2,30,117095,3,17,0,1765,174679264,1802,1,0,4,5874,371215546,9,1484797476,16,27,15,7,9661,900,0,0,180224996,7947455,6357452529,0,898,829,2,3,1,14,14,6478,3,6352267858,6197677492,227006846,376692526,376692526,1,3,1,19588011384,73389,73389,14,14,14,376692530,7,3,260560,2713307,3654836,52772,6352267858,2648659,176576494,3086
74684.79,46,253952,62,320359,21105816192,7,43972283,0,2270,17,17,2897,2104,14,918,2839828,2,30,125798,3,19,0,1765,178919848,1838,1,0,4,5874,398830708,9,1595128944,18,31,15,7,9801,918,0,0,192855810,8364219,6846853256,0,916,859,2,3,1,14,14,6478,3,6841903032,6661437256,244470748,404740985,404740985,1,3,1,21046531252,73389,73389,14,14,14,404740989,7,3,281900,2909090,3917897,56832,6841903032,2839828,188944684,3180
76694.19,47,253952,62,343403,22623644364,8,47089575,0,2431,17,17,2897,2257,14,963,3071694,4,30,134817,3,19,0,1765,187024081,1928,1,0,4,5874,427384017,9,1709406716,18,31,15,7,9801,963,0,0,207719918,8969393,7365322732,0,959,915,4,3,1,14,14,6478,3,7360672903,7142869527,263125595,433657796,433690564,1,3,1,22549353456,73389,73389,14,14,14,433641416,7,3,291852,3146285,4228579,61154,7360672903,3071694,203498567,3366
78706.73,54,253952,62,366143,24121729774,8,49984493,0,2591,17,17,2897,2402,15,972,3301356,4,30,143691,3,19,0,1765,189789782,1946,1,0,4,5874,455523203,9,1821963692,18,31,15,7,9801,972,0,0,222540402,9609412,7890520869,0,968,929,4,3,1,14,14,6478,3,7884278359,7618896478,281380800,462217392,462217392,1,3,1,24035304416,73389,73389,14,14,14,462217396,7,3,300882,3381166,4540562,65492,7884278359,3301356,218007551,3404
80718.41,55,253952,62,389799,25681478969,8,53564684,0,2738,18,18,2897,2551,15,1008,3537531,4,30,152938,3,19,0,1765,196014765,2018,1,0,4,5874,484911170,9,1939459280,18,32,15,7,9801,1008,0,0,237809641,10550785,8422128920,0,1004,973,4,3,1,14,14,6478,3,8415711294,8113320460,301216413,492004270,492020654,1,3,1,25583370104,73389,73389,14,14,14,491987890,7,3,317555,3622781,4882204,69900,8415711294,3537531,232935632,3546
82725.16,81,253952,62,427164,28142125838,8,55806079,0,2958,26,26,2897,2786,17,1188,3974389,4,30,167481,3,27,0,1765,227510748,2378,1,0,4,5874,531009079,9,2123907172,26,40,17,7,10437,1188,0,0,264300835,11606988,9287069788,0,1184,1191,4,3,1,14,14,6478,3,9281244373,8895920705,330966451,538778309,538843845,1,3,1,28016472100,73389,73389,14,14,14,538778313,7,3,355316,4069379,5531149,77082,9281375445,3974475,258778474,4316
84742.32,99,253952,62,471876,31088238260,9,59159028,0,3185,26,26,2897,3068,17,1584,4501457,4,30,184872,3,27,0,1765,298643434,3170,1,0,4,5874,586162540,9,2344391612,26,40,17,7,10437,1584,0,0,294943713,12563033,10365871037,0,1580,1642,4,3,1,14,14,6478,3,10358442306,9835116911,365927349,594736407,594769175,1,3,1,30924589260,73389,73389,14,14,14,594703643,7,3,380672,4607698,6211722,85995,10358442306,4501457,288741982,5899
84971.07,99,253952,62,476040,31362688088,14,59723725,5,3209,48,48,2897,3127,17,1584,4541870,4,30,186584,3,55,20,1765,306611339,3177,1,1227,4,5874,591599349,9,2366397396,54,69,17,47,11330,1584,1227,163,298533286,12726960,10458550755,8,1580,1642,4,3,1,14,14,6478,3,10448881595,9921460788,429709744,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,7,3,416160,4649060,6474424,86716,10448881595,4541870,292068966,5899
