timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
24582.59,30,253952,62,296906,19559380512,33,52685014,1329,37,37,415,1962,3,765,2363302,4,29,116703,37,3189,151785159,1532,1,0,4,2246,369953565,9,1479749556,36,51,14,3396,765,0,0,0,151247950,2494257,6276577858,0,761,571,4,3,1,14,14,2871,3,6271029044,6167915283,206422166,375477951,375494335,1,3,1,19524853484,73389,73389,14,14,14,375477955,9,3,262819,2418387,3291312,52114,6271029044,2363302,147962436,2823
26597.89,32,253952,62,312853,20610769490,33,53761660,1433,39,39,415,2063,3,765,2508545,4,29,122998,37,3189,152714241,1532,1,0,4,2246,389876457,9,1559505828,36,53,14,3396,765,0,0,0,159953259,2840074,6628503778,0,761,571,4,3,1,14,14,2871,3,6623689546,6500592661,216514688,395603475,395603475,1,3,1,20570528764,73389,73389,14,14,14,395587095,9,3,276591,2566922,3465833,55039,6623689546,2508545,156493538,2823
28613.43,32,253952,62,325002,21411696226,35,56995998,1536,40,40,415,2140,3,765,2637519,4,29,127748,37,3189,152714241,1532,1,0,4,2246,404981973,9,1619734156,36,54,14,3396,765,0,0,0,167030272,3253069,6900445757,0,761,571,4,3,1,14,14,2871,3,6894594781,6754351691,227226933,410906514,410906514,1,3,1,21367138760,73389,73389,14,14,14,410906518,9,3,310263,2698599,3649788,57291,6894594781,2637519,163386853,2823
30624.38,32,253952,62,335664,22113478016,36,59379780,1629,40,40,415,2207,4,774,2737679,6,29,131912,37,3189,154156389,1550,1,0,4,2246,418172747,9,1672626252,36,54,14,3396,774,0,0,0,173350577,3626532,7143713184,0,768,578,6,3,1,14,14,2871,3,7137655289,6976957197,236235077,424284877,424301261,1,3,1,22062813636,73389,73389,14,14,14,424284881,9,3,317011,2801190,3769254,59315,7137655289,2737679,169587909,2849
32634.87,33,253952,62,345897,22787064074,36,60961114,1696,40,40,415,2272,4,828,2838457,6,29,135893,37,3189,163718292,1658,1,0,4,2246,430802029,9,1723143532,36,54,14,3396,828,0,0,0,179448474,4030526,7377813844,0,822,628,6,3,1,14,14,2871,3,7371401616,7191134203,244346515,437110502,437110502,1,3,1,22728894168,73389,73389,14,14,14,437094122,9,3,323493,2904311,3907932,61262,7371401616,2838457,175547349,3037
34645.52,33,253952,62,356264,23470252444,37,63480323,1788,41,41,415,2335,4,918,2943955,6,29,139952,37,3189,179355436,1838,1,0,4,2246,443651289,9,1774605156,36,55,14,3396,918,0,0,0,185951848,4534037,7615575660,0,912,712,6,3,1,14,14,2871,3,7609909902,7407480620,253837078,450142642,450191794,1,3,1,23407417416,73389,73389,14,14,14,450142646,9,3,329093,3012312,4039297,63243,7609909902,2943955,181919574,3352
36655.42,34,253952,62,366835,24166854104,37,64680131,1899,41,41,415,2401,4,945,3049571,6,29,144062,37,3189,185437801,1892,1,0,4,2246,456728199,9,1826783564,36,55,14,3396,945,0,0,0,192503486,4878454,7860447352,0,939,734,6,3,1,14,14,2871,3,7853471102,7628939430,261913583,463404158,463404158,1,3,1,24097016248,73389,73389,14,14,14,463404162,9,3,334953,3120440,4183632,65263,7853471102,3049571,188327098,3447
38666.97,35,253952,62,377383,24861598034,38,67424270,1999,42,42,415,2471,7,963,3155199,8,29,148191,37,3189,188389732,1928,1,0,4,2246,469799307,9,1879197228,36,56,14,3396,963,0,0,0,199032849,5321230,8105777642,0,955,751,8,3,1,14,14,2871,3,8098446674,7849530116,271605932,476636780,476653164,1,3,1,24785112592,73389,73389,14,14,14,476636784,9,3,339888,3228569,4301958,67314,8098446674,3155199,194738367,3509
40683.27,37,253952,62,388102,25567300040,38,68607682,2105,42,42,415,2540,7,972,3259652,8,29,152360,37,3189,190238217,1946,1,0,4,2246,482997866,9,1931991464,36,56,14,3396,972,0,0,0,205537798,5670446,8357966389,0,964,759,8,3,1,14,14,2871,3,8350809296,8074220100,279616033,490066454,490066454,1,3,1,25483455640,73389,73389,14,14,14,490066458,9,3,342988,3335539,4437862,69399,8350809296,3259652,201107638,3540
42691.00,39,253952,62,398739,26268933356,38,70217744,2202,43,43,415,2608,8,981,3367223,8,29,156512,37,3189,192291959,1964,1,0,4,2246,496185125,9,1984740500,36,57,14,3396,981,0,0,0,212097949,6134158,8606943138,0,973,767,8,3,1,14,14,2871,3,8599694177,8297171074,288238635,503426904,503426904,1,3,1,26178199040,73389,73389,14,14,14,503426908,9,3,349122,3445624,4566597,71471,8599694177,3367223,207539277,3569
44700.03,39,253952,62,409603,26983296648,40,73344101,2313,44,44,415,2675,8,1251,3477073,8,29,160744,37,3189,238270938,2504,1,0,4,2246,509598145,9,2038392580,36,58,14,3396,1251,0,0,0,218614948,6544880,8862787244,0,1243,1024,8,3,1,14,14,2871,3,8855049259,8524623248,298260124,517014385,517014385,1,3,1,26884748052,73389,73389,14,14,14,517014389,9,3,358643,3557872,4736319,73587,8855049259,3477073,213886782,4509
46713.92,39,253952,62,420718,27716241972,40,74572792,2415,44,44,415,2745,8,1350,3583065,8,29,165072,37,3189,257499932,2702,1,0,4,2246,523317474,9,2093269896,36,58,14,3396,1350,0,0,0,225155052,6833953,9127202086,0,1342,1113,8,3,1,14,14,2871,3,9119763951,8758125165,306297848,530926943,530959711,1,3,1,27608201068,73389,73389,14,14,14,530926947,9,3,363968,3666396,4867932,75762,9119763951,3583065,220295498,4865
48725.24,40,253952,62,432944,28521840934,40,75123379,2505,44,44,415,2823,8,1350,3703340,8,29,169817,37,3189,259080578,2702,1,0,4,2246,538389716,9,2153494120,36,58,14,3396,1350,0,0,0,232391532,7146367,9420508642,0,1342,1113,8,3,1,14,14,2871,3,9413075775,9014869951,314376831,546215757,546248525,1,3,1,28403219396,73389,73389,14,14,14,546215761,9,3,368817,3789594,5010529,78181,9413206847,3703408,227389627,4865
50740.90,42,253952,62,445302,29336187176,40,75550466,2594,44,44,415,2899,8,1350,3824600,8,29,174620,37,3189,260347508,2702,1,0,4,2246,553607647,9,2214365840,36,58,14,3396,1350,0,0,0,239794894,7360813,9719542072,0,1342,1113,8,3,1,14,14,2871,3,9711743376,9274462962,322402855,561684795,561684795,1,3,1,29207609372,73389,73389,14,14,14,561684799,9,3,372016,3913671,5152019,80642,9711743376,3824600,234651751,4865
52749.67,44,253952,62,457770,30157416596,41,77186960,2675,46,46,415,2978,9,1350,3949669,8,29,179465,37,3189,261891956,2702,1,0,4,2246,569007767,9,2275901848,36,60,14,3396,1350,0,0,0,247223994,7616403,10025603457,0,1342,1113,8,3,1,14,14,2871,3,10018469604,9536239013,331727410,577270680,577287064,1,3,1,30018075392,73389,73389,14,14,14,577270684,9,3,384800,4041639,5318726,83175,10018469604,3949669,241914414,4865
54755.97,45,253952,62,470044,30966294012,41,79612317,2772,46,46,415,3055,9,1350,4076977,8,29,184216,37,3189,263110622,2702,1,0,4,2246,584049323,9,2336132632,36,60,14,3396,1350,0,0,0,254641105,7832121,10329044344,0,1342,1113,8,3,1,14,14,2871,3,10320935259,9795110504,341755164,592559494,592559494,1,3,1,30812241752,73389,73389,14,14,14,592543114,9,3,390373,4171882,5481507,85676,10320935259,4076977,249168997,4865
55801.96,45,253952,62,475961,31355966296,41,80858037,2825,46,46,415,3127,9,1350,4132540,8,29,186584,40,3189,270451095,2709,1,1226,4,2246,591599349,9,2366397396,39,67,36,3644,1350,1,1226,130,258460475,7991053,10464225800,8,1342,1113,8,3,1,14,14,2871,3,10454885536,9918159740,398269478,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,9,3,396614,4228818,5551470,86749,10454885536,4132540,252918535,4865
