timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
44494.64,2,253952,62,160414,10568589970,18,45303487,0,399,24,24,5935,140,675,1331328,38,40996,9,20,0,796,143738696,1352,1,0,19,38,1171,6,5243,675,0,0,0,41642329,12906988,3139733563,0,675,381,2,1,14,14,411,1,3141897168,3093155174,111159679,239838228,239854612,1,2,1,10552882032,73389,73389,14,14,14,239838228,8,3,613191,1363348,2736509,23993,3141897168,1331328,38907232,2009
46511.36,2,253952,62,175813,11583087874,20,50484225,0,456,24,24,5935,142,675,1465945,38,45290,9,20,0,796,144004148,1352,1,0,19,38,1171,6,5243,675,0,0,0,45973185,13671198,3438189553,0,675,381,2,1,14,14,411,1,3438250960,3389703425,121393226,262904680,262904680,1,2,1,11567805920,73389,73389,14,14,14,262904680,8,3,618539,1500404,2895567,26254,3438250960,1465945,43079173,2009
48518.91,2,253952,62,190000,12518156146,20,54585283,0,498,26,26,5935,145,675,1600961,38,49331,9,20,0,796,144535052,1352,1,0,19,40,1171,6,5243,675,0,0,0,49984158,14812038,3711074203,0,675,381,2,1,14,14,411,1,3711405008,3663079380,132143307,284136124,284152508,1,2,1,12501989456,73389,73389,14,14,14,284136124,8,3,640219,1637815,3093809,28338,3711405008,1600961,46892096,2009
50526.48,2,253952,62,204155,13450861814,22,59367250,0,538,26,26,5935,147,675,1736356,38,53295,9,20,0,796,144800504,1352,1,0,19,40,1171,6,5243,675,0,0,0,53927969,15971187,3980939560,0,675,381,2,1,14,14,411,1,3984165840,3935636612,142689406,305345151,305361535,1,2,1,13435186644,73389,73389,14,14,14,305345151,8,3,647513,1776361,3261068,30419,3984165840,1736356,50668771,2009
52533.09,2,253952,62,218146,14372554126,22,62169861,0,569,28,28,5935,149,675,1875865,38,57229,9,20,0,796,145065956,1352,1,0,19,42,1171,6,5243,675,0,0,0,57969700,17051657,4253163361,0,675,381,2,1,14,14,411,1,4253387728,4205191845,151452783,326286001,326302385,1,2,1,14356584044,73389,73389,14,14,14,326286001,8,3,659657,1918343,3461623,32473,4253387728,1875865,54510074,2009
54547.95,2,253952,62,232290,15304804350,23,68189745,0,613,28,28,5935,152,675,2013545,38,61244,9,20,0,796,145596860,1352,1,0,19,42,1171,6,5243,675,0,0,0,62060177,18189958,4525653187,0,675,381,2,1,14,14,411,1,4525362128,4477627950,162316807,347470452,347492869,1,2,1,15288699888,73389,73389,14,14,14,347470452,8,3,677118,2059694,3658662,34548,4525362128,2013545,58403640,2009
56556.22,2,253952,62,246681,16252976514,25,72203313,0,652,30,30,5935,154,675,2160878,38,65281,9,20,0,796,145862312,1352,1,0,19,44,1171,6,5243,675,0,0,0,66083842,19125637,4801815921,0,675,381,2,1,14,14,411,1,4802579408,4754890723,172216580,369037768,369054152,1,2,1,16237661792,73389,73389,14,14,14,369037768,8,3,690733,2209451,3860862,36663,4802579408,2160878,62225231,2009
58564.30,2,253952,62,260845,17186272006,26,76458297,0,694,30,30,5935,156,675,2308528,38,69259,9,20,0,796,146127764,1352,1,0,19,44,1171,6,5243,675,0,0,0,70088011,19893446,5075627975,0,675,381,2,1,14,14,411,1,5075209168,5027732382,181870165,390230411,390246795,1,2,1,17170138084,73389,73389,14,14,14,390230411,8,3,711829,2360542,4061211,38743,5075209168,2308528,66029190,2009
60573.74,2,253952,62,274991,18118387850,27,79477865,0,742,31,31,5935,159,675,2442817,38,73248,9,20,0,796,146658668,1352,1,0,19,45,1171,6,5243,675,0,0,0,74117910,20638715,5349038705,0,675,381,2,1,14,14,411,1,5347707856,5300143005,190616784,411431246,411431246,1,2,1,18102974824,73389,73389,14,14,14,411431246,8,3,728250,2497312,4247597,40822,5347707856,2442817,69872837,2009
62584.20,2,253952,62,288689,19020452130,28,83687612,0,781,33,33,5935,161,675,2566537,38,77120,9,20,0,796,146924120,1352,1,0,19,47,1171,6,5243,675,0,0,0,78173721,21297117,5612758006,0,675,381,2,1,14,14,411,1,5610511179,5563813641,199977643,431937920,431937920,1,2,1,19005268480,73389,73389,14,14,14,431937920,8,3,753703,2623430,4413394,42831,5610511179,2566537,73762980,2009
64591.42,2,253952,62,302495,19930020282,30,87834420,0,818,33,33,5935,163,675,2687297,38,80996,9,20,0,796,147189572,1352,1,0,19,47,1171,6,5243,675,0,0,0,82305739,21837199,5878833745,0,675,381,2,1,14,14,411,1,5876325195,5829756203,209109790,452608434,452608434,1,2,1,19914771096,73389,73389,14,14,14,452608434,8,3,768352,2746687,4575154,44859,5876325195,2687297,77733370,2009
66599.62,2,253952,62,316541,20855123774,30,89857097,0,867,35,35,5935,167,675,2812648,38,85045,9,20,0,796,147720476,1352,1,0,19,49,1171,6,5243,675,0,0,0,86457494,22329811,6145719327,0,675,381,2,1,14,14,411,1,6145840489,6100123543,215955123,473637237,473637237,1,2,1,20840038428,73389,73389,14,14,14,473637237,8,3,801608,2874524,4762330,46922,6145840489,2812648,81698067,2009
68607.39,2,253952,62,329845,21732058306,32,94423630,0,905,37,37,5935,169,675,2931232,38,88789,9,20,0,796,148251380,1352,1,0,19,51,1171,6,5243,675,0,0,0,90398347,23661724,6402992912,0,675,381,2,1,14,14,411,1,6402348393,6356399309,226874752,493560120,493576504,1,2,1,21716645280,73389,73389,14,14,14,493560120,8,3,824544,2995467,4955277,48880,6402479465,2931232,85446085,2009
70619.46,2,253952,62,343002,22598679676,34,99185894,0,948,37,37,5935,172,675,3038790,38,92581,9,20,0,796,148782284,1352,1,0,19,51,1171,6,5243,675,0,0,0,94580504,24236337,6657216348,0,675,381,2,1,14,14,411,1,6654865418,6609648005,236884870,513255786,513272170,1,2,1,22583254584,73389,73389,14,14,14,513255786,8,3,851144,3105470,5130558,50812,6654865418,3038790,89453099,2009
72623.41,2,253952,62,359018,23653878744,36,105686514,0,977,46,46,5935,174,675,3168979,38,97059,9,20,0,796,149047736,1352,1,0,19,60,1171,6,5243,675,0,0,0,98962214,24724585,6961959950,0,675,381,2,1,14,14,411,1,6963146762,6918250958,250751565,537245775,537245775,1,2,1,23638814100,73389,73389,14,14,14,537245775,8,3,891242,3238288,5379563,53164,6963146762,3168979,93585943,2009
74638.02,2,253952,62,374795,24693254176,39,111069309,0,1002,46,46,5935,178,675,3302395,38,101591,9,20,0,796,149844092,1352,1,0,19,60,1171,6,5243,675,0,0,0,103132316,25809184,7265514850,0,675,381,2,1,14,14,411,1,7266179907,7221913131,270471762,560873157,560889541,1,2,1,24678418908,73389,73389,14,14,14,560873157,8,3,925663,3374135,5616149,55482,7266179907,3302395,97519591,2009
76649.87,2,253952,62,387447,25526567884,40,116518225,0,1037,46,46,5935,181,675,3437013,38,105233,9,20,0,796,150374996,1352,1,0,19,60,1171,6,5243,675,0,0,0,107258877,27920235,7509095561,0,675,381,2,1,14,14,411,1,7508708092,7465471746,284907327,579817318,579817318,1,2,1,25511961992,73389,73389,14,14,14,579817318,8,3,962087,3510905,5914764,57339,7508708092,3437013,101347633,2009
78657.42,2,253952,62,399470,26317188196,40,120713687,0,1071,47,47,5935,187,675,3549243,38,108792,9,20,0,796,151171352,1352,1,0,19,61,1171,6,5243,675,0,0,0,111323556,29982318,7737284642,0,675,381,2,1,14,14,411,1,7737010792,7696515119,295679624,597792664,597792664,1,2,1,26302156320,73389,73389,14,14,14,597776280,8,3,1007243,3625179,6180704,59101,7737010792,3549243,105146478,2009
79080.08,2,253952,62,400982,26415782060,42,121024662,2,1079,47,47,5935,191,675,3561863,38,109422,9,27,9,796,158511825,1359,1,1037,26,68,1171,19,5297,675,685,1037,154,112388931,30639078,7767232101,8,675,381,2,1,14,14,411,1,7763869224,7725268584,357475857,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,1036761,3638088,6300569,59330,7763869224,3561863,106092018,2009
