timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
43461.60,253952,62,181318,11945721718,31,58957765,0,401,35,35,5523,143,1,675,1224532,34,46847,12,22,1184,144004148,1352,1,0,21,49,6,1576,675,0,0,0,43695226,16542811,3544873311,0,675,425,2,1,14,14,450,1,3544419280,3495778902,137542588,271130719,271147103,1,2,1,11929751636,73389,73389,14,14,14,271130719,9,3,654015,1252878,2738022,27064,3544419280,1224532,40958795,2110
45467.47,253952,62,196874,12970774226,32,62646173,0,441,37,37,5523,146,1,675,1335907,34,51254,12,22,1184,144535052,1352,1,0,21,51,6,1576,675,0,0,0,47708962,17701202,3842433719,0,675,425,2,1,14,14,450,1,3843394512,3795384687,147634322,294440772,294440772,1,2,1,12955393968,73389,73389,14,14,14,294440772,9,3,669658,1366451,2892581,29345,3843394512,1335907,44818128,2110
47482.16,253952,62,212624,14008806170,34,67060677,0,481,39,39,5523,148,1,675,1456339,34,55661,12,22,1184,145065956,1352,1,0,21,53,6,1576,675,0,0,0,51827511,19088387,4145997738,0,675,425,2,1,14,14,450,1,4146957264,4098797735,159188975,318035386,318035386,1,2,1,13993556984,73389,73389,14,14,14,318035386,9,3,682585,1489169,3082242,31661,4146957264,1456339,48747154,2110
49491.28,253952,62,227484,14988245622,36,72448006,0,511,41,41,5523,151,1,675,1583475,34,59883,12,22,1184,145596860,1352,1,0,21,55,6,1576,675,0,0,0,55835120,20895490,4431082402,0,675,425,2,1,14,14,450,1,4432825296,4385105319,171326310,340296863,340296863,1,2,1,14972341076,73389,73389,14,14,14,340280479,9,3,693139,1618450,3263994,33842,4432825296,1583475,52572243,2110
51506.13,253952,62,242633,15986094074,36,76794686,0,552,42,42,5523,153,1,675,1706728,34,64123,12,22,1184,145596860,1352,1,0,21,56,6,1576,675,0,0,0,59879472,22990430,4722587730,0,675,425,2,1,14,14,450,1,4724591568,4676793781,183947216,362964066,362980450,1,2,1,15970418904,73389,73389,14,14,14,362964066,9,3,707144,1744709,3436014,36068,4724591568,1706728,56445619,2110
53517.03,253952,62,257691,16978244202,36,80907605,0,582,44,44,5523,156,1,675,1830237,34,68390,12,22,1184,146127764,1352,1,0,21,58,6,1576,675,0,0,0,63916829,24928535,5009515258,0,675,425,2,1,14,14,450,1,5014391760,4966973843,197487604,385498038,385514422,1,2,1,16961913672,73389,73389,14,14,14,385498038,9,3,731762,1870431,3648667,38279,5014391760,1830237,60270472,2110
55532.61,253952,62,273458,18017390258,39,87263299,0,613,44,44,5523,158,1,675,1959829,34,72815,12,22,1184,146658668,1352,1,0,21,58,6,1576,675,0,0,0,67959326,26623075,5318988735,0,675,425,2,1,14,14,450,1,5318347728,5270608051,211308761,409125420,409141804,1,2,1,18001518480,73389,73389,14,14,14,409125420,9,3,751352,2002255,3856647,40598,5318347728,1959829,64105138,2110
57544.06,253952,62,289251,19057548814,40,90256523,0,647,45,45,5523,161,1,675,2085278,34,77273,12,22,1184,146924120,1352,1,0,21,59,6,1576,675,0,0,0,72034904,27893653,5621784812,0,675,425,2,1,14,14,450,1,5621259083,5574684967,220764281,432779537,432779537,1,2,1,19042299628,73389,73389,14,14,14,432779537,9,3,760585,2129977,4045102,42913,5621259083,2085278,67992406,2110
59550.79,253952,62,304660,20072967530,40,93009360,0,692,47,47,5523,164,1,675,2210586,34,81644,12,22,1184,147455024,1352,1,0,21,61,6,1576,675,0,0,0,76030635,29252210,5916443068,0,675,425,2,1,14,14,450,1,5917743947,5871464390,230163689,455852022,455868406,1,2,1,20057488968,73389,73389,14,14,14,455852022,9,3,787481,2257546,4246004,45175,5917743947,2210586,71787369,2110
61566.91,253952,62,320402,21109485530,43,98553484,0,724,50,50,5523,167,1,675,2327796,34,86099,12,22,1184,147720476,1352,1,0,21,64,6,1576,675,0,0,0,80029281,30645886,6219007090,0,675,425,2,1,14,14,450,1,6220420457,6174470515,242605963,479418186,479418186,1,2,1,21093679288,73389,73389,14,14,14,479401802,9,3,830669,2377013,4462486,47491,6220420457,2327796,75569685,2110
63577.32,253952,62,335515,22105091672,44,103052172,0,743,54,54,5523,171,1,675,2425097,34,90490,12,22,1184,148516832,1352,1,0,21,68,6,1576,675,0,0,0,83923683,32480015,6509690675,0,675,425,2,1,14,14,450,1,6510817290,6465375130,258134064,502040111,502056495,1,2,1,22089764884,73389,73389,14,14,14,502040111,9,3,871299,2476587,4668729,49713,6510817290,2425097,79258008,2110
65592.39,253952,62,352631,23232911244,45,106412054,0,766,54,54,5523,173,1,675,2526462,34,95269,12,22,1184,148782284,1352,1,0,21,68,6,1576,675,0,0,0,88270343,34403166,6838448941,0,675,425,2,1,14,14,450,1,6840070154,6795107396,276289786,527680566,527696950,1,2,1,23217944904,73389,73389,14,14,14,527680566,9,3,912771,2580381,4884823,52225,6840070154,2526462,83388738,2110
67605.07,253952,62,367765,24230147028,47,113306599,0,791,56,56,5523,177,1,675,2636390,34,99611,12,22,1184,149844092,1352,1,0,21,70,6,1576,675,0,0,0,92316206,36544829,7126673799,0,675,425,2,1,14,14,450,1,7130913603,7086558265,295490679,550349484,550349484,1,2,1,24215377296,73389,73389,14,14,14,550349484,9,3,958278,2692550,5099605,54450,7130913603,2636390,87219954,2110
69612.85,253952,62,383196,25246742084,50,120810283,0,825,56,56,5523,179,1,675,2764372,34,103927,12,22,1184,149844092,1352,1,0,21,70,6,1576,675,0,0,0,96481372,38405519,7430263273,0,675,425,2,1,14,14,450,1,7427678893,7383630826,311760726,573448704,573465088,1,2,1,25231742976,73389,73389,14,14,14,573448704,9,3,989084,2822904,5337819,56715,7427678893,2764372,91147046,2110
71621.31,253952,62,398373,26245288588,50,124271111,0,858,60,60,5523,185,1,675,2875864,34,108393,12,22,1184,151171352,1352,1,0,21,74,6,1576,675,0,0,0,100663236,40128541,7718291684,0,675,425,2,1,14,14,450,1,7716762051,7675498328,325332239,596142198,596158582,1,2,1,26230256712,73389,73389,14,14,14,596142198,9,3,1051173,2936617,5572089,58941,7716762051,2875864,95094766,2110
72170.27,253952,62,400982,26415782060,53,127900403,3,868,60,60,5523,191,1,675,2893240,34,109422,12,28,1184,158511825,1359,1,1037,27,81,21,2015,675,689,1037,178,101845509,40820229,7767401781,8,675,425,2,1,14,14,450,1,7763869224,7725268584,386653280,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,1079770,2954391,5642160,59330,7763869224,2893240,96207001,2110
