timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
48164.97,35,253952,62,146485,9650271718,4,17742611,0,961,9,9,2656,993,8,585,1121569,0,29,57638,3,14,589,118357797,1172,1,0,4,4988,182721160,8,730820052,13,23,6,9263,585,0,0,72374778,3323283,3071715955,0,585,553,0,3,1,14,14,5675,0,3,3068966782,3041113302,93208296,185391776,185391776,1,3,1,0,9640372384,73389,73389,14,14,14,185391780,7,3,180837,1147808,1640545,25498,3068966782,1121569,70737316,1868
50175.18,42,253952,62,160935,10602624222,4,19824455,0,1044,9,9,2656,1088,8,594,1232543,0,29,63318,3,14,589,119879771,1190,1,0,4,4988,200703900,8,802686488,13,23,6,9263,594,0,0,79778330,3653839,3371193491,0,594,558,0,3,1,14,14,5675,0,3,3369097873,3340862362,102988417,203713345,203713345,1,3,1,0,10593093972,73389,73389,14,14,14,203713349,7,3,188550,1261355,1781493,27994,3369097873,1232543,78000207,1897
52189.00,55,253952,62,175415,11556918674,4,22611615,0,1137,9,9,2656,1180,8,594,1349413,0,29,69044,3,14,589,120169355,1190,1,0,4,4988,218855605,8,875422420,13,23,6,9263,594,0,0,87199035,3939465,3673746082,0,594,558,0,3,1,14,14,5675,0,3,3670959695,3641392390,113496402,222043106,222059490,1,3,1,0,11546241544,73389,73389,14,14,14,222043110,7,3,196332,1380804,1931169,30499,3670959695,1349413,85271524,1897
54196.63,64,253952,62,190247,12534269732,5,24302268,0,1234,9,9,2656,1274,8,594,1460982,0,29,74877,3,14,589,120169355,1190,1,0,4,4988,237381500,8,949461344,13,23,6,9263,594,0,0,94627747,4167182,3981260305,0,594,558,0,3,1,14,14,5675,0,3,3978053845,3949165778,122816094,240848003,240848003,1,3,1,0,12523244220,73389,73389,14,14,14,240831623,7,3,199026,1495000,2071544,33043,3978053845,1460982,92560149,1897
56204.85,70,253952,62,205400,13531101332,5,24928231,0,1308,10,10,2656,1370,9,594,1573972,0,29,80839,3,14,589,120169355,1190,1,0,4,4988,256302675,8,1025145980,13,24,6,9263,594,0,0,102185214,4405358,4295176780,0,594,558,0,3,1,14,14,5675,0,3,4291151733,4262909520,131208498,260024143,260024143,1,3,1,0,13521255468,73389,73389,14,14,14,260024147,7,3,204050,1610688,2201628,35635,4291151733,1573972,99987848,1897
58219.23,72,253952,62,221335,14583875758,5,26657214,0,1392,10,10,2656,1478,10,594,1699267,0,29,87138,3,14,589,120483071,1190,1,0,4,4988,276245849,8,1104983396,13,24,6,9263,594,0,0,110251915,4655924,4626838764,0,594,558,0,3,1,14,14,5675,0,3,4623865892,4594461292,141240337,280249242,280265626,1,3,1,0,14572960616,73389,73389,14,14,14,280249246,7,3,208360,1738881,2356214,38403,4623865892,1699267,107900295,1897
60228.74,76,253952,62,237701,15661746974,5,28366939,0,1483,10,10,2656,1584,11,594,1820867,0,29,93562,3,14,589,120483071,1190,1,0,4,4988,296624518,8,1186498072,13,24,6,9263,594,0,0,118377535,4937308,4964625226,0,594,558,0,3,1,14,14,5675,0,3,4961300536,4933373131,151321460,301003835,301020219,1,3,1,0,15651347484,73389,73389,14,14,14,300987455,7,3,221740,1863335,2534141,41198,4961300536,1820867,115847313,1897
62239.71,82,253952,62,254408,16760481848,5,30041693,0,1563,10,10,2656,1689,11,594,1945834,0,29,100139,3,14,589,120483071,1190,1,0,4,4988,317517570,8,1269941048,13,24,6,9263,594,0,0,126604211,5105505,5313804796,0,594,558,0,3,1,14,14,5675,0,3,5309767667,5279901315,161405546,322113287,322113287,1,3,1,0,16749890956,73389,73389,14,14,14,322113291,7,3,229941,1991098,2696382,44082,5309767667,1945834,123913074,1897
64245.99,88,253952,62,272929,17982708238,5,30625315,0,1676,11,11,2656,1809,17,612,2088166,0,29,107429,3,14,589,123422520,1226,1,0,4,4988,340624984,8,1362305936,13,25,6,9263,612,0,0,135857929,5316153,5701256135,0,612,575,0,3,1,14,14,5675,0,3,5697254888,5664974422,171428936,345598802,345598802,1,3,1,0,17971137736,73389,73389,14,14,14,345598806,7,3,235087,2136668,2852984,47291,5697254888,2088166,133010548,1958
66259.83,91,253952,62,292116,19245770226,5,33057329,0,1786,11,11,2656,1931,20,621,2224462,0,29,114976,3,14,589,124920963,1244,1,0,4,4988,364532471,8,1458065324,13,25,6,9263,621,0,0,145418645,5429305,6102835525,0,621,584,0,3,1,14,14,5675,0,3,6098200678,6062806446,183522547,369865604,369865604,1,3,1,0,19233011440,73389,73389,14,14,14,369865608,7,3,243525,2276267,3033349,50613,6098200678,2224462,142391272,1990
68268.01,99,253952,62,312292,20576555224,5,34291672,0,1912,11,11,2656,2061,20,621,2378446,0,29,122928,3,14,589,125234679,1244,1,0,4,4988,389755639,8,1558957892,13,25,6,9263,621,0,0,155996600,5766959,6527764685,0,621,584,0,3,1,14,14,5675,0,3,6522201859,6482076774,195619137,395448271,395448271,1,3,1,0,20563310124,73389,73389,14,14,14,395448275,7,3,251657,2433870,3227820,54123,6522201859,2378446,152775178,1990
70277.14,109,253952,62,332709,21922772418,5,35398577,0,2038,13,13,2656,2196,20,621,2530724,0,29,130968,3,16,589,125548395,1244,1,0,4,4988,415224327,8,1660897308,15,27,6,9528,621,0,0,166784203,6109443,6954719911,0,621,584,0,3,1,14,14,5675,0,3,6949807881,6906416475,207811038,421278857,421295241,1,3,1,0,21906500596,73389,73389,14,14,14,421278861,7,3,262178,2589837,3430080,57667,6949807881,2530724,163360933,1990
72282.11,119,253952,62,357760,23571609318,6,38074300,0,2150,14,14,2656,2358,21,657,2725515,0,29,140801,3,16,589,132180377,1316,1,0,4,4988,446440030,8,1785695664,15,28,6,9528,657,0,0,179944319,6331663,7485680509,0,657,627,0,3,1,14,14,5675,0,3,7480432552,7426328616,223860196,452940432,452940432,1,3,1,0,23552902496,73389,73389,14,14,14,452940436,7,3,274517,2789096,3670506,62076,7480432552,2725515,176281129,2122
74289.19,124,253952,62,381540,25138384124,8,42382837,0,2238,17,17,2656,2509,22,702,2910771,0,29,150113,3,17,589,140870749,1406,1,0,4,4988,475919011,8,1903546596,16,31,6,9547,702,0,0,191622720,6598632,8004660178,0,702,672,0,3,1,14,14,5675,0,3,7998558851,7922185898,240099387,482887276,482920044,1,3,1,0,25109286416,73389,73389,14,14,14,482870896,7,3,297638,2978464,3921719,66396,7998558851,2910771,187708773,2269
76299.78,132,253952,62,408639,26922585300,9,45919160,0,2379,18,18,2656,2679,23,783,3160161,0,29,160678,3,18,589,154906921,1568,1,0,4,4988,509412982,8,2037522612,17,32,6,9564,783,0,0,206438149,7282404,8622343073,0,783,784,0,3,1,14,14,5675,0,3,8616383832,8488948470,259101133,516890875,516907259,1,3,1,0,26877473564,73389,73389,14,14,14,516874495,7,3,313018,3233221,4240506,71532,8616383832,3160161,202205966,2575
78310.74,140,253952,62,435220,28674576942,10,49468420,0,2522,19,19,2656,2841,23,810,3401154,0,29,171059,3,18,589,160933566,1622,1,0,4,4988,542369307,8,2169283448,17,33,6,9564,810,0,0,221251444,8255508,9226982592,0,810,814,0,3,1,14,14,5675,0,3,9220443200,9044681850,278395389,550316716,550349484,1,3,1,0,28615617296,73389,73389,14,14,14,550300336,7,3,331101,3479562,4559958,76537,9220574272,3401189,216700337,2683
80317.05,150,253952,62,462165,30448543934,10,52393468,0,2656,20,20,2656,3019,26,1044,3640633,0,29,181547,3,18,589,201005678,2090,1,0,4,4988,575578948,8,2302251416,17,34,6,9564,1044,0,0,236385564,8987958,9866061630,0,1044,1090,0,3,1,14,14,5675,0,3,9858904012,9609520602,297205419,584017655,584050423,1,3,1,0,30368918092,73389,73389,14,14,14,584017659,7,3,352042,3724336,4885300,81836,9858904012,3640633,231509673,3572
81192.92,153,253952,62,474875,31284673540,15,53793545,5,2729,30,30,2656,3130,27,1350,3753529,9,29,186584,3,35,589,260876007,2709,1,1227,4,4988,591599349,8,2366397396,34,51,27,9670,1350,1227,180,243970378,9348852,10158235280,8,1341,1410,9,3,1,14,14,5675,55134697,3,10148976474,9874158512,416946493,600037902,600037902,1,3,1,55134697,31201970936,73389,73389,14,14,14,600037906,7,3,366383,3839684,5067708,84201,10148976474,3753529,238912429,4685
