timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55148.06,579,262144,64,178433,11756902334,34,84830993,4167,35,35,1286,1196,90,576,4083421,12,70192,15,2,117218580,1154,1,4,16583,222332555,25,889330220,14,31065,316465,2,25982,576,156938255,25170711,3758651099,576,5255,3,1,2,2,18367,3,3739578106,3705187515,278091086,225831240,225831240,3,1,11743224512,73389,73389,2,2,2,225831244,31,1,3,276987,19481956,5095179,141667,31028,3739578106,3941754,151841328,10936
60171.39,598,262144,64,192072,12655465644,34,87148114,4482,41,41,1286,1285,96,576,4290041,12,75571,15,2,117218580,1154,1,4,16583,239356002,25,957359608,14,33442,333057,2,25982,576,165224362,26225478,4046309496,576,5255,3,1,2,2,18367,3,4025869504,3988378723,290306029,243083975,243116743,3,1,12640366732,73389,73389,2,2,2,243083979,31,1,3,312800,20397366,5446780,148836,33399,4025869504,4141205,159776561,10936
65198.68,649,262144,64,208470,13737605892,41,98182851,4818,48,48,1286,1397,99,576,4669997,12,82065,15,2,117218580,1154,1,4,16583,259833384,25,1039333536,14,36311,368070,2,25982,576,179824108,28758519,4391617100,576,5255,3,1,2,2,18367,3,4369405936,4329173698,319643902,263866574,263882958,3,1,13721061880,73389,73389,2,2,2,263866578,31,1,3,366453,22256158,6031052,161805,36261,4369405936,4508192,173790462,10936
70216.27,744,262144,64,229343,15112754288,42,108097575,5280,50,50,1286,1533,110,576,5369771,12,90286,15,2,117218580,1154,1,4,16583,285892498,25,1143505440,14,39990,417777,2,25982,576,205561657,33273374,4836942430,576,5255,3,1,2,2,18367,3,4812335511,4762470375,360911363,290285269,290318037,3,1,15094834020,73389,73389,2,2,2,290285273,31,1,3,401217,25581804,6873074,188302,39938,4812335511,5181469,198683728,10936
75220.30,821,262144,64,249461,16438133420,42,115747357,5697,50,50,1286,1658,124,576,5964648,12,98209,15,2,117218580,1154,1,4,16583,311015170,25,1244060680,14,43469,463820,2,25982,576,228019812,37057502,5260234511,576,5255,3,1,2,2,18367,3,5233386457,5180355985,397122372,315764043,315764043,3,1,16419730268,73389,73389,2,2,2,315764047,31,1,3,434643,28339596,7616284,208623,43417,5233386457,5756025,220394759,10936
80226.08,821,262144,64,261879,17256677274,49,123879489,6027,50,50,1286,1738,124,576,6036873,12,103097,15,2,117218580,1154,1,4,16583,326458992,25,1305835968,14,45668,464017,2,25982,576,231760194,37057813,5527274189,576,5255,3,1,2,2,18367,3,5499248542,5438734016,409275738,331460298,331460298,3,1,17235935528,73389,73389,2,2,2,331460302,31,1,3,434717,28517058,7650975,211106,45616,5499248542,5825767,224101744,10936
85230.97,822,262144,64,278243,18335105180,49,126495672,6185,51,51,1286,1845,124,576,6149194,12,109512,15,2,117218580,1154,1,4,16583,346779970,25,1387055300,14,48639,464412,2,25982,576,237203930,37057925,5886965469,576,5255,3,1,2,2,18367,3,5857337936,5779699414,417765058,352095885,352095885,3,1,18308986052,73389,73389,2,2,2,352095889,31,1,3,441421,28786132,7718926,214851,48586,5857337936,5934343,229478050,10936
90234.97,823,262144,64,295457,19469878184,52,131751320,6264,53,53,1286,1954,124,576,6265703,12,116230,15,2,117508164,1154,1,4,16583,368069987,25,1472215360,14,51846,464852,2,25982,576,242499344,37060132,6274158727,576,5255,3,1,2,2,18367,3,6242823965,6139446767,428757477,373753313,373753313,3,1,19435172308,73389,73389,2,2,2,373753317,31,1,3,447894,29065265,7776320,218623,51791,6242823965,6047080,234716352,10936
95239.57,823,262144,64,311789,20545279856,53,134106183,6316,54,54,1286,2063,124,576,6373212,12,122596,15,2,117508164,1154,1,4,16583,388151103,25,1552604412,14,54995,465165,2,25982,576,247236266,37060286,6654872850,576,5255,3,1,2,2,18367,3,6621882792,6481288931,436258836,394211279,394211279,3,1,20498986540,73389,73389,2,2,2,394211283,31,1,3,453945,29328049,7829984,222223,54939,6621882792,6150989,239399737,10936
100244.00,824,262144,64,327607,21588516340,53,137023849,6422,55,55,1286,2165,124,576,6487972,12,128796,15,2,117508164,1154,1,4,16583,407708091,25,1630809376,14,58073,465547,2,25982,576,252550257,37060616,7026868343,576,5255,3,1,2,2,18367,3,6992230764,6812889267,444928716,414080692,414080692,3,1,21532196016,73389,73389,2,2,2,414080696,31,1,3,459648,29604043,7885787,226047,58016,6992230764,6261925,244658247,10936
105249.04,824,262144,64,342317,22558004732,55,141871926,6584,56,56,1286,2260,124,585,6600682,12,134505,15,2,118949768,1172,1,4,16583,425763633,25,1703054532,14,61071,465837,2,25982,585,257425415,37061215,7388849471,585,5257,3,1,2,2,18367,3,7352622619,7122504805,455073153,432443221,432443221,3,1,22487047524,73389,73389,2,2,2,432443225,31,1,3,463667,29872019,7948331,229587,61013,7352622619,6371095,249471101,10954
110252.99,824,262144,64,355782,23445359968,56,143547488,6852,57,57,1286,2345,124,594,6692431,12,139751,15,2,120701993,1190,1,4,16583,442327540,25,1769310160,14,63807,466192,2,25982,594,261542686,37061321,7719631943,594,5259,3,1,2,2,18367,3,7681965309,7406125293,461219405,449233960,449233960,3,1,23359313984,73389,73389,2,2,2,449217580,31,1,3,466135,30099393,7985616,232704,63748,7681965309,6459727,253551078,10972
115284.62,839,262144,64,368309,24270830058,56,145065203,7162,64,64,1286,2424,124,594,6832755,12,144632,15,2,120701993,1190,1,4,16583,457726859,25,1830907436,14,66385,468486,2,25982,594,266873403,37517873,8030910965,594,5259,3,1,2,2,18367,3,7991855070,7669967186,468954338,464842262,464875030,3,1,24171797656,73389,73389,2,2,2,464842266,31,1,3,492392,30630859,8204296,237586,66319,7991855070,6595169,258663376,10972
120301.99,926,262144,64,390358,25723459034,68,177126300,7701,77,77,1286,2564,135,594,7592325,12,153186,24,2,120701993,1190,1,4,16583,484801838,25,1939207352,23,70639,709698,2,26198,594,292535667,51574013,8543571643,594,5259,3,1,2,2,18367,3,8501799134,8131217140,544767995,492506141,492538909,3,1,25609467396,73389,73389,2,2,2,492489761,31,1,3,560574,37706321,9271232,264499,70561,8501799134,7327826,283258234,10972
125318.74,1054,262144,64,417409,27506058896,68,188817321,8184,78,78,1286,2740,153,594,8524710,12,163789,24,2,120701993,1190,1,4,16583,518394426,25,2073383640,23,75926,786474,2,26198,594,323430053,57176571,9183697701,594,5259,3,1,2,2,18367,3,9138551158,8698058633,595471995,526444204,526460588,3,1,27375098640,73389,73389,2,2,2,526444208,31,1,3,585752,42251475,10229141,298363,75847,9138551158,8226347,313193434,10972
130343.78,1170,262144,64,442726,29173873064,69,200098650,8656,78,78,1286,2904,175,594,9414038,12,173628,24,2,120701993,1190,1,4,16583,549525085,25,2197971032,23,80930,859120,2,26198,594,351999290,62566536,9790122275,594,5259,3,1,2,2,18367,3,9741798534,9229444439,642839637,558085077,558117845,3,1,29020424036,73389,73389,2,2,2,558085081,31,1,3,608297,46492916,11131282,329548,80850,9741798534,9084490,340860028,10972
135355.47,1309,262144,64,471548,31074805590,69,210594869,9142,80,80,1286,3086,196,594,10441396,12,184845,24,2,120701993,1190,1,4,16583,584955458,25,2339692680,23,86737,932186,2,26198,594,384018010,68907900,10492977074,594,5259,3,1,2,2,18367,3,10440987056,9835428810,694462550,594131914,594164682,3,1,30893155624,73389,73389,2,2,2,594099150,31,1,3,636122,51594304,12178728,364432,86655,10440987056,10076964,371837687,10972
