timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55258.64,7,262144,64,177853,11719518886,1071567,21,45,45,6000819,144,0,585,3991558,7,46475,48,5077,128417772,1172,1,47,26555,350207,2,17538,585,67983865,30973403,3488900732,585,1027,6,1,2,1,2,2,1008,1,3474235804,3429151042,472123977,266008560,266008560,2,1,11703655744,73389,73389,2,2,2,265992176,28,3,442259,18880550,5979510,112826,26508,3474235804,3878732,61994376,8216
60272.57,7,262144,64,213135,14044236282,1071567,21,45,45,7209496,150,0,585,4333531,7,56427,48,5077,129479580,1172,1,47,31739,370660,2,17538,585,76268737,32399038,4171017094,585,1027,6,1,2,1,2,2,1008,1,4153713052,4108754087,517991144,318843791,318843791,2,1,14029126804,73389,73389,2,2,2,318843791,28,3,472745,20027543,6269892,121597,31692,4153713052,4211934,69988758,8216
65284.94,7,262144,64,222874,14685942262,1071567,21,45,45,7686519,152,0,585,4603699,7,59193,48,5077,129745032,1172,1,47,33169,391961,2,17538,585,80410092,34939160,4359414017,585,1027,6,1,2,1,2,2,1008,1,4341277084,4296358869,541540298,333413868,333430252,2,1,14670210192,73389,73389,2,2,2,333413868,28,3,481065,21579471,6568485,130953,33123,4341277084,4472746,73831232,8216
70309.34,7,262144,64,232744,15336498910,1071567,21,45,45,8122481,153,0,585,4892658,7,61941,48,5077,130010484,1172,1,47,34621,426078,2,17538,585,85649657,37947600,4550442939,585,1027,6,1,2,1,2,2,1008,1,4531462556,4486517983,698141055,348202970,348219354,2,1,15320930680,73389,73389,2,2,2,348202970,28,3,487766,23164126,6904210,140045,34574,4531462556,4752613,78733100,8216
75322.48,7,262144,64,242423,15974345126,1071567,21,45,45,8529548,155,1,585,5169028,7,64689,48,5077,130275936,1172,1,47,36043,446729,2,17538,585,91177841,40939675,4737659538,585,1027,6,1,2,1,2,2,1008,1,4717846940,4673029977,731183498,362691127,362707511,2,1,15958409588,73389,73389,2,2,2,362691127,28,3,497855,24722111,7246233,149250,35996,4717846940,5019778,83920095,8216
80345.72,7,262144,64,252346,16628109730,1071567,21,45,45,8972200,157,1,585,5445615,7,67504,48,5077,130541388,1172,1,47,37499,482622,2,17538,585,96148063,43843900,4929349396,585,1027,6,1,2,1,2,2,1008,1,4908687772,4864074956,824935288,377556116,377572500,2,1,16612469104,73389,73389,2,2,2,377556116,28,3,505667,26365580,7575938,158371,37452,4908687772,5287244,88561096,8216
85365.80,7,262144,64,262157,17274534302,1071567,21,45,45,9409021,158,1,585,5723297,7,70236,48,5077,130541388,1172,1,47,38940,521327,2,17538,585,101890229,46885529,5119064907,585,1027,6,1,2,1,2,2,1008,1,5097562524,5053019966,868300705,392257265,392257265,2,1,17258598764,73389,73389,2,2,2,392240881,28,3,511799,27931947,7901652,168182,38893,5097562524,5555115,93976350,8216
90378.07,7,262144,64,271794,17909290158,1071567,21,45,45,9838704,160,1,585,6008534,7,72978,48,5077,130806840,1172,1,47,40357,565449,2,17538,585,107064488,49864456,5305625450,585,1027,6,1,2,1,2,2,1008,1,5283291548,5238594784,986871296,406690237,406706621,2,1,17894370428,73389,73389,2,2,2,406690237,28,3,523296,29503838,8261119,177400,40310,5283291548,5831134,98790101,8216
95383.36,7,262144,64,292921,19301567338,1071567,21,45,45,10473137,163,1,585,6336917,7,78857,48,5077,131337744,1172,1,47,43463,587748,2,17538,585,114554265,52535534,5714390476,585,1027,6,1,2,1,2,2,1008,1,5690401180,5645621980,1112059473,438322474,438338858,2,1,19286188856,73389,73389,2,2,2,438322474,28,3,556357,30945677,8646501,186639,43416,5690401180,6150278,105893384,8216
100388.14,7,262144,64,350206,23076236902,1071567,21,45,45,12055896,173,1,585,6743605,7,95019,48,5077,132930456,1172,1,47,51875,588076,2,17538,585,124904291,52560645,6821172063,585,1027,6,1,2,1,2,2,1008,1,6792978844,6749092799,1143860407,524106695,524123079,2,1,23060694580,73389,73389,2,2,2,524106695,28,3,575020,31730312,8839268,195868,51828,6792978844,6547737,116050620,8216
105403.71,7,262144,64,385639,25410862300,1071567,21,45,45,13016723,179,1,585,7119237,7,105066,48,5077,133726812,1172,1,47,57081,602837,2,17538,585,132059573,54177822,7506124777,585,1027,6,1,2,1,2,2,1008,1,7475208604,7431594742,1181708782,577163110,577179494,2,1,25395176840,73389,73389,2,2,2,577163110,28,3,583998,33093157,9107214,206514,57034,7475208604,6912723,122937171,8216
