timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
60167.76,466,262144,64,203113,13383635834,26,85808662,3461,28,28,27430,1358,52,594,4381083,2,22,79838,6,21,69698,117058274,1190,1,4,36907,252826612,21,1011241860,20,35589,395408,2,110856,594,156575096,25826182,4311606538,592,3446,2,3,1,2,2,38059,3,4290229475,4220178117,282537912,256941978,256941978,3,1,13360130920,73389,73389,2,2,2,256925598,17,3,302392,19295466,4729582,137899,35559,4290229475,4243184,151842962,17171
65181.83,495,262144,64,215423,14193834870,27,88754707,3605,29,29,27430,1438,53,594,4597795,2,22,84669,6,21,69698,117058274,1190,1,4,36907,268116807,21,1072467228,20,37776,399246,2,110856,594,164942407,25921005,4576159910,592,3446,2,3,1,2,2,38059,3,4553539803,4475971674,294583701,272483029,272483029,3,1,14169117540,73389,73389,2,2,2,272483033,17,3,312506,19757322,4874125,143157,37745,4553539803,4454638,160065959,17171
70189.80,528,262144,64,226754,14941491006,28,90730208,3709,30,30,27430,1512,54,594,4831649,2,22,89144,6,21,69698,117058274,1190,1,4,36907,282249847,21,1128999388,20,39849,402620,2,110856,594,173639681,26182690,4829287070,592,3446,2,3,1,2,2,38059,3,4805453241,4712629160,306156506,286776293,286792677,3,1,14912367268,73389,73389,2,2,2,286776297,17,3,322217,20287349,5055040,148646,39818,4805453241,4683003,168582859,17171
75201.18,550,262144,64,238299,15703183912,29,94292936,3813,32,32,27430,1585,56,594,5063191,2,22,93654,6,21,69698,117058274,1190,1,4,36907,296488700,21,1185890240,20,42007,404797,2,110856,594,182386679,26466234,5092693825,592,3446,2,3,1,2,2,38059,3,5067599767,4954485048,319382114,301307125,301307125,3,1,15667970532,73389,73389,2,2,2,301307129,17,3,338608,20823219,5264830,154187,41973,5067599767,4909004,177121677,17171
80211.75,584,262144,64,249699,16453769320,31,97538936,3904,33,33,27430,1657,59,594,5295919,2,22,98118,6,21,69698,117058274,1190,1,4,36907,310672366,21,1242560160,20,44130,407188,2,110856,594,191168532,26758765,5350689445,592,3446,2,3,1,2,2,38059,3,5324304413,5192524554,332319379,315627568,315627568,3,1,16412633568,73389,73389,2,2,2,315627572,17,3,341612,21355265,5433719,159754,44095,5324304413,5136165,185735417,17171
85224.88,611,262144,64,261151,17207171366,31,98264661,4005,33,33,27430,1731,61,594,5535264,2,22,102558,6,21,69698,117058274,1190,1,4,36907,324671955,21,1298623452,20,46308,410821,2,110856,594,199825899,27066184,5616211735,592,3446,2,3,1,2,2,38059,3,5588530962,5431831729,342653627,329976905,329976905,3,1,17158799092,73389,73389,2,2,2,329976909,17,3,342252,21900894,5586111,165374,46273,5588530962,5369890,194241896,17171
90236.41,626,262144,64,272161,17933380202,31,99519821,4152,33,33,27430,1803,62,594,5755088,2,22,106890,6,21,69698,117058274,1190,1,4,36907,338386491,21,1353545964,20,48395,413798,2,110856,594,208012720,27313517,5871002837,592,3446,2,3,1,2,2,38059,3,5842101718,5662200296,352937105,343821768,343821768,3,1,17878731968,73389,73389,2,2,2,343821772,17,3,347805,22398267,5735064,170649,48360,5842101718,5584439,202280336,17171
95249.89,654,262144,64,283382,18673586058,31,101038623,4321,33,33,27430,1878,66,594,5970036,2,22,111285,6,21,69698,117058274,1190,1,4,36907,352249292,21,1408932468,20,50551,417481,2,110856,594,215967624,27514379,6132382487,592,3446,2,3,1,2,2,38059,3,6102229811,5897473160,363212547,357914550,357914550,3,1,18611556632,73389,73389,2,2,2,357914554,17,3,352929,22887603,5878094,176413,50516,6102229811,5793623,210091880,17171
100260.96,682,262144,64,294623,19413727110,32,102764513,4428,34,34,27430,1947,68,594,6214289,2,22,115688,6,21,69698,117058274,1190,1,4,36907,366159082,21,1464636328,20,52723,421663,2,110856,594,224671307,27752618,6397251125,592,3446,2,3,1,2,2,38059,3,6365788305,6132744088,374534472,371997425,371997425,3,1,19343866132,73389,73389,2,2,2,371997429,17,3,361561,23428675,6065384,182415,52687,6365788305,6031874,218608128,17171
105269.95,733,262144,64,305729,20145986082,32,103399234,4517,34,34,27430,2021,73,594,6463959,2,22,120027,6,21,69698,117058274,1190,1,4,36907,379854255,21,1519417020,20,54890,424234,2,110856,594,233403388,28066361,6660999201,592,3446,2,3,1,2,2,38059,3,6628227564,6365941881,384870226,385903950,385903950,3,1,20067005432,73389,73389,2,2,2,385903954,17,3,364408,24001990,6229938,188586,54854,6628227564,6275373,227177215,17171
110281.47,765,262144,64,318067,20959009538,32,104120251,4617,34,34,27430,2101,79,594,6700422,2,22,124842,6,21,69698,117058274,1190,1,4,36907,395100666,21,1580402664,20,57288,427850,2,110856,594,242134594,28251670,6952739271,592,3446,2,3,1,2,2,38059,3,6918558150,6624321208,395177693,401358763,401375147,3,1,20870655708,73389,73389,2,2,2,401358767,17,3,366464,24529468,6369614,194777,57253,6918558150,6505645,235769648,17171
115289.88,794,262144,64,331028,21813199770,32,104376637,4658,34,34,27430,2182,80,594,6950019,2,22,129889,6,21,69698,117058274,1190,1,4,36907,411088674,21,1644290028,20,59831,431467,2,110856,594,251285597,28465528,7261939285,592,3446,2,3,1,2,2,38059,3,7226271169,6896084081,405498369,417581465,417597849,3,1,21714236212,73389,73389,2,2,2,417581469,17,3,368059,25087482,6524125,200931,59795,7226271169,6749088,244766669,17171
120299.51,811,262144,64,344727,22716962170,32,104791648,4721,34,34,27430,2271,80,594,7197083,2,22,135233,6,21,69698,117058274,1190,1,4,36907,427972166,21,1711824160,20,62540,434034,2,110856,594,260363350,28579482,7591943257,592,3446,2,3,1,2,2,38059,3,7554712385,7184150897,415836164,434745803,434745803,3,1,22606781788,73389,73389,2,2,2,434745807,17,3,373326,25629156,6665741,206916,62504,7554712385,6990167,253703229,17171
125308.28,836,262144,64,359575,23695108418,33,107623891,4798,35,35,27430,2365,81,594,7446202,2,22,141023,6,21,69698,117371990,1190,1,4,36907,446261856,21,1784982972,20,65486,436554,2,110856,594,269818420,28663384,7948977651,592,3446,2,3,1,2,2,38059,3,7910056136,7496169183,428980226,453268298,453284682,3,1,23569951528,73389,73389,2,2,2,453268302,17,3,383916,26172865,6817833,213227,65449,7910056136,7232975,263005969,17171
130314.41,842,262144,64,378139,24917860316,35,111213316,4909,38,38,27430,2488,88,594,7650576,2,22,148199,6,21,69698,117685706,1190,1,4,36907,469072812,21,1876226400,20,69240,438310,2,110856,594,277926376,28670274,8403576230,592,3446,2,3,1,2,2,38059,3,8362586025,7886361905,441323273,476453756,476453756,3,1,24775595344,73389,73389,2,2,2,476453760,17,3,396229,26644144,6912570,219265,69200,8362586025,7431311,271019137,17171
135319.01,842,262144,64,391792,25818861446,38,117488799,5104,39,39,27430,2574,88,594,7752809,2,22,153473,6,21,69698,117987356,1190,1,4,36907,485693357,21,1942750340,20,72029,438636,2,110856,594,282534841,28671459,8742309918,592,3446,2,3,1,2,2,38059,3,8699815577,8174248330,452695475,493495214,493495214,3,1,25661751160,73389,73389,2,2,2,493495218,17,3,414882,26895552,6998381,222685,71988,8699815577,7530124,275542343,17171
140372.17,880,262144,64,405778,26740805246,38,121834021,5442,45,45,27430,2662,90,594,8119136,2,22,159001,6,21,69698,119242220,1190,1,4,36907,503171463,21,2012621172,20,74859,467059,2,110856,594,295375353,30837811,9085034725,592,3446,2,3,1,2,2,38059,3,9040859927,8468219310,473010460,510973007,510973007,3,1,26570596396,73389,73389,2,2,2,510973011,17,3,445000,28610350,7506346,238567,74812,9040859927,7880569,287874699,17171
145435.95,957,262144,64,423224,27889612200,40,141936163,5949,61,61,27430,2775,99,594,8774051,2,22,165732,6,25,69698,119242220,1190,1,4,36907,524468033,21,2097872132,24,78387,665612,2,110933,594,317054164,46332824,9511918608,592,3446,2,3,1,2,2,38059,3,9465504450,8835002766,534149130,532735216,532735216,3,1,27702231264,73389,73389,2,2,2,532735220,17,3,506032,35638918,8462087,264243,78324,9465504450,8509808,308597960,17171
150464.60,1023,262144,64,439889,28988454204,55,177285715,6421,62,62,27430,2880,111,594,9387544,2,22,172173,6,25,69698,119857586,1190,1,4,36907,544947536,21,2179790144,24,81766,883501,2,110933,594,337915948,60413401,9921054388,592,3446,2,3,1,2,2,38059,3,9872495390,9185263503,608707067,553587669,553604053,3,1,28786558820,73389,73389,2,2,2,553587673,17,3,580882,41844348,9457820,287528,81702,9872495390,9100016,328463594,17171
155470.47,1040,262144,64,451933,29781027608,61,186970309,6718,62,62,27430,2961,116,594,9610635,2,22,176814,6,25,69698,120147170,1190,1,4,36907,559613803,21,2238455212,24,84252,906871,2,110933,594,345738269,61711675,10220022417,592,3446,2,3,1,2,2,38059,3,10170042040,9438687579,628139183,568582015,568582015,3,1,29566264812,73389,73389,2,2,2,568582019,17,3,598124,42883537,9690858,295212,84188,10170042040,9315423,336051962,17171
160475.68,1062,262144,64,464470,30607406444,67,196937497,7021,68,68,27430,3038,121,594,9871214,2,22,181711,6,25,69698,120460886,1190,1,4,36907,575129346,21,2300517384,24,86838,919611,2,110933,594,355204483,63195274,10531927819,592,3446,2,3,1,2,2,38059,3,10480445498,9702890566,649796000,584229118,584229118,3,1,30379914168,73389,73389,2,2,2,584229122,17,3,646163,44190729,10107945,304978,86768,10480445498,9566236,345099116,17171
