timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55129.18,1,8192,2,229185,15100837636,2,6997943,55,45,3077954,9,15,62287,5,11263320,92,1,4,33711,35651,2,47,45,134910,351327952,83424908,3902945,4435417643,36,107,9,2,1,4,4,636,1,4416900946,4414479405,99892957,343180003,343196387,2,1,15099920132,73389,73389,4,4,4,343180003,12,1,3,50834,7332408,1711948,91570,33705,4416900946,2986384,81722218,265
60147.01,1,8192,2,247349,16297604388,2,6997943,55,45,3367830,9,15,67242,5,11263320,92,1,4,36379,51872,2,47,45,145590,391760096,92082361,4756450,4786653851,36,107,9,2,1,4,4,636,1,4766601042,4764351652,110301764,370391163,370391163,2,1,16296490276,73389,73389,4,4,4,370374779,12,1,3,54837,8242109,1933952,102338,36373,4766601042,3265492,90157567,265
65158.84,1,8192,2,265242,17476876336,2,6997943,55,45,3656851,9,15,72122,5,11263320,92,1,4,39011,57324,2,47,45,156122,415432692,100721762,5621671,5133152859,36,107,9,2,1,4,4,636,1,5111582546,5109048784,120696951,397182372,397182372,2,1,17475038020,73389,73389,4,4,4,397159955,12,1,3,55899,9136719,2127416,112800,39005,5111582546,3544051,98604006,265
70165.11,1,8192,2,289667,19086353052,2,6997943,56,45,3982107,9,15,78839,5,11528772,92,1,4,42598,61145,2,47,45,170474,440760292,109599371,6040814,5605280106,36,107,9,2,1,4,4,636,1,5581737810,5579599049,131111889,433770325,433770325,2,1,19085894300,73389,73389,4,4,4,433770325,12,1,3,62779,9913450,2374868,121551,42592,5581737810,3860556,107235271,265
75176.83,1,8192,2,310382,20451363948,2,6997943,56,45,4319351,9,15,84489,5,11528772,92,1,4,45641,65714,2,47,45,182654,483042964,118331838,6714407,6005843767,36,107,9,2,1,4,4,636,1,5980589906,5978595267,141543776,464790321,464806705,2,1,20450774124,73389,73389,4,4,4,464790321,12,1,3,66519,10827620,2626753,132025,45635,5980589906,4187326,115715478,265
80194.63,1,8192,2,328160,21622309516,2,6997943,57,45,4630860,9,15,89388,5,11794224,92,1,4,48250,73442,2,47,45,193094,506201596,126907180,7643386,6348849883,36,107,9,2,1,4,4,636,1,6322099492,6320896370,151947641,491395273,491411657,2,1,21621392012,73389,73389,4,4,4,491395273,12,1,3,66921,11807505,2849392,142793,48244,6322099492,4488067,124068978,265
85206.55,1,8192,2,346143,22807214252,2,6997943,57,45,4945292,9,15,94295,5,11794224,92,1,4,50896,80835,2,47,45,203690,564611092,135535614,8494183,6697195620,36,107,9,2,1,4,4,636,1,6668916004,6667228318,162364320,518327905,518344289,2,1,22806427820,73389,73389,4,4,4,518327905,12,1,3,69098,12759623,3053590,154196,50890,6668916004,4791096,132493783,265
90219.02,1,8192,2,364429,24012241848,2,6997943,57,45,5257535,9,15,99279,5,11794224,92,1,4,53581,91248,2,47,45,214434,588144020,144165558,9368960,7050662061,36,107,9,2,1,4,4,636,1,7020844324,7019473261,172799867,545725322,545725322,2,1,24011914168,73389,73389,4,4,4,545725322,12,1,3,73107,13711469,3270358,166400,53575,7020844324,5091135,140906359,265
95227.44,1,8192,2,382688,25215246586,2,6997943,57,45,5572562,9,15,104261,5,11794224,92,1,4,56267,99062,2,47,45,225178,594533396,152519408,10235995,7404248750,36,107,9,2,1,4,4,636,1,7372903716,7371138706,182926480,573051170,573067554,2,1,25214251480,73389,73389,4,4,4,573051170,12,1,3,78258,14662717,3513331,178496,56261,7372903716,5394066,149017208,265
100239.20,1,8192,2,400584,26394342628,2,6997943,58,45,5873666,9,15,109196,5,11794224,92,1,4,58895,111575,2,47,45,235690,600781652,161347243,11110315,7749667573,36,107,9,2,1,4,4,636,1,7716814046,7715790559,193588130,599866955,599866955,2,1,26393425124,73389,73389,4,4,4,599850571,12,1,3,81035,15609442,3746591,189442,58889,7716814046,5684224,157611716,265
