timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55124.51,1,8192,2,198214,13059973196,2,8686258,55,1,45,2942316,3,23,53844,5,4,11263320,92,1,4,29160,42865,2,172,45,116684,255894504,80339087,6045929,3836382870,42,104,3,2,1,4,4,799,1,3820261202,3817890505,96425631,296805657,296822041,2,1,13059448908,73389,73389,4,4,4,296805657,15,3,56684,8039456,2135835,92556,29154,3820261202,2849760,78202141,600
60132.59,1,8192,2,215951,14228756076,2,8686258,55,1,45,3248707,3,23,58680,5,4,11263320,92,1,4,31767,51752,2,172,45,127116,279279576,88884238,6995231,4179597969,42,104,3,2,1,4,4,799,1,4161965906,4159551901,106823020,323361457,323377841,2,1,14227904108,73389,73389,4,4,4,323361457,15,3,60614,8990623,2405169,104502,31761,4161965906,3144205,86478167,600
65140.28,1,8192,2,234247,15434439032,2,8686258,55,1,45,3555520,3,23,63669,5,4,11263320,92,1,4,34456,58138,2,172,45,137876,285701208,97411666,7939781,4533720560,42,104,3,2,1,4,4,799,1,4514549586,4511999642,117217693,350775258,350775258,2,1,15434111352,73389,73389,4,4,4,350775258,15,3,66258,9956971,2673566,116355,34450,4514549586,3439165,94737567,600
70152.30,1,8192,2,252360,16627863448,2,8686258,55,1,45,3855109,3,23,68608,5,4,11263320,92,1,4,37116,63920,2,172,45,148524,326087576,106014150,8873556,4883896058,42,104,3,2,1,4,4,799,1,4863201106,4860859567,127628531,377888114,377904498,2,1,16627077016,73389,73389,4,4,4,377888114,15,3,69975,10933105,2971371,126916,37110,4863201106,3728193,103043168,600
75166.87,1,8192,2,270304,17810212280,2,8686258,55,1,45,4160692,3,23,73505,5,4,11263320,92,1,4,39754,69190,2,172,45,159084,366227520,114587624,9791731,5231185024,42,104,3,2,1,4,4,799,1,5208969042,5206506784,138022689,404755210,404771594,2,1,17809229240,73389,73389,4,4,4,404755210,15,3,74912,11903906,3189886,138129,39748,5208969042,4022563,111398165,600
80174.27,1,8192,2,297377,19594290132,2,8686258,56,1,45,4568552,3,23,80940,5,4,11528772,92,1,4,43730,71230,2,172,45,174992,392580072,123384202,10145507,5754502847,42,104,3,2,1,4,4,799,1,5730111314,5728065151,148548697,445315839,445315839,2,1,19593896916,73389,73389,4,4,4,445315839,15,3,76541,12770302,3375373,147152,43724,5730111314,4421400,120009485,600
85188.83,1,8192,2,329778,21728877668,2,8686258,57,1,45,5036066,3,23,89831,5,4,11794224,92,1,4,48490,71711,2,172,45,194048,472027688,132265425,10198752,6380505725,42,104,3,2,1,4,4,799,1,6353556772,6352007765,159116827,493832171,493832171,2,1,21728615524,73389,73389,4,4,4,493832171,15,3,76664,13592071,3501994,153631,48484,6353556772,4882435,128765021,600
90197.79,1,8192,2,347758,22913585796,2,8686258,57,1,45,5352530,3,23,94736,5,4,11794224,92,1,4,51132,75889,2,172,45,204624,530297736,140760901,11177446,6728190837,42,104,3,2,1,4,4,799,1,6699717924,6698309283,169530411,520748419,520764803,2,1,22912930436,73389,73389,4,4,4,520748419,15,3,77172,14564093,3720057,164828,51126,6699717924,5187702,137042263,600
95211.67,1,8192,2,366062,24119793040,2,8686258,57,1,45,5664716,3,23,99726,5,4,11794224,92,1,4,53821,81749,2,172,45,215396,587612636,149332808,12068285,7082328451,42,104,3,2,1,4,4,799,1,7052301604,7050882105,179928858,548162220,548178604,2,1,24119137680,73389,73389,4,4,4,548162220,15,3,77552,15476837,3959384,176135,53815,7052301604,5488581,145374369,600
100219.04,1,8192,2,391963,25826531796,2,8686258,57,1,45,6001550,3,23,106842,5,4,11794224,92,1,4,57627,83791,2,172,45,230624,613189900,155527506,12212921,7583194873,42,104,3,2,1,4,4,799,1,7551161636,7549858690,187301907,586957695,586957695,2,1,25825417684,73389,73389,4,4,4,586941311,15,3,78365,16152705,4074403,183445,57621,7551161636,5818105,151454466,600
