timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
162612.82,253952,62,175861,11586499054,32,47040759,354,35,35,5114,142,675,1015732,2,63,45300,44,71,144004148,1352,1,43,49,14,206,675,36465932,549130,3439548219,673,309,2,2,1,14,14,361,1,3439168464,3390677382,139531893,262976249,262976249,1,2,1,11570954956,73389,73389,14,14,14,262976249,10,3,578662,1037124,2222692,26261,3439168464,1015732,34244537,1658
164621.01,253952,62,188911,12446256538,33,49654462,377,37,37,5114,145,675,1084869,2,63,49034,44,71,144269600,1352,1,43,51,14,206,675,39179830,601512,3687373813,673,309,2,2,1,14,14,361,1,3690695632,3642083404,145009692,282518426,282518426,1,2,1,12430089848,73389,73389,14,14,14,282502042,10,3,587206,1107860,2310255,28180,3690695632,1084869,36870971,1658
166631.64,253952,62,208199,13717216658,34,52865656,442,38,38,5114,148,675,1213000,2,63,54455,44,71,145065956,1352,1,43,52,14,206,675,43998584,806878,4062018778,673,309,2,2,1,14,14,361,1,4061891536,4013565054,154108334,311396436,311412820,1,2,1,13701443184,73389,73389,14,14,14,311396436,10,3,596292,1238777,2493791,31012,4061891536,1213000,41506365,1658
168637.84,253952,62,226916,14950755722,34,55194320,504,39,39,5114,151,675,1344787,2,63,59724,44,71,145596860,1352,1,43,53,14,206,675,48694046,1102222,4422509460,673,309,2,2,1,14,14,361,1,4422077392,4374172347,162208304,339438862,339455246,1,2,1,14935309928,73389,73389,14,14,14,339438862,10,3,601852,1373327,2658414,33760,4422077392,1344787,46037381,1658
170647.78,253952,62,244149,16085977554,35,58252444,571,39,39,5114,154,675,1472758,2,63,64545,44,71,145596860,1352,1,43,53,14,206,675,53122389,1514562,4752315001,673,309,2,2,1,14,14,361,1,4753820624,4706022962,170606414,365245316,365245316,1,2,1,16070793904,73389,73389,14,14,14,365245316,10,3,607809,1503942,2840164,36291,4753820624,1472758,50284134,1658
172653.12,253952,62,257547,16968807018,38,62929511,609,40,40,5114,156,675,1555052,2,63,68349,44,71,146127764,1352,1,43,54,14,206,675,56296935,1753241,5012602631,673,309,2,2,1,14,14,361,1,5011770320,4964172889,179074284,385301430,385301430,1,2,1,16953262920,73389,73389,14,14,14,385301430,10,3,617009,1588042,2960791,38259,5011770320,1555052,53338161,1658
174663.83,253952,62,271943,17917572314,38,64590548,652,42,42,5114,158,675,1649270,2,63,72389,44,71,146658668,1352,1,43,56,14,206,675,59782860,1953556,5289946337,673,309,2,2,1,14,14,361,1,5289249744,5241471002,184646606,406852362,406868746,1,2,1,17901503928,73389,73389,14,14,14,406852362,10,3,629484,1684322,3077887,40376,5289249744,1649270,56707121,1658
176668.52,253952,62,284251,18728436634,40,68026961,683,42,42,5114,160,675,1716850,2,63,75855,44,71,146658668,1352,1,43,56,14,206,675,62456628,1996543,5527946415,673,309,2,2,1,14,14,361,1,5525834704,5478427459,190863243,425290778,425307162,1,2,1,18712794232,73389,73389,14,14,14,425290778,10,3,631258,1753409,3146952,42181,5525834704,1716850,59311931,1658
178681.72,253952,62,299767,19750441718,40,69911520,733,45,45,5114,163,675,1825197,2,63,80260,44,71,147189572,1352,1,43,59,14,206,675,66334317,2411600,5823259837,673,309,2,2,1,14,14,361,1,5823765323,5777246133,197512007,448527103,448527103,1,2,1,19735192532,73389,73389,14,14,14,448527103,10,3,645465,1864091,3291542,44458,5823765323,1825197,63045172,1658
180689.17,253952,62,316067,20823794258,41,73770642,794,48,48,5114,167,675,1948446,2,63,84927,44,71,147720476,1352,1,43,62,14,206,675,70598833,3516781,6134857389,673,309,2,2,1,14,14,361,1,6136665449,6090944246,207299626,472926692,472926692,1,2,1,20808053552,73389,73389,14,14,14,472910308,10,3,653722,1989869,3473517,46852,6136665449,1948446,67127857,1658
182699.30,253952,62,332785,21925795954,44,79598898,865,48,48,5114,169,675,2081147,2,63,89588,44,71,148251380,1352,1,43,62,14,206,675,75081855,4180253,6461118467,673,309,2,2,1,14,14,361,1,6459102569,6413016304,217720429,497958780,497975164,1,2,1,21910186320,73389,73389,14,14,14,497958780,10,3,657405,2125919,3623742,49312,6459102569,2081147,71460814,1658
184703.80,253952,62,344421,22692206164,46,83836187,889,48,48,5114,172,675,2142786,2,63,92966,44,71,148782284,1352,1,43,62,14,206,675,77638436,4241404,6683712976,673,309,2,2,1,14,14,361,1,6682128394,6636998939,225932380,515397772,515397772,1,2,1,22677501968,73389,73389,14,14,14,515397772,10,3,657576,2188950,3703919,51020,6682128394,2142786,73937307,1658
186715.78,253952,62,356188,23467350056,46,85718125,925,48,48,5114,174,675,2205437,2,63,96284,44,71,149047736,1352,1,43,62,14,206,675,80086154,4242089,6910694502,673,309,2,2,1,14,14,361,1,6908882954,6863709242,230277892,532994571,533010955,1,2,1,23451761124,73389,73389,14,14,14,532994571,10,3,663652,2252981,3782915,52750,6908882954,2205437,76306126,1658
188722.13,253952,62,371428,24471532656,46,87320705,968,51,51,5114,177,675,2316193,2,63,100606,44,71,149844092,1352,1,43,65,14,206,675,84060223,4784618,7203522942,673,309,2,2,1,14,14,361,1,7201561411,7157139382,236789567,555835521,555835521,1,2,1,24456762924,73389,73389,14,14,14,555835521,10,3,671002,2366055,3931971,54989,7201561411,2316193,80131293,1658
190727.00,253952,62,384505,25332699164,49,91719739,1002,51,51,5114,180,675,2394681,2,63,104333,44,71,150109544,1352,1,43,65,14,206,675,87100484,4990084,7454496367,673,309,2,2,1,14,14,361,1,7452296040,7408809710,244585586,575410466,575410466,1,2,1,25317339608,73389,73389,14,14,14,575394082,10,3,673470,2446274,4021232,56908,7452296040,2394681,83082405,1658
192737.21,253952,62,397192,26167359668,49,93230290,1024,53,53,5114,185,675,2480452,2,63,108064,44,71,151171352,1352,1,43,67,14,206,675,90177524,5307811,7696181763,673,309,2,2,1,14,14,361,1,7693866861,7652707905,249532264,594377044,594393428,1,2,1,26152589936,73389,73389,14,14,14,594377044,10,3,680433,2533800,4134049,58766,7693866861,2480452,86046746,1658
