timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
225949.41,2,253952,62,80169,5280633510,2,16257647,587,4,4,5440,562,1,576,593637,0,4,31507,9,0,113407760,1154,1,1081,0,4,1645,99841216,8,399364864,8,18,4,1577,576,1081,8,0,0,40298973,689675,1699037298,0,576,594,0,3,1,14,14,2300,3,1697719114,1665787149,57116398,101331749,101348133,1,3,1,5269250980,73389,73389,14,14,14,101331753,10,3,130528,607817,940440,14116,1697719114,593637,39360137,1873
227956.41,2,253952,62,86008,5664601342,2,17841794,601,4,4,5440,619,1,576,626205,0,4,33829,9,0,114059324,1154,1,1081,0,4,1645,107182039,8,428663620,8,18,4,1577,576,1081,8,0,0,42730443,690278,1820593902,0,576,594,0,3,1,14,14,2300,3,1819185955,1786380493,61132556,108745065,108745065,1,3,1,5654743412,73389,73389,14,14,14,108745069,10,3,132228,641250,985319,15164,1819185955,626205,41746810,1873
229961.28,2,253952,62,92332,6083418898,3,20223179,630,5,5,5440,639,1,576,666343,0,4,36304,9,0,116858636,1154,1,1081,0,4,1645,115067306,8,460269224,8,19,4,1577,576,1081,8,0,0,45543353,699615,1953185564,0,576,594,0,3,1,14,14,2300,3,1951802122,1918123834,66334675,116759383,116775767,1,3,1,6071487948,73389,73389,14,14,14,116759387,10,3,138785,682392,1059200,16222,1951802122,666343,44485947,1873
231970.60,2,253952,62,99567,6559478286,3,21624405,669,6,6,5440,707,1,585,723377,0,4,39177,9,0,118357518,1172,1,1081,0,4,1645,124117204,8,496404204,8,20,4,1577,585,1081,8,0,0,49248742,791138,2098769283,0,585,605,0,3,1,14,14,2300,3,2097248215,2068680390,71516618,125921469,125921469,1,3,1,6547916420,73389,73389,14,14,14,125921473,10,3,156360,740734,1150989,17474,2097248215,723377,48099685,1901
233984.16,2,253952,62,107362,7073130718,3,23147557,723,6,6,5440,742,1,585,788017,0,4,42238,9,0,118671234,1172,1,1081,0,4,1645,133855136,8,535420544,8,20,4,1577,585,1081,8,0,0,53636799,938059,2266861681,0,585,605,0,3,1,14,14,2300,3,2265180789,2230104223,77578312,135814358,135814358,1,3,1,7062346648,73389,73389,14,14,14,135814362,10,3,167167,806914,1230766,18830,2265180789,788017,52408130,1901
235998.72,2,253952,62,115425,7604370930,3,24481346,805,6,6,5440,781,1,585,858686,0,4,45383,9,0,118671234,1172,1,1081,0,4,1645,143883012,8,575532048,8,20,4,1577,585,1081,8,0,0,58253785,1065855,2443517352,0,585,605,0,3,1,14,14,2300,3,2441274082,2398395040,83635246,145969391,145969391,1,3,1,7590408364,73389,73389,14,14,14,145969395,10,3,172145,879248,1309522,20270,2441274082,858686,56946531,1901
238003.69,2,253952,62,121321,7992967198,4,26557278,835,6,6,5440,836,1,585,895946,0,4,47701,9,0,118671234,1172,1,1081,0,4,1645,151202292,8,604809168,8,20,4,1577,585,1081,8,0,0,60994309,1078575,2566117224,0,585,605,0,3,1,14,14,2300,3,2564034006,2521201003,88461912,153408998,153408998,1,3,1,7977267928,73389,73389,14,14,14,153409002,10,3,174401,917457,1352393,21329,2564034006,895946,59644294,1901
240010.81,3,253952,62,127234,8381760562,4,28554601,873,6,6,5440,855,1,594,932992,0,4,49996,9,0,120170395,1190,1,1081,0,4,1645,158535392,8,634076948,8,20,4,1577,594,1081,8,0,0,63560690,1078910,2697961395,0,594,612,0,3,1,14,14,2300,3,2695908477,2644008330,93024413,160863274,160863274,1,3,1,8364890280,73389,73389,14,14,14,160863278,10,3,177078,955480,1402307,22394,2695908477,932992,62160861,1935
242018.62,4,253952,62,135046,8896161452,4,29923256,922,7,7,5440,924,1,612,997603,0,4,53080,9,0,123795078,1226,1,1081,0,4,1645,168216976,8,672803300,8,21,4,1577,612,1081,8,0,0,67729998,1217077,2868660018,0,612,629,0,3,1,14,14,2300,3,2866580558,2806721098,98657775,170707011,170707011,1,3,1,8876764604,73389,73389,14,14,14,170707015,10,3,181485,1021652,1490001,23849,2866580558,997603,66242631,1997
244024.50,4,253952,62,140420,9249618846,5,31914350,941,7,7,5440,942,1,630,1027717,0,4,55160,9,0,126804639,1262,1,1081,0,4,1645,174871341,8,699420732,8,21,4,1577,630,1081,8,0,0,69952396,1222116,2982996534,0,630,641,0,3,1,14,14,2300,3,2980700045,2918392472,102908030,177481351,177481351,1,3,1,9229030284,73389,73389,14,14,14,177481355,10,3,182969,1052582,1518833,24763,2980700045,1027717,68436285,2055
246032.06,4,253952,62,146020,9618526874,5,34295847,972,7,7,5440,993,1,639,1061320,0,4,57379,9,0,128605082,1280,1,1081,0,4,1645,181853860,8,727415440,8,21,4,1577,639,1081,8,0,0,72393249,1223303,3102250246,0,639,646,0,3,1,14,14,2300,3,3099462729,3034956874,107730975,184546285,184546285,1,3,1,9596406852,73389,73389,14,14,14,184546289,10,3,188693,1087033,1551651,25777,3099462729,1061320,70844427,2085
248042.63,4,253952,62,153232,10094647514,5,35506072,1006,8,8,5440,1026,1,639,1120963,0,4,60206,9,0,128918798,1280,1,1081,0,4,1645,190879280,8,763452528,8,22,4,1577,639,1081,8,0,0,76293316,1419601,3262963983,0,639,646,0,3,1,14,14,2300,3,3260293896,3185389664,113045314,193664808,193664808,1,3,1,10070570048,73389,73389,14,14,14,193664812,10,3,191185,1148101,1639428,27094,3260293896,1120963,74656868,2085
250053.56,7,253952,62,160543,10576511556,5,37361143,1033,8,8,5440,1092,1,648,1182121,0,4,63097,9,0,130417586,1298,1,1081,0,4,1645,199968442,8,799873768,8,22,4,1577,648,1081,8,0,0,80222447,1572452,3412863259,0,648,657,0,3,1,14,14,2300,3,3410284264,3337630826,118850243,202885953,202902337,1,3,1,10550069588,73389,73389,14,14,14,202885957,10,3,196417,1210687,1719250,28372,3410284264,1182121,78506323,2124
252069.26,8,253952,62,167860,11058447994,5,39392278,1066,8,8,5440,1127,1,657,1244602,0,4,65967,9,0,132241469,1316,1,1081,0,4,1645,209101955,8,836407820,8,22,4,1577,657,1081,8,0,0,84158454,1728815,3571599303,0,657,668,0,3,1,14,14,2300,3,3568899953,3489422834,125083630,212164442,212164442,1,3,1,11032551016,73389,73389,14,14,14,212164446,10,3,199124,1274617,1784211,29660,3568899953,1244602,82377516,2158
254075.73,8,253952,62,175234,11543918536,5,40944715,1111,8,8,5440,1165,1,657,1307850,0,4,68864,9,0,132241469,1316,1,1081,0,4,1645,218326896,8,873243000,8,22,4,1577,657,1081,8,0,0,88166618,1881035,3725714730,0,657,668,0,3,1,14,14,2300,3,3722488219,3642106250,130805385,221504593,221504593,1,3,1,11518238868,73389,73389,14,14,14,221504597,10,3,201472,1339309,1854812,30927,3722488219,1307850,86315226,2158
256082.70,8,253952,62,180561,11895955396,6,43753420,1129,8,8,5440,1211,1,657,1338469,0,4,70971,9,0,132241469,1316,1,1081,0,4,1645,224961018,8,899844072,8,22,4,1577,657,1081,8,0,0,90379763,1884364,3838127529,0,657,668,0,3,1,14,14,2300,3,3835588770,3753630544,135830754,228231052,228231052,1,3,1,11868014736,73389,73389,14,14,14,228231056,10,3,204104,1370780,1891671,31878,3835588770,1338469,88491593,2158
258092.74,9,253952,62,188596,12425384732,6,45180432,1160,9,9,5440,1254,1,666,1408483,0,4,74124,9,0,133739777,1334,1,1081,0,4,1645,234987435,8,939885068,8,23,4,1577,666,1081,8,0,0,94530352,2054468,4006770775,0,666,674,0,3,1,14,14,2300,3,4003154436,3920167539,141569384,238418853,238418853,1,3,1,12397780388,73389,73389,14,14,14,238418857,10,3,207895,1442277,1985687,33254,4003154436,1408483,92548327,2191
260107.05,10,253952,62,196535,12948160632,6,46884963,1200,9,9,5440,1318,1,666,1480669,0,4,77253,9,0,133739777,1334,1,1081,0,4,1645,244871987,8,979423508,8,23,4,1577,666,1081,8,0,0,98670761,2182897,4179229607,0,666,674,0,3,1,14,14,2300,3,4175454674,4085178339,147545096,248444973,248444973,1,3,1,12919138628,73389,73389,14,14,14,248444977,10,3,210422,1515958,2076314,34702,4175454674,1480669,96598271,2191
262115.61,17,253952,62,204661,13483541678,6,48620312,1241,9,9,5440,1362,1,666,1549197,0,4,80446,9,0,134053493,1334,1,1081,0,4,1645,255012652,8,1020050608,8,23,4,1577,666,1081,8,0,0,102809059,2366101,4347445252,0,666,674,0,3,1,14,14,2300,3,4344923530,4253970509,153585037,258714694,258731078,1,3,1,13453164120,73389,73389,14,14,14,258714698,10,3,214635,1585946,2152037,36090,4344923530,1549197,100661007,2191
264128.95,20,253952,62,212929,14027601404,6,50329145,1295,9,9,5440,1426,3,666,1622967,0,4,83681,9,0,134053493,1334,1,1081,0,4,1645,265256153,8,1060959808,8,23,4,1577,666,1081,8,0,0,106978885,2526646,4532493988,0,666,674,0,3,1,14,14,2300,3,4528653329,4426217981,159546351,269119805,269119805,1,3,1,13994229892,73389,73389,14,14,14,269119809,10,3,218903,1661257,2243408,37636,4528653329,1622967,104739627,2191
266133.78,20,253952,62,219850,14483685788,7,52829340,1326,9,9,5440,1461,3,675,1676113,2,4,86382,9,0,135495160,1352,1,1081,0,4,1645,273823978,8,1095295912,8,23,4,1577,675,1081,8,0,0,110127717,2564259,4687319633,0,673,683,2,3,1,14,14,2300,3,4683618007,4570578379,165323696,277843397,277843397,1,3,1,14447856676,73389,73389,14,14,14,277843401,10,3,223811,1715636,2309325,38896,4683618007,1676113,107822671,2220
268145.06,20,253952,62,227066,14957884626,7,54706183,1349,10,10,5440,1516,3,675,1730411,2,4,89211,9,0,135495160,1352,1,1081,0,4,1645,282780156,8,1131120624,8,24,4,1577,675,1081,8,0,0,113464014,2637683,4842216929,0,673,683,2,3,1,14,14,2300,3,4837860510,4720712056,170613269,286911497,286911497,1,3,1,14919397876,73389,73389,14,14,14,286911501,10,3,225363,1771232,2363131,40193,4837860510,1730411,111105297,2220
270152.91,20,253952,62,235072,15485051438,7,56560623,1374,10,10,5440,1560,3,675,1790158,2,4,92350,9,0,135495160,1352,1,1081,0,4,1645,292778147,8,1171048080,8,24,4,1577,675,1081,8,0,0,117467071,2734967,5011441090,0,673,683,2,3,1,14,14,2300,3,5007452725,4886882305,176331096,297035921,297035921,1,3,1,15445867924,73389,73389,14,14,14,297035925,10,3,228878,1832481,2441815,41581,5007452725,1790158,115029827,2220
272159.09,21,253952,62,240355,15834089504,8,59419438,1391,10,10,5440,1603,3,675,1820759,2,4,94438,9,0,135495160,1352,1,1081,0,4,1645,299365443,8,1197397072,8,24,4,1577,675,1081,8,0,0,119641840,2746156,5126035219,0,673,683,2,3,1,14,14,2300,3,5121570629,4997208772,181606813,303717546,303717546,1,3,1,15793312424,73389,73389,14,14,14,303717550,10,3,231406,1863911,2479768,42546,5121570629,1820759,117166724,2220
274172.33,21,253952,62,246642,16248648196,8,60527072,1447,11,11,5440,1634,3,675,1861691,2,4,96899,9,0,135495160,1352,1,1081,0,4,1645,307199241,8,1228732440,8,25,4,1577,675,1081,8,0,0,122514658,2777442,5258505748,0,673,683,2,3,1,14,14,2300,3,5254157157,5127980015,185614087,311662898,311662898,1,3,1,16206470728,73389,73389,14,14,14,311662902,10,3,236564,1905834,2546652,43628,5254157157,1861691,119972782,2220
276192.84,21,253952,62,254065,16737004220,8,62816643,1489,11,11,5440,1673,3,675,1925155,2,4,99809,9,0,135495160,1352,1,1081,0,4,1645,316475022,8,1265835248,8,25,4,1577,675,1081,8,0,0,126222036,2959169,5418320663,0,673,683,2,3,1,14,14,2300,3,5413718175,5281659772,191786362,321070744,321070744,1,3,1,16695678720,73389,73389,14,14,14,321070748,10,3,252212,1970646,2624434,44942,5413718175,1925155,123602522,2220
278204.85,21,253952,62,261154,17205088064,8,64797443,1534,11,11,5440,1729,3,684,1985954,2,4,102601,9,0,137307901,1370,1,1081,0,4,1645,325263594,8,1301054376,8,25,4,1577,684,1081,8,0,0,129941297,3241235,5570095123,0,682,692,2,3,1,14,14,2300,3,5565216664,5429765324,197759901,330017235,330017235,1,3,1,17160044284,73389,73389,14,14,14,330000855,10,3,258125,2032790,2696885,46222,5565216664,1985954,127249471,2256
280215.35,21,253952,62,267739,17639746528,8,66658428,1572,11,11,5440,1767,3,702,2046643,4,4,105199,9,0,140249156,1406,1,1081,0,4,1645,333482253,8,1333929012,8,25,4,1577,702,1081,8,0,0,133706695,3427896,5712435139,0,698,711,4,3,1,14,14,2300,3,5707683335,5566873354,203561077,338353200,338369584,1,3,1,17594366432,73389,73389,14,14,14,338353204,10,3,259662,2094850,2759484,47406,5707683335,2046643,130952397,2324
282220.93,21,253952,62,274099,18057611846,9,69781206,1605,11,11,5440,1816,3,711,2094291,4,4,107697,9,0,141748216,1424,1,1081,0,4,1645,341395367,8,1365516968,8,25,4,1577,711,1081,8,0,0,136598143,3459594,5851529029,0,707,717,4,3,1,14,14,2300,3,5846401880,5699032175,209603594,346362373,346362373,1,3,1,18010843428,73389,73389,14,14,14,346362377,10,3,261172,2143681,2808369,48578,5846401880,2094291,133795069,2348
284230.90,21,253952,62,280900,18506133560,9,70761058,1622,12,12,5440,1851,3,738,2147629,4,4,110356,9,0,146244154,1478,1,1081,0,4,1645,349857235,8,1399428940,8,26,4,1577,738,1081,8,0,0,139752811,3497826,5996324839,0,734,743,4,3,1,14,14,2300,3,5991077066,5840459984,213768295,354960926,354977310,1,3,1,18457968184,73389,73389,14,14,14,354960930,10,3,263271,2198247,2878370,49766,5991077066,2147629,136879857,2449
286237.50,22,253952,62,288870,19031580574,9,72910427,1650,12,12,5440,1912,3,765,2220392,4,4,113503,9,0,150738905,1532,1,1081,0,4,1645,359785867,8,1439143468,8,26,4,1577,765,1081,8,0,0,143751778,3644922,6167605491,0,761,768,4,3,1,14,14,2300,3,6162070430,6006694413,219968971,365031880,365031880,1,3,1,18981657792,73389,73389,14,14,14,365031884,10,3,266122,2272642,2964213,51213,6162070430,2220392,140793145,2544
288252.21,23,253952,62,297324,19587817930,9,74719608,1689,12,12,5440,1959,3,783,2292773,4,4,116801,9,0,154305672,1568,1,1081,0,4,1645,370303385,8,1481084396,8,26,4,1577,783,1081,8,0,0,147872626,3754814,6351386055,0,779,787,4,3,1,14,14,2300,3,6345817446,6182608576,226091503,375682751,375682751,1,3,1,19535503084,73389,73389,14,14,14,375682755,10,3,274495,2346746,3048051,52725,6345817446,2292773,144830328,2607
290263.14,24,253952,62,305777,20144439378,9,76578105,1717,12,12,5440,2020,4,801,2357413,4,4,120125,9,0,158232507,1604,1,1081,0,4,1645,380791312,8,1523165248,8,26,4,1577,801,1081,8,0,0,151939146,3853580,6538646125,0,797,801,4,3,1,14,14,2300,3,6533306105,6358710914,232110655,386318953,386318953,1,3,1,20088585588,73389,73389,14,14,14,386318957,10,3,277889,2412982,3117885,54297,6533306105,2357413,148827182,2679
292273.93,25,253952,62,313995,20685258502,9,78432014,1745,12,12,5440,2066,4,828,2425838,4,4,123329,9,0,163054651,1658,1,1081,0,4,1645,390977318,8,1563844712,8,26,4,1577,828,1081,8,0,0,156020566,3978636,6721221962,0,824,823,4,3,1,14,14,2300,3,6715588237,6529576072,238178476,396683104,396683104,1,3,1,20627521440,73389,73389,14,14,14,396683108,10,3,282417,2482993,3205761,55790,6715588237,2425838,152820891,2776
294288.40,25,253952,62,321983,21211897230,9,80166258,1791,12,12,5440,2114,4,900,2496386,4,4,126443,9,0,176553460,1802,1,1081,0,4,1645,400860053,8,1603375628,8,26,4,1577,900,1081,8,0,0,160206256,4100181,6902873612,0,896,892,4,3,1,14,14,2300,3,6897087738,6696733318,244086381,406707065,406723449,1,3,1,21148767412,73389,73389,14,14,14,406707069,10,3,284001,2555361,3293701,57292,6897087738,2496386,156918809,3033
296295.25,25,253952,62,329966,21737728824,9,81925544,1835,12,12,5440,2169,4,972,2566998,4,4,129564,9,0,189332333,1946,1,1081,0,4,1645,410748707,8,1642930360,8,26,4,1577,972,1081,8,0,0,164381272,4223580,7084470568,0,968,956,4,3,1,14,14,2300,3,7078467374,6863338533,250258056,416737059,416753443,1,3,1,21670327100,73389,73389,14,14,14,416737063,10,3,285549,2627557,3379507,58808,7078467374,2566998,161008170,3294
298313.21,26,253952,62,337667,22245570786,9,83540831,1893,12,12,5440,2217,4,972,2637612,4,4,132589,9,0,189935633,1946,1,1081,0,4,1645,420314535,8,1681258140,8,26,4,1577,972,1081,8,0,0,168615501,4416072,7258480123,0,968,956,4,3,1,14,14,2300,3,7252369972,7024332529,256275832,426455757,426455757,1,3,1,22175699396,73389,73389,14,14,14,426455761,10,3,287712,2699756,3469212,60253,7252369972,2637612,165152846,3294
300319.50,35,253952,62,345848,22783539094,9,85039133,1944,12,12,5440,2272,4,990,2712779,6,4,135764,9,0,192855776,1982,1,1081,0,4,1645,430387241,8,1721548964,8,26,4,1577,990,1081,8,0,0,172814513,4586936,7445108940,0,984,973,6,3,1,14,14,2300,3,7438441498,7195364185,262123183,436688836,436705220,1,3,1,22707819504,73389,73389,14,14,14,436688840,10,3,292941,2776565,3576904,61813,7438441498,2712779,169244341,3357
302324.99,36,253952,62,351300,23143326962,10,87360497,1959,12,12,5440,2302,4,990,2742684,6,4,137903,9,0,193459076,1982,1,1081,0,4,1645,437187170,8,1748748680,8,26,4,1577,990,1081,8,0,0,174923714,4586975,7564829267,0,984,973,6,3,1,14,14,2300,3,7558448386,7308881052,266561552,443601996,443601996,1,3,1,23067303824,73389,73389,14,14,14,443602000,10,3,297584,2807239,3602799,62798,7558448386,2742684,171327722,3357
304341.90,38,253952,62,359586,23690424500,11,89977492,2021,14,14,5440,2358,4,1089,2817878,6,4,141152,10,0,211074410,2180,1,1081,0,4,1645,447450387,8,1789801548,9,28,4,1589,1089,1081,8,0,0,179273618,4712846,7759200889,0,1083,1073,6,3,1,14,14,2300,3,7752419261,7483085347,273612647,453994153,453994153,1,3,1,23607695988,73389,73389,14,14,14,453994157,10,3,303102,2884149,3701513,64418,7752419261,2817878,175579075,3702
306348.56,41,253952,62,368319,24264954792,11,91314992,2097,14,14,5440,2409,4,1134,2897473,8,4,144549,10,0,218533322,2270,1,1081,0,4,1645,458271541,8,1832957152,9,28,4,1589,1134,1081,8,0,0,183908342,4829203,7959241676,0,1126,1132,8,3,1,14,14,2300,3,7952281939,7665548230,279687074,464954161,464954161,1,3,1,24177616404,73389,73389,14,14,14,464954165,10,3,304907,2965566,3794256,66081,7952281939,2897473,180121221,3878
308354.35,43,253952,62,374830,24694106028,12,93889071,2132,14,14,5440,2455,4,1134,2941702,8,4,147074,10,0,218847038,2270,1,1081,0,4,1645,466281388,8,1865125552,9,28,4,1589,1134,1081,8,0,0,186648520,4833412,8112622308,0,1126,1132,8,3,1,14,14,2300,3,8106056723,7801976401,285003513,473112505,473112505,1,3,1,24601850292,73389,73389,14,14,14,473112509,10,3,308486,3010881,3838329,67366,8106056723,2941702,182817437,3878
310360.28,43,253952,62,382629,25207718696,12,95079788,2185,15,15,5440,2502,4,1161,3003356,8,4,150120,10,0,224296889,2324,1,1081,0,4,1645,475919096,8,1903611672,9,29,4,1589,1161,1081,8,0,0,190460631,4867904,8293189616,0,1153,1155,8,3,1,14,14,2300,3,8286909529,7965204164,289918528,482887462,482887462,1,3,1,25110148056,73389,73389,14,14,14,482887466,10,3,314656,3074001,3921280,68875,8286909529,3003356,186546744,3963
