timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
410005.24,4,253952,62,79652,5246172230,1,14439184,0,703,4,4,5481,566,3,567,587004,0,15,31314,15,111073723,1136,1,1081,0,4,673,99238098,6,396822816,14,18,131,10,108,567,1081,4,0,0,42665522,873902,1690330016,0,567,477,0,3,1,14,14,1336,0,3,1689108241,1654864756,57826902,100688899,100688899,1,3,1,0,5235822780,73389,73389,14,14,14,100688903,9,3,135922,602351,971572,14072,1689108241,587004,41695568,1617
412021.33,4,253952,62,87886,5788619098,1,15956328,0,777,4,4,5481,607,3,567,648066,0,15,34545,15,112316521,1136,1,1081,0,4,673,109509051,6,438036204,14,18,131,10,108,567,1081,4,0,0,47126545,937346,1861742212,0,567,477,0,3,1,14,14,1336,0,3,1860089694,1825760516,63865857,111106076,111106076,1,3,1,0,5777515984,73389,73389,14,14,14,111106080,9,3,141213,665041,1060802,15469,1860089694,648066,46067532,1617
414032.11,5,253952,62,96270,6341813382,1,17280943,0,862,4,4,5481,677,3,567,713963,0,15,37869,15,113245603,1136,1,1081,0,4,673,119999454,6,479997816,14,18,131,10,108,567,1081,4,0,0,51751832,1032914,2040029868,0,567,477,0,3,1,14,14,1336,0,3,2038463927,2000022182,69894966,121729768,121746152,1,3,1,0,6329947968,73389,73389,14,14,14,121729772,9,3,145826,732650,1154296,16973,2038463927,713963,50599508,1617
416038.84,5,253952,62,104672,6895897730,1,18671439,0,945,4,4,5481,715,3,567,776771,0,15,41170,15,115103767,1136,1,1081,0,4,673,130509430,6,522037720,14,18,131,10,108,567,1081,4,0,0,56283151,1137660,2211647178,0,567,477,0,3,1,14,14,1336,0,3,2210316206,2174655680,75907402,132388387,132388387,1,3,1,0,6884196156,73389,73389,14,14,14,132388391,9,3,152105,797037,1258180,18366,2210316206,776771,55027120,1617
418049.14,7,253952,62,113008,7445668768,1,20002741,0,1029,4,4,5481,788,3,567,847732,0,15,44457,15,115103767,1136,1,1081,0,4,673,140889359,6,563428140,14,18,131,10,108,567,1081,4,0,0,60910512,1236430,2387184143,0,567,477,0,3,1,14,14,1336,0,3,2385403913,2347798624,81951995,142948702,142948702,1,3,1,0,7433332536,73389,73389,14,14,14,142948706,9,3,158722,869706,1349601,19852,2385403913,847732,59563244,1617
420058.57,7,253952,62,121487,8003206676,1,21293237,0,1110,4,4,5481,827,3,567,911334,0,15,47788,15,115103767,1136,1,1081,0,4,673,151506508,6,606026032,14,18,131,10,108,567,1081,4,0,0,65561449,1324768,2562697149,0,567,477,0,3,1,14,14,1336,0,3,2560738932,2523278772,87963900,153683652,153683652,1,3,1,0,7991549936,73389,73389,14,14,14,153683656,9,3,164528,935025,1436656,21279,2560738932,911334,64127310,1617
422071.27,7,253952,62,130117,8571919516,1,22587122,0,1195,4,4,5481,898,3,567,976180,0,15,51196,15,115103767,1136,1,1081,0,4,673,162259074,6,648971856,14,18,131,10,108,567,1081,4,0,0,70264268,1368005,2742404828,0,567,477,0,3,1,14,14,1336,0,3,2740020379,2702536977,93991506,164590190,164622958,1,3,1,0,8558689912,73389,73389,14,14,14,164590194,9,3,171859,1001548,1527585,22798,2740020379,976180,68739381,1617
424078.75,7,253952,62,139128,9165022404,1,23747483,0,1287,4,4,5481,944,3,576,1044965,0,15,54725,15,116602928,1154,1,1081,0,4,673,173477557,6,693910228,14,18,131,10,108,576,1081,4,0,0,75103746,1421601,2933671729,0,576,487,0,3,1,14,14,1336,0,3,2930823472,2889632180,100040421,175984374,175984374,1,3,1,0,9151187480,73389,73389,14,14,14,175984378,9,3,177205,1072140,1619391,24356,2930823472,1044965,73487255,1649
426087.04,8,253952,62,148208,9763503962,1,25045403,0,1366,4,4,5481,1013,3,576,1111661,0,15,58306,15,116602928,1154,1,1081,0,4,673,184810909,6,739179032,14,18,131,10,108,576,1081,4,0,0,79787300,1453889,3123663635,0,576,487,0,3,1,14,14,1336,0,3,3121281850,3078143391,106034745,187494961,187494961,1,3,1,0,9749738004,73389,73389,14,14,14,187494965,9,3,181462,1140594,1710286,25962,3121281850,1111661,78080105,1649
428094.83,8,253952,62,157340,10365152072,1,26300025,0,1451,4,4,5481,1061,3,576,1177921,0,15,61884,15,116602928,1154,1,1081,0,4,673,196195008,6,784715360,14,18,131,10,108,576,1081,4,0,0,84532180,1505605,3315827501,0,576,487,0,3,1,14,14,1336,0,3,3313254816,3267929481,112072426,199024091,199040475,1,3,1,0,10349252764,73389,73389,14,14,14,199024095,9,3,186240,1208617,1803971,27530,3313254816,1177921,82731486,1649
430100.15,8,253952,62,166368,10960008570,1,28001401,0,1489,4,4,5481,1130,4,585,1239436,0,15,65439,15,118044081,1172,1,1081,0,4,673,207423599,6,829629708,14,18,131,10,108,585,1081,4,0,0,88845494,1512095,3509918030,0,585,495,0,3,1,14,14,1336,0,3,3507298471,3455600631,117985152,210430341,210446725,1,3,1,0,10942377764,73389,73389,14,14,14,210430345,9,3,190155,1271753,1891861,29164,3507298471,1239436,86957087,1675
432105.11,8,253952,62,173258,11415002486,2,30273975,0,1527,4,4,5481,1161,4,585,1278716,0,15,68141,15,118357797,1172,1,1081,0,4,673,216044969,6,864179876,14,18,131,10,108,585,1081,4,0,0,91743110,1512351,3656493955,0,585,495,0,3,1,14,14,1336,0,3,3653626362,3599120915,123274428,219188416,219188416,1,3,1,0,11397797664,73389,73389,14,14,14,219188420,9,3,195003,1312077,1953816,30350,3653626362,1278716,89792865,1675
434112.03,9,253952,62,180977,11922081470,2,31693652,0,1576,5,5,5481,1220,4,585,1334391,0,15,71168,15,118357797,1172,1,1081,0,4,673,225613349,6,902389000,14,19,131,10,108,585,1081,4,0,0,95587384,1557520,3822684081,0,585,495,0,3,1,14,14,1336,0,3,3819014642,3759143832,128575410,228895492,228911876,1,3,1,0,11902565616,73389,73389,14,14,14,228895496,9,3,205962,1369254,2030661,31742,3819014642,1334391,93560446,1675
436119.49,10,253952,62,189520,12486661258,2,32945821,0,1664,5,5,5481,1265,4,585,1399903,0,15,74535,15,118357797,1172,1,1081,0,4,673,236322517,6,945160920,14,19,131,10,108,585,1081,4,0,0,100298679,1613119,4002327859,0,585,495,0,3,1,14,14,1336,0,3,3999240074,3937004755,134585794,239758467,239758467,1,3,1,0,12466588348,73389,73389,14,14,14,239742087,9,3,211280,1436492,2133802,33215,3999240074,1399903,98182894,1675
438130.09,10,253952,62,198078,13049460972,2,34124668,0,1750,5,5,5481,1333,4,585,1466739,0,15,77897,15,118357797,1172,1,1081,0,4,673,246955803,6,987758576,14,19,131,10,108,585,1081,4,0,0,105073228,1714548,4184775738,0,585,495,0,3,1,14,14,1336,0,3,4180749901,4115132332,140617504,250526185,250526185,1,3,1,0,13027361652,73389,73389,14,14,14,250526189,9,3,218176,1505116,2223028,34745,4180749901,1466739,102854288,1675
440135.60,10,253952,62,206235,13587452802,2,35258233,0,1830,5,5,5481,1376,4,594,1539790,2,15,81096,15,119799464,1190,1,1081,0,4,673,257099935,6,1028399740,14,19,131,10,108,594,1081,4,0,0,109676751,1749396,4360606190,0,592,503,2,3,1,14,14,1336,0,3,4356808263,4284807895,146334599,260848932,260848932,1,3,1,0,13564144496,73389,73389,14,14,14,260848936,9,3,221460,1579920,2312065,36185,4356808263,1539790,107368939,1714
442142.46,10,253952,62,211570,13938655942,3,37845713,0,1848,5,5,5481,1421,5,594,1577532,2,15,83200,15,119799464,1190,1,1081,0,4,673,263728051,6,1054912204,14,19,131,10,108,594,1081,4,0,0,112105941,1749454,4477544164,0,592,503,2,3,1,14,14,1336,0,3,4473642301,4396071178,151398278,267571961,267571961,1,3,1,0,13913742004,73389,73389,14,14,14,267571965,9,3,230335,1618616,2372993,37177,4473642301,1577532,109737306,1714
444147.09,10,253952,62,218572,14399433376,3,39003683,0,1906,6,6,5481,1455,6,594,1628033,2,15,85915,15,119799464,1190,1,1081,0,4,673,272422117,6,1089688468,14,20,131,10,108,594,1081,4,0,0,115827103,1804720,4624262970,0,592,503,2,3,1,14,14,1336,0,3,4620481603,4541165998,156325541,276422751,276422751,1,3,1,0,14373983084,73389,73389,14,14,14,276422755,9,3,241508,1670434,2470781,38373,4620481603,1628033,113360820,1714
446161.91,10,253952,62,224623,14798199790,4,41588037,0,1929,7,7,5481,1501,6,594,1668109,2,15,88317,15,119799464,1190,1,1081,0,4,673,279967961,6,1119871844,14,21,131,10,108,594,1081,4,0,0,118843689,1836388,4757834446,0,592,503,2,3,1,14,14,1336,0,3,4753701098,4667099954,161956644,284058966,284075350,1,3,1,0,14771066264,73389,73389,14,14,14,284058970,9,3,249095,1711625,2538700,39499,4753701098,1668109,116309601,1714
448169.69,10,253952,62,232716,15332648880,4,42855062,0,2008,7,7,5481,1543,6,594,1731843,2,15,91491,15,120113180,1190,1,1081,0,4,673,290087824,6,1160351296,14,21,131,10,108,594,1081,4,0,0,123516227,1975362,4933671656,0,592,503,2,3,1,14,14,1336,0,3,4929474166,4836219580,168017752,294287283,294287283,1,3,1,0,15302938748,73389,73389,14,14,14,294287287,9,3,253534,1777043,2608832,40933,4929474166,1731843,120912178,1714
450175.37,10,253952,62,240914,15871192004,4,43966460,0,2078,7,7,5481,1591,6,594,1797106,2,15,94677,15,120113180,1190,1,1081,0,4,673,300237048,6,1200948192,14,21,131,10,108,594,1081,4,0,0,127964652,2069422,5109899398,0,592,503,2,3,1,14,14,1336,0,3,5105798664,5006601331,173651017,304584183,304584183,1,3,1,0,15838377548,73389,73389,14,14,14,304584187,9,3,256910,1843939,2679904,42398,5105798664,1797106,125289698,1714
452181.37,10,253952,62,246284,16226607398,5,46721712,0,2091,7,7,5481,1631,6,594,1826807,2,15,96811,15,120113180,1190,1,1081,0,4,673,306949325,6,1227797300,14,21,131,10,108,594,1081,4,0,0,130245785,2069603,5230813159,0,592,503,2,3,1,14,14,1336,0,3,5226233500,5118729265,178686841,311408946,311408946,1,3,1,0,16193265224,73389,73389,14,14,14,311408950,9,3,262037,1874454,2722881,43400,5226233500,1826807,127527940,1714
454187.97,10,253952,62,251840,16593223076,5,48420266,0,2114,7,7,5481,1667,6,594,1857454,2,15,98991,15,120113180,1190,1,1081,0,4,673,313846178,6,1255384712,14,21,131,10,108,594,1081,4,0,0,132568500,2069822,5353220008,0,592,503,2,3,1,14,14,1336,0,3,5348156968,5235032996,182708368,318404026,318404026,1,3,1,0,16557009384,73389,73389,14,14,14,318404030,9,3,265621,1905940,2767774,44417,5348156968,1857454,129805858,1714
456195.22,11,253952,62,260231,17145645380,5,49619995,0,2177,8,8,5481,1720,6,594,1921543,2,15,102266,15,120113180,1190,1,1081,0,4,673,324232954,6,1296931816,14,22,131,10,108,594,1081,4,0,0,137006195,2182705,5537293235,0,592,503,2,3,1,14,14,1336,0,3,5532453384,5409879405,188441807,328954434,328970818,1,3,1,0,17105630600,73389,73389,14,14,14,328954438,9,3,270281,1971697,2839731,45939,5532453384,1921543,134171776,1714
458211.84,11,253952,62,268772,17707946348,5,50868783,0,2261,8,8,5481,1771,6,594,1995090,2,15,105590,15,120113180,1190,1,1081,0,4,673,334780202,6,1339120808,14,22,131,10,108,594,1081,4,0,0,141601029,2394062,5725137198,0,592,503,2,3,1,14,14,1336,0,3,5720119375,5587871089,194469182,339717834,339717834,1,3,1,0,17664475432,73389,73389,14,14,14,339701454,9,3,271651,2047028,2920300,47492,5720119375,1995090,138686221,1714
460226.70,11,253952,62,277054,18253526878,5,52173481,0,2331,8,8,5481,1831,6,594,2065176,2,15,108865,15,120113180,1190,1,1081,0,4,673,345162605,6,1380650420,14,22,131,10,108,594,1081,4,0,0,146133928,2616565,5910353760,0,592,503,2,3,1,14,14,1336,0,3,5904901807,5760395836,200510389,350167779,350167779,1,3,1,0,18208724540,73389,73389,14,14,14,350167783,9,3,276643,2118944,3012359,49032,5904901807,2065176,143127238,1714
462232.62,11,253952,62,284766,18761180468,5,53484508,0,2400,8,8,5481,1876,6,594,2126523,2,15,111850,15,120113180,1190,1,1081,0,4,673,354709767,6,1418774372,14,22,131,10,108,594,1081,4,0,0,150165375,2714513,6079533146,0,592,503,2,3,1,14,14,1336,0,3,6074449754,5921374197,205943871,359851994,359851994,1,3,1,0,18712303720,73389,73389,14,14,14,359851998,9,3,281367,2181831,3094360,50436,6074449754,2126523,147076849,1714
464241.16,11,253952,62,290463,19137001168,6,56067080,0,2407,8,8,5481,1914,6,603,2161162,2,15,114095,15,121555189,1208,1,1081,0,4,673,361797688,6,1447061508,14,22,131,10,108,603,1081,4,0,0,152615240,2714674,6208303348,0,601,507,2,3,1,14,14,1336,0,3,6202868010,6040552143,210975549,367025139,367025139,1,3,1,0,19085307260,73389,73389,14,14,14,367025143,9,3,287247,2217434,3127323,51504,6202868010,2161162,149493843,1738
466256.32,11,253952,62,297725,19615433328,6,57685933,0,2462,9,9,5481,1960,14,603,2224627,2,15,116945,15,121555189,1208,1,1081,0,4,673,370810362,6,1483176776,14,23,131,10,108,603,1081,4,0,0,156806878,2874397,6370330611,0,601,507,2,3,1,14,14,1336,0,3,6364616995,6191937797,216813752,376182907,376182907,1,3,1,0,19561511196,73389,73389,14,14,14,376182911,9,3,294922,2282474,3204296,52850,6364616995,2224627,153608656,1738
468267.40,12,253952,62,305142,20103987370,6,59328035,0,2518,9,9,5481,2009,15,603,2287476,2,15,119845,15,121555189,1208,1,1081,0,4,673,379999955,6,1519935204,14,23,131,10,108,603,1081,4,0,0,160989011,3094266,6535671020,0,601,507,2,3,1,14,14,1336,0,3,6530460128,6346651676,222971675,385520899,385520899,1,3,1,0,20046234812,73389,73389,14,14,14,385504519,9,3,304649,2346950,3290428,54219,6530460128,2287476,157704807,1738
470273.04,12,253952,62,311280,20508455416,7,61721179,0,2554,9,9,5481,2048,15,603,2331115,2,15,122258,15,121555189,1208,1,1081,0,4,673,387674095,6,1550696380,14,23,131,10,108,603,1081,4,0,0,163963040,3176174,6673994743,0,601,507,2,3,1,14,14,1336,0,3,6668862994,6474443708,228410555,393271802,393271802,1,3,1,0,20450133736,73389,73389,14,14,14,393271806,9,3,309418,2391777,3343440,55374,6668862994,2331115,160625940,1738
472285.63,13,253952,62,317292,20904653860,8,63059287,0,2567,11,11,5481,2088,15,603,2377759,2,15,124618,15,121555189,1208,1,1081,0,4,673,395138056,6,1580552224,14,25,131,10,108,603,1081,4,0,0,166983085,3221451,6809895806,0,601,507,2,3,1,14,14,1336,0,3,6804714108,6599537042,232810991,400858865,400858865,1,3,1,0,20844661012,73389,73389,14,14,14,400858869,9,3,325046,2439585,3426399,56500,6804714108,2377759,163563143,1738
474296.10,14,253952,62,324081,21352111624,8,65040883,0,2605,11,11,5481,2132,15,603,2442002,2,15,127276,15,121555189,1208,1,1081,0,4,673,403568813,6,1614275252,14,25,131,10,108,603,1081,4,0,0,170933259,3462472,6964111434,0,601,507,2,3,1,14,14,1336,0,3,6957753884,6741632674,238977525,409394041,409394041,1,3,1,0,21288490164,73389,73389,14,14,14,409394045,9,3,331465,2505311,3522431,57778,6957753884,2442002,167417421,1738
476302.38,15,253952,62,329481,21707936584,9,67202558,0,2628,11,11,5481,2165,15,603,2475765,2,15,129369,15,121555189,1208,1,1081,0,4,673,410227757,6,1640911028,14,25,131,10,108,603,1081,4,0,0,173268390,3466653,7084865609,0,601,507,2,3,1,14,14,1336,0,3,7078679367,6854201100,243476709,416196831,416196831,1,3,1,0,21642235244,73389,73389,14,14,14,416196835,9,3,333135,2539979,3555558,58776,7078679367,2475765,169719517,1738
478308.10,16,253952,62,334770,22056137134,9,69162120,0,2660,11,11,5481,2199,15,603,2509315,2,15,131446,15,121555189,1208,1,1081,0,4,673,416824548,6,1667298192,14,25,131,10,108,603,1081,4,0,0,175641453,3485261,7201755180,0,601,507,2,3,1,14,14,1336,0,3,7195475631,6964515448,247822352,422854324,422854324,1,3,1,0,21988424880,73389,73389,14,14,14,422854328,9,3,337065,2574410,3599638,59746,7195475631,2509315,172048595,1738
480320.96,16,253952,62,340513,22435020110,9,70875157,0,2703,12,12,5481,2230,15,630,2560907,2,15,133689,15,125813657,1262,1,1081,0,4,673,423930891,6,1695723564,14,26,131,10,108,630,1081,4,0,0,178772520,3691869,7330721603,0,628,537,2,3,1,14,14,1336,0,3,7324324361,7084603839,252850718,430062396,430078780,1,3,1,0,22363244624,73389,73389,14,14,14,430062400,9,3,341424,2627119,3656498,60814,7324324361,2560907,175122922,1842
482334.00,16,253952,62,346425,22823347496,9,72848255,0,2752,12,12,5481,2276,15,711,2625480,2,15,136002,15,138747227,1424,1,1081,0,4,673,431227489,6,1724845280,14,26,131,10,108,711,1081,4,0,0,182283996,4182494,7470687655,0,709,617,2,3,1,14,14,1336,0,3,7463899667,7208085690,258818335,437479586,437479586,1,3,1,0,22748938504,73389,73389,14,14,14,437479590,9,3,346025,2693413,3734162,61994,7463899667,2625480,178556867,2116
484340.02,16,253952,62,351800,23176953348,10,75582660,0,2795,12,12,5481,2306,15,747,2665440,2,15,138073,15,145054519,1496,1,1081,0,4,673,437793149,6,1751108072,14,26,131,10,108,747,1081,4,0,0,184916159,4310163,7590570188,0,745,651,2,3,1,14,14,1336,0,3,7583543425,7320130892,264297800,444217914,444217914,1,3,1,0,23099331560,73389,73389,14,14,14,444217918,9,3,349752,2734401,3798064,62983,7583543425,2665440,181125238,2224
486348.39,16,253952,62,357165,23531051650,10,77217182,0,2829,13,13,5481,2345,17,783,2710656,2,15,140192,15,151050472,1568,1,1081,0,4,673,444494201,6,1777912208,14,27,131,10,108,783,1081,4,0,0,187791911,4533706,7716631412,0,781,686,2,3,1,14,14,1336,0,3,7709495902,7432433300,268742686,450967234,450967234,1,3,1,0,23450296200,73389,73389,14,14,14,450967238,9,3,360599,2780714,3863973,64028,7709495902,2710656,183934186,2325
488363.73,18,253952,62,362817,23902855328,10,79174885,0,2889,13,13,5481,2376,17,810,2772858,2,15,142383,15,156487550,1622,1,1081,0,4,673,451494202,6,1805911988,14,27,131,10,108,810,1081,4,0,0,191169729,5060752,7845111029,0,808,714,2,3,1,14,14,1336,0,3,7837848899,7550315476,274864621,458064936,458064936,1,3,1,0,23819376704,73389,73389,14,14,14,458064940,9,3,368904,2844206,3958368,65084,7837848899,2772858,187218739,2433
490374.73,18,253952,62,368080,24249105172,10,81599222,0,2946,13,13,5481,2412,18,882,2831450,2,15,144441,15,168388842,1766,1,1081,0,4,673,457981263,6,1831860312,14,27,131,10,108,882,1081,4,0,0,194403550,5655006,7968579320,0,880,788,2,3,1,14,14,1336,0,3,7961198483,7660797130,281100081,464646542,464646542,1,3,1,0,24161620216,73389,73389,14,14,14,464646546,9,3,378711,2904405,4038024,66112,7961198483,2831450,190373020,2719
492384.64,18,253952,62,373372,24597502330,10,83936128,0,2999,13,13,5481,2443,18,909,2889537,2,15,146508,15,173068593,1820,1,1081,0,4,673,464529427,6,1858117708,14,27,131,10,108,909,1081,4,0,0,197619067,6126149,8088184941,0,907,806,2,3,1,14,14,1336,0,3,8080682004,7771077913,287112255,471304035,471304035,1,3,1,0,24507809852,73389,73389,14,14,14,471304039,9,3,384193,2963719,4103821,67092,8080682004,2889537,193522859,2815
