timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
450541.26,253952,62,166915,10997028574,31,47814295,0,473,34,34,5011,141,675,1082614,2,16,42807,34,72,144004148,1352,1,0,33,48,7,1289,675,0,0,0,38695107,2787703,3266980526,0,673,445,2,2,1,14,14,402,1,3267202000,3218406698,112989458,249583661,249583661,1,2,1,10981681084,73389,73389,14,14,14,249583661,7,3,573915,1105640,2397347,24949,3267202000,1082614,36298983,1971
452547.08,253952,62,178558,11764046002,32,50361547,0,497,34,34,5011,143,675,1142612,2,16,46092,34,72,144004148,1352,1,0,33,48,7,1289,675,0,0,0,41165263,2788172,3491604656,0,673,445,2,2,1,14,14,402,1,3491204048,3442626865,118028945,267000236,267016620,1,2,1,11748010384,73389,73389,14,14,14,267000236,7,3,573965,1167038,2455617,26658,3491204048,1142612,38710970,1971
454554.71,253952,62,190072,12522874738,32,52026258,0,514,35,35,5011,145,675,1203607,2,16,49346,34,72,144535052,1352,1,0,33,49,7,1289,675,0,0,0,43617229,2804706,3712689848,0,673,445,2,2,1,14,14,402,1,3712846800,3664442649,122174272,284250812,284267196,1,2,1,12507035728,73389,73389,14,14,14,284250812,7,3,576193,1229500,2530104,28349,3712846800,1203607,41088552,1971
456566.69,253952,62,206931,13633586106,32,53822392,0,582,36,36,5011,147,675,1330881,2,16,54057,34,72,144800504,1352,1,0,33,50,7,1289,675,0,0,0,48146575,3321453,4034871494,0,673,445,2,2,1,14,14,402,1,4037512144,3989108879,129439353,309492018,309508402,1,2,1,13617648792,73389,73389,14,14,14,309492018,7,3,584830,1359369,2702333,30826,4037512144,1330881,45445805,1971
458574.17,253952,62,223725,14740303086,33,57370048,0,637,37,37,5011,150,675,1457729,2,16,58799,34,72,145331408,1352,1,0,33,51,7,1289,675,0,0,0,52742284,4341615,4358609538,0,673,445,2,2,1,14,14,402,1,4360473552,4312656923,139472858,334649145,334665529,1,2,1,14724562380,73389,73389,14,14,14,334649145,7,3,595707,1488771,2878736,33290,4360473552,1457729,49865230,1971
460583.36,253952,62,239532,15781805130,33,59664405,0,694,40,40,5011,153,675,1589050,2,16,63279,34,72,145596860,1352,1,0,33,54,7,1289,675,0,0,0,57182460,5397543,4661373748,0,673,445,2,2,1,14,14,402,1,4664560592,4617078855,148465704,358319646,358336030,1,2,1,15766064424,73389,73389,14,14,14,358319646,7,3,608591,1622605,3080577,35610,4664560592,1589050,54103687,1971
462589.31,253952,62,253679,16714251962,37,65212074,0,739,40,40,5011,155,675,1689239,2,16,67239,34,72,146127764,1352,1,0,33,54,7,1289,675,0,0,0,60862776,5794284,4938709744,0,673,445,2,2,1,14,14,402,1,4937583568,4889736476,158309914,379510130,379510130,1,2,1,16697459372,73389,73389,14,14,14,379487713,7,3,613846,1724884,3191814,37693,4937583568,1689239,57672887,1971
464602.75,253952,62,265856,17516531066,38,68027412,0,757,43,43,5011,157,675,1761294,2,16,70673,34,72,146393216,1352,1,0,33,57,7,1289,675,0,0,0,63599861,6041179,5170158443,0,673,445,2,2,1,14,14,402,1,5171940304,5124230317,164260428,397751938,397751938,1,2,1,17501085272,73389,73389,14,14,14,397751938,7,3,623573,1798570,3284801,39481,5171940304,1761294,60317094,1971
466614.99,253952,62,280799,18501144554,39,72428224,0,800,46,46,5011,159,675,1893291,2,16,74862,34,72,146658668,1352,1,0,33,60,7,1289,675,0,0,0,67827002,8014546,5460074649,0,673,445,2,2,1,14,14,402,1,5459381200,5412022549,176988732,420130262,420130262,1,2,1,18485731528,73389,73389,14,14,14,420130262,7,3,640721,1936081,3473869,41674,5459381200,1893291,64355279,1971
468629.59,253952,62,295560,19473139054,40,77611378,0,842,46,46,5011,162,675,2016367,2,16,79049,34,72,146924120,1352,1,0,33,60,7,1289,675,0,0,0,71864276,9899305,5739495404,0,673,445,2,2,1,14,14,402,1,5742762827,5696193784,188719615,442224025,442224025,1,2,1,19457857100,73389,73389,14,14,14,442224025,7,3,653284,2065012,3650222,43840,5742762827,2016367,68216301,1971
470635.12,253952,62,306739,20210013230,44,83665264,0,864,46,46,5011,164,675,2082896,2,16,82209,34,72,147455024,1352,1,0,33,60,7,1289,675,0,0,0,74662826,10263346,5959919247,0,673,445,2,2,1,14,14,402,1,5958114123,5911538787,199407107,458966697,458983081,1,2,1,20194534668,73389,73389,14,14,14,458966697,7,3,655373,2133013,3741341,45483,5958114123,2082896,70923820,1971
472654.36,253952,62,319587,21055808238,44,85719529,0,893,48,48,5011,167,675,2183558,2,16,85879,34,72,147720476,1352,1,0,33,62,7,1289,675,0,0,0,77970296,10803029,6203987293,0,673,445,2,2,1,14,14,402,1,6204822889,6158764190,205239443,478199737,478199737,1,2,1,21040067532,73389,73389,14,14,14,478183353,7,3,661404,2235661,3871455,47372,6204822889,2183558,74101292,1971
474659.72,253952,62,333402,21966243732,44,88759371,0,938,50,50,5011,170,675,2297954,2,16,89808,34,72,148251380,1352,1,0,33,64,7,1289,675,0,0,0,81809353,11686616,6470450593,0,673,445,2,2,1,14,14,402,1,6470767977,6424842802,213665899,498892668,498892668,1,2,1,21951277392,73389,73389,14,14,14,498892668,7,3,668447,2352379,4011912,49401,6470767977,2297954,77800019,1971
476667.33,253952,62,343838,22653733224,48,94603866,0,958,50,50,5011,172,675,2345787,2,16,92825,34,72,148782284,1352,1,0,33,64,7,1289,675,0,0,0,83909809,11744461,6672720446,0,673,445,2,2,1,14,14,402,1,6670856202,6625739167,221764600,514507003,514523387,1,2,1,22638308132,73389,73389,14,14,14,514507003,7,3,670188,2401421,4065649,50934,6670856202,2345787,79846812,1971
478673.61,253952,62,354816,23377169212,48,96125563,0,986,50,50,5011,174,675,2403502,2,16,95910,34,72,149047736,1352,1,0,33,64,7,1289,675,0,0,0,86352971,11782970,6884227946,0,673,445,2,2,1,14,14,402,1,6882275338,6837316417,225776685,530956922,530956922,1,2,1,23362104568,73389,73389,14,14,14,530956922,7,3,670325,2460488,4132554,52547,6882275338,2403502,82223155,1971
480686.67,253952,62,367583,24218219476,48,97925718,0,1024,52,52,5011,177,675,2519415,2,16,99573,34,72,149844092,1352,1,0,33,66,7,1289,675,0,0,0,89666409,13202150,7130094243,0,673,445,2,2,1,14,14,402,1,7127505731,7083022305,232777351,550070956,550087340,1,2,1,24203122064,73389,73389,14,14,14,550070956,7,3,680218,2578361,4274794,54424,7127505731,2519415,85394473,1971
482701.07,253952,62,381025,25103667072,48,99953922,0,1063,53,53,5011,179,675,2628520,2,16,103333,34,72,149844092,1352,1,0,33,67,7,1289,675,0,0,0,93207779,14569138,7388947361,0,673,445,2,2,1,14,14,402,1,7385979715,7341875305,240125452,570202957,570202957,1,2,1,25088930108,73389,73389,14,14,14,570202957,7,3,682675,2689548,4391388,56396,7385979715,2628520,88819373,1971
484707.33,253952,62,391427,25787945300,51,104312734,0,1092,53,53,5011,184,675,2689500,2,16,106424,34,72,150640448,1352,1,0,33,67,7,1289,675,0,0,0,95575743,14663348,7586308295,0,673,445,2,2,1,14,14,402,1,7583905519,7541845707,247001411,585759948,585759948,1,2,1,25773437712,73389,73389,14,14,14,585759948,7,3,683362,2751863,4456099,57924,7583905519,2689500,91122716,1971
486497.48,253952,62,400982,26415782060,52,106096667,1,1124,56,56,5011,191,675,2773223,2,16,109422,39,348,158511825,1359,1,1035,38,77,33,1598,675,571,1035,132,98316610,15817438,7767015675,8,673,445,2,2,1,14,14,402,1,7763869224,7725268584,309236284,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,7,3,693327,2836965,4562184,59330,7763869224,2773223,93757590,1971
