timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
580607.70,253952,62,221411,14587856426,37,56954148,330,40,40,5964,150,1,675,1377089,27,58167,35,35,145331408,1352,1,0,34,54,9,10,474,675,0,0,0,51771782,5918785,4316704404,0,675,376,2,1,14,14,479,1,4316040144,4268151330,281366712,331190406,331206790,1,2,1,14572377864,73389,73389,14,14,14,331190406,7,3,637231,1407860,2861483,32951,4316040144,1377089,48912286,1769
582616.35,253952,62,237549,15651316338,37,59161212,366,43,43,5964,152,1,675,1495560,27,62678,35,35,145596860,1352,1,0,34,57,9,10,474,675,0,0,0,56090019,6949755,4625400686,0,675,376,2,1,14,14,479,1,4626680784,4578940045,289841968,355366652,355366652,1,2,1,15635411792,73389,73389,14,14,14,355350268,7,3,656637,1528873,3054099,35321,4626680784,1495560,53038064,1769
584629.47,253952,62,252956,16666603982,39,63053302,388,48,48,5964,155,1,675,1611153,27,67050,35,35,146127764,1352,1,0,34,62,9,10,474,675,0,0,0,60301570,8569659,4920707476,0,675,376,2,1,14,14,479,1,4923558864,4875788487,305690296,378422753,378439137,1,2,1,16650601132,73389,73389,14,14,14,378422753,7,3,691920,1646807,3282554,37586,4923558864,1611153,57020296,1769
586641.87,253952,62,269122,17731898902,40,67547827,417,49,49,5964,158,1,675,1722726,27,71618,35,35,146658668,1352,1,0,34,63,9,10,474,675,0,0,0,64907212,10130822,5233064029,0,675,376,2,1,14,14,479,1,5234854864,5187156126,323189060,402639959,402639959,1,2,1,17715171848,73389,73389,14,14,14,402617542,7,3,719524,1760832,3493706,39961,5234854864,1722726,61424232,1769
588649.81,253952,62,284717,18758976410,42,71447816,434,53,53,5964,160,1,675,1833918,27,75987,35,35,146658668,1352,1,0,34,67,9,10,474,675,0,0,0,69453481,11330187,5532990217,0,675,376,2,1,14,14,479,1,5534485456,5487407251,339288245,425978906,425995290,1,2,1,18743071864,73389,73389,14,14,14,425978906,7,3,746831,1874490,3711300,42247,5534485456,1833918,65744762,1769
590661.06,253952,62,299619,19740742390,42,71775700,441,55,55,5964,163,1,675,1951913,27,80215,35,35,147189572,1352,1,0,34,69,9,10,474,675,0,0,0,73774910,12514798,5815069458,0,675,376,2,1,14,14,479,1,5820881739,5774370585,355644242,448297727,448314111,1,2,1,19725099988,73389,73389,14,14,14,448297727,7,3,780765,1994808,3959893,44436,5820881739,1951913,69817739,1769
592666.18,253952,62,316419,20847128382,43,72775773,441,55,55,5964,167,1,675,2033409,27,85013,35,35,147720476,1352,1,0,34,69,9,10,474,675,0,0,0,77953254,12627359,6140583893,0,675,376,2,1,14,14,479,1,6143481193,6097757176,364609119,473457013,473457013,1,2,1,20832108572,73389,73389,14,14,14,473457013,7,3,784124,2078332,4071995,46904,6143481193,2033409,73884148,1769
594671.77,253952,62,332483,21905738630,43,72775773,441,55,55,5964,169,1,675,2145909,27,89507,35,35,148251380,1352,1,0,34,69,9,10,474,675,0,0,0,82272865,13347334,6452419526,0,675,376,2,1,14,14,479,1,6453073257,6407129886,382583020,497510379,497526763,1,2,1,21890456676,73389,73389,14,14,14,497510379,7,3,809894,2193164,4275885,49266,6453073257,2145909,78000012,1769
596677.45,253952,62,349642,23035962332,43,72775773,441,55,55,5964,173,1,675,2232988,27,94447,35,35,148782284,1352,1,0,34,69,9,10,474,675,0,0,0,86467180,13349239,6780986603,0,675,376,2,1,14,14,479,1,6782660618,6737506030,391428367,523199986,523216370,1,2,1,23020799384,73389,73389,14,14,14,523199986,7,3,815785,2282580,4388535,51787,6782660618,2232988,82081839,1769
598684.35,253952,62,366423,24141666812,43,72775773,441,55,55,5964,177,1,675,2317177,27,99243,35,35,149844092,1352,1,0,34,69,9,10,474,675,0,0,0,90489344,13359601,7104756231,0,675,376,2,1,14,14,479,1,7105223491,7060724856,401781001,548338570,548354954,1,2,1,24126897080,73389,73389,14,14,14,548338570,7,3,826854,2369027,4530563,54254,7105223491,2317177,85962111,1769
600692.34,253952,62,380826,25090625408,48,80891124,473,55,55,5964,179,1,675,2435417,27,103285,35,35,149844092,1352,1,0,34,69,9,10,474,675,0,0,0,94800921,15109721,7383942379,0,675,376,2,1,14,14,479,1,7382178627,7338048386,484895409,569908045,569908045,1,2,1,25075953980,73389,73389,14,14,14,569908045,7,3,855004,2489590,4743091,56367,7382178627,2435417,90061299,1769
602699.58,253952,62,394839,26012640072,49,85772999,509,57,57,5964,184,1,675,2550823,27,107373,35,35,150905900,1352,1,0,34,71,9,10,474,675,0,0,0,98852437,16844621,7649977515,0,675,376,2,1,14,14,479,1,7649530181,7607543790,498148292,590863120,590885537,1,2,1,25997977280,73389,73389,14,14,14,590863120,7,3,876843,2607201,4929002,58425,7649530181,2550823,93927027,1769
603763.99,253952,62,400982,26415782060,51,89915692,526,61,61,5964,191,1,675,2597882,27,109422,41,35,158511825,1359,1,1035,40,82,9,34,610,675,570,1035,121,101102847,17892890,7767537792,8,675,376,2,1,14,14,479,1,7763869224,7725268584,559657432,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,7,3,896078,2655268,5039106,59330,7763869224,2597882,96067407,1769
