timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
486987.29,8,253952,62,65606,4320899570,5,22545543,412,8,8,5157,465,3,567,521137,0,3,25778,17,111025459,1136,1,0,4,4765,81710456,8,326777236,16,22,11,397,567,0,0,34825923,2072444,1388495219,0,567,2036,0,3,1,14,14,5402,3,1387829148,1363287364,59341878,82911876,82911876,1,3,1,4310565616,73389,73389,14,14,14,82895496,9,1,3,85493,533764,760641,11539,1387829148,521137,34066627,2128
488997.24,18,253952,62,71384,4701207554,5,24742125,465,8,8,5157,522,3,567,580184,0,3,28074,17,111713221,1136,1,0,4,4765,88920461,8,355617284,16,22,11,397,567,0,0,38184289,2579394,1516177696,0,567,2036,0,3,1,14,14,5402,3,1514724722,1482988795,65400177,90224729,90224729,1,3,1,4691685940,73389,73389,14,14,14,90224733,9,1,3,90205,594108,833782,12631,1514724722,580184,37351974,2128
491006.53,20,253952,62,76978,5070675580,5,27013307,521,8,8,5157,547,3,567,630719,0,3,30271,17,113305933,1136,1,0,4,4765,95927872,8,383646892,16,22,11,397,567,0,0,41396610,3160745,1630283107,0,567,2036,0,3,1,14,14,5402,3,1628830630,1598924491,71446946,97348722,97348722,1,3,1,5062133576,73389,73389,14,14,14,97348726,9,1,3,98814,645771,898780,13561,1628830630,630719,40499431,2128
493022.07,21,253952,62,82633,5443706926,5,29333888,578,8,8,5157,574,3,567,678832,0,3,32496,17,115103767,1136,1,0,4,4765,103018622,8,412009872,16,22,11,397,567,0,0,44619468,3720064,1741738926,0,567,2036,0,3,1,14,14,5402,3,1740024798,1716651560,77534257,104507642,104507642,1,3,1,5434397416,73389,73389,14,14,14,104507646,9,1,3,102982,694978,962536,14462,1740024798,678832,43658663,2128
495037.01,21,253952,62,88221,5811526872,5,31468808,624,8,8,5157,629,4,567,737658,0,3,34713,17,115103767,1136,1,0,4,4765,109970762,8,439883048,16,22,11,397,567,0,0,47786448,4476898,1863243839,0,567,2036,0,3,1,14,14,5402,3,1861786753,1832582283,83580635,111558351,111574735,1,3,1,5801034284,73389,73389,14,14,14,111558355,9,1,3,123696,755036,1053303,15507,1861786753,737658,46735010,2128
497043.13,21,253952,62,93636,6169493208,6,33890627,685,8,8,5157,651,5,567,787513,0,3,36842,17,115103767,1136,1,0,4,4765,116750969,8,467003876,16,22,11,397,567,0,0,50776193,4831455,1978720345,0,567,2036,0,3,1,14,14,5402,3,1977008426,1945233200,89287447,118450809,118450809,1,3,1,6159442100,73389,73389,14,14,14,118450813,9,1,3,133373,805961,1106761,16435,1977008426,787513,49671416,2128
499058.65,21,253952,62,98426,6484375928,6,35707907,702,8,8,5157,695,5,567,818970,0,3,38737,17,115103767,1136,1,0,4,4765,122720890,8,490883560,16,22,11,397,567,0,0,52959481,4860210,2076701495,0,567,2036,0,3,1,14,14,5402,3,2075027232,2044301540,93356590,124506412,124522796,1,3,1,6474333456,73389,73389,14,14,14,124506416,9,1,3,145194,838202,1161719,17274,2075027232,818970,51799844,2128
501064.32,22,253952,62,103343,6808486670,6,37405971,730,8,8,5157,714,5,576,850266,0,3,40665,17,116602928,1154,1,0,4,4765,128871323,8,515485292,16,22,11,397,576,0,0,55221616,4880969,2178056402,0,576,2051,0,3,1,14,14,5402,3,2175891047,2146459555,97333952,130743954,130743954,1,3,1,6798685640,73389,73389,14,14,14,130743958,9,1,3,154640,870287,1204676,18088,2175891047,850266,54019121,2157
503072.05,22,253952,62,108801,7167461154,6,39112430,774,9,9,5157,744,5,576,911025,0,3,42801,17,116602928,1154,1,0,4,4765,135664101,8,542656404,16,23,11,397,576,0,0,58277853,5650536,2291207292,0,576,2051,0,3,1,14,14,5402,3,2289040858,2259404743,102876269,137649366,137649366,1,3,1,7157767064,73389,73389,14,14,14,137649370,9,1,3,163247,932258,1277664,19018,2289040858,911025,57002503,2157
505087.19,22,253952,62,114252,7526857704,6,40662508,819,9,9,5157,793,5,576,965948,0,3,44964,17,116602928,1154,1,0,4,4765,142481736,8,569926944,16,23,11,397,576,0,0,61407516,6212549,2403238593,0,576,2051,0,3,1,14,14,5402,3,2400816815,2372695625,108096744,144548301,144548301,1,3,1,7516511684,73389,73389,14,14,14,144548305,9,1,3,166695,988400,1355244,19970,2400816815,965948,60054707,2157
507101.98,22,253952,62,119842,7894145092,7,42738644,862,10,10,5157,820,5,576,1021257,0,3,47144,17,116602928,1154,1,0,4,4765,149437171,8,597748684,16,24,11,397,576,0,0,64604865,6862092,2517024897,0,576,2051,0,3,1,14,14,5402,3,2514733043,2488322667,113849265,151603328,151619712,1,3,1,7883373088,73389,73389,14,14,14,151603332,9,1,3,175098,1044940,1433763,20900,2514733043,1021257,63173675,2157
509107.60,23,253952,62,125202,8247626130,8,45252496,914,10,10,5157,857,5,576,1073018,0,3,49268,17,116602928,1154,1,0,4,4765,156158202,8,624632808,16,24,11,397,576,0,0,67536796,7245354,2631611310,0,576,2051,0,3,1,14,14,5402,3,2629331723,2599579226,119831768,158420343,158420343,1,3,1,8237857868,73389,73389,14,14,14,158420347,9,1,3,179923,1097850,1507338,21854,2629331723,1073018,66032143,2157
511118.07,23,253952,62,130030,8565892102,8,46900473,928,10,10,5157,886,5,576,1107811,0,3,51159,17,116602928,1154,1,0,4,4765,162157259,8,648629036,16,24,11,397,576,0,0,69818851,7364248,2730197825,0,576,2051,0,3,1,14,14,5402,3,2727572693,2699769308,123876838,164535005,164535005,1,3,1,8555820292,73389,73389,14,14,14,164535009,9,1,3,184838,1133479,1556243,22670,2727572693,1107811,68265386,2157
513133.73,23,253952,62,135456,8924338014,8,47261808,968,10,10,5157,917,6,576,1156279,0,3,53305,17,116916644,1154,1,0,4,4765,168986411,8,675880984,16,24,11,397,576,0,0,72984480,7854006,2841482268,0,576,2051,0,3,1,14,14,5402,3,2838587763,2812537923,127903244,171429622,171446006,1,3,1,8914340376,73389,73389,14,14,14,171429626,9,1,3,187708,1183105,1606941,23580,2838587763,1156279,71380437,2157
515147.21,24,253952,62,141154,9299680636,8,48952400,1026,11,11,5157,964,7,585,1212648,0,3,55549,17,118357797,1172,1,0,4,4765,176056742,8,704162504,16,25,11,397,585,0,0,76260561,8278585,2965764833,0,585,2063,0,3,1,14,14,5402,3,2962742566,2930854329,133289953,178650204,178650204,1,3,1,9289810640,73389,73389,14,14,14,178650208,9,1,3,194499,1240718,1681810,24626,2962742566,1212648,74581787,2190
517158.16,24,253952,62,146883,9676970412,8,51419817,1082,11,11,5157,994,7,585,1265281,0,3,57799,17,118357797,1172,1,0,4,4765,183216099,8,732864396,16,25,11,397,585,0,0,79560068,8933743,3081945371,0,585,2063,0,3,1,14,14,5402,3,3079049062,3049546675,139683397,185895362,185911746,1,3,1,9666558856,73389,73389,14,14,14,185895366,9,1,3,199617,1294449,1749018,25580,3079049062,1265281,77814225,2190
519174.41,24,253952,62,152669,10058116400,8,53058547,1135,11,11,5157,1034,7,585,1316803,0,3,60074,17,118357797,1172,1,0,4,4765,190424950,8,761635248,16,25,11,397,585,0,0,82906661,9379743,3203934497,0,585,2063,0,3,1,14,14,5402,3,3200646327,3169792366,145100476,193222440,193222440,1,3,1,10047566912,73389,73389,14,14,14,193222444,9,1,3,204245,1347149,1816696,26593,3200646327,1316803,81093272,2190
521184.72,25,253952,62,158871,10467032136,8,55824236,1183,11,11,5157,1072,7,585,1370735,0,3,62526,17,118357797,1172,1,0,4,4765,198209535,8,792838140,16,25,11,397,585,0,0,86497771,9706556,3329298660,0,585,2063,0,3,1,14,14,5402,3,3326008349,3298433312,151774836,201085872,201085872,1,3,1,10456465376,73389,73389,14,14,14,201085876,9,1,3,209547,1402258,1895562,27630,3326008349,1370735,84605650,2190
523189.97,25,253952,62,164082,10810422528,9,58260121,1209,11,11,5157,1103,7,585,1401378,0,3,64576,17,118357797,1172,1,0,4,4765,204722456,8,818889824,16,25,11,397,585,0,0,88758563,9711917,3439279251,0,585,2063,0,3,1,14,14,5402,3,3435768875,3406535048,156475210,207692054,207692054,1,3,1,10799986840,73389,73389,14,14,14,207692058,9,1,3,214434,1433701,1945476,28536,3435768875,1401378,86816625,2190
525205.57,26,253952,62,170620,11241080842,9,59251413,1253,12,12,5157,1148,7,585,1455103,0,3,67147,17,118357797,1172,1,0,4,4765,212864511,8,851458044,16,26,11,397,585,0,0,92313650,9889538,3575035628,0,585,2063,0,3,1,14,14,5402,3,3572155275,3542359892,161152762,215950861,215967245,1,3,1,11229444804,73389,73389,14,14,14,215950865,9,1,3,219444,1488655,2013409,29671,3572155275,1455103,90303907,2190
527215.93,26,253952,62,177570,11699705268,9,61294188,1280,12,12,5157,1192,7,585,1524013,0,3,69887,17,118357797,1172,1,0,4,4765,221533433,8,886133732,16,26,11,397,585,0,0,96195067,10098486,3721075149,0,585,2063,0,3,1,14,14,5402,3,3718341580,3686644191,167317738,224776631,224793015,1,3,1,11687532876,73389,73389,14,14,14,224760251,9,1,3,221414,1558990,2098815,30874,3718341580,1524013,94100064,2190
529226.81,27,253952,62,184842,12178780722,9,63172859,1316,12,12,5157,1244,8,585,1590124,0,3,72750,17,118357797,1172,1,0,4,4765,230610358,8,922376872,16,26,11,397,585,0,0,100221491,10265330,3874527865,0,585,2063,0,3,1,14,14,5402,3,3870596734,3837534039,173376994,233999935,233999935,1,3,1,12167996652,73389,73389,14,14,14,233999939,9,1,3,225828,1626562,2183557,32146,3870596734,1590124,98041891,2190
531231.88,27,253952,62,191073,12588064620,10,65484119,1346,12,12,5157,1280,8,585,1629882,0,3,75193,17,118357797,1172,1,0,4,4765,238389817,8,953559268,16,26,11,397,585,0,0,103064261,10275538,4003657684,0,585,2063,0,3,1,14,14,5402,3,4000013914,3966786933,178538372,241841394,241841394,1,3,1,12575752520,73389,73389,14,14,14,241841398,9,1,3,227075,1667287,2238586,33217,4000013914,1629882,100829748,2190
533237.24,27,253952,62,196715,12959713094,10,67194309,1378,12,12,5157,1318,8,585,1662326,0,3,77421,17,118357797,1172,1,0,4,4765,245454104,8,981816416,16,26,11,397,585,0,0,105473214,10282836,4122341968,0,585,2063,0,3,1,14,14,5402,3,4118472166,4083624436,182664335,249004632,249004632,1,3,1,12948240896,73389,73389,14,14,14,249004636,9,1,3,229206,1700578,2268482,34198,4118472166,1662326,103208905,2190
535242.43,28,253952,62,203065,13377761056,10,68253785,1401,12,12,5157,1358,8,585,1707030,0,3,79907,17,118357797,1172,1,0,4,4765,253355852,8,1013358824,16,26,11,397,585,0,0,108500031,10287866,4256907703,0,585,2063,0,3,1,14,14,5402,3,4252661894,4215491253,186755367,257019838,257019838,1,3,1,13365031608,73389,73389,14,14,14,257019842,9,1,3,231534,1746364,2332361,35312,4252661894,1707030,106171958,2190
537249.69,28,253952,62,209180,13782278288,10,69719165,1415,13,13,5157,1399,8,585,1746681,0,3,82342,17,118357797,1172,1,0,4,4765,261035818,8,1044143272,16,27,11,397,585,0,0,111276385,10314307,4384314774,0,585,2063,0,3,1,14,14,5402,3,4380229099,4342587359,191022153,264809098,264825482,1,3,1,13770073128,73389,73389,14,14,14,264809102,9,1,3,236124,1786974,2381288,36368,4380229099,1746681,108899492,2190
539257.18,28,253952,62,217157,14308184054,10,71340808,1466,13,13,5157,1446,8,585,1816779,0,3,85460,17,118671513,1172,1,0,4,4765,270966397,8,1083736184,16,27,11,397,585,0,0,115577636,10477743,4554741401,0,585,2063,0,3,1,14,14,5402,3,4551031099,4508793182,197112476,274880052,274880052,1,3,1,14293762736,73389,73389,14,14,14,274880056,9,1,3,241563,1858642,2473800,37780,4551031099,1816779,113108403,2190
541264.02,29,253952,62,225333,14846540250,10,72861128,1533,13,13,5157,1506,9,594,1886848,0,3,88681,17,120169355,1190,1,0,4,4765,281132930,8,1124466876,16,27,11,397,594,0,0,119990081,10612495,4726993622,0,594,2069,0,3,1,14,14,5402,3,4722447210,4678547686,203159891,285225660,285225660,1,3,1,14831734352,73389,73389,14,14,14,285225664,9,1,3,251601,1930316,2575784,39208,4722447210,1886848,117419036,2222
543270.83,29,253952,62,234295,15436130224,10,74119412,1621,13,13,5157,1557,9,594,1959588,0,3,92195,17,120169355,1190,1,0,4,4765,292297052,8,1169188208,16,27,11,397,594,0,0,124684342,10676116,4917265917,0,594,2069,0,3,1,14,14,5402,3,4912546763,4864875158,209156688,296531891,296531891,1,3,1,15419658364,73389,73389,14,14,14,296531895,9,1,3,252104,2004761,2670707,40774,4912546763,1959588,122018555,2222
545275.61,29,253952,62,240824,15867743162,11,76369075,1651,13,13,5157,1605,14,594,1999404,0,3,94773,17,120483071,1190,1,0,4,4765,300444909,8,1201779636,16,27,11,397,594,0,0,127509482,10687634,5057383488,0,594,2069,0,3,1,14,14,5402,3,5052948519,5000947657,214249898,304812671,304812671,1,3,1,15850258924,73389,73389,14,14,14,304812675,9,1,3,253943,2045580,2713504,41943,5052948519,1999404,124801004,2222
547283.85,30,253952,62,249235,16421452054,11,77880197,1703,14,14,5157,1652,14,594,2061268,0,3,98071,17,120483071,1190,1,0,4,4765,310943661,8,1243710060,16,28,11,397,594,0,0,131498145,10717370,5235875645,0,594,2069,0,3,1,14,14,5402,3,5231133327,5175546002,219759657,315444999,315444999,1,3,1,16403139980,73389,73389,14,14,14,315445003,9,1,3,258508,2108929,2793698,43410,5231133327,2061268,128709639,2222
549292.69,31,253952,62,258613,17038956568,11,79054332,1790,14,14,5157,1712,14,594,2136351,0,3,101751,17,120483071,1190,1,0,4,4765,322603205,8,1290412820,16,28,11,397,594,0,0,136302421,10765730,5431882575,0,594,2069,0,3,1,14,14,5402,3,5427077592,5370474970,225789833,327287584,327287584,1,3,1,17018954400,73389,73389,14,14,14,327287588,9,1,3,261361,2185771,2883753,45026,5427077592,2136351,133424057,2222
551300.62,31,253952,62,267873,17650187820,11,80251854,1881,14,14,5157,1771,14,594,2212418,0,3,105395,17,120483071,1190,1,0,4,4765,334154633,8,1336618532,16,28,11,397,594,0,0,141091873,10810596,5632759599,0,594,2069,0,3,1,14,14,5402,3,5627898377,5563525159,231811415,338988302,339004686,1,3,1,17627391736,73389,73389,14,14,14,338988306,9,1,3,263062,2263661,2977637,46691,5627898377,2212418,138119815,2222
553304.93,31,253952,62,276673,18229752196,11,81346137,1953,14,14,5157,1828,14,594,2276714,0,3,108857,17,120483071,1190,1,0,4,4765,345151636,8,1380606544,16,28,11,397,594,0,0,145324628,10832636,5819313038,0,594,2069,0,3,1,14,14,5402,3,5813621517,5746083003,237165107,350142759,350142759,1,3,1,18207423500,73389,73389,14,14,14,350142763,9,1,3,267343,2329533,3056537,48230,5813621517,2276714,142273850,2222
555310.83,31,253952,62,283053,18649995492,12,83752382,1960,14,14,5157,1870,14,594,2315155,0,3,111351,17,120483071,1190,1,0,4,4765,353068096,8,1412207820,16,28,11,397,594,0,0,147946122,10833455,5958380866,0,594,2069,0,3,1,14,14,5402,3,5952734526,5879055732,242192860,358172190,358188574,1,3,1,18624953912,73389,73389,14,14,14,358172194,9,1,3,269472,2368967,3101502,49380,5952734526,2315155,144850475,2222
557317.02,31,253952,62,291843,19228277076,12,83758141,1961,14,14,5157,1925,14,594,2382385,0,3,114796,17,120483071,1190,1,0,4,4765,364005374,8,1455956880,16,28,11,397,594,0,0,151950193,10834427,6146311614,0,594,2069,0,3,1,14,14,5402,3,6140745554,6061543179,246204271,369281813,369281813,1,3,1,19201802340,73389,73389,14,14,14,369265433,9,1,3,281440,2437700,3188448,50938,6140745554,2382385,148767774,2222
559322.46,31,253952,62,300186,19777565718,12,85277228,2003,15,15,5157,1976,14,594,2444640,0,3,118070,17,120483071,1190,1,0,4,4765,374374124,8,1497496496,16,29,11,397,594,0,0,155750247,10834732,6324508212,0,594,2069,0,3,1,14,14,5402,3,6318911603,6235223413,251479536,379799453,379799453,1,3,1,19749571588,73389,73389,14,14,14,379799457,9,1,3,288877,2501388,3286394,52412,6318911603,2444640,152470037,2222
561330.69,31,253952,62,306622,20203421656,13,87740142,2021,16,16,5157,2019,14,594,2485580,0,3,120609,17,120483071,1190,1,0,4,4765,382423646,8,1529694584,16,30,11,397,594,0,0,158449559,10838020,6466907363,0,594,2069,0,3,1,14,14,5402,3,6460682402,6369872022,256687316,387947002,387963386,1,3,1,20173244136,73389,73389,14,14,14,387947006,9,1,3,300550,2543327,3348387,53586,6460682402,2485580,155107458,2222
563338.87,31,253952,62,316087,20826844990,13,88957632,2108,16,16,5157,2079,14,594,2567338,0,3,124328,17,120483071,1190,1,0,4,4765,394211398,8,1576845592,16,30,11,397,594,0,0,163241551,10865585,6669794407,0,594,2069,0,3,1,14,14,5402,3,6663504644,6566578581,262714289,399918500,399918500,1,3,1,20794910064,73389,73389,14,14,14,399902120,9,1,3,311393,2626882,3464207,55264,6663504644,2567338,159783827,2222
565343.73,31,253952,62,322659,21258886908,14,90983209,2134,16,16,5157,2123,14,594,2609758,0,3,126893,17,120483071,1190,1,0,4,4765,402360109,8,1609440436,16,30,11,397,594,0,0,166027492,10888094,6814884020,0,594,2069,0,3,1,14,14,5402,3,6808486254,6703390525,267546120,408167400,408183784,1,3,1,21224704832,73389,73389,14,14,14,408167404,9,1,3,313957,2670350,3505426,56472,6808486254,2609758,162528655,2222
567352.78,31,253952,62,330633,21784246152,14,92731255,2185,17,17,5157,2172,14,594,2669553,0,3,130024,17,120483071,1190,1,0,4,4765,412292831,8,1649171324,16,31,11,397,594,0,0,170010481,10972310,6987665673,0,594,2069,0,3,1,14,14,5402,3,6981243861,6869151768,273331237,418256897,418256897,1,3,1,21749358676,73389,73389,14,14,14,418256901,9,1,3,321791,2731584,3585239,57895,6981243861,2669553,166431983,2222
569358.34,31,253952,62,338285,22289190566,14,93992409,2248,17,17,5157,2226,14,594,2730926,0,3,133018,17,120483071,1190,1,0,4,4765,421785060,8,1687075640,16,31,11,397,594,0,0,173854288,11042539,7157303872,0,594,2069,0,3,1,14,14,5402,3,7150867031,7029106334,278467247,427899708,427899708,1,3,1,22250784848,73389,73389,14,14,14,427899712,9,1,3,325346,2794402,3657066,59311,7150867031,2730926,170204108,2222
571366.92,31,253952,62,344546,22701466154,15,96591334,2264,18,18,5157,2261,14,594,2769693,0,3,135479,17,120483071,1190,1,0,4,4765,429589602,8,1718358408,16,32,11,397,594,0,0,176588500,11053588,7293875966,0,594,2069,0,3,1,14,14,5402,3,7287337640,7159343168,283861059,435800226,435800226,1,3,1,22661611784,73389,73389,14,14,14,435800230,9,1,3,332646,2834178,3714120,60432,7287337640,2769693,172881370,2222
573375.07,31,253952,62,352516,23227552666,15,98074352,2338,18,18,5157,2315,14,594,2840137,0,3,138610,17,120483071,1190,1,0,4,4765,439497795,8,1757991180,16,32,11,397,594,0,0,180994581,11213505,7466090930,0,594,2069,0,3,1,14,14,5402,3,7459780580,7325633238,289886375,445866862,445866862,1,3,1,23184224888,73389,73389,14,14,14,445850482,9,1,3,338396,2907660,3801974,61870,7459780580,2840137,177199768,2222
575384.07,32,253952,62,360406,23748396298,15,99610892,2405,18,18,5157,2367,16,594,2911620,0,3,141712,17,120483071,1190,1,0,4,4765,449342015,8,1797368060,16,32,11,397,594,0,0,185395995,11335813,7639497986,0,594,2069,0,3,1,14,14,5402,3,7632631080,7490460612,295927901,455835194,455835194,1,3,1,23703430120,73389,73389,14,14,14,455835198,9,1,3,345120,2980785,3888006,63311,7632631080,2911620,181515315,2222
577392.71,34,253952,62,368412,24275599308,15,101144865,2468,18,18,5157,2414,17,594,2978799,0,3,144852,17,120483071,1190,1,0,4,4765,459307828,8,1837231312,16,32,11,397,594,0,0,189770321,11469127,7813479172,0,594,2069,0,3,1,14,14,5402,3,7806187314,7657350162,301962108,465926850,465926850,1,3,1,24228196232,73389,73389,14,14,14,465926854,9,1,3,353416,3049587,3986898,64747,7806187314,2978799,185789921,2222
