timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
85173.07,253952,62,212844,14023489542,7,9751076,23,30,30,5032,148,675,1056926,2,15,55721,40,47,145065956,1352,1,0,39,44,86,9,166,675,0,0,0,41953183,12245,4150601165,0,673,309,2,2,1,14,14,356,1,4151151568,4103086775,132685223,318369099,318369099,1,2,1,14007519460,73389,73389,14,14,14,318352715,8,3,583451,1080975,2183283,31693,4151151568,1056926,39771618,1724
87178.91,253952,62,232973,15349565438,7,9751076,23,30,30,5032,152,675,1171517,2,15,61430,40,47,145596860,1352,1,0,39,44,86,9,166,675,0,0,0,46596279,38806,4538632659,0,673,309,2,2,1,14,14,356,1,4538469328,4490736181,141784888,348508677,348508677,1,2,1,15334381788,73389,73389,14,14,14,348508677,8,3,595378,1198141,2347656,34648,4538469328,1171517,44250521,1724
89183.76,253952,62,253861,16726179514,7,9751076,23,30,30,5032,155,675,1279253,2,15,67292,40,47,146127764,1352,1,0,39,44,86,9,166,675,0,0,0,51179999,44598,4941991802,0,673,309,2,2,1,14,14,356,1,4940860368,4893209971,151608752,379788658,379788658,1,2,1,16709980056,73389,73389,14,14,14,379772274,8,3,604507,1308501,2484141,37718,4940860368,1279253,48697930,1724
91189.32,253952,62,275565,18156270966,7,9751076,23,30,30,5032,159,675,1366963,2,15,73433,40,47,146658668,1352,1,0,39,44,86,9,166,675,0,0,0,55389438,44720,5359496039,0,673,309,2,2,1,14,14,356,1,5358717904,5311175982,159867914,412289247,412305631,1,2,1,18140726868,73389,73389,14,14,14,412289247,8,3,611916,1398518,2595276,40906,5358717904,1366963,52796403,1724
93195.02,253952,62,296132,19510625646,7,9751076,23,30,30,5032,162,675,1479866,2,15,79207,40,47,146924120,1352,1,0,39,44,86,9,166,675,0,0,0,60015306,51080,5755657205,0,673,309,2,2,1,14,14,356,1,5753772875,5707161948,167935178,443075993,443075993,1,2,1,19495343692,73389,73389,14,14,14,443075993,8,3,624158,1514013,2771298,43924,5753772875,1479866,57246437,1724
95201.13,253952,62,314967,20751439206,7,9751076,23,30,30,5032,167,675,1618253,2,15,84617,40,47,147720476,1352,1,0,39,44,86,9,166,675,0,0,0,64995865,185955,6112738303,0,673,309,2,2,1,14,14,356,1,6115693929,6069788204,209634337,471282259,471282259,1,2,1,20735698500,73389,73389,14,14,14,471265875,8,3,646958,1655052,2977738,46692,6115693929,1618253,62020690,1724
97206.03,253952,62,334615,22045843820,7,9751076,23,30,30,5032,171,675,1742327,2,15,90186,40,47,148251380,1352,1,0,39,44,86,9,166,675,0,0,0,69825273,260699,6492467706,0,673,309,2,2,1,14,14,356,1,6493384714,6448066720,218880720,500706974,500706974,1,2,1,22031106856,73389,73389,14,14,14,500706974,8,3,662667,1781791,3178600,49580,6493384714,1742327,66649415,1724
99212.40,253952,62,355805,23442249768,7,9751076,23,30,30,5032,174,675,1845333,2,15,96183,40,47,149047736,1352,1,0,39,44,86,9,166,675,0,0,0,74089724,320724,6902063492,0,673,309,2,2,1,14,14,356,1,6901411850,6856334452,235003055,532437515,532437515,1,2,1,23427250660,73389,73389,14,14,14,532437515,8,3,679717,1887012,3334594,52693,6901411850,1845333,70758040,1724
101222.33,253952,62,373104,24581901896,22,27621849,62,34,34,5032,178,675,1966859,2,15,101121,40,47,149844092,1352,1,0,39,48,86,9,166,675,0,0,0,78843160,1111912,7228048964,0,673,309,2,2,1,14,14,356,1,7233280835,7189330350,812981799,558337955,558354339,1,2,1,24566870020,73389,73389,14,14,14,558337955,8,3,729749,2011017,3603309,55231,7233280835,1966859,75242909,1724
103233.52,253952,62,390321,25715455868,22,27645479,64,34,34,5032,183,675,2084021,2,15,106085,40,47,150640448,1352,1,0,39,48,86,9,166,675,0,0,0,83805139,1862148,7561135089,0,673,309,2,2,1,14,14,356,1,7563077511,7520691554,828036112,584109482,584109482,1,2,1,25700096312,73389,73389,14,14,14,584093098,8,3,747571,2130714,3793625,57761,7563077511,2084021,80014709,1724
104748.83,253952,62,400982,26415782060,22,28320930,72,41,41,5032,191,675,2163861,2,15,109422,45,47,158511825,1359,1,1034,44,62,86,39,419,675,419,1034,1495,87455515,2954170,7767148887,8,673,309,2,2,1,14,14,356,1,7763869224,7725268584,901750174,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,774276,2212175,3990141,59330,7763869224,2163861,83468641,1724
