timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
451954.66,4,253952,62,74488,4905270796,4,15511027,567,6,6,10459,528,0,567,572491,0,11,29267,19,22,109203493,1136,1,0,4,482,92776089,7,371039704,18,20,14,93,567,0,0,38290305,470457,1582243909,0,567,268,0,3,1,14,14,962,3,1580797206,1547640502,54170163,94119803,94119803,1,3,1,4894229788,73389,73389,14,14,14,94119807,5,1,3,153276,586188,947235,13140,1580797206,572491,37344542,1223
453959.94,4,253952,62,80264,5286280262,4,16640138,596,6,6,10459,552,0,567,606050,0,11,31529,19,22,111049591,1136,1,0,4,482,99963746,7,399854984,18,20,14,93,567,0,0,40752477,470688,1709986858,0,567,268,0,3,1,14,14,962,3,1708836325,1667967320,57761493,101426179,101426179,1,3,1,5273309372,73389,73389,14,14,14,101409799,5,1,3,156239,620631,981134,14188,1708836325,606050,39772916,1223
455971.10,4,253952,62,87671,5774613320,4,18316177,663,7,7,10459,616,0,567,656736,0,11,34463,19,22,112075201,1136,1,0,4,482,109215759,7,436798368,18,21,14,93,567,0,0,44966229,583291,1857659478,0,567,268,0,3,1,14,14,962,3,1856101485,1821492481,63747944,110811164,110811164,1,3,1,5762180560,73389,73389,14,14,14,110811168,5,1,3,165084,672652,1046136,15428,1856101485,656736,43921821,1223
457981.28,5,253952,62,95284,6278136034,4,19575359,746,7,7,10459,652,0,567,715033,0,11,37467,19,22,114790051,1136,1,0,4,482,118779511,7,475118044,18,21,14,93,567,0,0,49533433,801024,2014632929,0,567,268,0,3,1,14,14,962,3,2013189035,1980234313,69767248,120494491,120510875,1,3,1,6265713564,73389,73389,14,14,14,120494495,5,1,3,174627,732443,1145192,16707,2013189035,715033,48390135,1223
459991.93,5,253952,62,102507,6753795102,4,20895947,824,7,7,10459,724,0,567,781833,0,11,40331,19,22,114790051,1136,1,0,4,482,127778628,7,511114512,18,21,14,93,567,0,0,54077197,965965,2171488143,0,567,268,0,3,1,14,14,962,3,2169881558,2130215950,75782023,129629842,129629842,1,3,1,6740751816,73389,73389,14,14,14,129629846,5,1,3,184883,800873,1240761,18051,2169881558,781833,52838487,1223
461997.13,5,253952,62,109436,7210693358,4,22098981,895,7,7,10459,752,0,576,843827,0,11,43040,19,22,116289212,1154,1,0,4,482,136426939,7,545643020,18,21,14,93,576,0,0,58346512,1184212,2318956161,0,576,281,0,3,1,14,14,962,3,2316941928,2274212341,81412935,138408619,138408619,1,3,1,7197248220,73389,73389,14,14,14,138408623,5,1,3,192234,864317,1340363,19234,2316941928,843827,57008346,1260
464004.16,6,253952,62,114273,7529500890,5,24869793,910,7,7,10459,768,0,576,872418,0,11,44931,19,22,116289212,1154,1,0,4,482,142455625,7,569822500,18,21,14,93,576,0,0,60589926,1185157,2415176623,0,576,281,0,3,1,14,14,962,3,2413211987,2374557538,86463182,144523281,144539665,1,3,1,7515210644,73389,73389,14,14,14,144523285,5,1,3,198840,893661,1386276,20016,2413211987,872418,59205941,1260
466013.18,6,253952,62,121258,7988560912,5,26193292,957,8,8,10459,836,0,576,937392,0,11,47690,19,22,116289212,1154,1,0,4,482,151137060,7,604548240,18,22,14,93,576,0,0,64772037,1407968,2562449186,0,576,281,0,3,1,14,14,962,3,2560195959,2519501184,92194684,153345621,153362005,1,3,1,7973972324,73389,73389,14,14,14,153345625,5,1,3,203766,960179,1477981,21266,2560195959,937392,63296499,1260
468021.16,7,253952,62,128172,8443860762,5,27816004,1020,8,8,10459,866,0,576,1001335,0,11,50390,19,22,116289212,1154,1,0,4,482,159747972,7,638927348,18,22,14,93,576,0,0,68946461,1644704,2707900936,0,576,281,0,3,1,14,14,962,3,2705633003,2662961828,98210443,162095948,162095948,1,3,1,8428989328,73389,73389,14,14,14,162095952,5,1,3,207064,1025638,1546741,22441,2705633003,1001335,67402305,1260
470027.07,7,253952,62,134005,8827435378,5,29287335,1061,8,8,10459,925,0,576,1048388,0,11,52707,19,22,116602928,1154,1,0,4,482,167024744,7,668098976,18,22,14,93,576,0,0,72165772,1850634,2833636948,0,576,281,0,3,1,14,14,962,3,2831380850,2783882595,103071430,169460112,169460112,1,3,1,8811925856,73389,73389,14,14,14,169460116,5,1,3,212046,1073820,1607701,23531,2831380850,1048388,70560779,1260
472037.62,7,253952,62,139461,9187159608,6,31723318,1071,8,8,10459,944,0,576,1082524,0,11,54836,19,22,116916644,1154,1,0,4,482,173842803,7,695306592,18,22,14,93,576,0,0,74969257,1863236,2945492367,0,576,281,0,3,1,14,14,962,3,2942999179,2897365115,108322700,176359047,176359047,1,3,1,9170670476,73389,73389,14,14,14,176359051,5,1,3,220092,1108875,1654601,24421,2942999179,1082524,73317474,1260
474046.88,8,253952,62,145938,9614483856,6,32715665,1097,9,9,10459,979,0,576,1135082,0,11,57381,19,22,116916644,1154,1,0,4,482,181933218,7,727668188,18,23,14,93,576,0,0,78915921,2057531,3086392383,0,576,281,0,3,1,14,14,962,3,3083505453,3032136306,113440675,184564384,184564384,1,3,1,9597348000,73389,73389,14,14,14,184564388,5,1,3,223801,1162794,1706364,25577,3083505453,1135082,77211512,1260
476052.41,8,253952,62,151079,9952924748,7,35547054,1125,9,9,10459,1027,2,576,1166724,0,11,59411,19,22,116916644,1154,1,0,4,482,188303457,7,753213828,18,23,14,93,576,0,0,81469258,2079972,3195268949,0,576,281,0,3,1,14,14,962,3,3192543091,3138796064,118488454,191074421,191074421,1,3,1,9935017956,73389,73389,14,14,14,191058041,5,1,3,225922,1195297,1740256,26507,3192543091,1166724,79732057,1260
478058.16,8,253952,62,155959,10274622724,7,37253834,1158,9,9,10459,1046,2,576,1196202,0,11,61319,19,22,116916644,1154,1,0,4,482,194397348,7,777589392,18,23,14,93,576,0,0,83848689,2092408,3299635430,0,576,281,0,3,1,14,14,962,3,3296546822,3240272716,122949467,197238235,197238235,1,3,1,10255536284,73389,73389,14,14,14,197221855,5,1,3,230949,1225514,1778299,27346,3296546822,1196202,82073540,1260
480069.81,8,253952,62,161331,10628021442,7,38540294,1202,10,10,10459,1098,2,576,1237768,0,11,63433,19,22,116916644,1154,1,0,4,482,201043942,7,804175768,18,24,14,93,576,0,0,86792509,2272966,3410778449,0,576,281,0,3,1,14,14,962,3,3407708582,3352025884,127344096,203987999,204004383,1,3,1,10607375980,73389,73389,14,14,14,203988003,5,1,3,242583,1268967,1841187,28302,3407708582,1237768,84954581,1260
482082.28,8,253952,62,167163,11012688858,7,40543207,1254,10,10,10459,1125,2,585,1289824,0,11,65733,19,22,118357797,1172,1,0,4,482,208384741,7,833538964,18,24,14,93,585,0,0,90290022,2762956,3538112491,0,585,294,0,3,1,14,14,962,3,3535438877,3473000279,133316085,211409063,211409063,1,3,1,10993271308,73389,73389,14,14,14,211409067,5,1,3,244975,1322342,1893848,29335,3535438877,1289824,88399558,1296
484088.46,8,253952,62,172516,11365095778,8,43247420,1302,10,10,10459,1152,2,585,1326350,0,11,67829,19,22,118357797,1172,1,0,4,482,215046215,7,860184860,18,24,14,93,585,0,0,93108651,2986786,3648652183,0,585,294,0,3,1,14,14,962,3,3645209332,3584314001,139054115,218164860,218164860,1,3,1,11344572752,73389,73389,14,14,14,218164864,5,1,3,245842,1359884,1934300,30241,3645209332,1326350,91177842,1296
486097.68,8,253952,62,177745,11710896550,8,44964928,1331,11,11,10459,1198,2,585,1363430,0,11,69888,19,22,118357797,1172,1,0,4,482,221550427,7,886137068,18,25,14,93,585,0,0,95828076,3175262,3761212107,0,585,294,0,3,1,14,14,962,3,3757660321,3693293223,143674543,224778790,224778790,1,3,1,11688497112,73389,73389,14,14,14,224778794,5,1,3,257094,1397958,1997093,31190,3757660321,1363430,93833588,1296
488113.98,8,253952,62,183463,12087827410,8,47248882,1389,11,11,10459,1225,2,585,1410712,0,11,72143,19,22,118357797,1172,1,0,4,482,228707867,7,914831468,18,25,14,93,585,0,0,99211357,3612504,3882189320,0,585,294,0,3,1,14,14,962,3,3878506898,3812235666,149772005,232038173,232038173,1,3,1,12065985028,73389,73389,14,14,14,232038177,5,1,3,261919,1446474,2060545,32165,3878506898,1410712,97154543,1296
490128.76,8,253952,62,188654,12429605432,8,49486225,1443,11,11,10459,1255,2,585,1465925,0,11,74170,19,22,118671513,1172,1,0,4,482,235174891,7,940634944,18,25,14,93,585,0,0,102446539,4161070,3993546307,0,585,294,0,3,1,14,14,962,3,3989874725,3920051883,155794698,238580978,238597362,1,3,1,12406210888,73389,73389,14,14,14,238580982,5,1,3,296844,1502939,2182091,33095,3989874725,1465925,100268300,1296
492140.26,8,253952,62,193843,12771879814,8,51690705,1495,11,11,10459,1300,6,585,1510027,0,11,76233,19,22,118671513,1172,1,0,4,482,241669998,7,966679992,18,25,14,93,585,0,0,105670634,4678118,4102853350,0,585,294,0,3,1,14,14,962,3,4098929924,4027873632,161724218,245168617,245168617,1,3,1,12748768116,73389,73389,14,14,14,245168621,5,1,3,303165,1548236,2248823,34017,4098929924,1510027,103425781,1296
494155.31,8,253952,62,199169,13123096430,8,53684241,1552,11,11,10459,1326,6,585,1560878,0,11,78312,19,22,118671513,1172,1,0,4,482,248261826,7,993047304,18,25,14,93,585,0,0,108888734,5332310,4213055298,0,585,294,0,3,1,14,14,962,3,4209529521,4138594515,167590486,251903712,251920096,1,3,1,13098993056,73389,73389,14,14,14,251903716,5,1,3,307550,1600233,2297798,34917,4209529521,1560878,106595037,1296
496169.57,9,253952,62,204388,13466082028,8,56200277,1602,11,11,10459,1359,6,585,1609956,0,11,80362,19,22,118671513,1172,1,0,4,482,254797854,7,1019126672,18,25,14,93,585,0,0,112027439,6042367,4327938436,0,585,294,0,3,1,14,14,962,3,4324026773,4246996778,173947863,258483603,258483603,1,3,1,13441147388,73389,73389,14,14,14,258483607,5,1,3,313667,1650517,2355218,35877,4324026773,1609956,109676443,1296
498175.96,9,253952,62,209197,13782475384,9,58509116,1637,11,11,10459,1394,6,585,1645117,0,11,82249,19,22,118671513,1172,1,0,4,482,260750415,7,1043001660,18,25,14,93,585,0,0,114425889,6133535,4429002029,0,585,294,0,3,1,14,14,962,3,4425255880,4346840640,178742047,264553431,264569815,1,3,1,13756778444,73389,73389,14,14,14,264553435,5,1,3,316415,1686538,2402890,36719,4425255880,1645117,112027314,1296
500181.91,9,253952,62,214071,14103188910,9,60357870,1672,11,11,10459,1418,6,585,1676925,0,11,84156,19,22,118671513,1172,1,0,4,482,266848345,7,1067328736,18,25,14,93,585,0,0,116790892,6182820,4534761127,0,585,294,0,3,1,14,14,962,3,4530390599,4448075323,182999344,270705179,270705179,1,3,1,14076669340,73389,73389,14,14,14,270705183,5,1,3,317547,1719204,2440714,37584,4530390599,1676925,114354591,1296
502195.78,9,253952,62,219127,14436771136,9,61746167,1702,12,12,10459,1464,6,585,1720443,0,11,86144,19,22,118671513,1172,1,0,4,482,273133010,7,1092532040,18,26,14,93,585,0,0,119370987,6530113,4645307108,0,585,294,0,3,1,14,14,962,3,4641458304,4553754706,187310910,277079826,277079826,1,3,1,14408150984,73389,73389,14,14,14,277079830,5,1,3,324241,1763707,2484486,38522,4641458304,1720443,116891025,1296
504208.80,9,253952,62,224545,14794041196,9,63953004,1760,12,12,10459,1491,6,585,1766797,0,11,88271,19,22,118671513,1172,1,0,4,482,279869924,7,1119479696,18,26,14,93,585,0,0,122515135,7199186,4757367738,0,585,294,0,3,1,14,14,962,3,4753427354,4666335820,193323879,283945993,283945993,1,3,1,14764339700,73389,73389,14,14,14,283929613,5,1,3,329543,1811176,2534325,39432,4753427354,1766797,119985458,1296
506222.76,9,253952,62,229954,15150069868,9,66308783,1812,12,12,10459,1524,6,585,1817498,0,11,90394,19,22,118671513,1172,1,0,4,482,286611443,7,1146381240,18,26,14,93,585,0,0,125664703,7770473,4874529958,0,585,294,0,3,1,14,14,962,3,4870187529,4778617027,199380144,290783710,290783710,1,3,1,15120752952,73389,73389,14,14,14,290783714,5,1,3,334392,1863072,2600185,40407,4870187529,1817498,123069287,1296
508237.82,10,253952,62,235336,15505270216,9,68536900,1868,12,12,10459,1564,6,585,1871306,0,11,92518,19,22,118671513,1172,1,0,4,482,293330850,7,1173259000,18,26,14,93,585,0,0,128887027,8484403,4990099996,0,585,294,0,3,1,14,14,962,3,4985603593,4890881150,205539663,297582182,297582182,1,3,1,15474273496,73389,73389,14,14,14,297582186,5,1,3,340152,1918080,2666047,41368,4985603593,1871306,126225880,1296
510243.40,10,253952,62,240237,15826775868,10,71226358,1897,12,12,10459,1588,6,585,1902325,0,11,94427,19,22,118671513,1172,1,0,4,482,299402225,7,1197608900,18,26,14,93,585,0,0,131179286,8534196,5094734702,0,585,294,0,3,1,14,14,962,3,5090664740,4992292828,210569668,303756791,303756791,1,3,1,15795353164,73389,73389,14,14,14,303756795,5,1,3,342061,1949911,2706177,42231,5090664740,1902325,128478085,1296
512257.60,18,253952,62,245366,16165468004,10,72357350,1934,13,13,10459,1632,6,585,1945263,0,11,96463,19,22,118671513,1172,1,0,4,482,305829765,7,1223319060,18,27,14,93,585,0,0,134039128,9033277,5208103713,0,585,294,0,3,1,14,14,962,3,5203155308,5099392671,215056421,310243967,310243967,1,3,1,16132686316,73389,73389,14,14,14,310243971,5,1,3,347336,1993957,2765996,43179,5203155308,1945263,131278232,1296
514274.08,18,253952,62,250957,16533412162,11,74486636,1984,14,14,10459,1659,6,585,1990996,0,11,98639,19,22,118671513,1172,1,0,4,482,312748864,7,1250995456,18,28,14,93,585,0,0,137272163,9630248,5325089362,0,585,294,0,3,1,14,14,962,3,5320666106,5215317018,221026120,317311060,317311060,1,3,1,16500175152,73389,73389,14,14,14,317311064,5,1,3,353893,2040907,2828716,44139,5320666106,1990996,134448683,1296
516286.62,18,253952,62,256507,16899996604,11,76884349,2046,14,14,10459,1696,6,585,2041686,0,11,100838,19,22,118671513,1172,1,0,4,482,319723977,7,1278895908,18,28,14,93,585,0,0,140587739,10229288,5443965328,0,585,294,0,3,1,14,14,962,3,5438900628,5331063184,227299129,324336749,324336749,1,3,1,16865510980,73389,73389,14,14,14,324336753,5,1,3,359784,2092832,2918445,45129,5438900628,2041686,137674659,1296
518296.65,18,253952,62,262108,17269271818,11,79168213,2096,14,14,10459,1740,6,585,2094262,0,11,103039,19,22,118671513,1172,1,0,4,482,326670489,7,1306681956,18,28,14,93,585,0,0,143898507,10731405,5567163095,0,585,294,0,3,1,14,14,962,3,5561827095,5447639062,233414081,331415908,331415908,1,3,1,17233627248,73389,73389,14,14,14,331415912,5,1,3,372688,2146682,3000369,46153,5561827095,2094262,140903625,1296
520312.65,19,253952,62,268044,17661491004,11,81194666,2152,14,14,10459,1773,6,585,2140696,0,11,105378,19,22,118671513,1172,1,0,4,482,334111802,7,1336447208,18,28,14,93,585,0,0,147358595,11289830,5692477303,0,585,294,0,3,1,14,14,962,3,5687401482,5571236346,239456655,338947342,338961567,1,3,1,17625261816,73389,73389,14,14,14,338947346,5,1,3,378614,2194370,3075900,47188,5687401482,2140696,144288322,1296
522318.62,20,253952,62,273878,18045312146,12,83796421,2193,14,14,10459,1810,7,585,2182414,0,11,107664,19,22,118671513,1172,1,0,4,482,341386229,7,1365544916,18,28,14,93,585,0,0,150346208,11425959,5818277053,0,585,294,0,3,1,14,14,962,3,5812559664,5692529413,245176218,346309347,346309347,1,3,1,18008086076,73389,73389,14,14,14,346309351,5,1,3,379205,2237235,3115654,48225,5812559664,2182414,147236295,1296
524330.08,20,253952,62,279157,18393533032,12,85542165,2224,15,15,10459,1844,7,585,2227307,0,11,109739,19,22,118671513,1172,1,0,4,482,347961732,7,1391846928,18,29,14,93,585,0,0,153196225,11500825,5934670994,0,585,294,0,3,1,14,14,962,3,5929108209,5802441316,249836435,352978906,352978906,1,3,1,18354903144,73389,73389,14,14,14,352978910,5,1,3,383820,2283168,3179528,49190,5929108209,2227307,150022540,1296
526341.10,20,253952,62,285418,18805386310,12,87422625,2272,15,15,10459,1879,7,585,2289938,0,11,112181,19,22,118671513,1172,1,0,4,482,355720864,7,1422818808,18,29,14,93,585,0,0,156974145,11766605,6070681092,0,585,294,0,3,1,14,14,962,3,6064986050,5932558645,255745056,360873391,360873391,1,3,1,18765416364,73389,73389,14,14,14,360873395,5,1,3,386464,2347265,3263414,50311,6064986050,2289938,153716704,1296
528350.65,20,253952,62,292152,19248877614,12,89533786,2295,15,15,10459,1930,7,594,2353394,0,11,114830,19,22,120169355,1190,1,0,4,482,364065964,7,1456263856,18,29,14,93,594,0,0,160920955,11862432,6218540846,0,594,299,0,3,1,14,14,962,3,6212582991,6073037413,261896312,369345190,369361574,1,3,1,19205949912,73389,73389,14,14,14,369345194,5,1,3,392441,2412202,3361402,51540,6212582991,2353394,157565668,1328
530355.33,20,253952,62,298890,19691584506,12,91060172,2335,15,15,10459,1968,8,612,2412210,0,11,117455,19,22,123480134,1226,1,0,4,482,372398574,7,1489594296,18,29,14,93,612,0,0,164640747,11986160,6361032178,0,612,312,0,3,1,14,14,962,3,6355331768,6212698508,267255131,377845883,377845883,1,3,1,19647985948,73389,73389,14,14,14,377845887,5,1,3,394885,2472407,3432354,52718,6355331768,2412210,161214648,1391
532360.58,20,253952,62,304164,20039501844,13,93739896,2360,15,15,10459,2004,8,666,2446200,0,11,119522,19,22,132810711,1334,1,0,4,482,378960100,7,1515840400,18,29,14,93,666,0,0,167013372,11986349,6477509264,0,666,351,0,3,1,14,14,962,3,6471578121,6322929879,272306718,384499058,384499058,1,3,1,19993951048,73389,73389,14,14,14,384499062,5,1,3,397524,2507274,3473354,53683,6471578121,2446200,163546370,1546
534370.27,20,253952,62,309823,20412867730,13,95026728,2376,16,16,10459,2039,8,693,2488251,0,11,121749,19,22,137329653,1388,1,0,4,482,386016651,7,1544066604,18,30,14,93,693,0,0,169734413,11999538,6602949884,0,693,367,0,3,1,14,14,962,3,6597173357,6441189347,276327929,391625210,391625210,1,3,1,20363658984,73389,73389,14,14,14,391608830,5,1,3,400305,2550374,3528402,54717,6597173357,2488251,166212463,1615
536374.86,20,253952,62,315271,20771162722,14,97341763,2398,16,16,10459,2070,8,693,2522341,0,11,123876,19,22,137619237,1388,1,0,4,482,392792824,7,1571171296,18,30,14,93,693,0,0,172116347,12000626,6719872081,0,693,367,0,3,1,14,14,962,3,6713714215,6554382634,281025425,398481470,398497854,1,3,1,20721036472,73389,73389,14,14,14,398481474,5,1,3,402649,2585356,3572350,55677,6713714215,2522341,168550542,1615
538383.03,20,253952,62,322997,21280618952,14,98848004,2435,17,17,10459,2123,8,693,2589482,0,11,126914,19,22,138536253,1388,1,0,4,482,402398913,7,1609595652,18,31,14,93,693,0,0,176169006,12094601,6888444320,0,693,367,0,3,1,14,14,962,3,6882156426,6715512562,286678344,408241128,408257512,1,3,1,21228538688,73389,73389,14,14,14,408241132,5,1,3,409843,2654095,3665237,57079,6882156426,2589482,172510470,1615
540392.30,21,253952,62,331211,21821127668,14,100419426,2495,17,17,10459,2173,8,693,2665996,0,11,130125,19,22,138536253,1388,1,0,4,482,412625820,7,1650503280,18,31,14,93,693,0,0,180503075,12230059,7068749312,0,693,367,0,3,1,14,14,962,3,7062439654,6886423148,292703386,418597087,418597087,1,3,1,21767048556,73389,73389,14,14,14,418597091,5,1,3,412619,2732307,3754114,58573,7062439654,2665996,176755828,1615
542399.37,21,253952,62,340047,22404318270,14,101782075,2577,17,17,10459,2233,8,693,2748523,0,11,133594,19,22,138572451,1388,1,0,4,482,423599679,7,1694398716,18,31,14,93,693,0,0,185105295,12314371,7268652404,0,693,367,0,3,1,14,14,962,3,7262278152,7071154578,298751060,429742908,429742908,1,3,1,22345779280,73389,73389,14,14,14,429726528,5,1,3,417008,2816706,3863312,60228,7262278152,2748523,181249031,1615
