event,value,description
LocalThreadPoolExpansions,28281,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,28233,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,2623876,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,538103,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,39090,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,542952826421,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,7528652,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,153573,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,33705,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1296,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,191678189076,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,766712756304,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,4034,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,484192,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,984194,Total time spent executing query plan optimizations.
SelectedParts,8320,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,8320,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,8320,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,46968960,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,46968960,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,384024259099,Number of rows SELECTed from all tables.
SelectedBytes,18452365640329,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,384024257280,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,384024257280,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14100,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,50186,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,7388070,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,285822,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,23312,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,128,Time spent resetting task for Common executor.
ContextLock,1116017,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,20604,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1654,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12097,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,9,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,305,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,90724,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,544,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,44474,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,614423810049,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,173330193844,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,5059464090,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,441287398,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,378458486,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,178384448983,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,5763633279512,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,5152,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,46178794,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,5758618271960,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,3444093084,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,3516024450,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,101,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,22827,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2576,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4760,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,345,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1472,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,156,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1847329,Cumulative time spend in logging
InterfaceHTTPSendBytes,224565,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,154075,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,269516589,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,404590,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,56,Number of created server HTTP connections
HTTPServerConnectionsReused,105,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,140,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,39,Number of expired server HTTP connections.
HTTPServerConnectionsReset,4,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,29656,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,34655716172,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,33965864875,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,1277437,Total number of CPU preemptions
ConcurrencyControlUpscales,29656,Total number of CPU upscaling events
ConcurrencyControlDownscales,29656,Total number of CPU downscaling events
MemoryWorkerRun,49432,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,15205993,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
