event,value,description
LocalThreadPoolJobWaitTimeMicroseconds,28531593,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,816,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,43442,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,40,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,5915993490,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,23663973960,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,67,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,11499,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,21217,Total time spent executing query plan optimizations.
SelectedParts,266,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,266,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,266,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,1394391,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,1394391,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,11400740860,Number of rows SELECTed from all tables.
SelectedBytes,549636043626,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,11400720138,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,11400720138,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,15529,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,668,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,2413235,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662896,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,3106,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,6602,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,69,Time spent resetting task for Common executor.
ContextLock,38108,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,180,Context lock wait time in microseconds
RWLockAcquiredReadLocks,661,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12463,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,238,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,7994,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,4,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,7117,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,11591079198,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,3240588839,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,84770602,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,13063654,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,65571078,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,3324398661,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadBytes,174536265728,"Number of bytes read from disks or block devices. Doesn't include bytes read from page cache. May include excessive data due to block size, readahead, etc."
OSReadChars,175319900861,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,192,"Number of bytes written to filesystem, including page cache, as well as network and other files."
AsynchronousReaderIgnoredBytes,175159779,Number of bytes ignored during asynchronous reading
ThreadPoolReaderPageCacheHit,43,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,255216,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,351,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,1405786,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,174531159351,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,342892041,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,491377110,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,91,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,13477,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1846,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3195,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,288,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1332,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,175,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LogError,12,Number of log messages with level Error
LoggerElapsedNanoseconds,1356680,Cumulative time spend in logging
InterfaceHTTPSendBytes,70729,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,26004,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,359752,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,2372,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,16,Number of created server HTTP connections
HTTPServerConnectionsReused,21,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,24,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,6,Number of expired server HTTP connections.
HTTPServerConnectionsReset,3,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,777,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,588479087,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,564693648,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,14674,Total number of CPU preemptions
ConcurrencyControlPreemptionResumes,14362,Total number of CPU preemption resumed
ConcurrencyControlUpscales,777,Total number of CPU upscaling events
ConcurrencyControlDownscales,777,Total number of CPU downscaling events
MemoryWorkerRun,5903,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,469269,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,20582,Number of rows that passed the filter in the query
FilterTransformPassedBytes,1258657,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,64,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,64,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,14,How many messages (accepted or dropped) have been sent to the async queue for the error file log
