event,value,description
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,101,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,22993,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2514,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4652,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,363,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1556,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,161,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1902542,Cumulative time spend in logging
InterfaceHTTPSendBytes,737950,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,639940,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,150,Number of created server HTTP connections
HTTPServerConnectionsReused,487,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,631,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,146,Number of expired server HTTP connections.
HTTPServerConnectionsReset,2,Number of reset server HTTP connections. Server closes connection
MemoryWorkerRun,73694,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,16596539,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
