timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55339.90,262144,64,158051,10414873262,64,61,139,1,585,1920781,4,40911,56,67,1,21700,128152320,1172,1,66,23666,2040722,2,22928,585,39801682,50741042,3105761062,585,274,2,1,2,2,295,1,3093078428,3047815156,494450716,236344118,236360502,2,1,10399141192,73389,73389,2,2,2,236344118,4,3,425333,29818759,2785062,71470,23601,3093078428,1849311,37016248,3531
60345.06,262144,64,181749,11976174402,64,61,143,1,585,2142955,4,47538,56,67,1,21700,128683224,1172,1,66,27148,2105299,2,22928,585,47253949,54716931,3563955939,585,274,2,1,2,2,295,1,3549471132,3504235966,658797769,271838661,271838661,2,1,11960901084,73389,73389,2,2,2,271838661,4,3,457181,31481597,3062006,79275,27082,3549471132,2063680,44191325,3531
65350.95,262144,64,227322,14979039102,64,61,150,1,585,2493741,4,60399,56,67,1,21700,129745032,1172,1,66,33842,2107041,2,22928,585,57347012,54763657,4444690771,585,274,2,1,2,2,295,1,4426867100,4382041825,681705957,340085586,340101970,2,1,14963765784,73389,73389,2,2,2,340085586,4,3,477650,32246924,3267046,89588,33776,4426867100,2404153,54079199,3531
70360.01,262144,64,244989,16143306858,64,61,153,1,585,2678281,4,65388,56,67,1,21700,130275936,1172,1,66,36438,2168125,2,22928,585,63922188,58864610,4786326966,585,274,2,1,2,2,295,1,4767130012,4722401774,766402813,366543082,366543082,2,1,16127174712,73389,73389,2,2,2,366526698,4,3,487218,34164496,3462019,97010,36372,4767130012,2581271,60459375,3531
75378.21,262144,64,256814,16922517290,64,61,155,1,585,2824211,4,68724,56,67,1,21700,130541388,1172,1,66,38175,2221022,2,22928,585,67040765,63276092,5015094664,585,274,2,1,2,2,295,1,4994933148,4950169694,923200340,384244218,384260602,2,1,16906745592,73389,73389,2,2,2,384244218,4,3,492148,36349017,3607705,104034,38110,4994933148,2720177,63432147,3531
80383.39,262144,64,271802,17909814446,64,61,158,1,585,2995282,4,72978,56,67,1,21700,130806840,1172,1,66,40377,2266935,2,22928,585,72091223,68237095,5304776220,585,274,2,1,2,2,295,1,5283422620,5238757272,1017091359,406690237,406706621,2,1,17894370428,73389,73389,2,2,2,406690237,4,3,506954,38448545,3796038,110951,40311,5283422620,2884331,68293780,3531
85389.03,262144,64,317418,20915762646,64,61,166,1,585,3353538,4,85803,56,67,1,21700,131868648,1172,1,66,47080,2268797,2,22928,585,83270440,68668609,6186538573,585,274,2,1,2,2,295,1,6161867164,6117538354,1049101294,475008731,475025115,2,1,20900384164,73389,73389,2,2,2,475008731,4,3,542883,39231673,4041965,121304,47014,6161867164,3232234,79227551,3531
90397.38,262144,64,336088,22145956066,64,61,169,1,585,3544037,4,91115,56,67,1,21700,132665004,1172,1,66,49820,2342950,2,22928,585,87683131,72109602,6547253519,585,274,2,1,2,2,295,1,6521135516,6477110331,1080966517,502979588,502979588,2,1,22131101872,73389,73389,2,2,2,502979588,4,3,558683,41298530,4215231,128709,49754,6521135516,3415328,83466091,3531
95412.43,262144,64,346069,22803521758,64,61,170,1,585,3668303,4,93889,56,67,1,21700,132665004,1172,1,66,51288,2425825,2,22928,585,90685978,76864690,6740499454,585,274,2,1,2,2,295,1,6713549212,6669352387,1363002897,517910113,517926497,2,1,22788044972,73389,73389,2,2,2,517910113,4,3,571677,43509616,4384496,137355,51222,6713549212,3530948,86300430,3531
100417.00,262144,64,361648,23830081594,64,61,173,1,585,3837885,4,98282,56,67,1,21700,133195908,1172,1,66,53575,2523622,2,22928,585,94737966,81256893,7041489568,585,274,2,1,2,2,295,1,7013310876,6969414240,1614782275,541244742,541261126,2,1,23814768648,73389,73389,2,2,2,541244742,4,3,584979,45472736,4571030,148578,53509,7013310876,3689307,90166371,3531
105432.94,262144,64,394984,26026747096,64,61,179,1,585,4125791,4,107692,56,67,1,21700,133992264,1172,1,66,58471,2541637,2,22928,585,103905185,83666959,7685693139,585,274,2,1,2,2,295,1,7655039388,7611596959,1688697248,591176131,591176131,2,1,26011028868,73389,73389,2,2,2,591159747,4,3,605753,46810298,4808739,158580,58405,7655039388,3967211,99096099,3531
