timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
25910.91,1,253952,62,121811,8025224630,12,29140642,0,307,14,14,10596,134,0,675,924442,23,30118,22,12,142423502,1352,1,0,21,28,11,1247,675,0,0,0,29631387,4569635,2400671493,0,675,528,2,1,14,14,394,1,2399796016,2349827446,64982960,182035215,182035215,1,2,1,8009549460,73389,73389,14,14,14,182035215,9,3,516735,943016,2182677,18328,2399796016,924442,27449727,2335
27923.30,1,253952,62,135791,8946461498,12,31333963,0,339,16,16,10596,136,0,675,1061752,23,34049,22,12,142942340,1352,1,0,21,30,11,1247,675,0,0,0,33518824,5560256,2667915533,0,675,528,2,1,14,14,394,1,2668624688,2619124306,72427082,202973906,202973906,1,2,1,8930851864,73389,73389,14,14,14,202973906,9,3,543473,1082661,2369669,20379,2668624688,1061752,31150288,2335
29933.53,1,253952,62,149984,9881657534,12,33573352,0,378,18,18,10596,138,0,675,1198847,23,38040,22,12,143207792,1352,1,0,21,32,11,1247,675,0,0,0,37370078,6971869,2939486409,0,675,528,2,1,14,14,394,1,2942040880,2892476399,80992290,224232085,224232085,1,2,1,9865490844,73389,73389,14,14,14,224215701,9,3,567298,1222108,2551433,22465,2942040880,1198847,34819903,2335
31940.28,1,253952,62,164116,10812531502,14,38648555,0,410,19,19,10596,141,0,675,1347832,23,42049,22,12,143738696,1352,1,0,21,33,11,1247,675,0,0,0,41402133,7965557,3211951238,0,675,528,2,1,14,14,394,1,3213331408,3164440627,91619598,245381609,245397993,1,2,1,10796790796,73389,73389,14,14,14,245381609,9,3,591982,1374649,2783532,24538,3213331408,1347832,38619984,2335
33944.75,1,253952,62,173437,11426577982,17,42455841,0,437,19,19,10596,142,0,675,1410863,23,44640,22,12,144004148,1352,1,0,21,33,11,1247,675,0,0,0,43724110,8155946,3393176453,0,675,528,2,1,14,14,394,1,3392506832,3343956177,98102678,259347637,259347637,1,2,1,11411296028,73389,73389,14,14,14,259347637,9,3,603410,1439019,2884672,25905,3392506832,1410863,40840907,2335
35958.41,1,253952,62,185415,12215815422,18,44881135,0,464,23,23,10596,144,0,675,1523245,23,48018,22,12,144269600,1352,1,0,21,37,11,1247,675,0,0,0,46881851,8728250,3622785596,0,675,528,2,1,14,14,394,1,3623324624,3574726930,103359521,277269957,277286341,1,2,1,12199878108,73389,73389,14,14,14,277269957,9,3,625037,1553384,3057613,27666,3623324624,1523245,43825811,2335
37962.94,1,253952,62,194610,12821869818,21,48998204,0,493,23,23,10596,145,0,675,1590345,23,50582,22,12,144535052,1352,1,0,21,37,11,1247,675,0,0,0,49298686,8868823,3801387852,0,675,528,2,1,14,14,394,1,3800271824,3751895419,111144225,291053602,291053602,1,2,1,12806358488,73389,73389,14,14,14,291053602,9,3,633443,1621768,3139597,29016,3800271824,1590345,46160747,2335
39965.88,1,253952,62,210393,13861798998,22,50869015,0,520,31,31,10596,148,0,675,1697689,23,55052,22,12,145065956,1352,1,0,21,45,11,1247,675,0,0,0,52872655,9313139,4103634005,0,675,528,2,1,14,14,394,1,4103965648,4055867938,117703263,314691335,314691335,1,2,1,13845697844,73389,73389,14,14,14,314674951,9,3,662125,1731134,3325404,31333,4103965648,1697689,49549038,2335
41968.83,1,253952,62,233985,15416418774,22,50869015,0,520,31,31,10596,152,0,675,1789537,23,61706,22,12,145596860,1352,1,0,21,45,11,1247,675,0,0,0,57066581,9313220,4556922439,0,675,528,2,1,14,14,394,1,4558261200,4510269682,125986222,350028071,350028071,1,2,1,15401235124,73389,73389,14,14,14,350028071,9,3,687981,1825320,3491268,34799,4558261200,1789537,53577275,2335
43975.50,1,253952,62,251374,16562129674,22,53934533,0,541,31,31,10596,155,0,675,1879995,23,66613,22,12,146127764,1352,1,0,21,45,11,1247,675,0,0,0,60827838,9613149,4889849123,0,675,528,2,1,14,14,394,1,4893019088,4845252645,146161069,376061742,376061742,1,2,1,16546716648,73389,73389,14,14,14,376061742,9,3,717519,1917773,3661068,37353,4893019088,1879995,57168868,2335
45981.69,1,253952,62,265906,17519807866,27,62735381,0,575,31,31,10596,157,0,675,2004289,23,70696,22,12,146393216,1352,1,0,21,45,11,1247,675,0,0,0,64821939,10525222,5171525249,0,675,528,2,1,14,14,394,1,5172595664,5125182176,168345772,397817474,397833858,1,2,1,17503968856,73389,73389,14,14,14,397817474,9,3,734549,2044263,3794419,39486,5172595664,2004289,61029749,2335
47990.54,1,253952,62,280021,18449892094,28,65343995,0,611,32,32,10596,159,0,675,2124133,23,74646,22,12,146658668,1352,1,0,21,46,11,1247,675,0,0,0,68788690,11374676,5444800415,0,675,528,2,1,14,14,394,1,5444438992,5397034950,175674305,418960965,418977349,1,2,1,18434282460,73389,73389,14,14,14,418960965,9,3,760604,2166377,4001501,41560,5444438992,2124133,64789537,2335
49994.15,1,253952,62,289877,19098839802,30,68150728,0,639,32,32,10596,161,0,675,2182729,23,77442,22,12,146924120,1352,1,0,21,46,11,1247,675,0,0,0,71118922,11391857,5635205936,0,675,528,2,1,14,14,394,1,5633186635,5586723828,181226293,433719458,433719458,1,2,1,19083656152,73389,73389,14,14,14,433719458,9,3,772678,2226219,4097245,43004,5633186635,2182729,67024108,2335
52005.10,1,253952,62,303282,19982103886,31,70517309,0,674,35,35,10596,163,0,675,2288057,23,81211,22,12,147189572,1352,1,0,21,49,11,1247,675,0,0,0,74527492,11930085,5891961247,0,675,528,2,1,14,14,394,1,5891398475,5844985713,187777557,453761347,453783764,1,2,1,19965499268,73389,73389,14,14,14,453761347,9,3,794999,2333615,4248073,44974,5891398475,2288057,70281969,2335
54014.09,1,253952,62,317641,20927478826,32,73668599,0,716,36,36,10596,167,0,675,2410766,23,85346,22,12,147720476,1352,1,0,21,50,11,1247,675,0,0,0,78561465,13011020,6169342783,0,675,528,2,1,14,14,394,1,6167336297,6121279121,196739249,475265286,475281670,1,2,1,20911672584,73389,73389,14,14,14,475265286,9,3,826376,2459186,4465036,47086,6167336297,2410766,74099113,2335
56024.52,1,253952,62,332210,21887847302,32,76386581,0,752,36,36,10596,169,0,675,2531722,23,89430,22,12,148251380,1352,1,0,21,50,11,1247,675,0,0,0,82518562,13644278,6449059220,0,675,528,2,1,14,14,394,1,6447830377,6401923598,204294914,497100779,497117163,1,2,1,21872434276,73389,73389,14,14,14,497100779,9,3,838959,2582698,4632074,49227,6447961449,2531808,77889321,2335
58030.71,1,253952,62,346248,22812471340,33,81489674,0,791,38,38,10596,172,0,675,2661881,23,93478,22,12,148782284,1352,1,0,21,52,11,1247,675,0,0,0,86426996,14491015,6717433426,0,675,528,2,1,14,14,394,1,6717386762,6672176215,213363769,518129582,518129582,1,2,1,22796980712,73389,73389,14,14,14,518113198,9,3,855016,2715048,4788226,51289,6717386762,2661881,81641733,2335
60036.31,1,253952,62,360406,23745213084,35,85168306,0,834,39,39,10596,176,0,675,2784557,23,97546,22,12,149313188,1352,1,0,21,53,11,1247,675,0,0,0,90430178,15376439,6988409599,0,675,528,2,1,14,14,394,1,6989486915,6944845249,223733599,539311874,539328258,1,2,1,23729722456,73389,73389,14,14,14,539311874,9,3,876015,2840063,4979629,53371,6989486915,2784557,85453643,2335
62041.42,1,253952,62,374948,24703281184,35,87771350,0,877,39,39,10596,178,0,675,2906373,23,101623,22,12,149844092,1352,1,0,21,53,11,1247,675,0,0,0,94476593,16087797,7271870406,0,675,528,2,1,14,14,394,1,7269194563,7224895627,231556198,561102533,561118917,1,2,1,24688511452,73389,73389,14,14,14,561102533,9,3,892834,2964361,5159854,55505,7269194563,2906373,89319982,2335
64056.17,1,253952,62,388768,25613147556,35,90994432,0,922,40,40,10596,183,0,675,3030568,23,105663,22,12,150640448,1352,1,0,21,54,11,1247,675,0,0,0,98353034,17040321,7533368730,0,675,528,2,1,14,14,394,1,7533586311,7490743701,239744987,581787272,581787272,1,2,1,25598639968,73389,73389,14,14,14,581787272,9,3,916109,3090887,5340977,57536,7533586311,3030568,93015423,2335
66060.44,1,253952,62,400898,26410488616,37,94627420,0,967,41,41,10596,190,1,675,3122895,23,109342,22,12,151171352,1352,1,0,21,55,11,1247,675,0,0,0,101847783,17821917,7762320039,0,675,528,2,1,14,14,394,1,7762665726,7723749495,248684986,599916107,599916107,1,2,1,26396308708,73389,73389,14,14,14,599916107,9,3,945930,3185036,5515185,59318,7762665726,3122895,96336061,2335
66160.10,1,253952,62,400982,26415782060,40,96712287,2,967,41,41,10596,191,1,675,3123220,23,109422,29,21,158511825,1359,1,1036,28,62,21,1277,675,624,1036,84,101971504,17824530,7767304528,8,675,528,2,1,14,14,394,1,7763869224,7725268584,311203269,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,960725,3185370,5524265,59330,7763869224,3123220,96450707,2335
