timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
554389.64,2,253952,62,154535,10181180210,29,47493132,0,395,31,31,5568,139,1,675,1018991,138,39323,32,736,143473244,1352,1,626,0,31,45,82,7,869,675,0,626,6,0,0,34796539,6477063,3028999490,0,675,469,2,1,14,14,509,1,3028650960,2979978667,97698183,231040908,231040908,1,2,1,10165799952,73389,73389,14,14,14,231040908,11,3,548585,1040709,2197230,23129,3028650960,1018991,32599575,2101
556401.55,2,253952,62,168864,11125554594,29,49003501,0,433,33,33,5568,141,1,675,1122772,138,43344,32,736,144004148,1352,1,626,0,31,47,82,7,869,675,0,626,6,0,0,38366351,6817469,3305032576,0,675,469,2,1,14,14,509,1,3304950736,3256012544,103352613,252501728,252501728,1,2,1,11110076032,73389,73389,14,14,14,252501728,11,3,563347,1146549,2333589,25237,3304950736,1122772,36034152,2101
558411.32,2,253952,62,184145,12132053798,29,52144899,0,478,33,33,5568,144,1,675,1240574,138,47674,32,736,144269600,1352,1,626,0,31,47,82,7,869,675,0,626,6,0,0,42439210,7436296,3597592655,0,675,469,2,1,14,14,509,1,3598683088,3550288956,111613680,275373731,275373731,1,2,1,12116444164,73389,73389,14,14,14,275373731,11,3,573164,1266736,2516627,27478,3598683088,1240574,39924112,2101
560416.62,2,253952,62,195051,12850771194,31,55304653,0,515,33,33,5568,146,1,675,1307857,138,50757,32,736,144535052,1352,1,626,0,31,47,82,7,869,675,0,626,6,0,0,45040671,7541994,3809894001,0,675,469,2,1,14,14,509,1,3808791504,3760308760,117528532,291708962,291725346,1,2,1,12835194328,73389,73389,14,14,14,291708962,11,3,574026,1335517,2594589,29081,3808791504,1307857,42447712,2101
562423.08,2,253952,62,208159,13714595218,31,57689175,0,547,36,36,5568,148,1,675,1394792,138,54443,32,736,145065956,1352,1,626,0,31,50,82,7,869,675,0,626,6,0,0,48244193,7939914,4061282530,0,675,469,2,1,14,14,509,1,4060974032,4012800460,123033892,311347284,311347284,1,2,1,13698559600,73389,73389,14,14,14,311330900,11,3,586862,1424342,2713210,31005,4060974032,1394792,45532751,2101
564428.23,2,253952,62,221582,14599063082,35,63486985,0,599,38,38,5568,150,1,675,1492877,138,58264,32,736,145331408,1352,1,626,0,31,52,82,7,869,675,0,626,6,0,0,51748789,8738983,4320789660,0,675,469,2,1,14,14,509,1,4319185872,4271407457,134447615,331436166,331452550,1,2,1,14583191304,73389,73389,14,14,14,331436166,11,3,598515,1524348,2843574,32975,4319185872,1492877,48907098,2101
566438.83,2,253952,62,232768,15336130558,36,66146721,0,624,40,40,5568,152,1,675,1554576,138,61376,32,736,145596860,1352,1,626,0,31,54,82,7,869,675,0,626,6,0,0,54211302,8835005,4533092118,0,675,469,2,1,14,14,509,1,4534406096,4486745110,139684991,348197381,348213765,1,2,1,15320684764,73389,73389,14,14,14,348197381,11,3,606030,1587451,2927055,34617,4534406096,1554576,51286227,2101
568450.69,2,253952,62,248557,16376452954,37,68539036,0,662,41,41,5568,154,1,675,1669442,138,65792,32,736,145862312,1352,1,626,0,31,55,82,7,869,675,0,626,6,0,0,58250333,9619868,4840205084,0,675,469,2,1,14,14,509,1,4838624208,4790946563,147235031,371835114,371851498,1,2,1,16360745016,73389,73389,14,14,14,371835114,11,3,616121,1704691,3070650,36938,4838624208,1669442,55181799,2101
570455.83,2,253952,62,259527,17099364654,39,71724209,0,694,41,41,5568,156,1,675,1728334,138,68891,32,736,146127764,1352,1,626,0,31,55,82,7,869,675,0,626,6,0,0,60651676,9634580,5051189957,0,675,469,2,1,14,14,509,1,5049912272,5002335341,152853366,388268649,388268649,1,2,1,17083820556,73389,73389,14,14,14,388268649,11,3,616486,1764884,3137045,38550,5049912272,1728334,57516841,2101
572470.71,2,253952,62,273803,18040265630,40,74773265,0,731,44,44,5568,158,1,675,1828328,138,72896,32,736,146658668,1352,1,626,0,31,58,82,7,869,675,0,626,6,0,0,64241954,10161899,5324334372,0,675,469,2,1,14,14,509,1,5324901328,5277297322,159821191,409655741,409655741,1,2,1,18024852604,73389,73389,14,14,14,409655741,11,3,631272,1867005,3277956,40648,5324901328,1828328,60966332,2101
574484.94,2,253952,62,288712,19021959458,41,78529451,0,770,47,47,5568,161,1,675,1963272,138,77126,32,736,146924120,1352,1,626,0,31,61,82,7,869,675,0,626,6,0,0,68247474,11182597,5611247736,0,675,469,2,1,14,14,509,1,5611035467,5564265709,169781597,431970688,431970688,1,2,1,19006710272,73389,73389,14,14,14,431970688,11,3,644405,2004269,3449268,42835,5611035467,1963272,64800667,2101
576492.38,2,253952,62,303410,19990516626,44,83190402,0,818,48,48,5568,164,1,675,2095226,138,81306,32,736,147189572,1352,1,626,0,31,62,82,7,869,675,0,626,6,0,0,72298067,11934643,5895680612,0,675,469,2,1,14,14,509,1,5894019915,5847380366,179580277,453972180,453988564,1,2,1,19974775920,73389,73389,14,14,14,453972180,11,3,650693,2141518,3587104,44994,5894019915,2095226,68713567,2101
578497.34,2,253952,62,317708,20932135190,45,86761000,0,867,49,49,5568,167,1,675,2214208,138,85362,32,736,147720476,1352,1,626,0,31,63,82,7,869,675,0,626,6,0,0,76135501,12452451,6170172536,0,675,469,2,1,14,14,509,1,6168647017,6122639853,187277916,475386007,475386007,1,2,1,20916984308,73389,73389,14,14,14,475386007,11,3,657157,2262782,3729594,47096,6168647017,2214208,72408636,2101
580502.95,2,253952,62,327848,21600386558,47,90532146,0,895,49,49,5568,169,1,675,2267321,138,88241,32,736,148251380,1352,1,626,0,31,63,82,7,869,675,0,626,6,0,0,78364856,12457813,6365954077,0,675,469,2,1,14,14,509,1,6363813225,6317926932,193900101,490576517,490576517,1,2,1,21585366748,73389,73389,14,14,14,490576517,11,3,661207,2317257,3786629,48585,6363813225,2267321,74581049,2101
582513.28,2,253952,62,342003,22532943760,47,93386741,0,930,52,52,5568,172,1,675,2391601,138,92323,32,736,148782284,1352,1,626,0,31,66,82,7,869,675,0,626,6,0,0,82322570,13000907,6635772040,0,675,469,2,1,14,14,509,1,6635597834,6590410682,200835742,511775193,511791577,1,2,1,22518108492,73389,73389,14,14,14,511775193,11,3,677792,2443840,3961331,50665,6635597834,2391601,78364193,2101
584521.87,2,253952,62,357060,23525028352,48,97140377,0,976,52,52,5568,174,1,675,2512461,138,96523,32,736,149047736,1352,1,626,0,31,66,82,7,869,675,0,626,6,0,0,86476047,13487912,6926895632,0,675,469,2,1,14,14,509,1,6925529098,6880546484,210323787,534317357,534317357,1,2,1,23509242812,73389,73389,14,14,14,534300973,11,3,682760,2567158,4130225,52877,6925529098,2512461,82348922,2101
586532.03,2,253952,62,371512,24477037680,48,99832673,0,1019,52,52,5568,177,1,675,2649059,138,100628,32,736,149844092,1352,1,626,0,31,66,82,7,869,675,0,626,6,0,0,90523838,14180508,7204106000,0,675,469,2,1,14,14,509,1,7203134275,7158746285,218071941,555950209,555966593,1,2,1,24461809196,73389,73389,14,14,14,555950209,11,3,697881,2706110,4316594,55001,7203134275,2649059,86210486,2101
588540.22,2,253952,62,385737,25413970420,49,102723369,0,1060,54,54,5568,180,1,675,2783342,138,104671,32,736,150109544,1352,1,626,0,31,68,82,7,869,675,0,626,6,0,0,94548076,14852545,7477914731,0,675,469,2,1,14,14,509,1,7475757928,7432567856,226028015,577257540,577257540,1,2,1,25399331760,73389,73389,14,14,14,577257540,11,3,718479,2842797,4518767,57087,7475757928,2783342,90032684,2101
590550.09,2,253952,62,399460,26316532836,51,106782012,0,1102,55,55,5568,187,1,675,2898243,138,108765,32,736,151171352,1352,1,626,0,31,69,82,7,869,675,0,626,6,0,0,98513970,15550657,7738281615,0,675,469,2,1,14,14,509,1,7736879720,7696352540,235210846,597776280,597776280,1,2,1,26302156320,73389,73389,14,14,14,597776280,11,3,729629,2959957,4677736,59100,7736879720,2898243,93839735,2101
590924.35,2,253952,62,400982,26415782060,54,107566461,3,1110,56,56,5568,191,1,675,2912204,138,109422,36,736,158511825,1359,1,626,1038,35,77,82,31,2173,675,619,626,6,1038,1378,99292980,15810907,7767355428,8,675,469,2,1,14,14,509,1,7763869224,7725268584,293868567,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,11,3,740910,2974186,4709095,59330,7763869224,2912204,94587405,2101
