timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
258315.80,1,253952,62,154745,10194942770,31,51584156,0,371,37,37,4794,139,675,1156494,24,39380,35,82,143473244,1352,1,0,34,51,25,8,441,675,0,0,0,37151717,5344733,3031914169,0,675,350,14,1,2,1,14,14,466,0,1,3032845264,2984032487,133244621,231352204,231352204,1,2,1,0,10179496976,73389,73389,14,14,14,231352204,16,3,576430,1180499,2472314,23161,3032845264,1156494,34680692,1969
260326.50,1,253952,62,167961,11065844682,32,56204020,0,409,37,37,4794,141,675,1292719,24,43094,35,82,144004148,1352,1,0,34,51,25,8,441,675,0,0,0,41215517,6369013,3284095957,0,675,350,14,1,2,1,14,14,466,0,1,3286993872,3238554356,143759219,251146174,251146174,1,2,1,0,11050431656,73389,73389,14,14,14,251146174,16,3,587143,1319052,2655929,25100,3286993872,1292719,38561011,1969
262339.08,1,253952,62,181079,11930058614,33,60875256,0,450,37,37,4794,143,675,1435320,24,46783,35,82,144004148,1352,1,0,34,51,25,8,441,675,0,0,0,45230859,7122737,3539550640,0,675,350,14,1,2,1,14,14,466,0,1,3539831760,3491202624,153362614,270786655,270786655,1,2,1,0,11913891924,73389,73389,14,14,14,270770271,16,3,595991,1464093,2843501,27029,3539831760,1435320,42388896,1969
264352.76,1,253952,62,194488,12813874426,33,63801383,0,489,39,39,4794,145,675,1573014,24,50549,35,82,144535052,1352,1,0,34,53,25,8,441,675,0,0,0,49245434,8046255,3797883511,0,675,350,14,1,2,1,14,14,466,0,1,3797912528,3749527132,161879960,290873378,290873378,1,2,1,0,12798428632,73389,73389,14,14,14,290873378,16,3,606559,1604336,3020401,28998,3797912528,1573014,46226700,1969
266358.04,1,253952,62,205657,13549827790,39,72681713,0,536,41,41,4794,147,675,1651680,24,53707,35,82,144800504,1352,1,0,34,55,25,8,441,675,0,0,0,52175992,8591461,4014247293,0,675,350,14,1,2,1,14,14,466,0,1,4013001680,3964611258,175654814,307601825,307601825,1,2,1,0,13534480300,73389,73389,14,14,14,307601825,16,3,616450,1684625,3134695,30639,4013001680,1651680,49043058,1969
268368.41,1,253952,62,217415,14324381858,39,74061013,0,558,43,43,4794,149,675,1740093,24,57021,35,82,145065956,1352,1,0,34,57,25,8,441,675,0,0,0,55206292,8920693,4240452369,0,675,350,14,1,2,1,14,14,466,0,1,4238838736,4191051095,180575224,325198624,325215008,1,2,1,0,14308739456,73389,73389,14,14,14,325198624,16,3,630607,1774864,3247283,32362,4238838736,1740093,51960878,1969
270373.68,1,253952,62,231258,15236905746,39,76344266,0,612,43,43,4794,151,675,1864181,24,60906,35,82,145596860,1352,1,0,34,57,25,8,441,675,0,0,0,58961490,9628181,4505870682,0,675,350,14,1,2,1,14,14,466,0,1,4505701328,4457827517,187319916,345930356,345946740,1,2,1,0,15220935664,73389,73389,14,14,14,345930356,16,3,635822,1901193,3380655,34398,4505701328,1864181,55582825,1969
272378.77,1,253952,62,240460,15842887990,41,80199207,0,633,43,43,4794,153,675,1918121,24,63529,35,82,145596860,1352,1,0,34,57,25,8,441,675,0,0,0,61188043,9687687,4682245953,0,675,350,14,1,2,1,14,14,466,0,1,4682910672,4634979780,193852223,359718319,359734703,1,2,1,0,15827606036,73389,73389,14,14,14,359718319,16,3,637489,1956440,3437598,35750,4682910672,1918121,57752519,1969
274385.59,1,253952,62,253784,16721133242,41,81167580,0,683,46,46,4794,155,675,1992842,24,67271,35,82,146127764,1352,1,0,34,60,25,8,441,675,0,0,0,64367495,10068663,4937824072,0,675,350,14,1,2,1,14,14,466,0,1,4939287504,4891752420,198754458,379673970,379673970,1,2,1,0,16705654680,73389,73389,14,14,14,379673970,16,3,644337,2032984,3539722,37706,4939287504,1992842,60829972,1969
276393.18,1,253952,62,268367,17681888318,43,85870662,0,716,47,47,4794,157,675,2102461,24,71360,35,82,146393216,1352,1,0,34,61,25,8,441,675,0,0,0,68370345,11066018,5220837986,0,675,350,14,1,2,1,14,14,466,0,1,5220043728,5172586107,209377935,401505589,401521973,1,2,1,0,17666245916,73389,73389,14,14,14,401505589,16,3,653297,2144980,3699090,39848,5220043728,2102461,64673611,1969
278406.99,1,253952,62,282492,18612362454,46,91990712,0,761,50,50,4794,160,675,2219125,24,75377,35,82,146658668,1352,1,0,34,64,25,8,441,675,0,0,0,72380127,11888354,5492036802,0,675,350,14,1,2,1,14,14,466,0,1,5491493840,5444521877,221083348,422651239,422667623,1,2,1,0,18596654516,73389,73389,14,14,14,422651239,16,3,662765,2264015,3869108,41919,5491493840,2219125,68513522,1969
280418.66,1,253952,62,296375,19526816346,46,94707556,0,806,50,50,4794,162,675,2336030,24,79271,35,82,146924120,1352,1,0,34,64,25,8,441,675,0,0,0,76435454,12552755,5759442437,0,675,350,14,1,2,1,14,14,466,0,1,5758622539,5711897955,229012890,443442474,443442474,1,2,1,0,19511468856,73389,73389,14,14,14,443442474,16,3,686938,2383360,4086087,43961,5758622539,2336030,72352026,1969
282423.48,1,253952,62,307240,20242846766,48,98693256,0,838,50,50,4794,164,675,2405633,24,82346,35,82,147455024,1352,1,0,34,64,25,8,441,675,0,0,0,79187310,12701873,5970045295,0,675,350,14,1,2,1,14,14,466,0,1,5967551307,5921139164,236469582,459720361,459720361,1,2,1,0,20227695884,73389,73389,14,14,14,459720361,16,3,699605,2454492,4183062,45555,5967551307,2405633,75007011,1969
284432.11,1,253952,62,319649,21059871470,48,100183573,0,864,52,52,4794,167,675,2494489,24,85893,35,82,147720476,1352,1,0,34,66,25,8,441,675,0,0,0,82548448,13096051,6205997854,0,675,350,14,1,2,1,14,14,466,0,1,6206002537,6159938539,241976068,478281657,478298041,1,2,1,0,21044392908,73389,73389,14,14,14,478281657,16,3,731132,2545358,4360417,47381,6206002537,2494489,78190917,1969
286439.32,1,253952,62,333686,21984855956,48,103356192,0,903,52,52,4794,170,675,2604393,24,89902,35,82,148251380,1352,1,0,34,66,25,8,441,675,0,0,0,86548876,13580195,6477460813,0,675,350,14,1,2,1,14,14,466,0,1,6476141929,6430278803,249955547,499302268,499318652,1,2,1,0,21969299792,73389,73389,14,14,14,499302268,16,3,747465,2657704,4529051,49442,6476141929,2604393,82022859,1969
288450.11,1,253952,62,348597,22967211760,51,107474253,0,950,55,55,4794,173,675,2707931,24,94160,35,82,148782284,1352,1,0,34,69,25,8,441,675,0,0,0,90795997,14127149,6765003659,0,675,350,14,1,2,1,14,14,466,0,1,6762344458,6717382294,259658081,521637473,521653857,1,2,1,0,22952048812,73389,73389,14,14,14,521637473,16,3,782096,2763749,4777025,51632,6762344458,2707931,86022162,1969
290458.70,1,253952,62,363024,23917582688,51,110404325,0,998,56,56,4794,176,675,2822360,24,98260,35,82,149578640,1352,1,0,34,70,25,8,441,675,0,0,0,94817288,14871106,7041185808,0,675,350,14,1,2,1,14,14,466,0,1,7039949635,6995223132,267883067,543245749,543245749,1,2,1,0,23902812956,73389,73389,14,14,14,543245749,16,3,809444,2880644,4985688,53756,7039949635,2822360,89834970,1969
292471.24,1,253952,62,377759,24888564688,52,115309761,0,1035,56,56,4794,179,675,2936113,24,102418,35,82,149844092,1352,1,0,34,70,25,8,441,675,0,0,0,98799766,15442724,7324193942,0,675,350,14,1,2,1,14,14,466,0,1,7323327299,7279019995,277103868,565312777,565312777,1,2,1,0,24873762188,73389,73389,14,14,14,565312777,16,3,831330,2996841,5204498,55918,7323327299,2936113,93598803,1969
294480.35,1,253952,62,391665,25803542868,53,118946419,0,1072,57,57,4794,184,675,3041983,24,106511,35,82,150640448,1352,1,0,34,71,25,8,441,675,0,0,0,102750221,16165002,7590295180,0,675,350,14,1,2,1,14,14,466,0,1,7588493039,7546396297,286689745,586104012,586120396,1,2,1,0,25788576528,73389,73389,14,14,14,586104012,16,3,878582,3105016,5481981,57959,7588493039,3041983,97271919,1969
295975.11,1,253952,62,400982,26415782060,57,121693843,4,1101,61,61,4794,194,675,3104031,24,109422,39,82,158511825,1359,1,1038,38,82,25,34,612,675,616,1038,143,105867923,16981539,7767619902,8,675,350,14,1,2,1,14,14,466,59764288,1,7763869224,7725268584,415085838,600037902,600037902,1,2,1,59764288,26401667688,73389,73389,14,14,14,600037902,16,3,940034,3168583,5797395,59330,7763869224,3104031,100074439,1969
