timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
162603.89,253952,62,135628,8935779130,24,39064051,0,368,27,27,6662,136,0,675,858295,9,17,34002,35,12,142942340,1352,1,0,34,41,14,491,675,0,0,0,29774399,2750788,2665042622,0,666,183,9,2,1,14,14,291,1,2665478960,2616038997,108309222,202728146,202728146,1,2,1,8920038424,73389,73389,14,14,14,202728146,4,3,535538,878430,1751400,20355,2665478960,858295,28024150,1241
164612.66,253952,62,145901,9612481334,25,41783962,0,394,28,28,6662,137,0,675,919941,9,17,36860,35,12,142942340,1352,1,0,34,42,14,491,675,0,0,0,32205000,2778741,2863712195,0,666,183,9,2,1,14,14,291,1,2863397680,2813853532,113472172,218109231,218109231,1,2,1,9596806164,73389,73389,14,14,14,218109231,4,3,540841,941479,1823506,21865,2863397680,919941,30382740,1241
166622.49,253952,62,159892,10534114726,26,45162230,0,438,30,30,6662,140,0,675,1049353,9,17,40838,35,12,143738696,1352,1,0,34,44,14,491,675,0,0,0,36201551,3565348,3131989439,0,666,183,9,2,1,14,14,291,1,3131673552,3083132891,121160940,239062147,239062147,1,2,1,10518734468,73389,73389,14,14,14,239062147,4,3,565382,1073132,2011424,23915,3131673552,1049353,34191510,1241
168633.09,253952,62,173875,11455548202,26,47866897,0,485,31,31,6662,142,0,675,1166546,9,17,44770,35,12,144004148,1352,1,0,34,45,14,491,675,0,0,0,40221281,4315099,3401614237,0,666,183,9,2,1,14,14,291,1,3401026512,3352422486,130042882,259992646,260009030,1,2,1,11439676424,73389,73389,14,14,14,259992646,4,3,583402,1192621,2219745,25970,3401026512,1166546,38003056,1241
170640.03,253952,62,187843,12375733186,27,53296723,0,529,32,32,6662,144,0,675,1284262,9,17,48682,35,12,144269600,1352,1,0,34,46,14,491,675,0,0,0,44164801,5302379,3670704263,0,666,183,9,2,1,14,14,291,1,3669986256,3621482340,140576798,280908920,280925304,1,2,1,12359992480,73389,73389,14,14,14,280908920,4,3,602644,1312533,2401354,28022,3669986256,1284262,41765094,1241
172644.38,253952,62,199437,13139804802,31,59529692,0,566,33,33,6662,146,0,675,1358933,9,17,51951,35,12,144535052,1352,1,0,34,47,14,491,675,0,0,0,47207216,5896122,3894939313,0,666,183,9,2,1,14,14,291,1,3893332944,3844805121,151654085,298282376,298282376,1,2,1,13124424544,73389,73389,14,14,14,298282376,4,3,624627,1388697,2538464,29726,3893332944,1358933,44670504,1241
174650.12,253952,62,211290,13921115694,31,60743508,0,584,36,36,6662,148,0,675,1434503,9,17,55296,35,12,145065956,1352,1,0,34,50,14,491,675,0,0,0,50146033,6189196,4120493346,0,666,183,9,2,1,14,14,291,1,4121267152,4073181701,156420680,316030505,316046889,1,2,1,13905342220,73389,73389,14,14,14,316030505,4,3,647778,1465920,2667903,31465,4121267152,1434503,47479992,1241
176655.05,253952,62,222115,14634259222,34,64865775,0,623,36,36,6662,150,0,675,1499610,9,17,58356,35,12,145331408,1352,1,0,34,50,14,491,675,0,0,0,52813037,6346140,4331488776,0,666,183,9,2,1,14,14,291,1,4329802704,4281717878,163480812,332245015,332245015,1,2,1,14618780660,73389,73389,14,14,14,332245015,4,3,659603,1532428,2740888,33056,4329802704,1499610,50074117,1241
178662.86,253952,62,235044,15486086850,34,66372652,0,653,41,41,6662,152,0,675,1590819,9,17,61997,35,12,145596860,1352,1,0,34,55,14,491,675,0,0,0,56193056,7336125,4577103446,0,666,183,9,2,1,14,14,291,1,4578446288,4530653889,170202625,351606968,351623352,1,2,1,15470706592,73389,73389,14,14,14,351606968,4,3,687531,1625454,2927953,34953,4578446288,1590819,53267193,1241
180674.89,253952,62,249618,16446517554,36,73668713,0,693,41,41,6662,154,2,675,1705196,9,17,66080,35,12,145862312,1352,1,0,34,55,14,491,675,0,0,0,60200619,8515244,4860094571,0,666,183,9,2,1,14,14,291,1,4859071440,4811447243,182519279,373436428,373436428,1,2,1,16431202832,73389,73389,14,14,14,373436428,4,3,709616,1741996,3133927,37094,4859071440,1705196,57068919,1241
182685.15,253952,62,263721,17375815350,37,78143821,0,732,41,41,6662,157,2,675,1811251,9,17,70095,35,12,146393216,1352,1,0,34,55,14,491,675,0,0,0,64190526,9478544,5130372833,0,666,183,9,2,1,14,14,291,1,5130652624,5083092763,192417566,394555343,394555343,1,2,1,17359714196,73389,73389,14,14,14,394538959,4,3,729305,1850328,3321432,39166,5130652624,1811251,60871465,1241
184690.25,253952,62,274541,18088896650,39,81216226,0,768,41,41,6662,158,2,675,1869369,9,17,73097,35,12,146658668,1352,1,0,34,55,14,491,675,0,0,0,66783583,9611172,5341621248,0,666,183,9,2,1,14,14,291,1,5339188176,5291544243,199587356,410759502,410759502,1,2,1,18073418088,73389,73389,14,14,14,410759502,4,3,737357,1909754,3408465,40757,5339188176,1869369,63377577,1241
186699.74,253952,62,285325,18799087750,39,83343996,0,805,41,41,6662,160,2,675,1926059,9,17,76148,35,12,146658668,1352,1,0,34,55,14,491,675,0,0,0,69211262,9613914,5547888395,0,666,183,9,2,1,14,14,291,1,5546150864,5499158709,204154066,426902443,426902443,1,2,1,18783707492,73389,73389,14,14,14,426902443,4,3,749258,1967727,3493702,42336,5546150864,1926059,65720106,1241
188706.28,253952,62,299331,19721602570,39,85341899,0,842,44,44,6662,163,2,675,2036266,9,17,80135,35,12,147189572,1352,1,0,34,58,14,491,675,0,0,0,73148268,10459627,5817379016,0,666,183,9,2,1,14,14,291,1,5815376715,5768746104,211534841,447865710,447882094,1,2,1,19706091240,73389,73389,14,14,14,447865710,4,3,778134,2080069,3651150,44394,5815376715,2036266,69499806,1241
190710.54,253952,62,310868,20481479882,43,91333614,0,880,45,45,6662,166,2,675,2116161,9,17,83442,35,12,147720476,1352,1,0,34,59,14,491,675,0,0,0,76125578,10787772,6038383418,0,666,183,9,2,1,14,14,291,1,6036919657,5990830206,221132551,465149054,465149054,1,2,1,20465837480,73389,73389,14,14,14,465132670,4,3,792256,2161519,3772271,46091,6036919657,2116161,72356115,1241
192716.87,253952,62,323327,21302409062,43,92883085,0,909,48,48,6662,168,2,675,2193874,9,17,86956,35,12,147985928,1352,1,0,34,62,14,491,675,0,0,0,79176507,11358539,6276659606,0,666,183,9,2,1,14,14,291,1,6276781417,6230832324,226935976,483792270,483814687,1,2,1,21286859880,73389,73389,14,14,14,483792270,4,3,815858,2240934,3901045,47921,6276781417,2193874,75278391,1241
194728.54,253952,62,337418,22230603036,44,96024673,0,954,50,50,6662,171,2,675,2301882,9,17,91003,35,12,148516832,1352,1,0,34,64,14,491,675,0,0,0,83123979,12438338,6547798254,0,666,183,9,2,1,14,14,291,1,6547517450,6502024132,236008865,504892642,504909026,1,2,1,22215276248,73389,73389,14,14,14,504892642,4,3,832119,2351187,4055810,49993,6547517450,2301882,79071238,1241
196734.80,253952,62,351937,23187163808,46,100534885,0,1000,51,51,6662,173,2,675,2406185,9,17,95071,35,12,148782284,1352,1,0,34,65,14,491,675,0,0,0,87129686,13121273,6827790136,0,666,183,9,2,1,14,14,291,1,6826962954,6781763206,245765476,526642341,526642341,1,2,1,23171542108,73389,73389,14,14,14,526625957,4,3,836380,2457818,4167478,52125,6826962954,2406185,82965436,1241
198739.45,253952,62,363917,23976637240,49,106065552,0,1035,51,51,6662,176,2,675,2470681,9,17,98503,35,12,149578640,1352,1,0,34,65,14,491,675,0,0,0,89930374,13332392,7059626124,0,666,183,9,2,1,14,14,291,1,7056988995,7012508811,254571715,544584919,544584919,1,2,1,23961736436,73389,73389,14,14,14,544584919,4,3,841420,2523760,4254885,53886,7056988995,2470681,85678827,1241
200747.98,253952,62,377759,24888564688,49,108121904,0,1071,54,54,6662,179,2,675,2553906,9,17,102424,35,12,149844092,1352,1,0,34,68,14,491,675,0,0,0,93271878,13802232,7324916843,0,666,183,9,2,1,14,14,291,1,7323327299,7279019995,260798375,565312777,565312777,1,2,1,24873762188,73389,73389,14,14,14,565312777,4,3,853526,2608862,4377496,55918,7323327299,2553906,88896847,1241
202761.01,253952,62,391714,25806754132,50,111713324,0,1108,56,56,6662,184,2,675,2647157,9,17,106524,35,12,150640448,1352,1,0,34,70,14,491,675,0,0,0,97196540,14878606,7590359858,0,666,183,9,2,1,14,14,291,1,7589410543,7547359981,269927764,586185932,586185932,1,2,1,25791460112,73389,73389,14,14,14,586169548,4,3,866306,2704242,4548261,57966,7589410543,2647157,92651888,1241
204246.58,253952,62,400982,26415782060,54,115284873,3,1144,60,60,6662,191,2,675,2719129,9,17,109422,38,12,158511825,1359,1,1038,37,81,34,647,675,629,1038,120,100203198,15892454,7767545427,8,666,183,9,2,1,14,14,291,1,7763869224,7725268584,341453861,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,4,3,887891,2777672,4722100,59330,7763869224,2719129,95484787,1241
