timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
532327.42,37,253952,62,258935,17057892302,19,39934670,1926,24,24,2183,1715,6,1044,2195743,8,1,101627,11,200448761,2090,1,4,579,322163466,7,1288589276,10,38,0,2,2271,1044,145233702,4585781,5570691648,0,1036,987,8,3,1,14,14,1147,3,5566978213,5387066594,188462240,326939832,326939832,1,3,1,17000871296,73389,73389,14,14,14,326939836,9,3,210072,2247290,2926577,46277,5566978213,2195743,142312332,3627
534342.10,37,253952,62,271809,17906308506,21,42910861,1990,26,26,2183,1799,7,1044,2295590,8,1,106703,11,201389909,2090,1,4,579,338204523,7,1352753396,10,40,0,2,2271,1044,151696231,4611050,5860854101,0,1036,987,8,3,1,14,14,1147,3,5856595973,5655586742,198006472,343143991,343176759,1,3,1,17843487564,73389,73389,14,14,14,343143995,9,3,222442,2349559,3046408,48681,5856595973,2295590,148655262,3627
536347.08,37,253952,62,284971,18771716782,23,46284118,2078,27,27,2183,1879,7,1044,2387432,8,1,111809,11,201401975,2090,1,4,579,354484761,7,1417874604,10,41,0,2,2271,1044,157838549,4640599,6154637044,0,1036,987,8,3,1,14,14,1147,3,6149685675,5929672874,207547359,359705168,359705168,1,3,1,18704668768,73389,73389,14,14,14,359705172,9,3,234788,2443723,3175146,51110,6149685675,2387432,154669081,3627
538356.62,38,253952,62,300908,19822209080,24,48063815,2181,30,30,2183,1983,7,1044,2536577,8,1,118082,11,201727757,2090,1,4,579,374313181,7,1497188180,10,44,0,2,2271,1044,166383542,4793984,6506456324,0,1036,987,8,3,1,14,14,1147,3,6500815095,6262151240,218011081,379800083,379800083,1,3,1,19749604348,73389,73389,14,14,14,379800087,9,3,249714,2596194,3377767,54029,6500815095,2536577,163011768,3627
540369.90,39,253952,62,320625,21123202638,24,49666338,2293,31,31,2183,2111,9,1062,2731516,8,1,125815,11,205653741,2126,1,4,579,398826479,7,1595241480,10,45,0,2,2271,1062,177352305,5105265,6932661456,0,1054,1011,8,3,1,14,14,1147,3,6927633125,6673212944,230863816,404694622,404711006,1,3,1,21043268408,73389,73389,14,14,14,404678242,9,3,260097,2795257,3605200,57569,6927633125,2731516,173753483,3700
542378.70,39,253952,62,343427,22625759390,24,50671973,2447,31,31,2183,2257,9,1170,2965144,8,1,134765,11,224589622,2342,1,4,579,427266694,7,1708743960,10,45,0,2,2271,1170,190110400,5516704,7427696027,0,1162,1143,8,3,1,14,14,1147,3,7421195881,7147479074,244997400,433509255,433509255,1,3,1,22542481292,73389,73389,14,14,14,433509259,9,3,292552,3033717,3935527,61656,7421195881,2965144,186181704,4105
544383.29,40,253952,62,366125,24119617214,24,51644884,2563,31,31,2183,2399,12,1251,3160780,8,1,143647,11,238879057,2504,1,4,579,455402823,7,1821546676,10,45,0,2,2271,1251,201976707,5662981,7922729766,0,1243,1270,8,3,1,14,14,1147,3,7916590822,7619954263,257933231,462097115,462097115,1,3,1,24029050012,73389,73389,14,14,14,462097119,9,3,296989,3235096,4184097,65750,7916590822,3160780,197799892,4398
546395.82,42,253952,62,387890,25553457050,26,54888565,2670,34,34,2183,2539,12,1341,3318135,8,1,152175,12,254041262,2684,1,4,579,482465104,7,1929666504,11,48,0,2,2281,1341,211907396,5724731,8408312199,0,1333,1347,8,3,1,14,14,1147,3,8401761657,8073971651,271199917,489494532,489494532,1,3,1,25453715696,73389,73389,14,14,14,489494536,9,3,307128,3396271,4367020,69766,8401761657,3318135,207548159,4641
548408.98,45,253952,62,417309,27493743822,26,56454172,2831,36,36,2183,2727,13,1386,3615251,8,1,163643,14,263078243,2774,1,4,579,518810008,7,2075111080,13,50,0,2,3393,1386,227790025,6121386,9092368839,0,1378,1395,8,3,1,14,14,1147,3,9085115459,8690565013,289033941,526440330,526456714,1,3,1,27374897192,73389,73389,14,14,14,526440334,9,3,323199,3699917,4737142,75431,9085115459,3615251,223060227,4796
550415.28,49,253952,62,445008,29318536436,27,60044744,2993,36,36,2183,2898,16,1836,3874691,8,1,174426,14,342545521,3674,1,4,579,553003326,7,2211948776,13,50,0,2,3393,1836,242632398,6488752,9757462442,0,1828,1868,8,3,1,14,14,1147,3,9749408062,9273006429,307819857,561037627,561037627,1,3,1,29173956636,73389,73389,14,14,14,561037631,9,3,335825,3965386,5057079,80903,9749408062,3874691,237584219,6434
552427.16,50,253952,62,476159,31370571334,27,63015494,3156,47,47,2183,3127,17,1872,4172879,8,1,186584,30,359892437,3753,1,4,579,591599349,7,2366397396,29,68,1,2,4404,1872,259773607,7062453,10505118148,8,1864,1904,8,3,1,14,14,1147,3,10495777812,9926375967,393000116,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,9,3,370455,4270570,5462041,87048,10495777812,4172879,254321099,6547
