timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
615849.52,253952,62,149699,9862979774,19,42434327,372,24,24,10809,138,675,1178029,34,37953,33,49,143207792,1352,1,0,32,38,9,14,146,675,0,0,0,38636237,9005915,2935370859,0,675,394,2,1,14,14,338,0,1,2936535856,2887022692,104700858,223806101,223806101,1,2,1,0,9847468444,73389,73389,14,14,14,223806101,6,3,582263,1202705,2635461,22423,2936535856,1178029,36002104,1977
617858.51,253952,62,163511,10772616770,21,45653001,416,25,25,10809,140,675,1302240,34,41831,33,49,143738696,1352,1,0,32,39,9,14,146,675,0,0,0,42632691,9612157,3199591862,0,675,394,2,1,14,14,338,0,1,3201403856,3152858019,113053767,244482648,244482648,1,2,1,0,10756515616,73389,73389,14,14,14,244466264,6,3,589280,1329316,2797407,24447,3201403856,1302240,39836751,1977
619864.37,253952,62,178219,11741563846,22,49626499,460,26,26,10809,143,675,1425012,34,46001,33,49,144004148,1352,1,0,32,40,9,14,146,675,0,0,0,46822110,10420439,3482329314,0,675,394,2,1,14,14,338,0,1,3484257232,3436098589,122717635,266502683,266502683,1,2,1,0,11725397156,73389,73389,14,14,14,266486299,6,3,600829,1454458,2963201,26605,3484257232,1425012,43860522,1977
621870.87,253952,62,191997,12649562442,23,53106658,496,27,27,10809,145,675,1548171,34,49870,33,49,144535052,1352,1,0,32,41,9,14,146,675,0,0,0,50865363,11174657,3748410854,0,675,394,2,1,14,14,338,0,1,3750071248,3701489134,130609873,287130078,287146462,1,2,1,0,12633723432,73389,73389,14,14,14,287130078,6,3,611690,1580062,3138178,28633,3750071248,1548171,47728936,1977
623881.22,253952,62,206272,13590132430,23,55874721,536,28,28,10809,147,675,1674573,34,53873,33,49,144800504,1352,1,0,32,42,9,14,146,675,0,0,0,55018192,11561226,4024327242,0,675,394,2,1,14,14,338,0,1,4024536016,3976402605,139123535,308502945,308519329,1,2,1,0,13574129580,73389,73389,14,14,14,308502945,6,3,618572,1708968,3293562,30727,4024536016,1674573,51726525,1977
625886.82,253952,62,219689,14474472530,24,60609194,578,29,29,10809,150,675,1804079,34,57700,33,49,145331408,1352,1,0,32,43,9,14,146,675,0,0,0,59168146,12072966,4283190994,0,675,394,2,1,14,14,338,0,1,4283010000,4234952753,148954392,328606052,328622436,1,2,1,0,14458666288,73389,73389,14,14,14,328606052,6,3,630596,1840857,3461071,32699,4283010000,1804079,55708106,1977
627889.98,253952,62,235488,15515450286,25,64042111,605,37,37,10809,152,675,1915421,34,62117,33,49,145596860,1352,1,0,32,51,9,14,146,675,0,0,0,63184069,12473888,4587037464,0,675,394,2,1,14,14,338,0,1,4587097040,4539242079,157539023,352268361,352284745,1,2,1,0,15499807884,73389,73389,14,14,14,352268361,6,3,640738,1954556,3604668,35019,4587097040,1915421,59581587,1977
629893.51,253952,62,257568,16970183274,25,64042111,605,37,37,10809,156,675,1988826,34,68357,33,49,146127764,1352,1,0,32,51,9,14,146,675,0,0,0,67162017,12474051,5012012888,0,675,394,2,1,14,14,338,0,1,5012163536,4964589670,163329280,385317814,385334198,1,2,1,0,16953983816,73389,73389,14,14,14,385317814,6,3,644626,2030008,3708305,38262,5012163536,1988826,63456062,1977
631896.64,253952,62,279883,18440582674,25,64042111,605,37,37,10809,159,675,2069244,34,74609,33,49,146658668,1352,1,0,32,51,9,14,146,675,0,0,0,71307783,12474223,5442624936,0,675,394,2,1,14,14,338,0,1,5441817552,5394304081,169486491,418741940,418758324,1,2,1,0,18424645360,73389,73389,14,14,14,418741940,6,3,649741,2112552,3804033,41540,5441817552,2069244,67506267,1977
633900.19,253952,62,301958,19894827450,25,64042111,605,37,37,10809,163,675,2148572,34,80852,33,49,147189572,1352,1,0,32,51,9,14,146,675,0,0,0,75413616,12474304,5865636345,0,675,394,2,1,14,14,338,0,1,5865970507,5819444977,175633087,451805618,451822002,1,2,1,0,19879447192,73389,73389,14,14,14,451805618,6,3,657240,2194043,3940233,44780,5865970507,2148572,71476069,1977
635903.51,253952,62,323770,21331538038,25,64042111,606,37,37,10809,168,675,2224703,34,87074,33,49,147985928,1352,1,0,32,51,9,14,146,675,0,0,0,79424886,12474468,6285529445,0,675,394,2,1,14,14,338,0,1,6285301097,6239351356,181558651,484453663,484470047,1,2,1,0,21315961172,73389,73389,14,14,14,484453663,6,3,663891,2272250,4046664,47986,6285301097,2224703,75381081,1977
637906.80,253952,62,345751,22779899948,26,65042188,608,37,37,10809,172,675,2300923,34,93331,33,49,148782284,1352,1,0,32,51,9,14,146,675,0,0,0,83504781,12474602,6708478291,0,675,394,2,1,14,14,338,0,1,6707949578,6662607885,196920932,517392302,517392302,1,2,1,0,22764540392,73389,73389,14,14,14,517375918,6,3,674349,2350479,4172910,51217,6707949578,2300923,79334913,1977
639910.12,253952,62,367700,24225887188,28,67042333,608,37,37,10809,177,675,2377699,34,99592,33,49,149844092,1352,1,0,32,51,9,14,146,675,0,0,0,87471128,12474946,7130827274,0,675,394,2,1,14,14,338,0,1,7129733955,7085328815,224906959,550251180,550267564,1,2,1,0,24211051920,73389,73389,14,14,14,550251180,6,3,682618,2429238,4258985,54441,7129733955,2377699,83215357,1977
641913.45,253952,62,389736,25676851856,28,67042333,608,37,37,10809,183,675,2448757,34,105925,33,49,150640448,1352,1,0,32,51,9,14,146,675,0,0,0,91418863,12475060,7553722450,0,675,394,2,1,14,14,338,0,1,7552067463,7509368804,244472444,583235097,583235097,1,2,1,0,25662344268,73389,73389,14,14,14,583235097,6,3,693019,2502173,4390745,57677,7552067463,2448757,87031501,1977
643040.22,253952,62,400982,26415782060,28,67042333,608,88,88,10809,194,675,2487183,34,109422,83,131,158511825,1359,1,1038,82,109,558,75,518,675,457,1038,49,93842783,12476201,7767359581,8,675,394,2,1,14,14,338,47274669,1,7763869224,7725268584,423076935,600037902,600037902,1,2,1,47274669,26401667688,73389,73389,14,14,14,600037902,6,3,705892,2541400,4570327,59330,7763869224,2487183,89275974,1977
