timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
578719.93,253952,62,136495,8992864294,29,47234135,0,343,34,34,5200,136,1,675,963108,4,34287,33,142942340,1352,1,0,32,48,9,764,675,0,0,0,33361485,7534056,2680460245,0,675,472,2,1,14,14,423,1,2682387248,2632684546,95327876,204028515,204028515,1,2,1,8977254660,73389,73389,14,14,14,204028515,11,3,533637,983601,2136426,20484,2682387248,963108,31226280,2395
580726.55,253952,62,147885,9743301114,32,52032082,0,364,35,35,5200,138,1,675,1020547,4,37457,33,143207792,1352,1,0,32,49,9,764,675,0,0,0,35821632,7572174,2901276892,0,675,472,2,1,14,14,423,1,2901539632,2852078848,103024885,221084642,221084642,1,2,1,9727003352,73389,73389,14,14,14,221068258,11,3,551810,1042352,2215319,22156,2901539632,1020547,33607627,2395
582733.75,253952,62,162093,10679155818,32,54607647,0,406,37,37,5200,140,1,675,1130839,4,41439,33,143738696,1352,1,0,32,51,9,764,675,0,0,0,39837924,8370970,3173504149,0,675,472,2,1,14,14,423,1,3174271952,3125569025,111049029,242357046,242373430,1,2,1,10663710024,73389,73389,14,14,14,242357046,11,3,572071,1155030,2419644,24240,3174271952,1130839,37419747,2395
584742.98,253952,62,176402,11621954030,34,60109013,0,453,38,38,5200,143,1,675,1247625,4,45510,33,144004148,1352,1,0,32,52,9,764,675,0,0,0,43893652,9087907,3448508495,0,675,472,2,1,14,14,423,1,3449785296,3401092555,122292095,263787257,263787257,1,2,1,11605918412,73389,73389,14,14,14,263770873,11,3,591570,1274166,2616223,26342,3449785296,1247625,41279050,2395
586753.54,253952,62,190298,12537685874,35,63118662,0,492,40,40,5200,145,1,675,1358316,4,49410,33,144535052,1352,1,0,32,54,9,764,675,0,0,0,47920548,10228470,3716815815,0,675,472,2,1,14,14,423,1,3717172176,3668819078,131042693,284594876,284594876,1,2,1,12522174544,73389,73389,14,14,14,284594876,11,3,618116,1387132,2813995,28382,3717172176,1358316,45108313,2395
588760.53,253952,62,204482,13472292086,37,66828612,0,533,40,40,5200,147,1,675,1472934,4,53384,33,144800504,1352,1,0,32,54,9,764,675,0,0,0,52039629,11006867,3990119671,0,675,472,2,1,14,14,423,1,3990195152,3941988675,140459273,305836671,305836671,1,2,1,13456092628,73389,73389,14,14,14,305820287,11,3,634226,1504124,2973834,30465,3990195152,1472934,49067713,2395
590769.43,253952,62,218693,14408667770,39,70585447,0,573,43,43,5200,149,1,675,1577417,4,57369,33,145065956,1352,1,0,32,57,9,764,675,0,0,0,56048994,11951655,4264597869,0,675,472,2,1,14,14,423,1,4263742416,4215725337,149911238,327111234,327127618,1,2,1,14392894296,73389,73389,14,14,14,327111234,11,3,654593,1610937,3158536,32552,4263742416,1577417,52892518,2395
592774.09,253952,62,229267,15105627214,41,74116524,0,604,43,43,5200,151,1,675,1628300,4,60363,33,145596860,1352,1,0,32,57,9,764,675,0,0,0,58400798,11964972,4469297100,0,675,472,2,1,14,14,423,1,4467166160,4419443151,155869625,342963137,342963137,1,2,1,15090378028,73389,73389,14,14,14,342963137,11,3,664643,1663157,3233805,34104,4467166160,1628300,55169148,2395
594779.04,253952,62,242064,15948538638,41,75192401,0,654,44,44,5200,153,1,675,1709558,4,63965,33,145596860,1352,1,0,32,58,9,764,675,0,0,0,61718050,12273829,4715179430,0,675,472,2,1,14,14,423,1,4713450448,4665817170,160731803,362122449,362122449,1,2,1,15933387756,73389,73389,14,14,14,362122449,11,3,683286,1746361,3363893,35983,4713450448,1709558,58356431,2395
596784.25,253952,62,252223,16618300642,42,77995492,0,676,44,44,5200,155,1,675,1757070,4,66843,33,146127764,1352,1,0,32,58,9,764,675,0,0,0,63930052,12278106,4910302199,0,675,472,2,1,14,14,423,1,4909140944,4861704128,165766895,377335376,377335376,1,2,1,16602756544,73389,73389,14,14,14,377335376,11,3,695433,1795151,3414663,37476,4909140944,1757070,60517753,2395
598792.46,253952,62,263030,17330264522,43,79646641,0,704,47,47,5200,157,1,675,1811915,4,69902,33,146393216,1352,1,0,32,61,9,764,675,0,0,0,66350287,12367509,5118281421,0,675,472,2,1,14,14,423,1,5117545424,5069817925,169995669,393500734,393517118,1,2,1,17314032296,73389,73389,14,14,14,393500734,11,3,712541,1851381,3491963,39066,5117545424,1811915,62860789,2395
600799.99,253952,62,277195,18263625550,43,82994304,0,746,48,48,5200,159,1,675,1928631,4,73875,33,146658668,1352,1,0,32,62,9,764,675,0,0,0,70332031,13556647,5389998819,0,675,472,2,1,14,14,423,1,5390044112,5342522221,179301452,414726145,414742529,1,2,1,18247950380,73389,73389,14,14,14,414726145,11,3,739919,1970355,3661819,41145,5390044112,1928631,66672808,2395
602808.97,253952,62,291502,19205601254,44,86476133,0,784,49,49,5200,162,1,675,2041321,4,77943,33,146924120,1352,1,0,32,63,9,764,675,0,0,0,74408339,14483364,5664738912,0,675,472,2,1,14,14,423,1,5664512843,5618012831,188610854,436142131,436142131,1,2,1,19190253764,73389,73389,14,14,14,436142131,11,3,770952,2085296,3863994,43243,5664512843,2041321,70547085,2395
604815.73,253952,62,305436,20124088918,45,89839348,0,835,51,51,5200,164,1,675,2177637,4,81856,33,147455024,1352,1,0,32,65,9,764,675,0,0,0,78447366,15241148,5933041722,0,675,472,2,1,14,14,423,1,5932948299,5886426086,197318221,457021319,457021319,1,2,1,20108938036,73389,73389,14,14,14,457021319,11,3,792309,2224821,4103668,45291,5932948299,2177637,74346564,2395
606822.75,253952,62,318686,20996494850,47,94234085,0,876,52,52,5200,167,1,675,2295616,4,85631,33,147720476,1352,1,0,32,66,9,764,675,0,0,0,82545694,16125279,6188666342,0,675,472,2,1,14,14,423,1,6187128169,6141429530,207413041,476850216,476850216,1,2,1,20981409504,73389,73389,14,14,14,476850216,11,3,821954,2345149,4336707,47237,6187128169,2295616,78212040,2395
608829.64,253952,62,332644,21916289926,48,98908530,0,924,52,52,5200,169,1,675,2411070,4,89557,33,148251380,1352,1,0,32,66,9,764,675,0,0,0,86529120,16995519,6457895558,0,675,472,2,1,14,14,423,1,6456218985,6410274119,216910876,497756139,497756139,1,2,1,21900549220,73389,73389,14,14,14,497739755,11,3,838122,2463521,4524152,49290,6456218985,2411070,82008157,2395
610839.54,253952,62,346303,22816075820,51,104192970,0,965,56,56,5200,172,1,675,2528060,4,93482,33,148782284,1352,1,0,32,70,9,764,675,0,0,0,90518323,18186152,6718932537,0,675,472,2,1,14,14,423,1,6718566410,6673249448,229483677,518211502,518227886,1,2,1,22801306088,73389,73389,14,14,14,518211502,11,3,874073,2582753,4727950,51298,6718566410,2528060,85793703,2395
612853.35,253952,62,360506,23751766684,52,107834802,0,1011,56,56,5200,176,1,675,2636139,4,97579,33,149313188,1352,1,0,32,70,9,764,675,0,0,0,94575434,19063362,6992683099,0,675,472,2,1,14,14,423,1,6991452995,6946779967,238744725,539459330,539475714,1,2,1,23736210520,73389,73389,14,14,14,539459330,11,3,898764,2693117,4894358,53386,6991452995,2636139,89684560,2395
614864.22,253952,62,374308,24661072692,53,111343450,0,1053,57,57,5200,178,1,675,2751865,4,101446,33,149844092,1352,1,0,32,71,9,764,675,0,0,0,98690330,19918904,7256999761,0,675,472,2,1,14,14,423,1,7256873795,7212500746,246747275,560146228,560146228,1,2,1,24645713136,73389,73389,14,14,14,560129844,11,3,922091,2811161,5071731,55411,7256873795,2751865,93622229,2395
616872.74,253952,62,388102,25569500580,53,114262435,0,1095,58,58,5200,182,1,675,2864166,4,105427,33,150640448,1352,1,0,32,72,9,764,675,0,0,0,102745224,20766131,7523763818,0,675,472,2,1,14,14,423,1,7520868635,7477927558,256024934,580787848,580804232,1,2,1,25554665312,73389,73389,14,14,14,580787848,11,3,946344,2925779,5258135,57438,7520868635,2864166,97490871,2395
618885.12,253952,62,400982,26415782060,56,118361715,2,1142,60,60,5200,191,1,675,2956738,4,109422,37,158511825,1359,1,1038,36,81,32,3136,675,655,1038,123,106778975,21714925,7767695996,8,675,472,2,1,14,14,423,1,7763869224,7725268584,326600714,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,11,3,968698,3020370,5413286,59330,7763869224,2956738,101369556,2395
