timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
167889.23,253952,62,140191,9236412610,13,32576972,0,307,19,19,3902,136,0,675,1064605,21,35249,26,142942340,1352,1,0,25,33,1,14,188,675,0,0,0,34868238,4372315,2751744693,0,675,571,2,1,14,14,402,1,2753297200,2703872248,85492237,209563704,209563704,1,2,1,9220802976,73389,73389,14,14,14,209563704,8,3,319562,1086344,1892783,21025,2753297200,1064605,32976755,2276
169901.92,253952,62,153938,10141789766,15,38782327,0,358,19,19,3902,139,0,675,1187501,21,39161,26,143473244,1352,1,0,25,33,1,14,188,675,0,0,0,38869606,5387009,3016488875,0,675,571,2,1,14,14,402,1,3016985552,2968481921,96987132,230133755,230150139,1,2,1,10125885220,73389,73389,14,14,14,230133755,8,3,351598,1211692,2115423,23040,3016985552,1187501,36755624,2276
171906.58,253952,62,167257,11019707338,15,40961522,0,410,19,19,3902,141,0,675,1288258,21,42902,26,144004148,1352,1,0,25,33,1,14,188,675,0,0,0,42572203,6086079,3274034954,0,675,571,2,1,14,14,402,1,3273624528,3225054620,104413903,250097598,250097598,1,2,1,11004294312,73389,73389,14,14,14,250097598,8,3,377257,1314585,2318212,24998,3273624528,1288258,40255555,2276
173918.50,253952,62,177033,11663319312,17,44692141,0,425,21,21,3902,143,0,675,1349015,21,45680,26,144004148,1352,1,0,25,35,1,14,188,675,0,0,0,44789059,6142011,3459330654,0,675,571,2,1,14,14,402,1,3461581776,3413193779,110467726,264721145,264737529,1,2,1,11647730380,73389,73389,14,14,14,264721145,8,3,394148,1377695,2429187,26432,3461581776,1349015,42361526,2276
175922.94,253952,62,189682,12497050246,20,49320877,0,482,23,23,3902,145,0,675,1441456,21,49238,26,144535052,1352,1,0,25,37,1,14,188,675,0,0,0,48196150,6813780,3705209099,0,675,571,2,1,14,14,402,1,3705244624,3656944156,119822601,283671339,283671339,1,2,1,12481538916,73389,73389,14,14,14,283671339,8,3,420710,1472074,2596239,28291,3705244624,1441456,45601684,2276
177930.29,253952,62,200983,13241654362,21,51944384,0,498,24,24,3902,147,0,675,1522253,21,52396,26,144535052,1352,1,0,25,38,1,14,188,675,0,0,0,50932185,6928147,3924208430,0,675,571,2,1,14,14,402,1,3922955216,3874562479,125328460,300596394,300596394,1,2,1,13226241336,73389,73389,14,14,14,300596394,8,3,435497,1554615,2699641,29952,3922955216,1522253,48234430,2276
179938.12,253952,62,215098,14171738590,21,54390938,0,530,26,26,3902,149,0,675,1631631,21,56390,26,145065956,1352,1,0,25,40,1,14,188,675,0,0,0,54879104,8169618,4193173124,0,675,571,2,1,14,14,402,1,4194405328,4146451201,134133439,321723501,321739885,1,2,1,14155834044,73389,73389,14,14,14,321723501,8,3,460262,1666309,2908010,32023,4194405328,1631631,51973118,2276
181952.07,253952,62,229311,15108510798,23,59314512,0,568,29,29,3902,151,9,675,1747283,21,60379,26,145596860,1352,1,0,25,43,1,14,188,675,0,0,0,58939082,9686221,4466732466,0,675,571,2,1,14,14,402,1,4468083664,4420286424,146552805,343028673,343028673,1,2,1,15093261612,73389,73389,14,14,14,343028673,8,3,486210,1784339,3140854,34111,4468083664,1747283,55800400,2276
183956.76,253952,62,241624,15919437346,27,65661273,0,612,29,29,3902,153,9,675,1835744,21,63843,26,145596860,1352,1,0,25,43,1,14,188,675,0,0,0,62170280,10323038,4706190172,0,675,571,2,1,14,14,402,1,4705061840,4657315247,157527218,361461056,361461056,1,2,1,15904286464,73389,73389,14,14,14,361461056,8,3,506107,1874671,3312456,35919,4705061840,1835744,58860113,2276
185960.97,253952,62,251871,16594966518,28,67329568,0,646,30,30,3902,155,9,675,1892707,21,66747,26,146127764,1352,1,0,25,44,1,14,188,675,0,0,0,64518335,10324425,4903536756,0,675,571,2,1,14,14,402,1,4902325200,4854885904,161552416,376805055,376805055,1,2,1,16579422420,73389,73389,14,14,14,376805055,8,3,517820,1933008,3430494,37424,4902325200,1892707,61090215,2276
187970.43,253952,62,264337,17416450978,28,69147712,0,673,33,33,3902,157,9,675,1993404,21,70261,26,146393216,1352,1,0,25,47,1,14,188,675,0,0,0,67827085,10950903,5143779741,0,675,571,2,1,14,14,402,1,5142580176,5094966757,167752278,395478880,395478880,1,2,1,17400349824,73389,73389,14,14,14,395462496,8,3,541361,2035665,3601122,39257,5142580176,1993404,64228461,2276
189975.37,253952,62,277610,18290822990,30,73989688,0,719,33,33,3902,159,9,675,2104797,21,73988,26,146658668,1352,1,0,25,47,1,14,188,675,0,0,0,71473558,11446092,5400023846,0,675,571,2,1,14,14,402,1,5398039504,5350565678,176946472,415348737,415348737,1,2,1,18275344428,73389,73389,14,14,14,415348737,8,3,563525,2149186,3789703,41206,5398039504,2104797,67686490,2276
191982.61,253952,62,287951,18971821110,31,76629611,0,740,34,34,3902,161,9,675,2165377,21,76919,26,146924120,1352,1,0,25,48,1,14,188,675,0,0,0,73883523,11513951,5596206107,0,675,571,2,1,14,14,402,1,5595962187,5549640728,182098685,430817775,430834159,1,2,1,18955982100,73389,73389,14,14,14,430817775,8,3,581100,2211244,3905433,42720,5595962187,2165377,69980818,2276
193997.42,253952,62,302143,19906951610,33,80754325,0,780,37,37,3902,163,9,675,2290326,21,80900,26,147189572,1352,1,0,25,51,1,14,188,675,0,0,0,77822891,12537389,5870803183,0,675,571,2,1,14,14,402,1,5869509451,5823011120,191628572,452084146,452084146,1,2,1,19891702424,73389,73389,14,14,14,452084146,8,3,607145,2338473,4115845,44807,5869509451,2290326,73709914,2276
196004.73,253952,62,315550,20789912146,33,82593900,0,818,42,42,3902,167,9,675,2410861,21,84814,26,147720476,1352,1,0,25,56,1,14,188,675,0,0,0,81633208,14197842,6127200606,0,675,571,2,1,14,14,402,1,6126966121,6081077348,201215737,472140260,472156644,1,2,1,20774171440,73389,73389,14,14,14,472140260,8,3,653280,2461205,4351284,46778,6126966121,2410861,77284914,2276
198009.44,253952,62,328842,21665794794,40,91505443,0,871,44,44,3902,169,9,675,2509847,21,88512,26,148251380,1352,1,0,25,58,1,14,188,675,0,0,0,85150425,14781135,6385536536,0,675,571,2,1,14,14,402,1,6382818665,6336984389,214079702,492057110,492073494,1,2,1,21650512840,73389,73389,14,14,14,492057110,8,3,673095,2562272,4515426,48730,6382818665,2509847,80638119,2276
200022.26,253952,62,339993,22400154592,42,94947688,0,889,46,46,3902,171,9,675,2567158,21,91705,26,148516832,1352,1,0,25,60,1,14,188,675,0,0,0,88004598,15200236,6598705784,0,675,571,2,1,14,14,402,1,6596931594,6551602067,221995105,508760981,508760981,1,2,1,22384762268,73389,73389,14,14,14,508744597,8,3,705003,2621090,4668257,50370,6596931594,2567158,83339573,2276
202029.05,253952,62,354580,23361437264,42,97813777,0,914,47,47,3902,174,9,675,2675898,21,95856,26,149047736,1352,1,0,25,61,1,14,188,675,0,0,0,91959852,16548919,6878822538,0,675,571,2,1,14,14,402,1,6877687818,6832708837,231494140,530590441,530606825,1,2,1,23345979404,73389,73389,14,14,14,530590441,8,3,732587,2732123,4870392,52512,6877687818,2675898,87092836,2276
204043.54,253952,62,368995,24311287212,43,101383990,0,953,47,47,3902,177,9,675,2795395,21,99941,26,149844092,1352,1,0,25,61,1,14,188,675,0,0,0,95945189,17696058,7156567994,0,675,571,2,1,14,14,402,1,7154637635,7110270968,241106437,552180174,552196558,1,2,1,24295927656,73389,73389,14,14,14,552180174,8,3,761144,2854001,5113631,54631,7154637635,2795395,90835084,2276
206049.82,253952,62,383690,25279021872,44,106152006,0,996,49,49,3902,180,9,675,2914687,21,104111,26,149844092,1352,1,0,25,63,1,14,188,675,0,0,0,99947765,18565937,7439835581,0,675,571,2,1,14,14,402,1,7436698472,7393105944,249887645,574192017,574192017,1,2,1,25264448748,73389,73389,14,14,14,574192017,8,3,786737,2975666,5295000,56789,7436698472,2914687,94656436,2276
208060.72,253952,62,397440,26183612596,47,111803283,0,1031,51,51,3902,185,9,675,3030335,21,108132,26,151171352,1352,1,0,25,65,1,14,188,675,0,0,0,103988201,19827100,7698949006,0,675,571,2,1,14,14,402,1,7698716525,7657509161,263584261,594753876,594753876,1,2,1,26168449648,73389,73389,14,14,14,594737492,8,3,828409,3093584,5560203,58803,7698716525,3030335,98431806,2276
208773.08,253952,62,400982,26415782060,50,112791370,3,1045,55,55,3902,191,9,675,3056233,21,109422,33,158511825,1359,1,1038,32,76,1,25,1154,675,702,1038,89,105481005,20295491,7767561674,8,675,571,2,1,14,14,402,1,7763869224,7725268584,328934119,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,841835,3120103,5634772,59330,7763869224,3056233,99850092,2276
