timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
487638.82,253952,62,170797,11252766586,39,65432505,447,44,44,4964,142,0,675,1274387,12,43930,26,56,144004148,1352,1,25,58,3,3799,675,41792859,7708400,3339620650,675,479,2,1,14,14,658,1,3341913040,3293143623,124929193,255397378,255397378,1,2,1,11237484632,73389,73389,14,14,14,255397378,10,3,574870,1299095,2656540,25519,3341913040,1274387,39137887,2204
489647.66,253952,62,185025,12190256382,39,69119143,487,44,44,4964,144,0,675,1408504,12,47912,26,56,144269600,1352,1,25,58,3,3799,675,45844033,9215857,3616971412,675,479,2,1,14,14,658,1,3615984592,3567296868,134619720,276696517,276696517,1,2,1,12174646748,73389,73389,14,14,14,276696517,10,3,581622,1435510,2823007,27610,3615984592,1408504,43022730,2204
491659.31,253952,62,198942,13107099030,40,74275780,518,46,46,4964,146,0,675,1522849,12,51820,26,56,144535052,1352,1,25,60,3,3799,675,49862162,10463638,3883448123,675,479,2,1,14,14,658,1,3883502544,3835235209,146291129,297539063,297539063,1,2,1,13091718772,73389,73389,14,14,14,297539063,10,3,595415,1552144,2979396,29651,3883502544,1522849,46884609,2204
493670.06,253952,62,213318,14054553606,41,78378886,555,48,48,4964,149,0,675,1649477,12,55894,26,56,145065956,1352,1,25,62,3,3799,675,53944619,11804866,4158182935,675,479,2,1,14,14,658,1,4160457680,4112204122,158229399,319073611,319073611,1,2,1,14039238884,73389,73389,14,14,14,319073611,10,3,609694,1681099,3162858,31764,4160457680,1649477,50782930,2204
495683.35,253952,62,227463,14986869366,43,84358958,593,48,48,4964,151,5,675,1777392,12,59873,26,56,145596860,1352,1,25,62,3,3799,675,57968208,13076871,4432253522,675,479,2,1,14,14,658,1,4432432080,4384714148,170668571,340264095,340264095,1,2,1,14970899284,73389,73389,14,14,14,340247711,10,3,617446,1811317,3348535,33839,4432432080,1777392,54621777,2204
497688.78,253952,62,239282,15765155678,46,89433436,642,48,48,4964,153,5,675,1853629,12,63204,26,56,145596860,1352,1,25,62,3,3799,675,61107601,13406132,4661744930,675,479,2,1,14,14,658,1,4659973072,4612236334,179422693,357953165,357953165,1,2,1,15749939260,73389,73389,14,14,14,357953165,10,3,618889,1889301,3457492,35575,4659973072,1853629,57652337,2204
499694.19,253952,62,249639,16447893810,46,91030936,684,48,48,4964,154,5,675,1911310,12,66114,26,56,145862312,1352,1,25,62,3,3799,675,63495762,13408858,4861327767,675,479,2,1,14,14,658,1,4859595728,4811838774,183425891,373469196,373469196,1,2,1,16432644624,73389,73389,14,14,14,373469196,10,3,623292,1948308,3530397,37098,4859595728,1911310,59967689,2204
501705.69,253952,62,260694,17176110618,46,92564754,707,50,50,4964,156,5,675,1981260,12,69211,26,56,146127764,1352,1,25,64,3,3799,675,66092380,13527756,5071926540,675,479,2,1,14,14,658,1,5072325584,5024780686,187651894,390011386,390011386,1,2,1,17159780088,73389,73389,14,14,14,389995002,10,3,631196,2019852,3631361,38721,5072325584,1981260,62463445,2204
503713.56,253952,62,275219,18133330058,46,94748228,750,51,51,4964,159,5,675,2115021,12,73338,26,56,146658668,1352,1,25,65,3,3799,675,70170578,14725246,5352016530,675,479,2,1,14,14,658,1,5352033232,5304488659,195648449,411758926,411775310,1,2,1,18117392744,73389,73389,14,14,14,411758926,10,3,645837,2155980,3819057,40855,5352033232,2115021,66354068,2204
505721.37,253952,62,289836,19096152826,48,99298264,786,53,53,4964,161,5,675,2251423,12,77441,26,56,146924120,1352,1,25,67,3,3799,675,74240127,16021596,5633040294,675,479,2,1,14,14,658,1,5632531275,5585947309,205931292,433653922,433670306,1,2,1,19080772568,73389,73389,14,14,14,433653922,10,3,658738,2294801,3985158,42999,5632531275,2251423,70257652,2204
507730.81,253952,62,304296,20048846974,49,102768235,824,55,55,4964,164,5,675,2369074,12,81547,26,56,147455024,1352,1,25,69,3,3799,675,78261784,17363809,5911442021,675,479,2,1,14,14,658,1,5910928203,5864456495,215843402,455305317,455321701,1,2,1,20033433948,73389,73389,14,14,14,455305317,10,3,671738,2416936,4142635,45123,5910928203,2369074,74121965,2204
509736.46,253952,62,315583,20792074834,53,108193897,864,55,55,4964,167,5,675,2444932,12,84785,26,56,147720476,1352,1,25,69,3,3799,675,81167213,17746501,6129820545,675,479,2,1,14,14,658,1,6127490409,6081667628,225607011,472205796,472205796,1,2,1,20777055024,73389,73389,14,14,14,472205796,10,3,673555,2494400,4235200,46782,6127490409,2444932,76934945,2204
511744.10,253952,62,327533,21579742718,53,110286250,890,57,57,4964,169,5,675,2530643,12,88157,26,56,148251380,1352,1,25,71,3,3799,675,84324419,18097179,6359447051,675,479,2,1,14,14,658,1,6357783913,6311830289,231424299,490101381,490117765,1,2,1,21564460764,73389,73389,14,14,14,490101381,10,3,682125,2584937,4370028,48539,6357783913,2530643,79957449,2204
513758.08,253952,62,341205,22480235788,53,114415616,939,59,59,4964,172,5,675,2650500,12,92094,26,56,148637492,1352,1,25,73,3,3799,675,88349725,18844583,6617473307,675,479,2,1,14,14,658,1,6620393482,6574939082,241044034,510567095,510589512,1,2,1,22464952180,73389,73389,14,14,14,510567095,10,3,694800,2707110,4556892,50549,6620393482,2650500,83796022,2204
515764.44,253952,62,355135,23398075196,55,119461914,985,59,59,4964,174,5,675,2776680,12,95996,26,56,149047736,1352,1,25,73,3,3799,675,92477957,19854108,6889312478,675,479,2,1,14,14,658,1,6888435722,6843447027,252087606,531415674,531432058,1,2,1,23382289656,73389,73389,14,14,14,531415674,10,3,704359,2835595,4719898,52594,6888435722,2776680,87760631,2204
517771.01,253952,62,369042,24314367404,56,122685396,1028,61,61,4964,177,5,675,2889765,12,99961,26,56,149844092,1352,1,25,75,3,3799,675,96464970,21094945,7155783342,675,479,2,1,14,14,658,1,7155424067,7111214742,261332061,552262094,552262094,1,2,1,24299532136,73389,73389,14,14,14,552262094,10,3,711059,2950955,4864131,54637,7155424067,2889765,91604305,2204
519777.55,253952,62,383282,25252378180,57,126006145,1063,63,63,4964,179,5,675,3013895,12,103949,26,56,149844092,1352,1,25,77,3,3799,675,100493292,22201641,7430928022,675,479,2,1,14,14,658,1,7429513901,7385316610,271117757,573579776,573596160,1,2,1,25237510144,73389,73389,14,14,14,573579776,10,3,719985,3077486,5016661,56729,7429513901,3013895,95480243,2204
521782.38,253952,62,396153,26099002312,60,131386533,1117,65,65,4964,185,5,675,3106605,12,107777,26,56,151171352,1352,1,25,79,3,3799,675,104135170,23155297,7674432962,675,479,2,1,14,14,658,1,7674074989,7632749260,281810778,592830915,592830915,1,2,1,26084560260,73389,73389,14,14,14,592830915,10,3,730672,3172046,5161442,58615,7674074989,3106605,98977453,2204
