timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55181.61,9,262144,64,203367,13399598698,142,8,603,2862046,36,16,53603,69,254,132486078,1208,1,68,30336,579458,4,1250,603,121294,348042792,76213303,44784794,3982991355,567,1127,36,2,1,4,4,889,1,3966391838,3920522942,555054060,304179728,304196112,2,1,13383908032,73389,73389,4,4,4,304179728,29,3,575037,20733024,5172819,93476,30268,3966391838,2768570,71042209,6957
60213.31,9,262144,64,210540,13872342946,144,8,603,2975617,36,16,55662,69,254,132751530,1208,1,68,31389,684922,4,1250,603,125514,367323312,81099729,51533870,4121775402,567,1127,36,2,1,4,4,889,1,4104541726,4058669530,612464899,314930618,314947002,2,1,13856947192,73389,73389,4,4,4,314930618,29,3,585871,23259769,5343203,98145,31322,4104541726,2877472,75757449,6957
65229.44,9,262144,64,217791,14350199002,145,8,603,3095545,36,16,57699,69,254,133016982,1208,1,68,32453,839403,4,1250,603,129766,369340720,83858237,57655459,4261736526,567,1127,36,2,1,4,4,889,1,4243871262,4198371925,631996723,325788004,325804388,2,1,14334672176,73389,73389,4,4,4,325788004,29,3,588455,26225353,5448772,102135,32385,4243871262,2993410,78409876,6957
70253.99,9,262144,64,227208,14970802390,146,8,603,3246156,36,16,60326,69,254,133282434,1208,1,68,33838,950999,4,1250,603,135306,371954736,87924639,63343950,4444071362,567,1127,36,2,1,4,4,889,1,4425405982,4379760890,683678539,339899329,339915713,2,1,14955570476,73389,73389,4,4,4,339899329,29,3,600997,28586409,5630458,108699,33770,4425405982,3137457,82294903,6957
75264.58,9,262144,64,244814,16130734602,149,8,603,3503043,36,16,65279,69,254,133547886,1208,1,68,36426,996844,4,1250,603,145658,393635384,96025226,69952693,4784568586,567,1127,36,2,1,4,4,889,1,4764489246,4718806768,770140599,366268872,366268872,2,1,16115830368,73389,73389,4,4,4,366268872,29,3,638016,30600205,5970468,114921,36358,4764489246,3388122,90055261,6957
80286.59,9,262144,64,252962,16667382483,151,8,603,3628018,36,16,67623,69,254,133813338,1208,1,68,37619,1090337,4,1250,603,150438,395890872,99722565,75828328,4941897891,567,1127,36,2,1,4,4,889,1,4921120286,4875635563,809874055,378461554,378477938,2,1,16652308376,73389,73389,4,4,4,378461554,29,3,644984,33369318,6111726,119048,37552,4921120286,3508970,93611662,6957
85301.95,9,262144,64,258475,17030800034,152,8,603,3717290,36,16,69180,69,254,134078790,1208,1,68,38431,1160803,4,1250,603,153686,397430456,102691873,82133162,5048828957,567,1127,36,2,1,4,4,889,1,5027550750,4981904436,838371232,386718202,386734586,2,1,17015600888,73389,73389,4,4,4,386718202,29,3,650537,36102071,6244001,122226,38364,5027550750,3595064,96448536,6957
90329.82,9,262144,64,264102,17401694722,153,9,603,3807336,36,16,70772,69,254,134344242,1208,1,68,39257,1236417,4,1250,603,156986,398987000,105746749,88781011,5157469812,567,1127,36,2,1,4,4,889,1,5135685150,5090307623,884004905,395146882,395163266,2,1,17386462808,73389,73389,4,4,4,395146882,29,3,658128,39090332,6347807,125417,39189,5135685150,3681919,99400053,6957
95367.49,9,262144,64,268948,17721140342,153,9,603,3886948,36,16,72094,69,254,134344242,1208,1,68,39971,1408318,4,1250,603,159842,400338872,108955920,96453317,5251500173,567,1127,36,2,1,4,4,889,1,5229270558,5183727928,947428425,402414457,402414457,2,1,17706236108,73389,73389,4,4,4,402414457,29,3,666158,42351761,6454905,128151,39903,5229270558,3758797,102503652,6957
100404.42,9,262144,64,274402,18080431850,154,9,603,3994645,36,16,73637,69,254,134344242,1208,1,68,40773,1562186,4,1250,603,163050,401860920,111705982,103866944,5357118504,567,1127,36,2,1,4,4,889,1,5334390302,5288704906,991493500,410574960,410591344,2,1,18065298240,73389,73389,4,4,4,410574960,29,3,668451,45263737,6549489,146841,40705,5334390302,3847804,105159518,6957
105795.49,9,262144,64,279399,18409773406,155,9,603,4082629,36,16,75047,69,254,134609694,1208,1,68,41504,1669942,4,1250,603,165974,403245944,114448178,110222426,5453386343,567,1127,36,2,1,4,4,889,1,5430203934,5385030656,1048953804,418055527,418071911,2,1,18394443188,73389,73389,4,4,4,418055527,29,3,681651,48441173,6671293,149833,41436,5430203934,3932796,107780151,6957
110832.56,9,262144,64,284581,18750973670,156,9,603,4180531,36,16,76522,69,254,134609694,1208,1,68,42266,1861840,4,1250,603,169026,404694456,116647911,116945267,5553873933,567,1127,36,2,1,4,4,889,1,5530211870,5484845225,1073009820,425816781,425816781,2,1,18735938364,73389,73389,4,4,4,425816781,29,3,690597,51739702,6776670,163371,42199,5530211870,4017160,109875217,6957
115867.28,9,262144,64,290757,19158113074,157,9,603,4302051,36,16,78260,69,254,134875146,1208,1,68,43176,2021091,4,1250,603,172662,406413048,119409570,123602704,5673574741,567,1127,36,2,1,4,4,889,1,5649356318,5603821882,1213240086,435062502,435078886,2,1,19142750088,73389,73389,4,4,4,435062502,29,3,697063,54849481,6905027,181714,43108,5649356318,4120337,112508360,6957
121322.97,9,262144,64,295551,19473885370,158,9,603,4383869,36,16,79622,69,254,134875146,1208,1,68,43880,2278617,4,1250,603,175478,407740280,121404624,129957306,5766288537,567,1127,36,2,1,4,4,889,1,5741631006,5696209662,1239680382,442233932,442250316,2,1,19458293008,73389,73389,4,4,4,442233932,29,3,710332,57576456,7048232,185401,43812,5741631006,4198468,114360331,6957
126465.07,9,262144,64,301227,19847991322,159,9,603,4473062,36,16,81226,69,254,135140598,1208,1,68,44711,2402726,4,1250,603,178806,426275448,124780044,138863078,5875727543,567,1127,36,2,1,4,4,889,1,5850551838,5805496119,1315437364,450752724,450752724,2,1,19833119856,73389,73389,4,4,4,450752724,29,3,716694,60623960,7175061,188764,44643,5850551838,4284298,117608741,6957
131497.49,9,262144,64,305734,20144954786,160,9,603,4545833,36,16,82508,69,254,135406050,1208,1,68,45377,2568287,4,1250,603,181470,427542648,127039109,145803920,5963440085,567,1127,36,2,1,4,4,889,1,5937845790,5892322792,1368796005,457498170,457498170,2,1,20129198584,73389,73389,4,4,4,457481786,29,3,726366,63820396,7300303,191277,45309,5937845790,4354556,119742407,6957
136576.78,9,262144,64,310107,20433136426,160,9,603,4616186,36,16,83692,69,254,135406050,1208,1,68,46019,2884856,4,1250,603,184038,428761080,129338596,152718646,6047995448,567,1127,36,2,1,4,4,889,1,6021994014,5976548746,1486528258,464038816,464055200,2,1,20417707904,73389,73389,4,4,4,464038816,29,3,734308,66809371,7402989,193821,45952,6021994014,4422365,121939421,6957
141618.99,9,262144,64,315881,20813423586,161,9,603,4706368,36,16,85329,69,254,135406050,1208,1,68,46868,3133060,4,1250,603,187434,430370232,132532292,160606811,6159797277,567,1127,36,2,1,4,4,889,1,6133274142,6087729601,1547526291,472690839,472690839,2,1,20798396916,73389,73389,4,4,4,472690839,29,3,749716,70019093,7535314,197184,46800,6133274142,4509184,125000830,6957
147414.51,9,262144,64,320394,21111045718,162,9,603,4782019,36,16,86618,69,254,135671502,1208,1,68,47528,3385937,4,1250,603,190074,431619384,135108273,168475303,6246649756,567,1127,36,2,1,4,4,889,1,6219704916,6174644503,1596649866,479450510,479466894,2,1,21095822440,73389,73389,4,4,4,479450510,29,3,757384,73606289,7657841,199984,47460,6219704916,4582035,127454222,6957
153100.23,9,262144,64,324840,21403487198,163,9,603,4854450,36,16,87877,69,254,135936954,1208,1,68,48179,3628127,4,1250,603,192682,432851320,137816131,176228011,6332000328,567,1127,36,2,1,4,4,889,1,6304638764,6260151632,1669877229,486105844,486105844,2,1,21388657136,73389,73389,4,4,4,486105844,29,3,766553,77286894,7761334,202708,48112,6304638764,4651742,130058817,6957
158207.69,9,262144,64,328004,21611904910,164,9,603,4906321,36,16,88801,69,254,135936954,1208,1,68,48642,3771056,4,1250,603,194530,433729912,138740021,181901785,6392854708,567,1127,36,2,1,4,4,889,1,6365194028,6321095150,1679788673,490840376,490840376,2,1,21596976544,73389,73389,4,4,4,490840376,29,3,769387,80597750,7809443,204935,48574,6365194028,4701386,130933817,6957
163235.55,9,262144,64,331612,21849686058,164,9,603,4965710,36,16,89784,69,254,135936954,1208,1,68,49175,3991408,4,1250,603,196662,434748024,140944683,189441439,6463058343,567,1127,36,2,1,4,4,889,1,6435055404,6390605484,1729438603,496244493,496260877,2,1,21834757692,73389,73389,4,4,4,496244493,29,3,774022,83601764,7885899,207633,49107,6435055404,4758077,133062465,6957
168461.16,9,262144,64,335294,22092316870,165,9,603,5028372,36,16,90842,69,254,136202406,1208,1,68,49717,4163895,4,1250,603,198830,435777656,143074480,197078618,6534443832,567,1127,36,2,1,4,4,889,1,6506096428,6461524307,1765879366,501746914,501763298,2,1,22076864216,73389,73389,4,4,4,501746914,29,3,776335,87073494,7991248,209957,49649,6506096428,4818415,135087209,6957
173494.79,9,262144,64,339308,22356705634,166,9,603,5092790,36,16,91994,69,254,136202406,1208,1,68,50303,4292337,4,1250,603,201182,454514224,145127721,204320537,6611758406,567,1127,36,2,1,4,4,889,1,6583035692,6538785645,1836236760,507765431,507781815,2,1,22341678964,73389,73389,4,4,4,507765431,29,3,779496,89918391,8077686,212607,50236,6583035692,4880183,137053993,6957
178939.04,9,262144,64,344142,22675099370,166,9,603,5168017,36,16,93311,69,254,136202406,1208,1,68,51013,4449855,4,1250,603,204018,455863472,147605824,212688937,6705137235,567,1127,36,2,1,4,4,889,1,6675965740,6631854314,1876803875,514994205,515010589,2,1,22659745020,73389,73389,4,4,4,514994205,29,3,783594,93101448,8182509,215477,50946,6675965740,4952540,139427403,6957
184408.98,9,262144,64,348223,22944144498,167,9,603,5240073,36,16,94476,69,254,136467858,1208,1,68,51613,4692012,4,1250,603,206418,457000304,149423979,219710534,6784161449,567,1127,36,2,1,4,4,889,1,6754608940,6710528103,2098502031,521108867,521125251,2,1,22928790148,73389,73389,4,4,4,521108867,29,3,790265,96590443,8293586,218012,51545,6754608940,5022061,141133300,6957
190115.76,9,262144,64,352817,23247075046,168,9,603,5317442,36,16,95786,69,254,136733310,1208,1,68,52290,4762272,4,1250,603,209126,476086344,151860156,228272341,6873195269,567,1127,36,2,1,4,4,889,1,6843213612,6799094269,2209904374,527991418,528007802,2,1,23231622392,73389,73389,4,4,4,527991418,29,3,795332,100342998,8401109,220944,52222,6843213612,5096498,143461922,6957
195302.23,9,262144,64,356841,23512131236,169,10,603,5403071,36,16,96936,69,254,136733310,1208,1,68,52880,5027153,4,1250,603,211490,477209160,154209301,236657943,6951034784,567,1127,36,2,1,4,4,889,1,6920677164,6876584294,2285867280,534026319,534026319,2,1,23496437140,73389,73389,4,4,4,534009935,29,3,800025,103343318,8500217,245734,52812,6920677164,5157337,145712442,6957
200342.70,9,262144,64,363016,23918939652,170,10,603,5497691,36,16,98644,69,254,136998762,1208,1,68,53785,5149811,4,1250,603,215114,478925256,158340975,246304178,7070334647,567,1127,36,2,1,4,4,889,1,7039428396,6995436864,2381398188,543266007,543282391,2,1,23903704308,73389,73389,4,4,4,543266007,29,3,809838,106311225,8633719,249469,53718,7039428396,5248222,149710248,6957
205354.81,9,262144,64,368906,24307070308,171,10,603,5588458,36,16,100337,69,254,136998762,1208,1,68,54653,5226494,4,1250,603,218582,480570696,160260292,252352504,7184506228,567,1127,36,2,1,4,4,889,1,7153067820,7108997709,2517254250,552071519,552087903,2,1,24291146836,73389,73389,4,4,4,552071519,29,3,816703,109226547,8746474,252596,54585,7153067820,5335862,151517287,6957
210364.34,9,262144,64,383363,25259567848,173,10,603,5791161,36,16,104344,69,254,137264214,1208,1,68,56777,5261494,4,1250,603,227078,484519752,168980860,260005966,7464100099,567,1127,36,2,1,4,4,889,1,7431464748,7387410432,2611203857,573739298,573739298,2,1,25243808216,73389,73389,4,4,4,573722914,29,3,837989,111077594,9051963,258857,56709,7431464748,5532304,159932243,6957
