timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55590.79,17,262144,64,110668,7292073208,64,41,131,0,603,3056973,1,27444,60,69,66328,130097010,1208,1,68,16718,2041353,4,123671,603,66788,205720384,42077781,95880698,2191786881,603,1362,2,1,4,4,461,1,2182045708,2135088706,563533183,165380052,165396436,2,1,7276722288,73389,73389,4,4,4,165380052,10,1,3,399407,48166762,2572350,70628,16650,2182045708,2986345,39508251,7867
60598.05,17,262144,64,135536,8930582372,64,41,136,0,603,3375193,1,34453,60,69,66328,130627914,1208,1,68,20372,2045123,4,123671,603,81412,246297224,52988829,96222672,2672746340,603,1362,2,1,4,4,461,1,2660982796,2614164894,592998111,202623365,202623365,2,1,8914707164,73389,73389,4,4,4,202606981,10,1,3,427162,48882283,2882242,78335,20304,2660982796,3296858,50109636,7867
65606.99,17,262144,64,160208,10556258546,64,41,140,1,603,3715822,1,41412,60,69,66328,131424270,1208,1,68,23997,2049622,4,123671,603,95916,270054040,63179181,96601345,3149858767,603,1362,2,1,4,4,461,1,3136118796,3089310215,617685724,239563574,239579958,2,1,10540797256,73389,73389,4,4,4,239563574,10,1,3,441492,49699572,3194174,87940,23929,3136118796,3627882,59989138,7867
70618.61,17,262144,64,185226,12204339274,64,41,144,2,603,4095047,1,48469,60,69,66328,132220626,1208,1,68,27672,2055313,4,123671,603,110616,293494840,73238638,97113970,3632788652,603,1362,2,1,4,4,461,1,3617084958,3571078997,662627319,277017720,277034104,2,1,12188779680,73389,73389,4,4,4,277017720,10,1,3,467076,50612548,3523252,98080,27604,3617084958,3996967,69720513,7867
75626.67,17,262144,64,210261,13853792950,64,41,149,2,603,4469461,1,55542,60,69,66328,132751530,1208,1,68,31348,2059447,4,123671,603,125328,317090456,84100402,97276008,4116685613,603,1362,2,1,4,4,461,1,4099036702,4053311893,691923767,314514985,314514985,2,1,13837938444,73389,73389,4,4,4,314498601,10,1,3,486510,51424314,3826120,107296,31280,4099036702,4362165,80280174,7867
80634.46,17,262144,64,236702,15596186598,64,41,153,3,603,4871665,1,62983,60,69,66328,133547886,1208,1,68,35232,2063646,4,123671,603,140864,324077656,94820187,97452386,4627807067,603,1362,2,1,4,4,461,1,4608120350,4562582873,716014056,354119309,354119309,2,1,15580528700,73389,73389,4,4,4,354102925,10,1,3,510260,52292464,4172227,116305,35164,4608120350,4755360,90652553,7867
85641.54,17,262144,64,263593,17368336898,64,41,158,3,603,5283704,1,70577,60,69,66328,134344242,1208,1,68,39186,2068053,4,123671,603,156680,331180696,105793556,97537814,5148174033,603,1362,2,1,4,4,461,1,5126379038,5080635230,740381612,394393218,394393218,2,1,17352580696,73389,73389,4,4,4,394376834,10,1,3,531988,53149403,4552326,125985,39118,5126379038,5157719,101245487,7867
90648.24,17,262144,64,290795,19160603442,64,41,162,3,603,5651999,1,78269,60,69,66328,134875146,1208,1,68,43180,2072311,4,123671,603,172656,338355800,116293696,97618391,5673811001,603,1362,2,1,4,4,461,1,5649880606,5604558165,779776465,435128038,435128038,2,1,19144912776,73389,73389,4,4,4,435111654,10,1,3,552799,53958537,4842245,136750,43112,5649880606,5515249,111456481,7867
95654.96,17,262144,64,317543,20923140774,64,41,167,3,603,6015423,1,85799,60,69,66328,135671502,1208,1,68,47111,2075463,4,123671,603,188380,345408792,126669133,97667607,6191143286,603,1362,2,1,4,4,461,1,6165124638,6119769794,811654235,475182922,475199306,2,1,20908048568,73389,73389,4,4,4,475182922,10,1,3,575507,54739758,5124749,148842,47043,6165124638,5866581,121548800,7867
100660.84,17,262144,64,344026,22667497194,64,41,171,4,603,6354718,1,93262,60,69,66328,136202406,1208,1,68,50998,2077887,4,123671,603,203928,352376984,136424947,97683423,6702107403,603,1362,2,1,4,4,461,1,6673999660,6629669587,834109258,514830365,514830365,2,1,22651815164,73389,73389,4,4,4,514813981,10,1,3,586169,55432048,5293853,158867,50930,6673999660,6195851,131135125,7867
105666.23,17,262144,64,374572,24680520900,64,41,177,4,603,6713337,1,101885,60,69,66328,137264214,1208,1,68,55485,2078732,4,123671,603,221880,377734600,146704346,97685702,7292602706,603,1362,2,1,4,4,461,1,7262119724,7218134320,860259024,560573927,560590311,2,1,24665252788,73389,73389,4,4,4,560573927,10,1,3,598894,56123507,5451818,166028,55417,7262119724,6547309,141256509,7867
