timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55931.17,18,262144,64,118796,7827669788,64,36,133,1,603,3543802,4,29721,55,68,2,122059,130362462,1208,1,67,17912,2019700,3,147708,603,71544,141113904,44848834,91378725,2348732971,603,2880,2,1,4,4,524,1,2338414604,2291689389,537242767,177562383,177562383,2,1,7812744852,73389,73389,4,4,4,177562383,12,3,365368,47252661,2456550,168297,17844,2338414604,3375505,42398421,17027
60938.52,18,262144,64,142810,9410211208,64,36,137,2,603,3831173,4,36505,55,68,2,122059,131158818,1208,1,67,21439,2024043,3,147708,603,85664,181673336,55693493,91730599,2813084726,603,2880,2,1,4,4,524,1,2800836620,2754359664,563527972,213511360,213527744,2,1,9394499840,73389,73389,4,4,4,213511360,12,3,380523,47943756,2727268,176110,21371,2800836620,3655063,52972067,17027
65952.12,18,262144,64,166972,11002198570,64,36,141,2,603,4175026,4,43313,55,68,2,122059,131689722,1208,1,67,24990,2030389,3,147708,603,99872,205005728,65588373,92210406,3280402935,603,2880,2,1,4,4,524,1,3266273292,3219640646,599014479,249700064,249716448,2,1,10986802816,73389,73389,4,4,4,249700064,12,3,393445,48747247,3015468,185053,24922,3266273292,3989973,62578575,17027
70960.97,18,262144,64,192671,12694909314,64,36,146,2,603,4563894,4,50576,55,68,2,122059,132486078,1208,1,67,28764,2036999,3,147708,603,114976,246250224,77405367,92629697,3776500874,603,2880,2,1,4,4,524,1,3760346654,3714500088,631268049,288178210,288178210,2,1,12679841240,73389,73389,4,4,4,288178210,12,3,417031,49637489,3368152,194963,28696,3760346654,4368931,74041216,17027
75971.31,18,262144,64,217107,14305106926,64,36,150,2,603,4928387,4,57513,55,68,2,122059,133016982,1208,1,67,32353,2042131,3,147708,603,129332,252718000,86362268,92828134,4248817730,603,2880,2,1,4,4,524,1,4230764062,4185156258,658330835,324766163,324782547,2,1,14289711172,73389,73389,4,4,4,324766163,12,3,433801,50454637,3651885,205059,32285,4230764062,4723328,82715487,17027
80978.39,18,262144,64,243990,16076467486,64,36,154,4,603,5331214,4,65061,55,68,2,122059,133547886,1208,1,67,36303,2046647,3,147708,603,145132,259819248,97615436,92984718,4768643627,603,2880,2,1,4,4,524,1,4748498462,4702937036,683034080,365034039,365050423,2,1,16061497716,73389,73389,4,4,4,365034039,12,3,453762,51314223,4018500,215197,36235,4748498462,5116017,93601371,17027
85986.00,18,262144,64,272053,17925425978,64,36,159,4,603,5734122,4,72941,55,68,2,122059,134344242,1208,1,67,40427,2051340,3,147708,603,161632,284170536,109465199,93064076,5311372007,603,2880,2,1,4,4,524,1,5289039390,5243465539,724283409,407044652,407061036,2,1,17909964688,73389,73389,4,4,4,407044652,12,3,483883,52177266,4386910,225715,40359,5289039390,5508407,105083425,17027
90993.57,18,262144,64,300259,19784021570,64,36,164,5,603,6113410,4,80920,55,68,2,122059,135140598,1208,1,67,44572,2055703,3,147708,603,178216,308890144,119862390,93114549,5856878262,603,2880,2,1,4,4,524,1,5832332830,5786799635,755319030,449298866,449298866,2,1,19769150104,73389,73389,4,4,4,449298866,12,3,512351,52998501,4667648,236203,44504,5832332830,5877207,115200070,17027
95999.67,18,262144,64,328555,21648027312,64,36,169,5,603,6502172,4,88895,55,68,2,122059,135936954,1208,1,67,48723,2058268,3,147708,603,194828,350881632,129971329,93136513,6402583980,603,2880,2,1,4,4,524,1,6375810860,6331665643,780859016,491659576,491659576,2,1,21633021344,73389,73389,4,4,4,491659576,12,3,533044,53795852,4913535,244828,48655,6375810860,6257344,125062311,17027
101005.53,18,262144,64,357291,23541622436,64,36,174,5,603,6882811,4,97008,55,68,2,122059,136733310,1208,1,67,52945,2059527,3,147708,603,211720,392667688,139276727,93142761,6958127809,603,2880,2,1,4,4,524,1,6929065772,6885181260,804394827,534698063,534698063,2,1,23526714772,73389,73389,4,4,4,534698063,12,3,547359,54540471,5097702,253422,52877,6929065772,6629389,134183601,17027
106011.23,18,262144,64,389490,25663495988,64,36,179,5,603,7233386,4,106063,55,68,2,122059,137529666,1208,1,67,57677,2059835,3,147708,603,230652,401149224,149110448,93144040,7580992485,603,2880,2,1,4,4,524,1,7549429548,7505491657,828303460,582919483,582935867,2,1,25648457252,73389,73389,4,4,4,582919483,12,3,564107,55222865,5247811,260372,57609,7549429548,6973014,143867378,17027
