timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55575.95,43,262144,64,106638,7026370416,59,42,131,1,603,1332224,19,26345,64,3,130097010,1208,1,63,16121,1551746,4,330386,603,64390,99071624,40025673,84155331,2113775978,603,1559,2,1,4,4,858,1,1,2104451084,2057484369,531483757,159347310,159347310,2,1,7010560744,73389,73389,4,4,4,159330926,20,3,483796,37119048,3020034,56097,16058,2104451084,1276127,37009754,10182
60588.43,43,262144,64,113012,7446485948,59,42,132,1,603,1396874,19,28127,64,3,130362462,1208,1,63,17056,1711513,4,330386,603,68134,100850120,42519024,91166523,2237024567,603,1559,2,1,4,4,858,1,1,2227134476,2180249470,627283814,168887943,168904327,2,1,7431069492,73389,73389,4,4,4,168887943,20,3,496249,40397496,3107262,58826,16994,2227134476,1338048,39416133,10182
65602.46,43,262144,64,118962,7838548764,59,42,133,1,603,1463719,19,29816,64,3,130362462,1208,1,63,17930,1952670,4,330386,603,71626,102510152,44071721,97662820,2351979100,603,1559,2,1,4,4,858,1,1,2341560332,2294902248,651568237,177808143,177808143,2,1,7823558292,73389,73389,4,4,4,177808143,20,3,505612,43844935,3179024,61192,17867,2341560332,1402527,40897607,10182
70616.98,43,262144,64,125979,8301069396,59,42,134,1,603,1546783,19,31784,64,3,130627914,1208,1,63,18964,2062365,4,330386,603,75766,121272384,48906764,107646914,2488117560,603,1559,2,1,4,4,858,1,1,2477088780,2430086281,736233724,188321465,188321465,2,1,8285423564,73389,73389,4,4,4,188305081,20,3,513976,46823824,3299778,63990,18901,2477088780,1482793,45612161,10182
75787.61,43,262144,64,131802,8684543688,59,42,135,1,603,1618432,19,33394,64,3,130627914,1208,1,63,19820,2136811,4,330386,603,79190,122899456,51226942,113867915,2600832418,603,1559,2,1,4,4,858,1,1,2589286412,2542232384,761658447,197022640,197039024,2,1,8668996160,73389,73389,4,4,4,197022640,20,3,515541,50108415,3371547,74411,19757,2589286412,1544021,47860721,10182
80825.66,43,262144,64,138088,9098892052,59,42,136,1,603,1690978,19,35197,64,3,130893366,1208,1,63,20742,2315196,4,330386,603,82882,142132472,53803814,123299908,2722231733,603,1559,2,1,4,4,858,1,1,2710134796,2663350245,816052442,206448585,206448585,2,1,9083737740,73389,73389,4,4,4,206448585,20,3,531393,53451594,3476870,76805,20679,2710134796,1614173,50332842,10182
85875.78,43,262144,64,143808,9475881588,59,42,137,1,603,1759142,19,36812,64,3,131158818,1208,1,63,21583,2405411,4,330386,603,86246,143734392,55668907,129630962,2832977983,603,1559,2,1,4,4,858,1,1,2820366348,2773545635,838016005,215008337,215024721,2,1,9460366828,73389,73389,4,4,4,215008337,20,3,536354,56557101,3545579,82029,21520,2820366348,1677113,52129364,10182
90908.85,43,262144,64,150286,9902559478,59,42,138,1,603,1824586,19,38633,64,3,131158818,1208,1,63,22533,2464071,4,330386,603,90046,145536632,59660655,138490034,2958067424,603,1559,2,1,4,4,858,1,1,2944884748,2898313529,928284127,224698585,224714969,2,1,9886737740,73389,73389,4,4,4,224698585,20,3,561965,59591516,3697210,84575,22471,2944884748,1740011,55969958,10182
95964.62,43,262144,64,155942,10275354710,59,42,139,1,603,1883838,19,40229,64,3,131424270,1208,1,63,23366,2687596,4,330386,603,93378,147117880,62308041,145667473,3067753144,603,1559,2,1,4,4,858,1,1,3054067724,3007251245,989108011,233184609,233184609,2,1,10259401900,73389,73389,4,4,4,233168225,20,3,571894,62886190,3789356,87016,23303,3054067724,1796822,58525128,10182
101159.65,43,262144,64,163112,10747636898,59,42,140,1,603,1957288,19,42242,64,3,131424270,1208,1,63,24415,2837866,4,330386,603,97578,149114104,66302669,155928754,3205999523,603,1559,2,1,4,4,858,1,1,3191693324,3145252042,1058652113,243913082,243929466,2,1,10732175608,73389,73389,4,4,4,243913082,20,3,588148,66307214,3929607,90000,24353,3191693324,1867288,62380326,10182
106200.78,43,262144,64,169441,11164803310,59,42,141,1,603,2025279,19,44021,64,3,131689722,1208,1,63,25347,2942784,4,330386,603,101306,150886584,68072815,161648882,3328717868,603,1559,2,1,4,4,858,1,1,3313852428,3267201582,1152755565,253404563,253404563,2,1,11149800772,73389,73389,4,4,4,253404563,20,3,595715,69516232,4002537,93943,25285,3313852428,1931336,64078048,10182
111217.43,43,262144,64,176275,11615065402,59,42,142,1,603,2104011,19,45923,64,3,131689722,1208,1,63,26352,3102995,4,330386,603,105326,152795832,71709060,170198490,3460929317,603,1559,2,1,4,4,858,1,1,3445459302,3398814795,1205222906,263625132,263641516,2,1,11599505808,73389,73389,4,4,4,263625132,20,3,611067,72435785,4147655,97871,26290,3445459302,2006140,67569936,10182
116246.49,43,262144,64,184267,12141224798,59,42,144,1,603,2186761,19,48210,64,3,132220626,1208,1,63,27523,3196181,4,330386,603,110014,171826952,74683961,176822527,3614629164,603,1559,2,1,4,4,858,1,1,3598472734,3552577200,1233096131,275586279,275602663,2,1,12125796276,73389,73389,4,4,4,275586279,20,3,617223,75415144,4242625,101299,27461,3598472734,2085462,70450083,10182
121259.52,43,262144,64,193693,12762418010,59,42,146,1,603,2284800,19,50881,64,3,132486078,1208,1,63,28908,3259828,4,330386,603,115554,191404760,78295551,184513106,3796822300,603,1559,2,1,4,4,858,1,1,3779876382,3734198051,1292429084,289713988,289713988,2,1,12746694576,73389,73389,4,4,4,289697604,20,3,626221,78372798,4375201,111754,28845,3779876382,2173046,73929259,10182
126267.91,43,262144,64,213024,14035930726,59,42,149,1,603,2503427,19,56294,64,3,132751530,1208,1,63,31747,3274000,4,330386,603,126910,196626264,87255066,189907482,4170540869,603,1559,2,1,4,4,858,1,1,4151989790,4106529100,1360584997,318651501,318667885,2,1,14020666044,73389,73389,4,4,4,318651501,20,3,641095,79827127,4620455,117971,31684,4151989790,2385456,82642712,10182
131275.42,43,262144,64,238679,15726547626,59,42,153,1,603,2824393,19,63525,64,3,133547886,1208,1,63,35519,3278338,4,330386,603,142014,272061816,96981817,190242747,4667029195,603,1559,2,1,4,4,858,1,1,4646393374,4600690325,1384061096,357070144,357086528,2,1,15711086336,73389,73389,4,4,4,357070144,20,3,653414,80570896,4861524,125532,35456,4646393374,2698861,92128489,10182
136284.39,43,262144,64,263159,17339628822,59,42,157,1,603,3152412,19,70406,64,3,134078790,1208,1,63,39115,3282473,4,330386,603,156406,312692016,107328222,190575016,5140379268,603,1559,2,1,4,4,858,1,1,5117728286,5072199248,1412332273,393740017,393756401,2,1,17324560748,73389,73389,4,4,4,393740017,20,3,673199,81344908,5146493,133730,39052,5117728286,3018682,102191128,10182
141299.14,43,262144,64,288051,18979710850,59,42,162,1,603,3526317,19,77470,64,3,134875146,1208,1,63,42773,3291465,4,330386,603,171038,336511072,118472671,192228555,5621670071,603,1559,2,1,4,4,858,1,1,5597058590,5551664716,1464279990,431007906,431024290,2,1,18964347864,73389,73389,4,4,4,431007906,20,3,691163,82229498,5496948,143071,42710,5597058590,3383246,112985165,10182
146308.00,43,262144,64,313327,20645248286,59,42,166,2,603,3888194,19,84635,64,3,135406050,1208,1,63,46488,3297155,4,330386,603,185906,360101264,128106231,192452766,6110716365,603,1559,2,1,4,4,858,1,1,6084122142,6038573978,1490505388,468855268,468871652,2,1,20629631792,73389,73389,4,4,4,468855268,20,3,712509,83055592,5812194,152676,46425,6084122142,3735518,122302557,10182
151315.56,43,262144,64,340043,22405140046,59,42,171,2,603,4281364,19,92142,64,3,136202406,1208,1,63,50406,3301943,4,330386,603,201582,384128768,139452544,192671308,6625721749,603,1559,2,1,4,4,858,1,1,6597060396,6552966046,1524301282,508869192,508869192,2,1,22389523552,73389,73389,4,4,4,508852808,20,3,742048,83932907,6146483,163654,50343,6597060396,4117710,133314146,10182
156321.69,43,262144,64,364722,24031540424,59,42,175,3,603,4647383,19,99141,64,3,136998762,1208,1,63,54034,3306328,4,330386,603,216094,390647808,149829492,192857267,7103161336,603,1559,2,1,4,4,858,1,1,7072589612,7028363297,1595739459,545823626,545840010,2,1,24016239544,73389,73389,4,4,4,545823626,20,3,764295,84731008,6443457,174180,53971,7072589612,4473203,143395056,10182
161329.91,43,262144,64,389430,25659310442,59,42,179,3,603,4989302,19,106058,64,3,137529666,1208,1,63,57663,3309345,4,330386,603,230606,397164352,159743112,192927889,7580637732,603,1559,2,1,4,4,858,1,1,7548118828,7504230696,1619076608,582815146,582831530,2,1,25643866424,73389,73389,4,4,4,582815146,20,3,786998,85487449,6702346,186261,57600,7548118828,4803041,153050893,10182
