timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55087.78,18,262144,64,56135,3698820524,4,122,0,603,749759,2,5,12053,1,9,163,128769750,1208,1,8,8648,3919,4,217,603,34624,135668200,14370382,3826,1136566275,601,785,2,2,1,4,4,407,1,1132158988,1084761816,23087598,83724155,83724155,2,1,3683141924,73389,73389,4,4,4,83707771,9,3,209642,1420655,1307867,13959,8640,1132158988,735800,13062555,3008
60098.03,18,262144,64,82958,5466248924,6,127,0,603,1074550,2,5,19615,1,11,163,129566106,1208,1,10,12590,5868,4,230,603,50384,142727784,23744862,6798,1654952850,601,785,2,2,1,4,4,407,1,1648451596,1601408959,43703295,123893727,123893727,2,1,5451323988,73389,73389,4,4,4,123893727,9,3,230570,2098504,1531195,23680,12580,1648451596,1050870,22212050,3008
65106.51,18,262144,64,110822,7302165752,6,131,0,603,1419427,2,5,27488,1,11,163,130097010,1208,1,10,16683,7489,4,230,603,66764,167396424,32060663,8566,2193746725,601,785,2,2,1,4,4,407,1,2185060364,2138029919,60781639,165609428,165625812,2,1,7286814832,73389,73389,4,4,4,165609428,9,3,233998,2791549,1681970,32042,16673,2185060364,1387385,30376863,3008
70114.47,18,262144,64,140496,9257499096,6,136,1,603,1769899,2,5,35798,1,11,163,130893366,1208,1,10,21043,9213,4,230,603,84216,226627952,43037803,11329,2767517629,601,785,2,2,1,4,4,407,1,2756534284,2709705799,102504062,210038396,210054780,2,1,9241689424,73389,73389,4,4,4,210038396,9,3,260377,3511311,1967500,40662,21033,2756534284,1729237,41069031,3008
75123.36,18,262144,64,171414,11294636742,6,142,1,603,2170824,2,5,44561,1,11,163,131689722,1208,1,10,25585,11235,4,230,603,102404,319908352,52324512,13988,3365293512,601,785,2,2,1,4,4,407,1,3351863308,3305176697,129743206,256341173,256357557,2,1,11279011612,73389,73389,4,4,4,256341173,9,3,275965,4298604,2197865,48054,25575,3351863308,2122770,50125547,3008
80130.71,18,262144,64,201433,13272067784,6,147,2,603,2525549,2,5,53025,1,11,163,132486078,1208,1,10,29994,13038,4,230,603,120040,327809472,62299845,15564,3944910243,601,785,2,2,1,4,4,407,1,3929167390,3883270986,150557036,301278045,301294429,2,1,13256233980,73389,73389,4,4,4,301278045,9,3,300067,5017923,2431171,55634,29984,3929167390,2469915,59867704,3008
85139.55,18,262144,64,231026,15222080646,6,152,2,603,2883089,2,5,61421,1,11,163,133282434,1208,1,10,34342,14676,4,230,603,137436,352646512,71521711,17128,4517152354,601,785,2,2,1,4,4,407,1,4499068446,4453222192,170537935,345600517,345616901,2,1,15206422748,73389,73389,4,4,4,345600517,9,3,317383,5730915,2686565,63037,34332,4499068446,2820052,68834167,3008
90149.22,18,262144,64,261319,17218246226,6,157,2,603,3247758,2,5,69902,1,11,163,134078790,1208,1,10,38791,16778,4,230,603,155240,394856424,81812344,19050,5102630071,601,785,2,2,1,4,4,407,1,5082207774,5036736558,191646464,390985790,390985790,2,1,17203374760,73389,73389,4,4,4,390985790,9,3,340889,6477163,2938801,70513,38781,5082207774,3177245,78873382,3008
95155.69,18,262144,64,290327,19129667142,6,162,2,603,3589318,2,5,78097,1,11,163,134875146,1208,1,10,43054,18787,4,230,603,172292,402495720,91779473,20638,5663623624,601,785,2,2,1,4,4,407,1,5640967710,5595481872,229891155,434417493,434433877,2,1,19114369692,73389,73389,4,4,4,434417493,9,3,372714,7171898,3238791,79900,43044,5640967710,3509418,88541412,3008
100162.94,18,262144,64,318311,20973737874,6,167,3,603,3922422,2,5,85994,1,11,163,135671502,1208,1,10,47164,20258,4,230,603,188732,409861224,101770363,23412,6204515960,601,785,2,2,1,4,4,407,1,6179673630,6134565510,250398655,476335835,476335835,2,1,20958055844,73389,73389,4,4,4,476319451,9,3,389728,7863005,3473206,89235,47154,6179673630,3833187,98298214,3008
105169.66,18,262144,64,349247,23011784266,6,172,3,603,4363299,2,5,94707,1,11,163,136467858,1208,1,10,51708,22478,4,230,603,206912,434817464,111540743,24688,6801925439,601,785,2,2,1,4,4,407,1,6774662956,6730315655,309525642,522644645,522661029,2,1,22996364380,73389,73389,4,4,4,522644645,9,3,415731,8684372,3745788,97423,51698,6774662956,4265876,107796171,3008
110177.41,18,262144,64,378640,24948448608,6,177,4,603,4696161,2,5,103046,1,11,163,137264214,1208,1,10,56023,23820,4,230,603,224184,493541808,120733927,27982,7369773903,601,785,2,2,1,4,4,407,1,7340238636,7296465919,330503362,566666172,566666172,2,1,24932590672,73389,73389,4,4,4,566649788,9,3,429231,9366464,3933583,105390,56013,7340238636,4590771,116801063,3008
