timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55090.08,13,262144,64,27714,1826134692,3,117,0,603,376138,9,4036,1,8,210,127985460,1208,1,7,4472,1819,4,248,603,17924,148611822,4357130,653,587146378,603,765,2,1,4,4,299,1,584933388,537219055,6216658,41142261,41158645,2,1,1810259484,73389,73389,4,4,4,41142261,7,3,210906,687548,1125164,6474,4465,584933388,369664,3232196,2967
60099.00,13,262144,64,54463,3588713428,4,122,0,603,701901,9,11593,1,9,210,128769750,1208,1,8,8404,4309,4,253,603,33654,172750230,14647459,9133,1104478324,603,765,2,1,4,4,299,1,1100177420,1052564653,24049168,81221721,81221721,2,1,3573034828,73389,73389,4,4,4,81205337,7,3,224657,1369035,1328416,17097,8396,1100177420,684804,13320043,2967
65107.00,13,262144,64,83652,5511996360,6,127,0,603,1067275,9,19802,1,11,210,129566106,1208,1,10,12690,6274,4,275,603,50806,231797078,24857504,12740,1668258228,603,765,2,1,4,4,299,1,1661689868,1614814309,44631799,124931952,124931952,2,1,5497005888,73389,73389,4,4,4,124931952,7,3,251326,2095322,1576261,24750,12680,1661689868,1042525,23284513,2967
70116.68,13,262144,64,112032,7381995216,6,132,0,603,1437942,9,27818,1,11,210,130362462,1208,1,10,16862,7764,4,275,603,67494,239274070,34562974,17011,2217287165,603,765,2,1,4,4,299,1,2208522252,2161460926,68121038,167423734,167440118,2,1,7366644296,73389,73389,4,4,4,167423734,7,3,273865,2815556,1792110,32706,16852,2208522252,1405236,32774799,2967
75126.09,13,262144,64,141985,9355613104,6,137,1,603,1785113,9,36260,1,11,210,131158818,1208,1,10,21260,9449,4,275,603,85094,281261414,44217300,18195,2796097053,603,765,2,1,4,4,299,1,2784976908,2738380046,89743367,212286878,212286878,2,1,9340622632,73389,73389,4,4,4,212286878,7,3,299741,3520489,2024925,40112,21250,2784976908,1745001,42196452,2967
80134.76,13,262144,64,172566,11370665118,6,142,1,603,2167555,9,44876,1,11,210,131689722,1208,1,10,25754,11268,4,275,603,103078,323644070,53682030,20937,3387551930,603,765,2,1,4,4,299,1,3374014476,3327339931,119591916,258073559,258089943,2,1,11355236596,73389,73389,4,4,4,258073559,7,3,327124,4272506,2282062,47450,25744,3374014476,2120105,51403522,2967
85141.18,13,262144,64,200726,13225721766,6,147,1,603,2557655,9,52877,1,11,210,132486078,1208,1,10,29890,13082,4,275,603,119630,381894646,63237006,24170,3931126311,603,765,2,1,4,4,299,1,3915404830,3869671782,164108259,300229469,300245853,2,1,13210096636,73389,73389,4,4,4,300229469,7,3,346173,5016019,2518290,56589,29880,3915404830,2501066,60720642,2967
90150.05,13,262144,64,229527,15123311278,6,152,1,603,2947194,9,61013,1,11,210,133282434,1208,1,10,34120,14630,4,275,603,136562,423490814,73073602,25279,4487914491,603,765,2,1,4,4,299,1,4469970462,4424350026,185927548,343360227,343376611,2,1,15107849988,73389,73389,4,4,4,343360227,7,3,371959,5751278,2768346,65218,34110,4469970462,2881976,70307891,2967
95159.96,13,262144,64,257744,16982627766,6,157,1,603,3345112,9,68927,1,11,210,133813338,1208,1,10,38266,16273,4,275,603,153150,448136702,83265144,28607,5033532346,603,765,2,1,4,4,299,1,5013394974,4967848163,225029720,385630825,385630825,2,1,16967756300,73389,73389,4,4,4,385630825,7,3,402738,6505350,2994240,73402,38256,5013394974,3271710,80274283,2967
100169.49,13,262144,64,287853,18966734722,6,162,1,603,3666851,9,77414,1,11,210,134875146,1208,1,10,42692,17846,4,275,603,170854,472923614,92400945,29845,5615915558,603,765,2,1,4,4,299,1,5593388574,5547876930,245456984,430712994,430729378,2,1,18951371736,73389,73389,4,4,4,430712994,7,3,421172,7176871,3160298,79989,42682,5593388574,3586862,89244836,2967
105178.84,13,262144,64,317276,20905377210,6,167,1,603,4030444,9,85712,1,11,210,135406050,1208,1,10,47013,19721,4,275,603,188154,531616270,102011078,32947,6184739431,603,765,2,1,4,4,299,1,6159881758,6114574315,279072403,474783673,474783673,2,1,20889760716,73389,73389,4,4,4,474767289,7,3,446717,7910545,3431340,88975,47003,6159881758,3941469,98584534,2967
110187.49,13,262144,64,347705,22909931398,6,172,1,603,4408321,9,94283,1,11,210,136467858,1208,1,10,51480,21871,4,275,603,206022,556542254,112044257,34295,6771868302,603,765,2,1,4,4,299,1,6744647468,6700526920,316934064,520332786,520349170,2,1,22894642584,73389,73389,4,4,4,520332786,7,3,470964,8657193,3654114,96817,51470,6744647468,4311504,108396040,2967
115195.15,13,262144,64,376427,24802621084,6,177,1,603,4785304,9,102389,1,11,210,137264214,1208,1,10,55700,23246,4,275,603,222906,580919342,121938617,35529,7327204732,603,765,2,1,4,4,299,1,7297771308,7253862624,337490217,563338505,563354889,2,1,24786894220,73389,73389,4,4,4,563338505,7,3,493047,9368487,3932642,104127,55690,7297771308,4681177,118012280,2967
