timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
39996.57,3,253952,62,103248,6803491482,4,19529101,244,6,6,6318,725,0,567,477663,21,40613,19,25,114162619,1136,1,0,4,467,128676914,6,514707656,18,20,14,84,567,0,0,37319645,1137,2185049072,0,567,211,3,1,14,14,895,3,2184555910,2146123848,56845321,130563286,130563286,1,3,1,6788438936,73389,73389,14,14,14,130546906,4,3,142772,489559,732797,18219,2184555910,477663,36588223,1093
42001.15,3,253952,62,113035,7447715758,4,21693897,257,7,7,6318,772,0,567,525726,21,44449,19,25,114162619,1136,1,0,4,467,140901351,6,563540776,18,21,14,84,567,0,0,40955993,1178,2396458488,0,567,211,3,1,14,14,895,3,2395628362,2349106622,62556854,142946543,142946543,1,3,1,7433220268,73389,73389,14,14,14,142946547,4,3,154436,538748,791861,19930,2395628362,525726,40165637,1093
44004.96,3,253952,62,124396,8195431546,4,23461391,283,7,7,6318,862,0,567,578367,21,48920,19,25,114174685,1136,1,0,4,467,155013061,6,620052244,18,21,14,84,567,0,0,45169503,1260,2641682910,0,567,211,3,1,14,14,895,3,2640966739,2585148576,68627124,157293721,157293721,1,3,1,8178421556,73389,73389,14,14,14,157277341,4,3,159021,592718,850967,21998,2640966739,578367,44320196,1093
46008.79,3,253952,62,133255,8778295444,5,25390546,321,7,7,6318,892,0,576,616988,21,52375,19,25,115697978,1154,1,0,4,467,166071626,6,664221932,18,21,14,84,576,0,0,48396807,1304,2824276213,0,576,217,3,1,14,14,895,3,2822523704,2768824217,73781680,168493456,168493456,1,3,1,8761659744,73389,73389,14,14,14,168493460,4,3,164030,632337,896063,23448,2822523704,616988,47502524,1113
48012.58,3,253952,62,143282,9439189508,5,27575098,349,8,8,6318,975,0,576,664994,21,56324,19,25,115987562,1154,1,0,4,467,178536514,6,714081424,18,22,14,84,576,0,0,52144118,1383,3035669221,0,576,217,3,1,14,14,895,3,3034439610,2977597357,79714015,181148764,181148764,1,3,1,9419735760,73389,73389,14,14,14,181148768,4,3,168966,681507,953127,25240,3034439610,664994,51192905,1113
50017.08,3,253952,62,154375,10170837832,5,29482931,384,8,8,6318,1020,0,576,717847,21,60673,19,25,115987562,1154,1,0,4,467,192426357,6,769576364,18,22,14,84,576,0,0,56336046,1491,3270096054,0,576,217,3,1,14,14,895,3,3268602948,3208186937,85728347,195206619,195206619,1,3,1,10150744220,73389,73389,14,14,14,195206623,4,3,172816,735692,1023207,27144,3268602948,717847,55314909,1113
52021.19,4,253952,62,165423,10898704482,5,31052879,425,8,8,6318,1111,0,576,773859,21,65023,19,25,115987562,1154,1,0,4,467,206132244,6,824528976,18,22,14,84,576,0,0,60509041,1604,3517856423,0,576,217,3,1,14,14,895,3,3515808321,3438767241,91547192,209123495,209123495,1,3,1,10874421772,73389,73389,14,14,14,209123499,4,3,175472,793107,1071217,29226,3515808321,773859,59440033,1113
54025.51,4,253952,62,173185,11409663322,6,33517314,456,9,9,6318,1179,0,576,809051,21,68077,19,25,116301278,1154,1,0,4,467,215761988,6,863047952,18,23,14,84,576,0,0,63310666,1728,3677329806,0,576,217,3,1,14,14,895,3,3676093093,3600279043,96791461,218897822,218897822,1,3,1,11382686776,73389,73389,14,14,14,218897826,4,3,179615,829228,1114247,30589,3676093093,809051,62198742,1113
56029.94,4,253952,62,184156,12132676756,6,35376016,480,9,9,6318,1225,0,585,862383,21,72355,19,25,117742431,1172,1,0,4,467,229409516,6,917573476,18,23,14,84,585,0,0,67472311,1879,3915457345,0,585,223,3,1,14,14,895,3,3914326627,3828453837,102840515,232763387,232763387,1,3,1,12103696156,73389,73389,14,14,14,232763391,4,3,181617,883929,1173296,32516,3914326627,862383,66301493,1134
58034.51,4,253952,62,195090,12854037582,6,37178242,510,9,9,6318,1314,0,585,923385,21,76674,19,25,117742431,1172,1,0,4,467,243059203,6,972172176,18,23,14,84,585,0,0,71656251,2046,4157749478,0,585,223,3,1,14,14,895,3,4156090700,4055973789,108826415,246575482,246591866,1,3,1,12821925096,73389,73389,14,14,14,246575486,4,3,213146,946385,1265314,34553,4156090700,923385,70393552,1134
60039.15,4,253952,62,206173,13584716830,6,38894677,561,9,9,6318,1360,0,585,978828,21,81015,19,25,117742431,1172,1,0,4,467,256872208,6,1027488832,18,23,14,84,585,0,0,75987978,2096,4389143912,0,585,223,3,1,14,14,895,3,4387067939,4286275300,114848293,260635496,260635496,1,3,1,13552193856,73389,73389,14,14,14,260619116,4,3,220330,1003174,1336382,36421,4387067939,978828,74654372,1134
62043.91,4,253952,62,216939,14293402500,6,40585379,607,9,9,6318,1450,0,585,1037597,21,85265,19,25,117742431,1172,1,0,4,467,270306991,6,1081227964,18,23,14,84,585,0,0,80329975,2219,4621681916,0,585,223,3,1,14,14,895,3,4619312486,4509910339,120904947,274229010,274229010,1,3,1,14259908552,73389,73389,14,14,14,274229014,4,3,222558,1063353,1408318,38386,4619312486,1037597,78924591,1134
64048.77,4,253952,62,227920,15016073002,6,42008098,677,9,9,6318,1500,0,621,1099110,21,89555,19,25,123993754,1244,1,0,4,467,283972796,6,1135826776,18,23,14,84,621,0,0,84915947,2365,4848821544,0,621,241,3,1,14,14,895,3,4846137588,4737766887,126913018,288107085,288107085,1,3,1,14981568452,73389,73389,14,14,14,288107089,4,3,225144,1126355,1472419,40238,4846137588,1099110,83446649,1229
66053.61,4,253952,62,238693,15725808658,6,43515734,755,9,9,6318,1589,0,720,1163444,21,93790,19,25,140478959,1442,1,0,4,467,297323841,6,1189295364,18,23,14,84,720,0,0,89438991,2511,5087887614,0,720,281,3,1,14,14,895,3,5084625001,4962383614,132940162,301679897,301679897,1,3,1,15687354676,73389,73389,14,14,14,301679901,4,3,228060,1192207,1540555,42265,5084625001,1163444,87901756,1464
68058.25,4,253952,62,249492,16437067260,6,44972557,817,9,9,6318,1636,0,738,1225841,21,98012,19,25,143861661,1478,1,0,4,467,310804400,6,1243152992,18,23,14,84,738,0,0,93972544,2650,5318699867,0,738,287,3,1,14,14,895,3,5315519821,5186823028,138930020,315320404,315336788,1,3,1,16396661040,73389,73389,14,14,14,315320408,4,3,230466,1256038,1620754,44149,5315519821,1225841,92355291,1506
70063.52,4,253952,62,260190,17142877128,6,46440610,888,9,9,6318,1724,0,738,1293386,21,102227,19,25,144754545,1478,1,0,4,467,324114873,6,1296394976,18,23,14,84,738,0,0,98536468,2789,5556585235,0,738,287,3,1,14,14,895,3,5553742064,5410291023,144960891,328821203,328821203,1,3,1,17098702588,73389,73389,14,14,14,328821207,4,3,233351,1325167,1699817,46173,5553742064,1293386,96840349,1506
72067.99,4,253952,62,267005,17591978498,7,48855217,920,9,9,6318,1746,0,738,1328130,21,104891,19,25,144754545,1478,1,0,4,467,332642172,6,1330568688,18,23,14,84,738,0,0,101148091,2847,5701142558,0,738,287,3,1,14,14,895,3,5698333142,5551960552,149985812,337454683,337454683,1,3,1,17547643548,73389,73389,14,14,14,337454687,4,3,233854,1360721,1741872,47336,5698333142,1328130,99410013,1506
74073.03,4,253952,62,277718,18296997704,7,50023724,991,10,10,6318,1833,0,738,1398006,21,109078,19,25,144802809,1478,1,0,4,467,345853884,6,1383415536,18,24,14,84,738,0,0,105740283,3074,5946839682,0,738,287,3,1,14,14,895,3,5943653189,5776005069,155746226,350870132,350870132,1,3,1,18244394928,73389,73389,14,14,14,350853752,4,3,239099,1432227,1844814,49423,5943653189,1398006,103899464,1506
76077.76,4,253952,62,288543,19011371964,7,51355427,1073,10,10,6318,1885,0,738,1467529,21,113319,19,25,146021475,1478,1,0,4,467,359340340,6,1437361360,18,24,14,84,738,0,0,110418970,3140,6192477464,0,738,287,3,1,14,14,895,3,6188484109,6002208486,161754308,364532612,364548996,1,3,1,18955695856,73389,73389,14,14,14,364532616,4,3,241172,1503354,1935713,51429,6188484109,1467529,108487458,1506
78081.85,6,253952,62,298887,19691858472,8,53462401,1141,11,11,6318,1967,0,738,1534085,21,117322,20,25,146021475,1478,1,0,4,467,372003976,6,1488015904,19,25,14,91,738,0,0,114746373,4273,6428315759,0,738,287,3,1,14,14,895,3,6424538042,6218889184,168188006,377458700,377458700,1,3,1,19627852432,73389,73389,14,14,14,377458704,4,3,243688,1571512,2013889,53434,6424538042,1534085,112736871,1506
80086.56,6,253952,62,306231,20177522748,10,56019192,1160,13,13,6318,1999,0,738,1575640,21,120232,20,25,146021475,1478,1,0,4,467,381260733,6,1525042932,19,27,14,91,738,0,0,117677594,4330,6595102645,0,738,287,3,1,14,14,895,3,6590818010,6372063535,173676109,386767354,386767354,1,3,1,20111902440,73389,73389,14,14,14,386767358,4,3,249356,1614078,2057930,54784,6590818010,1575640,115624163,1506
82091.36,6,253952,62,317042,20889205802,10,57495955,1241,13,13,6318,2080,0,738,1644388,21,124445,20,25,146323125,1478,1,0,4,467,394614185,6,1578392036,19,27,14,91,738,0,0,122223726,4554,6844130791,0,738,287,3,1,14,14,895,3,6839785746,6598532342,179697734,400311716,400311716,1,3,1,20816209264,73389,73389,14,14,14,400311720,4,3,252352,1684487,2133988,56889,6839785746,1644388,120094438,1506
84095.35,6,253952,62,324322,21368491828,11,59198517,1275,13,13,6318,2140,0,738,1686417,21,127304,20,25,146323125,1478,1,0,4,467,403628532,6,1614449512,19,27,14,91,738,0,0,125070265,4776,7014592034,0,738,287,3,1,14,14,895,3,7009877521,6750774283,184246260,409455259,409455259,1,3,1,21291673500,73389,73389,14,14,14,409455263,4,3,254676,1727563,2183958,58323,7009877521,1686417,122891121,1506
86100.46,6,253952,62,334025,22008176360,12,61392721,1336,15,15,6318,2187,1,738,1746817,21,131088,20,25,146636841,1478,1,0,4,467,415702376,6,1662680408,19,29,14,91,738,0,0,129313362,4872,7230189022,0,738,287,3,1,14,14,895,3,7225816511,6953120875,190682375,421700967,421700967,1,3,1,21928450316,73389,73389,14,14,14,421700971,4,3,261665,1789491,2254978,60084,7225816511,1746817,127063386,1506
88105.94,6,253952,62,344457,22695624570,12,62766891,1413,15,15,6318,2261,1,738,1813046,21,135185,20,25,146660973,1478,1,0,4,467,428632452,6,1714529808,19,29,14,91,738,0,0,133954787,5021,7462331295,0,738,287,3,1,14,14,895,3,7457626984,7170841441,196696442,434831411,434831411,1,3,1,22611233404,73389,73389,14,14,14,434831415,4,3,266485,1857400,2326040,62014,7457626984,1813046,131633959,1506
90116.08,6,253952,62,354647,23365994402,12,64357747,1472,15,15,6318,2316,1,738,1875975,21,139160,20,25,146660973,1478,1,0,4,467,441297043,6,1765123552,19,29,14,91,738,0,0,138391509,5793,7687378692,0,738,287,3,1,14,14,895,3,7682196334,7383091858,202723984,447659195,447659195,1,3,1,23278278172,73389,73389,14,14,14,447659199,4,3,268785,1921940,2393057,63856,7682196334,1875975,136003857,1506
92120.86,6,253952,62,365499,24081620706,14,67405572,1551,17,17,6318,2397,1,747,1952663,21,143410,21,25,148183755,1496,1,0,4,467,454746213,6,1818984852,20,31,14,100,747,0,0,143393402,36383,7928485571,0,747,290,3,1,14,14,895,3,7922983147,7609652366,210803027,461329867,461329867,1,3,1,23989153116,73389,73389,14,14,14,461329871,4,3,274190,2000440,2497821,65867,7922983147,1952663,140901206,1536
94125.99,7,253952,62,375711,24752739354,14,68456894,1633,17,17,6318,2458,1,972,2029924,21,147381,21,25,185568500,1946,1,0,4,467,467342016,6,1869368064,20,31,14,100,972,0,0,148355509,37169,8167772208,0,972,446,3,1,14,14,895,3,8162069968,7822386038,216816761,474123798,474123798,1,3,1,24654437528,73389,73389,14,14,14,474123802,4,3,276901,2079563,2593808,67847,8162069968,2029924,145767535,2183
96130.26,7,253952,62,385494,25397018144,14,69289099,1717,17,17,6318,2503,1,1197,2099288,21,151182,21,25,224485736,2396,1,0,4,467,479421462,6,1917685848,20,31,14,100,1197,0,0,153019614,41536,8395511100,0,1197,600,3,1,14,14,895,3,8390919322,8027216962,222315052,486391923,486391923,1,3,1,25292380028,73389,73389,14,14,14,486391927,4,3,280597,2150551,2674790,69710,8390919322,2099288,150350856,2844
98135.93,7,253952,62,392131,25834176588,15,71798470,1736,18,18,6318,2558,1,1494,2137584,21,153764,21,25,274958986,2990,1,0,4,467,487566692,6,1950202176,20,32,14,100,1494,0,0,155701975,43011,8554805156,0,1494,747,3,1,14,14,895,3,8549217489,8166739976,227503248,494669273,494685657,1,3,1,25722802228,73389,73389,14,14,14,494669277,4,3,284576,2189757,2727179,71045,8549217489,2137584,152980933,3533
100141.47,7,253952,62,401989,26482518732,15,72906500,1830,18,18,6318,2628,1,1665,2211061,21,157618,21,25,304807858,3332,1,0,4,467,499729114,6,1998851824,20,32,14,100,1665,0,0,160603026,44937,8783221517,0,1665,873,3,1,14,14,895,3,8778273476,8372643180,233500816,507005093,507021477,1,3,1,26364264868,73389,73389,14,14,14,507005097,4,3,291330,2265065,2823181,72958,8778273476,2211061,157786183,4091
102146.94,7,253952,62,411511,27110067160,15,73898941,1930,18,18,6318,2685,1,1872,2286626,21,161310,21,25,341195449,3746,1,0,4,467,511441326,6,2045700916,20,32,14,100,1872,0,0,165631879,46904,9010353984,0,1872,1019,3,1,14,14,895,3,9004492911,8572834263,239535697,518900704,518900704,1,3,1,26982836640,73389,73389,14,14,14,518900708,4,3,300627,2342511,2938245,74816,9004623983,2286669,162700167,4737
104152.24,7,253952,62,420727,27718890364,15,74827692,2016,18,18,6318,2731,1,1962,2359126,21,164903,21,25,357443771,3926,1,0,4,467,522866548,6,2091401524,20,32,14,100,1962,0,0,170486218,50175,9225586965,0,1962,1074,3,1,14,14,895,3,9219801402,8766226574,245321451,530504833,530504833,1,3,1,27586251348,73389,73389,14,14,14,530504837,4,3,304689,2416763,3036210,76558,9219801402,2359126,167456738,5028
106157.36,7,253952,62,426767,28116030932,16,77434205,2034,18,18,6318,2781,1,2169,2395840,21,167253,21,25,393169482,4340,1,0,4,467,530290358,6,2121097072,20,32,14,100,2169,0,0,172899491,50204,9374550539,0,2169,1159,3,1,14,14,895,3,9368779419,8892889307,250339462,538034996,538034996,1,3,1,27977819824,73389,73389,14,14,14,538035000,4,3,306589,2454365,3089202,77801,9368779419,2395840,169817113,5507
108167.03,7,253952,62,436117,28732581256,16,78417223,2133,19,19,6318,2828,1,2349,2469315,21,170885,21,25,424340201,4700,1,0,4,467,541822672,6,2167226012,20,33,14,100,2349,0,0,177857189,72701,9594507980,0,2349,1276,3,1,14,14,895,3,9587650406,9089213016,256296975,549748224,549748224,1,3,1,28586907680,73389,73389,14,14,14,549748228,4,3,314832,2529678,3188222,79594,9587650406,2469315,174676034,6086
110172.51,7,253952,62,445632,29358720660,16,79637790,2217,19,19,6318,2907,1,2763,2548032,21,174569,21,25,495917508,5528,1,0,4,467,553407792,6,2213631168,20,33,14,100,2763,0,0,182662020,76361,9835407455,0,2763,1556,3,1,14,14,895,3,9828361703,9290218093,262323847,561514922,561514922,1,3,1,29198775976,73389,73389,14,14,14,561514926,4,3,319385,2610216,3295574,81628,9828361703,2548032,179373711,7350
112178.76,8,253952,62,454516,29944441624,16,80817245,2304,19,19,6318,2948,1,2871,2619303,21,178006,21,25,516351625,5744,1,0,4,467,564387264,6,2257420052,20,33,14,100,2871,0,0,187479034,106628,10045688370,0,2871,1645,3,1,14,14,895,3,10038462198,9476718246,268344753,572632293,572632293,1,3,1,29776879268,73389,73389,14,14,14,572632297,4,3,322758,2683261,3373648,83337,10038462198,2619303,184112837,7696
114184.19,8,253952,62,463579,30542171050,16,81869214,2407,19,19,6318,3017,2,3186,2701091,21,181518,21,25,570996319,6374,1,0,4,467,575452002,6,2301808008,20,33,14,100,3186,0,0,192419634,111982,10277546417,0,3186,1984,3,1,14,14,895,3,10271052951,9668509738,274334424,583888928,583888928,1,3,1,30362224288,73389,73389,14,14,14,583888932,4,3,326512,2766964,3478523,85271,10271052951,2701091,188948742,8738
116189.81,8,253952,62,472911,31156431410,16,83175334,2494,19,19,6318,3072,2,3357,2773418,21,185141,21,25,601357445,6716,1,0,4,467,586989369,6,2347892676,20,33,14,100,3357,0,0,197129067,112778,10499410700,0,3357,2145,3,1,14,14,895,3,10492834507,9864341338,280353133,595524554,595540938,1,3,1,30967276840,73389,73389,14,14,14,595524558,4,3,327849,2841035,3564594,87076,10492834507,2773418,193572293,9251
117028.67,8,253952,62,476468,31390809892,16,83739155,2530,19,19,6318,3127,2,3357,2796943,21,186584,28,25,609964848,6723,1,1224,4,467,591599349,6,2366397396,27,40,20,126,3357,1224,102,199080497,117999,10578951561,8,3357,2145,3,1,14,14,895,3,10571268302,9938097938,379947684,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,4,3,356777,2865179,3617864,87677,10571268302,2796943,195470538,9251
