timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
14027.10,13,253952,62,213255,14050966398,17,25816335,716,719,38,38,538,1424,15,594,1852576,0,33,83933,0,45,0,121021617,1190,1,0,4,582,266073676,8,1064230068,44,46,0,8,324,594,0,0,118849887,3425241,4456378925,0,594,315,0,3,1,6,10,1152,3,4455337411,4426691321,148159383,269983839,270016607,1,3,1,14036603756,73389,73389,8,8,8,269934691,10,3,228903,1892730,2565602,36993,4455337411,1852576,116288509,1996
14533.95,13,253952,62,228879,15080173704,17,26614105,785,789,39,39,538,1524,16,594,2002008,0,33,90029,0,45,0,121021617,1190,1,0,4,582,285471099,8,1141560960,44,47,0,8,324,594,0,0,127852694,3851987,4780837974,0,594,315,0,3,1,6,10,1152,3,4780326794,4750482044,158400660,289755392,289853696,1,3,1,15066428448,73389,73389,8,8,8,289739012,10,3,236502,2045081,2753352,39682,4780326794,2002008,125103878,1996
15040.59,14,253952,62,243212,16023869084,17,27120560,843,852,39,39,538,1619,16,594,2132178,0,33,95648,0,45,0,121021617,1190,1,0,4,582,303355889,8,1213100388,44,47,0,8,324,594,0,0,135709630,3883783,5079095328,0,594,315,0,3,1,6,10,1152,3,5077751654,5047730782,166780077,307927790,307960558,1,3,1,16012245112,73389,73389,8,8,8,307927794,10,3,242572,2177820,2918338,42145,5077751654,2132178,132796101,1996
15548.74,17,253952,62,254708,16782290396,21,31610992,903,908,39,39,538,1691,16,594,2234950,0,33,100195,0,45,0,121021617,1190,1,0,4,582,317779142,8,1270857912,44,47,0,8,324,594,0,0,142322252,3935220,5319111860,0,594,315,0,3,1,6,10,1152,3,5316759203,5286546570,177930894,322540542,322540542,1,3,1,16772108216,73389,73389,8,8,8,322540546,10,3,246591,2282680,3059835,44120,5316759203,2234950,139267451,1996
16054.07,18,253952,62,267400,17617898230,25,36164668,969,971,44,44,538,1774,16,594,2344742,0,33,105233,0,45,0,121021617,1190,1,0,4,582,333682182,8,1334664108,44,52,0,8,324,594,0,0,149589082,4034330,5581566151,0,594,315,0,3,1,6,10,1152,3,5579350130,5549404437,189747608,338570954,338669258,1,3,1,17605689640,73389,73389,8,8,8,338570958,10,3,262677,2394837,3208811,46293,5579350130,2344742,146385559,1996
16559.45,19,253952,62,282765,18630179976,25,36670658,1037,1039,44,44,538,1875,16,603,2480861,0,33,111267,0,45,0,122520161,1208,1,0,4,582,352893077,8,1410990724,44,52,0,8,324,603,0,0,158490440,4119344,5903762135,0,603,327,0,3,1,6,10,1152,3,5901893019,5868506762,199300843,358055787,358072171,1,3,1,18617197020,73389,73389,8,8,8,358023023,10,3,269347,2533853,3369452,48971,5901893019,2480861,155125872,2033
17073.51,20,253952,62,297833,19624334836,25,37524655,1098,1100,45,45,538,1968,16,612,2616951,0,33,117238,0,45,0,124042433,1226,1,0,4,582,371767797,8,1486812636,44,53,0,8,324,612,0,0,167287096,4290972,6219065359,0,612,335,0,3,1,6,10,1152,3,6215516904,6181723064,209154634,377167218,377167218,1,3,1,19612695368,73389,73389,8,8,8,377167222,10,3,276452,2672786,3531018,51560,6215516904,2616951,163761949,2070
17578.76,24,253952,62,313545,20659320488,25,38082305,1170,1172,45,45,538,2071,16,621,2767762,2,33,123397,0,45,0,125484581,1244,1,0,4,582,391332572,8,1564877984,44,53,0,8,324,621,0,0,176392937,4878079,6546386370,0,619,344,2,3,1,6,10,1152,3,6543292644,6507697937,219403413,397045267,397061651,1,3,1,20645501948,73389,73389,8,8,8,397028887,10,3,287001,2826594,3732057,54283,6543292644,2767762,172667057,2106
18088.83,35,253952,62,328773,21660788394,25,39114590,1231,1236,49,49,538,2169,16,639,2922769,2,33,129366,0,45,0,128734973,1280,1,0,4,582,410234983,8,1640560720,44,57,0,8,324,639,0,0,185259129,5929399,6866602010,0,637,358,2,3,1,6,10,1152,3,6862543330,6823391447,230412130,416249857,416299009,1,3,1,21644140628,73389,73389,8,8,8,416233477,10,3,306700,2984597,3942257,56937,6862543330,2922769,181321710,2177
18601.60,38,253952,62,344448,22694327448,25,39778264,1288,1295,49,49,538,2269,16,639,3081100,2,33,135540,0,45,0,129048689,1280,1,0,4,582,429786545,8,1718823148,44,57,0,8,324,639,0,0,194251947,6578538,7202923284,0,637,358,2,3,1,6,10,1152,3,7200015806,7150024493,240728801,436064085,436096853,1,3,1,22675332452,73389,73389,8,8,8,436064089,10,3,312624,3146055,4147344,59729,7200015806,3081100,190111431,2177
19112.77,40,253952,62,360079,23725031182,28,43646086,1355,1357,49,49,538,2375,17,639,3237015,2,33,141685,0,45,0,129048689,1280,1,0,4,582,449225287,8,1796707180,44,57,0,8,324,639,0,0,203277182,7009926,7541761483,0,637,358,2,3,1,6,10,1152,3,7538676682,7475302993,254073682,455796393,455878313,1,3,1,23701412468,73389,73389,8,8,8,455796397,10,3,314446,3305045,4324384,62529,7538676682,3237015,198959945,2177
19622.14,40,253952,62,375600,24747725926,29,45396315,1414,1416,50,50,538,2471,17,648,3387783,4,33,147787,0,45,0,130779877,1298,1,0,4,582,468602400,8,1874086480,44,58,0,8,324,648,0,0,212268390,7489809,7879198074,0,644,367,4,3,1,6,10,1152,3,7874515205,7798349932,265267677,475448940,475465324,1,3,1,24721640976,73389,73389,8,8,8,475416176,10,3,323778,3458862,4509596,65321,7874515205,3387783,207766241,2205
20134.68,40,253952,62,391001,25761748286,29,46254219,1478,1481,50,50,538,2571,17,720,3549749,4,33,153803,0,45,0,143084086,1442,1,0,4,582,487624958,8,1950242004,44,58,0,8,324,720,0,0,221238370,8031230,8223788703,0,716,432,4,3,1,6,10,1152,3,8221648487,8120307911,275724925,494793424,494809808,1,3,1,25726702176,73389,73389,8,8,8,494744276,10,3,331274,3625081,4692583,68220,8221648487,3549749,216553545,2486
20647.38,41,253952,62,406514,26783451842,29,47525520,1541,1544,53,53,538,2662,17,837,3716863,4,33,159794,0,45,0,164447740,1676,1,0,4,582,506780752,8,2026606108,44,61,0,8,324,837,0,0,230350626,8976175,8577743180,0,833,522,4,3,1,6,10,1152,3,8572160192,8444476678,287071281,514255840,514304992,1,3,1,26741303712,73389,73389,8,8,8,514255844,10,3,352381,3795381,4927463,71105,8572160192,3716863,225431238,2914
21174.58,42,253952,62,418942,27601758172,29,48391700,1597,1607,53,53,538,2745,17,837,3850356,4,33,164731,0,45,0,164471872,1676,1,0,4,582,522312109,8,2089054284,44,61,0,8,324,837,0,0,237546454,9580476,8848166271,0,833,522,4,3,1,6,10,1152,3,8842599743,8702882655,295425637,529942188,529974956,1,3,1,27556993808,73389,73389,8,8,8,529942192,10,3,360003,3931370,5087958,73352,8842599743,3850356,232466808,2914
21682.70,43,253952,62,428416,28226398762,32,52318716,1649,1659,53,53,538,2806,17,837,3954359,4,33,168421,0,45,0,165413020,1676,1,0,4,582,534078491,8,2136120160,44,61,0,8,324,837,0,0,243002676,10153811,9064694453,0,833,522,4,3,1,6,10,1152,3,9059460648,8901190285,305704032,541843832,541892984,1,3,1,28175879296,73389,73389,8,8,8,541843836,10,3,370490,4037476,5226949,75144,9059460648,3954359,237784239,2914
22192.90,49,253952,62,437765,28842847352,37,57819633,1697,1702,53,53,538,2862,17,837,4052866,4,33,172089,0,45,0,165738802,1676,1,0,4,582,545650267,8,2182545020,44,61,0,8,324,837,0,0,248362670,10380388,9276999827,0,833,522,4,3,1,6,10,1152,3,9271584656,9097026865,316795800,553614404,553630788,1,3,1,28787097072,73389,73389,8,8,8,553598024,10,3,371241,4137849,5331998,76897,9271584656,4052866,243039374,2914
22704.11,49,253952,62,447085,29456514092,40,62349923,1749,1750,53,53,538,2925,18,936,4152211,4,33,175732,0,45,0,182201148,1874,1,0,4,582,557176813,8,2228642552,44,61,0,8,324,936,0,0,253798721,10704886,9491830833,0,932,623,4,3,1,6,10,1152,3,9486471593,9291936016,327122651,565303056,565335824,1,3,1,29395758944,73389,73389,8,8,8,565303060,10,3,377352,4239125,5445130,78699,9486471593,4152211,248362483,3325
23215.83,50,253952,62,456285,30061677502,40,63356794,1805,1806,57,57,538,2975,18,972,4250041,4,33,179301,0,45,0,188717769,1946,1,0,4,582,568515937,8,2273999144,44,65,0,8,324,972,0,0,259191792,11276027,9707740654,0,968,652,4,3,1,6,10,1152,3,9700505460,9484581810,334139322,576822279,576855047,1,3,1,29993906572,73389,73389,8,8,8,576805899,10,3,385347,4338926,5573069,80471,9700505460,4250041,253627809,3458
23727.37,51,253952,62,465566,30674043690,40,64021455,1850,1856,57,57,538,3035,19,981,4351838,4,33,182889,0,45,0,190571533,1964,1,0,4,582,579928049,8,2319453796,44,65,0,8,324,981,0,0,264641740,11969492,9933841976,0,977,658,4,3,1,6,10,1152,3,9926335433,9680420288,340916826,588410468,588410468,1,3,1,30597344368,73389,73389,8,8,8,588410472,10,3,388815,4442698,5682239,82352,9926335433,4351838,258968784,3492
24234.39,51,253952,62,474651,31272587476,42,66496372,1902,1905,57,57,538,3120,20,1026,4443007,4,33,186465,0,45,0,199035948,2054,1,0,4,582,591340941,8,2365234332,44,65,0,8,324,1026,0,0,269978786,12244030,10141885698,0,1022,686,4,3,1,6,10,1152,3,10135989517,9869966027,348979628,599841294,599874062,1,3,1,31189191416,73389,73389,8,8,8,599792146,10,3,394279,4538674,5804584,84049,10135989517,4443007,264183664,3659
24304.98,51,253952,62,474801,31282417876,43,68870025,1906,1906,75,75,538,3125,20,1026,4444526,4,33,186567,1,51,124,206376421,2061,1,1226,4,582,591599349,8,2366397396,50,90,11,44,473,1026,1226,131,270426815,12417004,10148870619,8,1022,686,4,3,1,6,10,1152,3,10139648884,9873183890,368477463,600037902,600037902,1,3,1,31201970936,73389,73389,8,8,8,600037906,10,3,399226,4540234,5859071,84079,10139648884,4444526,264577286,3659
