timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
11651.20,55,253952,62,350256,23078554052,36,48940529,727,737,64,64,37597,2310,20,600,2966156,18,26,137891,0,71,121,0,121638956,1202,1,0,4,666,437225434,4,1748707572,73174,6,338824,70,72,47,8,314,588,6,0,0,194078262,4038048,7298102664,0,582,314,18,3,1,2,14,1091,3,7296463709,7268268553,247215842,443561036,443610188,1,3,1,23065173904,73389,73389,8,8,8,443561040,3,3,391971,3028018,4212049,60517,7296463709,2966156,189871531,21629
12157.53,57,253952,62,366325,24137739333,45,58248789,797,799,65,65,37597,2412,20,600,3112606,18,26,144203,0,71,121,0,121638956,1202,1,0,4,666,457231613,4,1828797248,73174,6,338824,70,73,47,8,314,588,6,0,0,203313320,4146823,7636523313,0,582,314,18,3,1,2,14,1091,3,7635743864,7602363236,265856549,463885327,463948704,1,3,1,24120333100,73389,73389,8,8,8,463852563,3,3,392642,3177553,4401009,63328,7635743864,3112606,198917942,21629
12663.27,61,253952,62,382283,25187979560,45,58952161,866,868,65,65,37597,2520,20,609,3259139,18,26,150466,0,71,121,0,123138643,1220,1,0,4,666,477138455,4,1908230784,73174,6,338824,70,73,47,8,314,597,6,0,0,212429115,4197993,7979545279,0,591,321,18,3,1,2,14,1091,3,7977325571,7933902014,275721706,484060447,484076831,1,3,1,25171143276,73389,73389,8,8,8,484060451,3,3,393491,3327139,4567042,66173,7977325571,3259139,207868010,21668
13178.06,61,253952,62,398684,26268382182,45,60133553,929,931,67,67,37597,2618,22,645,3411266,18,26,156888,0,71,121,0,129362381,1292,1,0,4,666,497507502,4,1989706852,73174,6,338824,70,75,47,8,314,633,6,0,0,221645948,4530761,8331458967,0,627,352,18,3,1,2,14,1091,3,8330330302,8275112727,286473522,504736994,504802530,1,3,1,26245471752,73389,73389,8,8,8,504720614,3,3,404231,3482467,4736803,69103,8330330302,3411266,216915396,21818
13690.36,62,253952,62,414764,27327896214,45,60657570,994,997,67,67,37597,2718,22,663,3560156,18,26,163188,0,71,121,0,132254437,1328,1,0,4,666,517499575,4,2069739792,73174,6,338824,70,75,47,8,314,651,6,0,0,230968170,4897215,8679576376,0,645,376,18,3,1,2,14,1091,3,8675750247,8610078034,296674216,525030676,525079828,1,3,1,27299891248,73389,73389,8,8,8,524997912,3,3,409243,3634495,4924279,71963,8675750247,3560156,226049465,21881
14198.59,65,253952,62,431012,28397890658,45,62513705,1071,1072,67,67,37597,2824,23,736,3721164,21,26,169533,0,71,121,0,145044225,1474,1,0,4,666,537684079,4,2150162996,73311,7,339520,70,75,47,8,314,722,7,0,0,240256571,5501135,9038123167,0,715,441,21,3,1,2,14,1091,3,9038084957,8949112026,308433509,545504582,545504582,1,3,1,28364534360,73389,73389,8,8,8,545471818,3,3,413905,3798898,5110960,74977,9038084957,3721164,235151505,22337
14703.40,65,253952,62,446861,29442205544,45,63199027,1129,1135,67,67,37597,2921,23,736,3877562,21,26,175687,0,71,121,0,145357941,1474,1,0,4,666,557159940,4,2228446120,73311,7,339520,70,75,47,8,314,722,7,0,0,249131723,5674741,9409633818,0,715,441,21,3,1,2,14,1091,3,9406284866,9281077788,318133921,565355896,565405048,1,3,1,29398506624,73389,73389,8,8,8,565355900,3,3,426349,3958515,5318724,78040,9406284866,3877562,243820208,22337
15210.34,66,253952,62,460099,30312761984,46,64753530,1178,1187,67,67,37597,3001,23,989,4006317,24,26,180782,0,71,121,0,187439535,1980,1,0,4,666,573349913,4,2293205904,73397,8,339984,70,75,47,8,314,973,8,0,0,256270141,5702037,9726290543,0,965,642,24,3,1,2,14,1091,3,9724135994,9559004443,326792587,581874584,581907352,1,3,1,30255774464,73389,73389,8,8,8,581841820,3,3,430243,4090089,5461038,80685,9724135994,4006317,250816564,23353
15717.38,66,253952,62,471924,31092272046,49,68884784,1232,1237,67,67,37597,3081,24,1187,4118530,24,26,185404,0,71,121,0,223070253,2376,1,0,4,666,587968914,4,2351746428,73397,8,339984,70,75,47,8,314,1171,8,0,0,262862564,5801122,10008306867,0,1163,772,24,3,1,2,14,1091,3,10005295671,9807673138,337680724,596683944,596683944,1,3,1,31025861184,73389,73389,8,8,8,596651180,3,3,434991,4204838,5583578,82982,10005295671,4118530,257286684,24070
15880.13,66,253952,62,474551,31265744862,50,72310118,1253,1253,80,80,37597,3125,24,1187,4140856,24,26,186567,1,77,121,107,230712376,2383,1,1225,4,666,591599349,4,2366397396,73397,8,339984,76,95,76,70,446,1171,8,1225,134,264813672,5832133,10066248945,8,1163,772,24,3,1,2,14,1091,3,10058766200,9862051642,353332918,600037902,600037902,1,3,1,31201970936,73389,73389,8,8,8,600037906,3,3,436274,4227716,5621719,83413,10058766200,4140856,259199733,24070
