timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26154.96,762,253952,62,100330,6609832168,17,26851750,536,539,34,34,910,694,8,558,1109439,3,39446,18,34,1,19410,112299322,1118,1,0,4,1541,125051098,9,500139704,33,42,1,3,52201,558,0,0,58549097,5655006,2109976495,0,558,411,3,1,8,8,2141,3,2110599025,2083888710,91285381,126902350,126935118,1,3,1,6597218296,73389,73389,8,8,8,126869586,7,3,185684,1131065,1521161,17534,2110599025,1109439,57030575,9536
26669.07,762,253952,62,111785,7364866676,18,29016444,602,604,35,35,910,765,8,558,1221995,3,43954,18,34,1,19410,113530054,1118,1,0,4,1541,139414872,9,557401160,33,43,1,3,52201,558,0,0,65275344,6209724,2350063036,0,558,411,3,1,8,8,2141,3,2349920451,2321516646,100735621,141421116,141453884,1,3,1,7353898064,73389,73389,8,8,8,141421120,7,3,196781,1245857,1704655,19518,2349920451,1221995,63573564,9536
27179.22,764,253952,62,123322,8125673314,18,29903563,664,669,37,37,910,846,8,558,1338249,3,48530,18,34,1,19410,113530054,1118,1,0,4,1541,153855950,9,615294772,33,45,1,3,52201,558,0,0,72104118,7249536,2588966555,0,558,411,3,1,8,8,2141,3,2588828630,2560984512,109518163,156085179,156085179,1,3,1,8115577372,73389,73389,8,8,8,156068799,7,3,209286,1364406,1866136,21505,2588828630,1338249,70241106,9536
27688.40,766,253952,62,134697,8875223622,18,30481399,723,729,37,37,910,918,8,558,1440095,3,52964,18,34,1,19410,113530054,1118,1,0,4,1541,167947956,9,671598248,33,45,1,3,52201,558,0,0,78555600,7456594,2822495803,0,558,411,3,1,8,8,2141,3,2822483804,2796922722,116580505,170458648,170507800,1,3,1,8862997760,73389,73389,8,8,8,170442268,7,3,218308,1468370,2009423,23438,2822483804,1440095,76549515,9536
28199.41,766,253952,62,145962,9616961670,22,35041787,774,776,37,37,910,992,8,558,1542594,3,57396,18,34,1,19410,113831704,1118,1,0,4,1541,181995137,9,727786528,33,45,1,3,52201,558,0,0,85018171,7630479,3056268962,0,558,411,3,1,8,8,2141,3,3055971963,3030580423,127865297,184705363,184754515,1,3,1,9604678908,73389,73389,8,8,8,184705367,7,3,221206,1572976,2129919,25375,3055971963,1542594,82891823,9536
28708.74,767,253952,62,157313,10364323748,23,36669695,832,833,37,37,910,1066,8,558,1644823,3,61887,18,34,1,19410,113831704,1118,1,0,4,1541,196220112,9,784751264,33,45,1,3,52201,558,0,0,91458334,7734551,3294061918,0,558,411,3,1,8,8,2141,3,3292685613,3266091399,135980509,199115918,199115918,1,3,1,10354027768,73389,73389,8,8,8,199115922,7,3,224845,1677363,2258742,27338,3292685613,1644823,89203380,9536
29222.11,767,253952,62,170054,11204614898,23,37237209,891,892,43,43,910,1147,9,558,1758444,3,66912,18,34,1,19410,113831704,1118,1,0,4,1541,212128548,9,848449672,33,51,1,3,52201,558,0,0,98628708,7872897,3554236773,0,558,411,3,1,8,8,2141,3,3556193293,3530481490,144014958,215233839,215299375,1,3,1,11192159660,73389,73389,8,8,8,215233843,7,3,239011,1793408,2393362,29516,3556193293,1758444,96239386,9536
29730.55,767,253952,62,184944,12185501592,23,38022328,958,961,44,44,910,1241,9,558,1893656,3,72777,18,34,1,19410,113831704,1118,1,0,4,1541,230800438,9,922943128,33,52,1,3,52201,558,0,0,107385602,8531848,3868448125,0,558,411,3,1,8,8,2141,3,3866843738,3839552306,154234967,234122815,234122815,1,3,1,12174386412,73389,73389,8,8,8,234122819,7,3,251854,1931474,2580492,32092,3866843738,1893656,104809453,9536
30245.29,768,253952,62,199912,13171126048,23,38979753,1024,1027,44,44,910,1340,10,567,2025815,3,78664,18,34,1,19410,115330593,1136,1,0,4,1541,249497966,9,997733448,33,52,1,3,52201,567,0,0,116024824,9146671,4178847894,0,567,420,3,1,8,8,2141,3,4178315726,4149772699,164439497,253087678,253104062,1,3,1,13159707320,73389,73389,8,8,8,253071298,7,3,258775,2066497,2753082,34674,4178315726,2025815,113276380,9574
30756.15,771,253952,62,214846,14156114992,24,40806633,1092,1095,47,47,910,1435,10,567,2160879,3,84531,18,34,1,19410,115330593,1136,1,0,4,1541,268064236,9,1071933996,33,55,1,3,52201,567,0,0,124765725,9978434,4490639126,0,567,420,3,1,8,8,2141,3,4488228040,4459675081,175944102,272017170,272049938,1,3,1,14143188936,73389,73389,8,8,8,271984406,7,3,270347,2204562,2939208,37241,4488359112,2160939,121831474,9574
31263.91,772,253952,62,229765,15137587036,24,42349797,1153,1157,47,47,910,1531,10,567,2293017,3,90403,18,34,1,19410,115330593,1136,1,0,4,1541,286759950,9,1146523052,33,55,1,3,52201,567,0,0,133432562,10566764,4799013028,0,567,420,3,1,8,8,2141,3,4797881749,4768757735,186752007,290898398,290914782,1,3,1,15125012792,73389,73389,8,8,8,290865634,7,3,273551,2339568,3116885,39802,4797881749,2293017,130320774,9574
31774.33,773,253952,62,244861,16133820244,26,45259890,1226,1230,47,47,910,1630,10,576,2422489,3,96330,18,34,1,19410,117396766,1154,1,0,4,1541,305445803,9,1221460280,33,55,1,3,52201,576,0,0,141998686,10967492,5109569301,0,576,427,3,1,8,8,2141,3,5109955660,5082131821,198628281,310061140,310110292,1,3,1,16122327344,73389,73389,8,8,8,310044760,7,3,285626,2471884,3278815,42394,5109955660,2422489,138725396,9617
32281.96,774,253952,62,259468,17096775616,26,47026506,1302,1304,47,47,910,1725,10,576,2558818,3,102131,18,34,1,19410,117396766,1154,1,0,4,1541,323866895,9,1295208636,33,55,1,3,52201,576,0,0,150635723,11726737,5416539161,0,576,427,3,1,8,8,2141,3,5414601160,5385586627,209204682,328585350,328585350,1,3,1,17086438232,73389,73389,8,8,8,328585354,7,3,290273,2611071,3469755,44916,5414601160,2558818,147171803,9617
32792.30,774,253952,62,274297,18074231716,26,48671998,1371,1378,53,53,910,1823,11,576,2697380,3,107977,18,34,1,19410,117396766,1154,1,0,4,1541,342389795,9,1369180116,33,61,1,3,52201,576,0,0,159218099,12431139,5724063007,0,576,427,3,1,8,8,2141,3,5722602342,5693341937,220908307,347355320,347420856,1,3,1,18062476672,73389,73389,8,8,8,347355324,7,3,294890,2754118,3633227,47477,5722602342,2697380,155591000,9617
33301.50,777,253952,62,289154,19051688792,26,49484019,1437,1446,53,53,910,1916,12,576,2837685,3,113813,18,34,1,19410,117396766,1154,1,0,4,1541,360908796,9,1443311796,33,61,1,3,52201,576,0,0,167810458,13145386,6030424043,0,576,427,3,1,8,8,2141,3,6029493086,6001049714,231052991,366154628,366187396,1,3,1,19039188720,73389,73389,8,8,8,366138248,7,3,297621,2897302,3796837,50014,6029493086,2837685,164020067,9617
33808.19,778,253952,62,305038,20098297438,32,57219551,1503,1509,69,69,910,2020,12,576,2990296,3,120025,18,42,1,19410,117396766,1154,1,0,4,1541,380625778,9,1521986148,41,77,1,3,56486,576,0,0,176565612,14105117,6352057140,0,576,427,3,1,8,8,2141,3,6358407658,6330287294,248581597,386317238,386333622,1,3,1,20088496408,73389,73389,8,8,8,386317242,7,3,337989,3053021,4055560,52737,6358407658,2990296,172515816,9617
34316.23,780,253952,62,326922,21542212458,32,57864387,1587,1598,69,69,910,2160,12,594,3194482,3,128700,18,42,1,19410,120394185,1190,1,0,4,1541,408134749,9,1632151404,41,77,1,3,56486,594,0,0,189826934,15864365,6815097605,0,594,446,3,1,8,8,2141,3,6814747252,6784897542,264168530,414053957,414103109,1,3,1,21529953828,73389,73389,8,8,8,414037577,7,3,357289,3261505,4338809,56509,6814747252,3194482,185495274,9705
34826.01,784,253952,62,348964,22992729640,36,63235455,1661,1668,69,69,910,2299,12,594,3397408,3,137360,18,42,1,19410,120394185,1190,1,0,4,1541,435649930,9,1742018332,41,77,1,3,56486,594,0,0,202817648,16604118,7279942843,0,594,446,3,1,8,8,2141,3,7276259279,7242048929,283318321,441947656,441980424,1,3,1,22981278144,73389,73389,8,8,8,441947660,7,3,367756,3468730,4606940,60341,7276259279,3397408,198218306,9705
35336.46,786,253952,62,370951,24442803634,39,68008986,1742,1743,69,69,910,2446,13,594,3615555,3,146019,18,42,1,19410,120707901,1190,1,0,4,1541,463015985,9,1851741184,41,77,1,3,56486,594,0,0,215714834,17283883,7741139069,0,594,446,3,1,8,8,2141,3,7738970558,7699163385,301826998,469737845,469819765,1,3,1,24426367972,73389,73389,8,8,8,469737849,7,3,393624,3691418,4925159,64184,7738970558,3615555,210797725,9705
35841.69,788,253952,62,392631,25871265078,39,69470753,1827,1830,70,70,910,2581,13,612,3832788,3,154545,18,42,1,19410,124019148,1226,1,0,4,1541,490089306,9,1960042820,41,78,1,3,56486,612,0,0,228643898,18218929,8201455596,0,612,462,3,1,8,8,2141,3,8197970700,8149541232,317135179,497198639,497231407,1,3,1,25854329260,73389,73389,8,8,8,497198643,7,3,413563,3912968,5182665,67983,8197970700,3832788,223469684,9776
36347.68,791,253952,62,413897,27270902192,39,71388110,1899,1907,72,72,910,2718,15,657,4056485,3,162882,18,42,1,19410,131475121,1316,1,0,4,1541,516508482,9,2065775384,41,80,1,3,56486,657,0,0,241354824,19800005,8657733995,0,657,497,3,1,8,8,2141,3,8657866342,8591984702,333533379,524010994,524043762,1,3,1,27246015816,73389,73389,8,8,8,523961846,7,3,432769,4141096,5477950,71803,8657866342,4056485,235885738,9946
36853.13,792,253952,62,434865,28653047192,39,72090889,1984,1993,72,72,910,2850,15,792,4253446,3,171071,18,42,1,19410,154354936,1586,1,0,4,1541,542555532,9,2169511416,41,80,1,3,56486,792,0,0,253655589,20032540,9125078393,0,792,622,3,1,8,8,2141,3,9121208570,9029774696,346746928,550444544,550444544,1,3,1,28623116320,73389,73389,8,8,8,550444548,7,3,439426,4342310,5697544,75653,9121208570,4253446,247967300,10470
37359.24,793,253952,62,455778,30029512158,45,78867890,2074,2076,72,72,910,2977,16,1116,4456315,3,179211,18,42,1,19410,210698233,2234,1,0,4,1541,568296229,9,2272797032,41,80,1,3,56486,1116,0,0,265926660,20247431,9608234699,0,1116,878,3,1,8,8,2141,3,9604660097,9467640772,365928972,576582552,576631704,1,3,1,29981440768,73389,73389,8,8,8,576566172,7,3,448551,4549582,5951343,79686,9604740709,4456366,259984973,14289
37723.31,795,253952,62,474434,31258221372,47,80564908,2132,2132,105,105,910,3125,23,1485,4631830,3,186567,18,71,12,19410,283291373,2979,1,1227,4,1541,591599349,9,2366397396,70,120,80,63,60065,1485,1227,81,277255164,20610591,10051363764,8,1485,1179,3,1,8,8,2141,3,10042243553,9857889948,397102093,600037902,600037902,1,3,1,31201970936,73389,73389,8,8,8,600037906,7,3,526465,4728757,6480959,83264,10042243553,4631830,270784193,18587
