timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
58793.04,253952,62,36563,2408213690,50,50,976947,120,621,320112,8,6445,59,257,130770455,1244,1,0,58,58,8,8192,621,0,0,0,7304399,2957572,751270250,0,621,425,2,1,8,8,450,1,755358062,707259502,20917061,54416287,54432671,1,2,1,2394316628,73389,73389,8,8,8,54416287,9,3,463560,325522,1486278,5774,755358062,320112,5818359,2481
59295.31,253952,62,40526,2669260118,50,50,976947,120,621,349059,8,7519,59,257,130770455,1244,1,0,58,58,8,8192,621,0,0,0,8300275,3574241,828108050,0,621,425,2,1,8,8,450,1,831773038,783562625,25490927,60344692,60361076,1,2,1,2655166448,73389,73389,8,8,8,60344692,9,3,470145,355047,1542864,6357,831773038,349059,6757677,2481
59802.36,253952,62,45317,2984835806,50,50,976947,121,621,372907,8,8880,59,257,130770455,1244,1,0,58,58,8,8192,621,0,0,0,9401598,3788511,917930247,0,621,425,2,1,8,8,450,1,923785582,875873724,29632758,67524314,67524314,1,2,1,2971069816,73389,73389,8,8,8,67524314,9,3,473314,379449,1583119,7059,923785582,372907,7818778,2481
60308.69,253952,62,48580,3200007034,50,50,976947,122,621,408196,8,9828,59,257,131035907,1244,1,0,58,58,8,8192,621,0,0,0,10192042,4340554,981788010,0,621,425,2,1,8,8,450,1,986700142,938798328,33271362,72412335,72428719,1,2,1,3186142740,73389,73389,8,8,8,72412335,9,3,479153,415255,1627880,7539,986700142,408196,8564491,2481
60814.77,253952,62,52222,3439763020,50,50,976947,122,621,436749,8,10833,59,257,131035907,1244,1,0,58,58,8,8192,621,0,0,0,10966722,4785862,1050232870,0,621,425,2,1,8,8,450,1,1056954734,1008895280,37045707,77859571,77875955,1,2,1,3425821124,73389,73389,8,8,8,77859571,9,3,491323,444352,1684255,8075,1056954734,436749,9282821,2481
61325.45,253952,62,55942,3685137586,50,50,976947,123,621,467615,8,11893,59,257,131301359,1244,1,0,58,58,8,8192,621,0,0,0,12516763,5759290,1122349174,0,621,425,2,1,8,8,450,1,1128257902,1080593815,44355680,83441753,83441753,1,2,1,3671437132,73389,73389,8,8,8,83441753,9,3,499861,475768,1740322,8619,1128257902,467615,10776818,2481
61835.28,253952,62,59858,3943103822,50,50,976947,123,621,497037,8,12961,59,257,131301359,1244,1,0,58,58,8,8192,621,0,0,0,13590049,6432899,1198662788,0,621,425,2,1,8,8,450,1,1203755374,1156000592,48381010,89304622,89321006,1,2,1,3929403368,73389,73389,8,8,8,89304622,9,3,506203,507536,1798114,9195,1203755374,497037,11792346,2481
62342.37,253952,62,63398,4176163070,50,50,976947,124,621,526043,8,13977,59,257,131301359,1244,1,0,58,58,8,8192,621,0,0,0,14623492,7124775,1266320225,0,621,425,2,1,8,8,450,1,1271650670,1224083588,53677031,94604402,94604402,1,2,1,4161872792,73389,73389,8,8,8,94588018,9,3,512449,537079,1847613,9713,1271650670,526043,12776315,2481
62847.26,253952,62,66924,4408570266,50,50,976947,125,621,553820,8,14992,59,257,131554745,1244,1,0,58,58,8,8192,621,0,0,0,15703268,7809014,1336731622,0,621,425,2,1,8,8,450,1,1339939182,1292000731,58232397,99885639,99885639,1,2,1,4394247220,73389,73389,8,8,8,99869255,9,3,525204,565393,1913393,10234,1339939182,553820,13789342,2481
63356.75,253952,62,70890,4670066688,50,50,976947,125,621,589228,8,16083,59,257,131554745,1244,1,0,58,58,8,8192,621,0,0,0,16806548,8474735,1414226216,0,621,425,2,1,8,8,450,1,1416485230,1368431458,62925825,105820077,105836461,1,2,1,4656083388,73389,73389,8,8,8,105820077,9,3,530107,601416,1964727,10818,1416485230,589228,14842316,2481
63874.04,253952,62,74801,4927729376,50,50,976947,126,621,623676,8,17200,59,257,131820197,1244,1,0,58,58,8,8192,621,0,0,0,17738790,8953977,1486600819,0,621,425,2,1,8,8,450,1,1491720558,1443775312,65750737,111674754,111691138,1,2,1,4913689176,73389,73389,8,8,8,111674754,9,3,538119,637996,2014720,11392,1491720558,623676,15724591,2481
64380.20,253952,62,78502,5171593306,50,50,976947,126,621,658303,8,18213,59,257,131820197,1244,1,0,58,58,8,8192,621,0,0,0,19034388,9826272,1560296262,0,621,425,2,1,8,8,450,1,1562892654,1515094576,71373395,117209943,117226327,1,2,1,5157237492,73389,73389,8,8,8,117209943,9,3,543647,673192,2062681,11935,1562892654,658303,16972260,2481
64887.63,253952,62,82021,5403541750,50,50,976947,127,621,689037,8,19247,59,257,131820197,1244,1,0,58,58,8,8192,621,0,0,0,19914433,10324285,1624679840,0,621,425,2,1,8,8,450,1,1630525806,1582901367,76004308,122482988,122499372,1,2,1,5389251472,73389,73389,8,8,8,122482988,9,3,555057,704499,2114888,12451,1630525806,689037,17800128,2481
65391.22,253952,62,86378,5690409362,50,50,976947,128,621,723368,8,20461,59,257,131820197,1244,1,0,58,58,8,8192,621,0,0,0,21052127,10826633,1708724200,0,621,425,2,1,8,8,450,1,1714280814,1666851611,79166995,129009409,129009409,1,2,1,5676413996,73389,73389,8,8,8,129009409,9,3,563980,739432,2172300,13090,1714280814,723368,18880440,2481
65893.76,253952,62,91917,6055536882,50,50,976947,129,621,743005,8,22030,59,257,132085649,1244,1,0,58,58,8,8192,621,0,0,0,22044345,10847311,1816376573,0,621,425,2,1,8,8,450,1,1820973422,1773501211,81150947,137307017,137323401,1,2,1,6041508748,73389,73389,8,8,8,137307017,9,3,564679,759585,2190268,13904,1820973422,743005,19854731,2481
66397.13,253952,62,97454,6420533330,50,50,976947,130,621,763017,8,23596,59,257,132351101,1244,1,0,58,58,8,8192,621,0,0,0,23095830,10847355,1923766799,0,621,425,2,1,8,8,450,1,1927666030,1880204881,82708636,145604625,145621009,1,2,1,6406603500,73389,73389,8,8,8,145604625,9,3,565276,780124,2211624,14718,1927666030,763017,20884904,2481
66900.07,253952,62,103172,6797126342,50,50,976947,131,621,783910,8,25168,59,257,132351101,1244,1,0,58,58,8,8192,621,0,0,0,24131057,10847664,2034434292,0,621,425,2,1,8,8,450,1,2037766510,1990273865,84197048,154166536,154166536,1,2,1,6783327584,73389,73389,8,8,8,154166536,9,3,566235,801595,2243814,15558,2037766510,783910,21887981,2481
67403.35,253952,62,108814,7168738618,50,50,976947,131,621,803505,8,26746,59,257,132351101,1244,1,0,58,58,8,8192,621,0,0,0,25027623,10847679,2141693439,0,621,425,2,1,8,8,450,1,2146163054,2098884393,85386317,162613759,162613759,1,2,1,7155005396,73389,73389,8,8,8,162613759,9,3,568263,821729,2277735,16385,2146163054,803505,22750669,2481
67906.56,253952,62,114363,7534521498,50,50,976947,132,621,823628,8,28315,59,257,132616553,1244,1,0,58,58,8,8192,621,0,0,0,26234589,10881758,2248297311,0,621,425,2,1,8,8,450,1,2253117806,2205842563,89724312,170927751,170927751,1,2,1,7520821044,73389,73389,8,8,8,170927751,9,3,573290,842367,2302466,17201,2253117806,823628,23932950,2481
68409.78,253952,62,119914,7900435450,50,50,976947,133,621,843368,8,29884,59,257,132882005,1244,1,0,58,58,8,8192,621,0,0,0,27211207,10881763,2356867710,0,621,425,2,1,8,8,450,1,2359810414,2312832661,91095957,179241743,179241743,1,2,1,7885915796,73389,73389,8,8,8,179225359,9,3,575072,862619,2332694,18015,2359810414,843368,24879386,2481
68913.53,253952,62,125458,8265625198,50,50,976947,134,621,862459,8,31450,59,257,132882005,1244,1,0,58,58,8,8192,621,0,0,0,28206721,10881766,2462815236,0,621,425,2,1,8,8,450,1,2466503022,2419588450,92542566,187541510,187541510,1,2,1,8251826440,73389,73389,8,8,8,187541510,9,3,577307,882252,2362121,18829,2466503022,862459,25845517,2481
69416.70,253952,62,131046,8633698530,50,50,976947,135,621,880833,8,33031,59,257,132882005,1244,1,0,58,58,8,8192,621,0,0,0,29312543,10881806,2569287448,0,621,425,2,1,8,8,450,1,2573982062,2527176665,94278876,195898621,195915005,1,2,1,8619539324,73389,73389,8,8,8,195898621,9,3,577875,901090,2383206,19649,2573982062,880833,26930298,2481
69920.01,253952,62,136609,9000398914,50,50,976947,136,621,900524,8,34603,59,257,133147457,1244,1,0,58,58,8,8192,621,0,0,0,30290574,10881824,2677857773,0,621,425,2,1,8,8,450,1,2681330030,2634316263,95640487,204228997,204245381,1,2,1,8986075868,73389,73389,8,8,8,204228997,9,3,580442,921309,2417183,20468,2681330030,900524,27874395,2481
70422.99,253952,62,142217,9370048418,50,50,976947,137,621,919247,8,36190,59,257,133412909,1244,1,0,58,58,8,8192,621,0,0,0,31391161,10881835,2784592295,0,621,425,2,1,8,8,450,1,2789071214,2742422287,101787839,212641293,212657677,1,2,1,9356216892,73389,73389,8,8,8,212641293,9,3,584375,940514,2444023,21290,2789071214,919247,28948184,2481
70926.43,253952,62,148003,9751097878,50,50,976947,138,621,936627,8,37819,59,257,133412909,1244,1,0,58,58,8,8192,621,0,0,0,32407641,10881839,2897883327,0,621,425,2,1,8,8,450,1,2900613486,2853853026,103321712,221301508,221301508,1,2,1,9737266352,73389,73389,8,8,8,221301508,9,3,587033,958369,2464652,22141,2900613486,936627,29944078,2481
71429.38,253952,62,153776,10131560822,50,50,976947,139,621,953999,8,39448,59,257,133678361,1244,1,0,58,58,8,8192,621,0,0,0,33401307,10881853,3009338413,0,621,425,2,1,8,8,450,1,3011762542,2965099901,104863389,229943180,229943180,1,2,1,10117499920,73389,73389,8,8,8,229943180,9,3,588790,976166,2483334,22989,3011762542,953999,30919108,2481
71932.21,253952,62,159561,10512384214,50,50,985707,140,621,971439,8,41080,59,257,133943813,1244,1,0,58,58,8,8192,621,0,0,0,34440229,10881874,3119602503,0,621,425,2,1,8,8,450,1,3122244895,3076345025,106480852,238593044,238609428,1,2,1,10498093936,73389,73389,8,8,8,238593044,9,3,589084,994079,2502050,23836,3122244895,971439,31939356,2481
72435.06,253952,62,165319,10891864118,50,50,1216564,141,621,988412,8,42703,59,257,134209265,1244,1,0,58,58,8,8192,621,0,0,0,35425419,10881877,3230402273,0,621,425,2,1,8,8,450,1,3233000735,3187319594,107980082,247226524,247226524,1,2,1,10877967056,73389,73389,8,8,8,247226524,9,3,589221,1011491,2521743,24681,3233000735,988412,32904898,2481
72938.27,253952,62,171049,11269412486,50,50,1442787,142,621,1004988,8,44320,59,257,134209265,1244,1,0,58,58,8,8192,621,0,0,0,36399212,10881884,3338711238,0,621,425,2,1,8,8,450,1,3343363359,3297686483,109464694,255788435,255810852,1,2,1,11254691140,73389,73389,8,8,8,255788435,9,3,589401,1028512,2534901,25523,3343363359,1004988,33865578,2481
73441.08,253952,62,176800,11648530166,50,50,1673231,143,621,1021217,8,45943,59,257,134474717,1244,1,0,58,58,8,8192,621,0,0,0,37400256,10881949,3451740272,0,621,425,2,1,8,8,450,1,3453988127,3408557793,110983254,264419756,264419756,1,2,1,11633748368,73389,73389,8,8,8,264403372,9,3,592135,1045155,2553909,26367,3453988127,1021217,34847660,2481
73943.92,253952,62,182588,12029976150,50,50,1912321,144,621,1037142,8,47578,59,257,134740169,1244,1,0,58,58,8,8192,621,0,0,0,38391521,10882003,3562146439,0,621,425,2,1,8,8,450,1,3565137183,3519992648,112504400,273094196,273094196,1,2,1,12016144624,73389,73389,8,8,8,273094196,9,3,594564,1061502,2577248,27215,3565137183,1037142,35815627,2481
74446.77,253952,62,188232,12401719498,50,50,2074331,145,621,1055592,8,49174,59,257,134740169,1244,1,0,58,58,8,8192,621,0,0,0,39389164,10882033,3670454873,0,621,425,2,1,8,8,450,1,3673664799,3628659950,117888049,281541419,281557803,1,2,1,12387822436,73389,73389,8,8,8,281541419,9,3,599676,1080415,2602965,28043,3673664799,1055592,36787599,2481
74949.55,253952,62,193799,12768416574,50,50,2235455,146,621,1073407,8,50746,59,257,134740169,1244,1,0,58,58,8,8192,621,0,0,0,40405952,10882038,3777189906,0,621,425,2,1,8,8,450,1,3781143839,3735813877,119407359,289865762,289882146,1,2,1,12754093528,73389,73389,8,8,8,289865762,9,3,601586,1098725,2616449,28863,3781143839,1073407,37790945,2481
75452.69,253952,62,199371,13135706782,50,50,2295219,147,621,1091544,8,52323,59,257,135005621,1244,1,0,58,58,8,8192,621,0,0,0,41433130,10882073,3884973031,0,621,425,2,1,8,8,450,1,3888491807,3843234708,122212613,298212522,298228906,1,2,1,13121350968,73389,73389,8,8,8,298212522,9,3,601776,1117351,2641605,29682,3888491807,1091544,38793007,2481
75955.48,253952,62,205223,13521347070,50,50,2295219,148,621,1108411,8,53951,59,257,135005621,1244,1,0,58,58,8,8192,621,0,0,0,42421634,10882134,3999050606,0,621,425,2,1,8,8,450,1,4001213727,3955981686,123716296,306985266,306985266,1,2,1,13507351704,73389,73389,8,8,8,306985266,9,3,606531,1134661,2661571,30542,4001213727,1108411,39760778,2481
76457.93,253952,62,210882,13894338910,50,50,2323694,148,621,1127062,8,55516,59,257,135271073,1244,1,0,58,58,8,8192,621,0,0,0,43423192,10882248,4107622151,0,621,425,2,1,8,8,450,1,4110265631,4065020381,133510627,315454906,315471290,1,2,1,13880015864,73389,73389,8,8,8,315454906,9,3,616141,1153805,2696854,31374,4110265631,1127062,40727914,2481
76960.65,253952,62,216391,14256969446,50,50,2323694,149,621,1145856,8,57070,59,257,135271073,1244,1,0,58,58,8,8192,621,0,0,0,44393485,10882287,4212128472,0,621,425,2,1,8,8,450,1,4216171807,4171084340,135977296,323699488,323699488,1,2,1,14242777472,73389,73389,8,8,8,323699488,9,3,622611,1173104,2727614,32182,4216171807,1145856,41667492,2481
77463.45,253952,62,221872,14618295878,50,50,2323694,150,621,1164427,8,58621,59,257,135536525,1244,1,0,58,58,8,8192,621,0,0,0,45456046,10882298,4317946029,0,621,425,2,1,8,8,450,1,4321422623,4276685146,138188600,331915176,331915176,1,2,1,14604267744,73389,73389,8,8,8,331915176,9,3,631485,1192168,2763311,32985,4321422623,1164427,42694404,2481
77966.31,253952,62,227378,14981260710,50,50,2323694,151,621,1182222,8,60178,59,257,135801977,1244,1,0,58,58,8,8192,621,0,0,0,46495728,10882445,4424551488,0,621,425,2,1,8,8,450,1,4427590943,4382770009,139757944,340163632,340163632,1,2,1,14967199808,73389,73389,8,8,8,340163632,9,3,636765,1210432,2791701,33795,4427590943,1182222,43705748,2481
78469.19,253952,62,232911,15345729562,50,50,2323694,152,621,1199157,8,61741,59,257,135801977,1244,1,0,58,58,8,8192,621,0,0,0,47510097,10882447,4530763247,0,621,425,2,1,8,8,450,1,4534021407,4489299344,142542649,348447015,348447015,1,2,1,15331668660,73389,73389,8,8,8,348447015,9,3,646871,1227810,2832408,34607,4534021407,1199157,44679455,2481
78971.93,253952,62,238369,15705548666,50,50,2323694,153,621,1218580,8,63286,59,257,136067429,1244,1,0,58,58,8,8192,621,0,0,0,48514460,10882476,4636318177,0,621,425,2,1,8,8,450,1,4639403295,4594444613,144042316,356629935,356629935,1,2,1,15691717140,73389,73389,8,8,8,356629935,9,3,652804,1247714,2878317,35411,4639403295,1218580,45637951,2481
79473.89,253952,62,243832,16065429998,50,50,2323694,154,621,1237072,8,64832,59,257,136332881,1244,1,0,58,58,8,8192,621,0,0,0,49521229,10882510,4740956099,0,621,425,2,1,8,8,450,1,4744129823,4699694895,146491432,364806822,364806822,1,2,1,16051500168,73389,73389,8,8,8,364806822,9,3,659866,1266691,2903141,36210,4744129823,1237072,46619945,2481
79976.54,253952,62,249354,16429177954,50,50,2323694,155,621,1256140,8,66391,59,257,136332881,1244,1,0,58,58,8,8192,621,0,0,0,50513546,10882531,4849137319,0,621,425,2,1,8,8,450,1,4850429215,4806086847,148296611,373057437,373073821,1,2,1,16414527228,73389,73389,8,8,8,373057437,9,3,665204,1286189,2944352,37021,4850429215,1256140,47571099,2481
80479.17,253952,62,254870,16792532694,50,50,2323694,156,621,1275087,8,67951,59,257,136332881,1244,1,0,58,58,8,8192,621,0,0,0,51494356,10882536,4954825765,0,621,425,2,1,8,8,450,1,4956597535,4912258715,154332440,381332628,381332628,1,2,1,16778635632,73389,73389,8,8,8,381332628,9,3,671426,1305592,2971534,37831,4956597535,1275087,48524772,2481
80981.86,253952,62,259974,17128886602,50,50,2323694,156,621,1292023,8,69343,59,257,136332881,1244,1,0,58,58,8,8192,621,0,0,0,52454446,10882587,5052779571,0,621,425,2,1,8,8,450,1,5054901535,5010576891,156337670,388977035,388977035,1,2,1,17114989540,73389,73389,8,8,8,388977035,9,3,678801,1322976,3015181,38581,5054901535,1292023,49441259,2481
81484.58,253952,62,264688,17439681470,50,50,2451927,157,621,1307928,8,70684,59,257,136598333,1244,1,0,58,58,8,8192,621,0,0,0,53246051,10882678,5142341763,0,621,425,2,1,8,8,450,1,5145603359,5101395761,157446556,396039810,396039810,1,2,1,17425751640,73389,73389,8,8,8,396039810,9,3,682268,1339294,3046639,39273,5145603359,1307928,50201446,2481
81987.36,253952,62,269423,17751587142,50,50,2658082,158,621,1323442,8,72031,59,257,136863785,1244,1,0,58,58,8,8192,621,0,0,0,54321069,10882755,5233741883,0,621,425,2,1,8,8,450,1,5236960543,5192575303,160112611,403129320,403129320,1,2,1,17737690080,73389,73389,8,8,8,403129320,9,3,692042,1355237,3080402,39970,5236960543,1323442,51242746,2481
82490.33,253952,62,274351,18076141262,50,50,2925639,159,621,1339770,8,73429,59,257,136863785,1244,1,0,58,58,8,8192,621,0,0,0,55259942,10882792,5329074165,0,621,425,2,1,8,8,450,1,5331594527,5287527188,162169763,410489166,410505550,1,2,1,18061523304,73389,73389,8,8,8,410489166,9,3,699287,1372018,3107579,40692,5331594527,1339770,52154481,2481
82993.16,253952,62,279356,18406272558,50,50,3135033,160,621,1357508,8,74848,59,257,137129237,1244,1,0,58,58,8,8192,621,0,0,0,56295842,10882819,5425323020,0,621,425,2,1,8,8,450,1,5428456735,5384053394,167378500,418000342,418000342,1,2,1,18392015048,73389,73389,8,8,8,418000342,9,3,709095,1390201,3140144,41431,5428456735,1357508,53157855,2481
83495.88,253952,62,285384,18803447182,50,50,3299332,160,621,1374122,8,76492,59,257,137129237,1244,1,0,58,58,8,8192,621,0,0,0,57278062,10882859,5540974432,0,621,425,2,1,8,8,450,1,5544324383,5500181301,168843726,427027038,427027038,1,2,1,18789189672,73389,73389,8,8,8,427027038,9,3,722884,1407264,3185868,42315,5544324383,1374122,54094398,2481
83998.54,253952,62,290974,19171917038,50,50,3407056,161,621,1390618,8,78073,59,257,137394689,1244,1,0,58,58,8,8192,621,0,0,0,58295192,10882919,5649155237,0,621,425,2,1,8,8,450,1,5651934495,5607831869,172191287,435390182,435406566,1,2,1,19157168008,73389,73389,8,8,8,435390182,9,3,728260,1424208,3210501,43136,5651934495,1390618,55086947,2481
84501.25,253952,62,296282,19521279842,50,50,3475587,163,621,1406643,8,79630,59,257,137660141,1244,1,0,58,58,8,8192,621,0,0,0,59297116,10882925,5750901458,0,621,425,2,1,8,8,450,1,5753243079,5709940170,173887297,443337693,443354077,1,2,1,19506858492,73389,73389,8,8,8,443337693,9,3,733592,1440642,3235472,43913,5753243079,1406643,56063947,2481
85003.98,253952,62,301884,19890439602,50,50,3544350,164,621,1423644,8,81211,59,257,137925593,1244,1,0,58,58,8,8192,621,0,0,0,60312949,10883021,5856985594,0,621,425,2,1,8,8,450,1,5860984263,5817856254,176271323,451719380,451741797,1,2,1,19875652720,73389,73389,8,8,8,451719380,9,3,736335,1458126,3263493,44735,5860984263,1423644,57051811,2481
85506.49,253952,62,307530,20262362286,50,50,3596613,165,621,1439103,8,82804,59,257,137925593,1244,1,0,58,58,8,8192,621,0,0,0,61292431,10883169,5966081954,0,621,425,2,1,8,8,450,1,5969642951,5926604185,177901505,460166603,460189020,1,2,1,20247330532,73389,73389,8,8,8,460166603,9,3,738055,1474023,3288466,45564,5969642951,1439103,58006364,2481
86009.14,253952,62,313167,20633453826,50,50,3672314,166,621,1454058,8,84397,59,257,137925593,1244,1,0,58,58,8,8192,621,0,0,0,62294374,10883250,6075443394,0,621,425,2,1,8,8,450,1,6078170567,6035142254,179415592,468622018,468622018,1,2,1,20619368792,73389,73389,8,8,8,468622018,9,3,740017,1489417,3316502,46392,6078170567,1454058,58980319,2481
86511.80,253952,62,318836,21007342346,50,50,3672314,167,621,1469048,8,85999,59,257,138191045,1244,1,0,58,58,8,8192,621,0,0,0,63281679,10883384,6183360107,0,621,425,2,1,8,8,450,1,6187091399,6144392413,180917338,477105883,477122267,1,2,1,20992658852,73389,73389,8,8,8,477105883,9,3,744861,1504844,3343217,47223,6187091399,1469048,59940959,2481
87013.71,253952,62,323588,21319936146,50,50,3799492,168,621,1485017,8,87349,59,257,138456497,1244,1,0,58,58,8,8192,621,0,0,0,64111490,10883440,6274869733,0,621,425,2,1,8,8,450,1,6278035216,6235746418,183568242,484228161,484228161,1,2,1,21305318188,73389,73389,8,8,8,484211777,9,3,747049,1521232,3370564,47922,6278035216,1485017,60743469,2481
87516.06,253952,62,328836,21665992690,50,50,3978563,169,621,1500423,8,88837,59,257,138721949,1244,1,0,58,58,8,8192,621,0,0,0,65118847,10883512,6375707566,0,621,425,2,1,8,8,450,1,6378960656,6336849771,185879823,492083401,492099785,1,2,1,21651669644,73389,73389,8,8,8,492083401,9,3,751661,1537070,3396299,48692,6378960656,1500423,61725137,2481
