timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
19196.21,1,253952,62,8192,35225,1,35328,2326745826,0,0,0,0,13,13,945516,120,621,343597,4,6078,19,64,130517069,1244,1,0,18,21,0,5,2099,621,0,0,0,6988548,3056244,724919834,0,621,462,2,1,6,10,427,1,731765102,683438935,18856949,52569213,52569213,1,2,1,2313045372,73389,73389,8,8,8,52569213,9,3,469718,348752,1495822,5594,731765102,343597,5492959,2368
19705.14,1,253952,62,8192,35225,1,38737,2551485310,0,0,0,0,13,13,945516,120,621,377423,4,7036,19,64,130770455,1244,1,0,18,21,0,5,2099,621,0,0,0,8181634,3867663,794414621,0,621,462,2,1,6,10,427,1,797432174,749118132,23375227,57678418,57678418,1,2,1,2537850392,73389,73389,8,8,8,57678418,9,3,474839,383071,1552511,6095,797432174,377423,6629381,2368
20218.45,1,253952,62,8192,35225,1,42034,2768353858,0,0,0,0,25,25,945516,121,621,406652,4,7985,31,64,130770455,1244,1,0,30,33,2071,5,4203,621,0,0,0,8973002,4408462,854994969,0,621,462,2,1,6,10,427,1,860608878,812581036,28867743,62595333,62611717,1,2,1,2754194652,73389,73389,8,8,8,62595333,9,3,490188,412781,1642278,6577,860608878,406652,7331007,2368
20732.91,1,253952,62,8192,35225,1,45501,2996894430,0,0,0,0,25,25,945516,121,621,439219,4,8983,31,64,130770455,1244,1,0,30,33,2071,5,4203,621,0,0,0,9921751,5099981,918194365,0,621,462,2,1,6,10,427,1,927324526,879377562,33108993,67786458,67802842,1,2,1,2982604152,73389,73389,8,8,8,67786458,9,3,498456,445904,1706905,7086,927324526,439219,8215153,2368
21238.26,1,253952,62,8192,35225,1,49194,3240246138,0,0,0,0,25,25,945516,122,621,469145,4,9993,31,64,131035907,1244,1,0,30,33,2071,5,4203,621,0,0,0,10951923,5725287,990701776,0,621,462,2,1,6,10,427,1,998496622,950583330,36836975,73313455,73329839,1,2,1,3225792020,73389,73389,8,8,8,73313455,9,3,504986,477215,1763167,7629,998496622,469145,9189087,2368
21749.13,1,253952,62,8192,35225,1,52747,3474422806,0,0,0,0,25,25,945516,122,621,496812,4,10966,31,64,131035907,1244,1,0,30,33,2071,5,4203,621,0,0,0,12054399,6605036,1055868220,0,621,462,2,1,6,10,427,1,1067047278,1019000751,41320476,78652036,78652036,1,2,1,3459968688,73389,73389,8,8,8,78635652,9,3,512173,505387,1820845,8152,1067047278,496812,10233912,2368
22264.69,1,253952,62,8192,35225,1,56080,3694181554,0,0,0,0,25,25,945516,123,621,525294,4,11978,31,64,131301359,1244,1,0,30,33,2071,5,4203,621,0,0,0,12696734,6980124,1121819642,0,621,462,2,1,6,10,427,1,1131141486,1083208516,42935935,83638361,83654745,1,2,1,3680087884,73389,73389,8,8,8,83638361,9,3,513681,534354,1850857,8641,1131141486,525294,10846257,2368
22775.98,1,253952,62,8192,35225,1,59791,3938712910,0,0,0,0,25,25,945516,123,621,555679,4,12967,31,64,131301359,1244,1,0,30,33,2071,5,4203,621,0,0,0,13994876,7881013,1194850413,0,621,462,2,1,6,10,427,1,1202444654,1154704071,52129074,89189934,89206318,1,2,1,3924357096,73389,73389,8,8,8,89189934,9,3,533319,565278,1943965,9185,1202444654,555679,12051316,2368
23284.80,1,253952,62,8192,35225,1,63218,4164366590,0,0,0,0,25,25,945516,124,621,592501,4,13953,31,64,131301359,1244,1,0,30,33,2071,5,4203,621,0,0,0,14890105,8487374,1260411066,0,621,462,2,1,6,10,427,1,1268242798,1220627672,56139032,94325874,94342258,1,2,1,4150338456,73389,73389,8,8,8,94325874,9,3,536717,602659,1991970,9687,1268242798,592501,12898561,2368
23793.67,1,253952,62,8192,35225,1,66572,4385489528,0,0,0,0,25,25,945516,125,621,632551,4,14922,31,64,131554745,1244,1,0,30,33,2071,5,4203,621,0,0,0,15978892,9321457,1327281011,0,621,462,2,1,6,10,427,1,1333385582,1285255462,62252363,99361351,99361351,1,2,1,4371899444,73389,73389,8,8,8,99361351,9,3,539639,643223,2033163,10184,1333385582,632551,13946181,2368
24299.04,1,253952,62,8192,35225,1,70383,4636574484,0,0,0,0,25,25,945516,125,621,668505,4,15939,31,64,131554745,1244,1,0,30,33,2071,5,4203,621,0,0,0,17257155,10200428,1402020554,0,621,462,2,1,6,10,427,1,1406261614,1358625442,67716874,105060380,105076764,1,2,1,4622656720,73389,73389,8,8,8,105060380,9,3,549174,679808,2103568,10741,1406392686,668575,15154068,2368
24810.91,1,253952,62,8192,35225,1,73772,4860003248,0,0,0,0,25,25,945516,126,621,704475,4,16926,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,18391055,11053779,1467056915,0,621,462,2,1,6,10,427,1,1471928686,1424003705,72790544,110145009,110161393,1,2,1,4846380396,73389,73389,8,8,8,110145009,9,3,554603,716237,2158730,11241,1471928686,704475,16232832,2368
25319.33,1,253952,62,8192,35225,1,77369,5097063500,0,0,0,0,25,25,945516,126,621,737032,4,17912,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,19351521,11674107,1538515783,0,621,462,2,1,6,10,427,1,1541003630,1493279548,76456686,115516358,115532742,1,2,1,5082719752,73389,73389,8,8,8,115516358,9,3,564532,749294,2214305,11768,1541003630,737032,17137755,2368
25831.60,1,253952,62,8192,35225,1,80517,5304444702,0,0,0,0,25,25,945516,127,621,778462,4,18864,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,20341162,12481445,1595816951,0,621,462,2,1,6,10,427,1,1601427822,1553951591,82165690,120242698,120242698,1,2,1,5290678712,73389,73389,8,8,8,120242698,9,3,571163,791225,2262324,12229,1601427822,778462,18079402,2368
26343.66,1,253952,62,8192,35225,1,84135,5542615758,0,0,0,0,25,25,945516,127,621,818384,4,19825,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,21165276,12992174,1664258777,0,621,462,2,1,6,10,427,1,1671289198,1623564895,84536674,125657166,125657166,1,2,1,5528194408,73389,73389,8,8,8,125640782,9,3,577762,831711,2311550,12762,1671289198,818384,18854314,2368
26852.78,1,253952,62,8192,35225,1,87369,5755620990,0,0,0,0,25,25,945516,128,621,851919,4,20745,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,22400515,14005508,1725625149,0,621,462,2,1,6,10,427,1,1733679470,1685928718,89691866,130490002,130490002,1,2,1,5741560088,73389,73389,8,8,8,130490002,9,3,585819,865743,2369696,13238,1733679470,851919,20031431,2368
27361.40,1,253952,62,8192,35225,1,90836,5984161562,0,0,0,2,25,25,945516,129,621,888298,4,21723,31,64,131820197,1244,1,0,30,33,2071,5,4203,621,0,0,0,23354055,14692333,1793935851,0,621,462,2,1,6,10,427,1,1800264046,1752674967,95694648,135689319,135689319,1,2,1,5970330036,73389,73389,8,8,8,135689319,9,3,596955,902628,2429879,13746,1800264046,888298,20924816,2368
27867.05,1,253952,62,8192,35225,1,94909,6252682402,0,0,0,2,25,25,945516,129,621,920159,4,22846,31,64,132085649,1244,1,0,30,33,2071,5,4203,621,0,0,0,24485541,15240328,1871294451,0,621,462,2,1,6,10,427,1,1878514030,1831129655,106410748,141787597,141803981,1,2,1,6238654268,73389,73389,8,8,8,141787597,9,3,613057,935045,2516939,14343,1878514030,920159,21969269,2368
28377.63,1,253952,62,8192,35225,1,98982,6521203242,2,2000200,2,2,25,25,945516,130,621,953359,4,24010,31,64,132351101,1244,1,0,30,33,2071,5,4203,621,0,0,0,25916093,15930993,1951804564,0,621,462,2,1,6,10,427,1,1957026158,1909626282,113846221,147894067,147894067,1,2,1,6506618052,73389,73389,8,8,8,147877683,9,3,621705,968828,2588861,14942,1957026158,953359,23327936,2368
28885.53,1,253952,62,8192,35225,1,103072,6790572742,2,2000200,2,2,25,25,945516,130,621,988089,4,25134,31,64,132351101,1244,1,0,30,33,2071,5,4203,621,0,0,0,27039474,16424230,2028645638,0,621,462,2,1,6,10,427,1,2035800430,1988387349,117457014,154002696,154019080,1,2,1,6776118624,73389,73389,8,8,8,154002696,9,3,625568,1004177,2644955,15543,2035800430,988089,24395254,2368
29395.22,1,253952,62,8192,35225,1,106702,7029530230,2,2000200,2,2,25,25,945516,131,621,1021367,4,26184,31,64,132351101,1244,1,0,30,33,2071,5,4203,621,0,0,0,28230242,16952174,2102732757,0,621,462,2,1,6,10,427,1,2105399662,2058188869,121907144,159449932,159449932,1,2,1,7015076112,73389,73389,8,8,8,159433548,9,3,635728,1038039,2717037,16074,2105399662,1021367,25513971,2368
29906.17,1,253952,62,8192,35225,1,110074,7251844882,2,2000200,2,2,25,25,945516,132,621,1056145,4,27169,31,64,132616553,1244,1,0,30,33,2071,5,4203,621,0,0,0,29148523,17598956,2164621488,0,621,462,2,1,6,10,427,1,2170804590,2123219868,125967849,164485409,164501793,1,2,1,7237357996,73389,73389,8,8,8,164485409,9,3,644779,1073358,2792161,16573,2170804590,1056145,26357149,2368
30411.49,1,253952,62,8192,35225,1,113810,7498014638,2,2000200,2,2,25,25,945516,132,621,1091364,4,28165,31,64,132616553,1244,1,0,30,33,2071,5,4203,621,0,0,0,29975056,18067461,2238832419,0,621,462,2,1,6,10,427,1,2242369902,2195178603,128835625,170086134,170102518,1,2,1,7483789896,73389,73389,8,8,8,170086134,9,3,652206,1109133,2850711,17119,2242369902,1091364,27125156,2368
30922.07,1,253952,62,8192,35225,1,117020,7709712458,2,2000200,2,2,25,25,945516,133,621,1120946,4,29125,31,64,132882005,1244,1,0,30,33,2071,5,4203,621,0,0,0,30831701,18624487,2299539068,0,621,462,2,1,6,10,427,1,2304104814,2257052934,132010017,174908619,174908619,1,2,1,7695979236,73389,73389,8,8,8,174908619,9,3,661260,1139264,2902863,17590,2304104814,1120946,27929669,2368
31435.44,1,253952,62,8192,35225,1,120786,7957848294,2,2000200,2,2,25,25,945516,133,621,1157463,4,30124,31,64,132882005,1244,1,0,30,33,2071,5,4203,621,0,0,0,31723184,19225755,2370211590,0,621,462,2,1,6,10,427,1,2376587630,2329607596,146890143,180542112,180558496,1,2,1,7943852928,73389,73389,8,8,8,180542112,9,3,671761,1176391,2976693,18143,2376587630,1157463,28747352,2368
31947.00,1,253952,62,8192,35225,1,123868,8160892054,2,2000200,2,2,25,25,945516,134,621,1189186,4,31034,31,64,132882005,1244,1,0,30,33,2071,5,4203,621,0,0,0,33194183,20439803,2430400774,0,621,462,2,1,6,10,427,1,2435963246,2388927154,153929674,185153764,185170148,1,2,1,8146765616,73389,73389,8,8,8,185153764,9,3,681042,1208638,3046101,18596,2435963246,1189186,30148970,2368
32458.27,1,253952,62,8192,35225,1,127239,8382875718,2,2000200,2,2,25,25,945516,134,621,1223238,4,31990,31,64,132882005,1244,1,0,30,33,2071,5,4203,621,0,0,0,34141535,21116101,2494912404,0,621,462,2,1,6,10,427,1,2500974958,2453854533,157355845,190207784,190207784,1,2,1,8369142496,73389,73389,8,8,8,190207784,9,3,692454,1243248,3118170,19092,2500974958,1223238,31024277,2368
32967.79,1,253952,62,8192,35225,1,130815,8618559714,2,2000200,2,2,25,25,945516,135,621,1255921,4,32968,31,64,132882005,1244,1,0,30,33,2071,5,4203,621,0,0,0,35321616,21980782,2564668922,0,621,462,2,1,6,10,427,1,2569656686,2522714469,163120743,195554557,195570941,1,2,1,8604400508,73389,73389,8,8,8,195554557,9,3,702442,1276495,3212824,19616,2569656686,1255921,32109730,2368
33474.59,1,253952,62,8192,35225,1,134245,8844675454,2,2000200,2,2,25,25,945516,136,621,1287900,4,33960,31,64,133147457,1244,1,0,30,33,2071,5,4203,621,0,0,0,36370973,22682575,2630884560,0,621,462,2,1,6,10,427,1,2635716974,2588812376,168200416,200704722,200704722,1,2,1,8831007768,73389,73389,8,8,8,200704722,9,3,715960,1309001,3285847,20120,2635716974,1287900,33086038,2368
33983.18,1,253952,62,8192,35225,1,137828,9080552750,2,2000200,2,2,25,25,945516,136,621,1321666,4,34972,31,64,133147457,1244,1,0,30,33,2071,5,4203,621,0,0,0,37465346,23462862,2699334655,0,621,462,2,1,6,10,427,1,2704660846,2657778113,172507830,206053654,206070038,1,2,1,9066360776,73389,73389,8,8,8,206053654,9,3,729615,1343309,3375937,20646,2704660846,1321666,34090355,2368
34493.22,1,253952,62,8192,35225,1,141202,9302998474,2,2000200,2,2,25,25,945516,137,621,1352014,4,35915,31,64,133412909,1244,1,0,30,33,2071,5,4203,621,0,0,0,38230277,23973110,2762271471,0,621,462,2,1,6,10,427,1,2769541486,2722799993,175035780,211105515,211121899,1,2,1,9288642660,73389,73389,8,8,8,211105515,9,3,737829,1374170,3426259,21141,2769541486,1352014,34804984,2368
35004.01,1,253952,62,8192,35225,1,144793,9539665510,2,2000200,2,2,25,25,945516,137,621,1382810,4,36918,31,64,133412909,1244,1,0,30,33,2071,5,4203,621,0,0,0,38841233,24275720,2830451172,0,621,462,2,1,6,10,427,1,2839009646,2791986656,176640224,216493248,216509632,1,2,1,9525702912,73389,73389,8,8,8,216493248,9,3,739704,1405501,3474370,21671,2839009646,1382810,35367853,2368
35515.14,1,253952,62,8192,35225,1,148311,9771282966,2,2000200,2,2,25,25,945516,138,621,1412802,4,37907,31,64,133412909,1244,1,0,30,33,2071,5,4203,621,0,0,0,40040585,25088202,2900860571,0,621,462,2,1,6,10,427,1,2906380654,2859759157,182821114,221743876,221760260,1,2,1,9756730544,73389,73389,8,8,8,221743876,9,3,754883,1436029,3548394,22185,2906380654,1412802,36493252,2368
36025.66,1,253952,62,8192,35225,1,152057,10018108082,2,2000200,2,2,25,25,945516,138,621,1438938,4,38928,31,64,133412909,1244,1,0,30,33,2071,5,4203,621,0,0,0,40885870,25624233,2972579827,0,621,462,2,1,6,10,427,1,2978601326,2931860479,185576687,227360985,227377369,1,2,1,10003883340,73389,73389,8,8,8,227360985,9,3,764674,1462675,3603843,22736,2978601326,1438938,37283114,2368
36532.81,1,253952,62,8192,35225,1,155481,10243830606,2,2000200,2,2,25,25,945516,139,621,1473668,4,39933,31,64,133678361,1244,1,0,30,33,2071,5,4203,621,0,0,0,42067027,26444726,3039974110,0,621,462,2,1,6,10,427,1,3044661614,2997894107,189386924,232494766,232494766,1,2,1,10229769704,73389,73389,8,8,8,232494766,9,3,770417,1497967,3670133,23240,3044661614,1473668,38398009,2368
37039.22,1,253952,62,8192,35225,1,159323,10496786646,2,2000200,2,2,25,25,945516,140,621,1503497,4,41016,31,64,133943813,1244,1,0,30,33,2071,5,4203,621,0,0,0,43528230,27292273,3112338293,0,621,462,2,1,6,10,427,1,3117919519,3071816948,195879325,238232596,238248980,1,2,1,10482234224,73389,73389,8,8,8,238232596,9,3,786330,1528382,3751912,23803,3117919519,1503497,39777454,2368
37547.09,1,253952,62,8192,35225,1,162947,10735616370,2,2000200,2,2,25,25,945516,141,621,1534162,4,42060,31,64,134209265,1244,1,0,30,33,2071,5,4203,621,0,0,0,44911261,28091411,3182617678,0,621,462,2,1,6,10,427,1,3187256607,3141572378,201566487,243669481,243685865,1,2,1,10721457164,73389,73389,8,8,8,243669481,9,3,810308,1559607,3860612,24332,3187256607,1534162,41051812,2368
38050.75,1,253952,62,8192,35225,1,168223,11083242470,2,2000200,2,2,25,25,945516,142,621,1558860,4,43535,31,64,134209265,1244,1,0,30,33,2071,5,4203,621,0,0,0,45984104,28213927,3285941269,0,621,462,2,1,6,10,427,1,3288968479,3243265097,203705933,251576032,251576032,1,2,1,11069345408,73389,73389,8,8,8,251576032,9,3,814682,1584880,3904785,25108,3288968479,1558860,42080523,2368
38553.77,1,253952,62,8192,35225,1,173883,11456034394,2,2000200,2,2,25,25,945516,142,621,1579935,4,45094,31,64,134209265,1244,1,0,30,33,2071,5,4203,621,0,0,0,47068549,28213946,3394775323,0,621,462,2,1,6,10,427,1,3397758239,3352223709,205296922,260039639,260056023,1,2,1,11441744116,73389,73389,8,8,8,260039639,9,3,819693,1606511,3940838,25938,3397758239,1579935,43128959,2368
39057.34,1,253952,62,8192,35225,1,179559,11830140346,2,2000200,2,2,25,25,945516,143,621,1600152,4,46697,31,64,134474717,1244,1,0,30,33,2071,5,4203,621,0,0,0,48024813,28218324,3502689846,0,621,462,2,1,6,10,427,1,3507072287,3461619168,208577519,268550239,268550239,1,2,1,11816210516,73389,73389,8,8,8,268550239,9,3,826494,1627196,3976310,26772,3507072287,1600152,44049792,2368
39560.28,1,253952,62,8192,35225,1,185262,12206015770,2,2000200,2,2,25,25,945516,144,621,1620327,4,48307,31,64,134740169,1244,1,0,30,33,2071,5,4203,621,0,0,0,49103419,28218324,3612309805,0,621,462,2,1,6,10,427,1,3617172767,3571484001,210780115,277093607,277093607,1,2,1,12192118708,73389,73389,8,8,8,277093607,9,3,837211,1647809,4007090,27612,3617172767,1620327,45097662,2368
40063.08,1,253952,62,8192,35225,1,190969,12582153338,2,2000200,2,2,25,25,945516,145,621,1640629,4,49918,31,64,134740169,1244,1,0,30,33,2071,5,4203,621,0,0,0,50114652,28218337,3723109940,0,621,462,2,1,6,10,427,1,3726486815,3681391951,212323366,285645167,285645167,1,2,1,12568387348,73389,73389,8,8,8,285645167,9,3,842260,1668565,4039121,28446,3726486815,1640629,46076911,2368
40566.02,1,253952,62,8192,35225,1,196586,12951885894,2,2000200,2,2,25,25,945516,146,621,1661010,4,51505,31,64,134740169,1244,1,0,30,33,2071,5,4203,621,0,0,0,51088054,28218341,3831680920,0,621,462,2,1,6,10,427,1,3834621215,3789501976,214886392,294045397,294045397,1,2,1,12937997468,73389,73389,8,8,8,294045397,9,3,849143,1689431,4072903,29271,3834621215,1661010,47016578,2368
41069.05,1,253952,62,8192,35225,1,202182,13320724834,2,2000200,2,2,25,25,945516,147,621,1681640,4,53089,31,64,135005621,1244,1,0,30,33,2071,5,4203,621,0,0,0,52089666,28218493,3938417406,0,621,462,2,1,6,10,427,1,3942624543,3897317984,216946608,302424925,302441309,1,2,1,13306696700,73389,73389,8,8,8,302424925,9,3,857233,1710525,4109853,30095,3942624543,1681640,47981285,2368
41572.47,1,253952,62,8192,35225,1,207738,13686966466,2,2000200,2,2,25,25,945516,148,621,1702259,4,54658,31,64,135271073,1244,1,0,30,33,2071,5,4203,621,0,0,0,53076293,28218493,4045807815,0,621,462,2,1,6,10,427,1,4049710367,4004400313,221133927,310738917,310755301,1,2,1,13672512348,73389,73389,8,8,8,310738917,9,3,862838,1731645,4150835,30912,4049710367,1702259,48926976,2368
42075.23,1,253952,62,8192,35225,1,213204,14047044406,2,2000200,2,2,25,25,945516,149,621,1722441,4,56203,31,64,135271073,1244,1,0,30,33,2071,5,4203,621,0,0,0,54125414,28218518,4150968577,0,621,462,2,1,6,10,427,1,4154567967,4109734005,222687992,318923996,318940380,1,2,1,14032655824,73389,73389,8,8,8,318923996,9,3,869183,1752361,4175224,31712,4154567967,1722441,49951749,2368
42577.97,1,253952,62,8192,35225,1,218693,14408895126,2,2000200,2,2,25,25,945516,150,621,1742668,4,57754,31,64,135536525,1244,1,0,30,33,2071,5,4203,621,0,0,0,54997298,28218518,4256523057,0,621,462,2,1,6,10,427,1,4260211999,4215444146,223818756,327156068,327156068,1,2,1,14394866992,73389,73389,8,8,8,327156068,9,3,872170,1773124,4200970,32518,4260211999,1742668,50797929,2368
43080.95,1,253952,62,8192,35225,1,224190,14771270134,2,2000200,2,2,25,25,945516,151,621,1763248,4,59311,31,64,135801977,1244,1,0,30,33,2071,5,4203,621,0,0,0,56084928,28218557,4363521281,0,621,462,2,1,6,10,427,1,4366118175,4321366968,228806604,335388140,335404524,1,2,1,14757078160,73389,73389,8,8,8,335388140,9,3,884508,1794211,4252118,33326,4366118175,1763248,51834457,2368
43583.68,1,253952,62,8192,35225,1,229896,15147076714,2,2000200,2,2,25,25,945516,152,621,1784728,4,60887,31,64,135801977,1244,1,0,30,33,2071,5,4203,621,0,0,0,57080084,28218565,4474976456,0,621,462,2,1,6,10,427,1,4476087583,4431211126,230196027,343933667,343933667,1,2,1,15133081348,73389,73389,8,8,8,343933667,9,3,885069,1816193,4283304,34165,4476087583,1784728,52798473,2368
