timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
20403.72,25,253952,62,8192,22118,1,155722,10259078626,4,15397114,675,675,25,25,902,1049,6,567,1461005,0,17,61242,11,30,0,7761,115330593,1136,1,0,4,4474,194210425,9,776453784,29,33,5,16704,567,0,0,92282928,4776801,3257755698,0,567,441,0,3,1,7,9,5085,3,3260015212,3232871692,112779956,197066203,197115355,1,3,1,10245738652,73389,73389,8,8,8,197033439,9,3,180577,1490658,2031980,27070,3260146284,1461060,90254777,2043
20911.88,31,253952,62,8192,22118,1,169701,11179996572,4,16023794,734,743,27,27,902,1141,6,576,1599204,0,17,66729,11,30,0,7761,116828958,1154,1,0,4,4474,211585086,9,846155112,29,35,5,16704,576,0,0,100807036,5736867,3551897850,0,576,446,0,3,1,7,9,5085,3,3551146385,3522866770,122736451,214785882,214802266,1,3,1,11165458024,73389,73389,8,8,8,214720350,9,3,194454,1631460,2241360,29485,3551146385,1599204,98569787,2074
21427.51,31,253952,62,8192,22118,1,179480,11824577378,4,16737239,793,804,27,27,902,1208,7,576,1684958,0,17,70617,11,30,0,7761,116828958,1154,1,0,4,4474,223934787,9,895480700,29,35,5,16704,576,0,0,106563573,6187940,3755454075,0,576,446,0,3,1,7,9,5085,3,3753663974,3725824325,129595410,227179046,227195430,1,3,1,11813310424,73389,73389,8,8,8,227179050,9,3,201718,1719108,2352539,31167,3753663974,1684958,104215352,2074
21933.63,35,253952,62,8192,22118,1,188839,12443274040,12,25397888,846,850,27,27,902,1269,7,585,1768294,0,17,74326,11,30,0,7761,118593481,1172,1,0,4,4474,235603265,9,942348288,29,35,5,16704,585,0,0,112047130,6552689,3950413356,0,585,451,0,3,1,7,9,5085,3,3948361990,3920454648,144217553,239078087,239094471,1,3,1,12432060556,73389,73389,8,8,8,239078091,9,3,204586,1804203,2460202,32784,3948361990,1768294,109591436,2122
22448.15,36,253952,62,8192,22118,1,198123,13054183794,14,28516051,891,892,27,27,902,1325,7,585,1849409,0,17,77977,11,30,0,7761,118895131,1172,1,0,4,4474,247265532,9,988803888,29,35,5,16704,585,0,0,117481024,6787161,4143397358,0,585,451,0,3,1,7,9,5085,3,4140330931,4112856845,153127357,250840911,250840911,1,3,1,13043727404,73389,73389,8,8,8,250840915,9,3,206635,1887048,2565895,34372,4140330931,1849409,114918820,2122
22954.63,36,253952,62,8192,22118,1,207450,13667344494,14,29393019,933,935,27,27,902,1387,7,585,1932943,0,17,81645,11,30,0,7761,118895131,1172,1,0,4,4474,258867399,9,1035275836,29,35,5,16704,585,0,0,122853935,7103939,4336830683,0,585,451,0,3,1,7,9,5085,3,4334864032,4305812654,159697477,262640821,262657205,1,3,1,13656470756,73389,73389,8,8,8,262624441,9,3,209821,1972300,2679795,35979,4334864032,1932943,120179028,2122
23467.08,36,253952,62,8192,22118,1,216453,14262686208,14,30679760,999,1002,29,29,902,1445,7,585,2020856,0,17,85182,11,30,0,7761,118907197,1172,1,0,4,4474,270090467,9,1080297216,29,37,5,16704,585,0,0,128208993,7782240,4526225796,0,585,451,0,3,1,7,9,5085,3,4522373554,4493322698,167008224,274072918,274089302,1,3,1,14251791768,73389,73389,8,8,8,274072922,9,3,216732,2061981,2778105,37535,4522373554,2020856,125435961,2122
23977.13,38,253952,62,8192,22118,1,225821,14880054200,14,31443024,1045,1050,29,29,902,1510,7,585,2109647,0,17,88886,11,30,0,7761,119208847,1172,1,0,4,4474,281826899,9,1127178404,29,37,5,16704,585,0,0,133623978,8216240,4716965529,0,585,451,0,3,1,7,9,5085,3,4714761176,4687634228,173659391,285960337,285960337,1,3,1,14869085588,73389,73389,8,8,8,285943957,9,3,223375,2152524,2891444,39132,4714761176,2109647,130737799,2122
24485.72,41,253952,62,8192,22118,1,235873,15541331800,14,34232414,1099,1099,29,29,902,1570,38,585,2201920,0,17,92837,11,30,0,7761,119208847,1172,1,0,4,4474,294345698,9,1177318316,29,37,5,16704,585,0,0,139477952,8561618,4926027550,0,585,451,0,3,1,7,9,5085,3,4923755034,4895713858,182682998,298673433,298689817,1,3,1,15530166580,73389,73389,8,8,8,298657053,9,3,228606,2246674,2999670,40860,4923755034,2201920,136483762,2122
24999.07,43,253952,62,8192,22118,1,247510,16308100804,14,34824440,1148,1150,30,30,902,1648,39,585,2309413,0,17,97423,11,30,0,7761,119208847,1172,1,0,4,4474,308889442,9,1235364016,29,38,5,16704,585,0,0,146253939,8887499,5168989885,0,585,451,0,3,1,7,9,5085,3,5166350250,5137105917,190362402,313390966,313440118,1,3,1,16296330264,73389,73389,8,8,8,313390970,9,3,232098,2356327,3116867,42869,5166350250,2309413,143142765,2122
25506.89,43,253952,62,8192,22118,1,259083,17070265260,14,36090988,1205,1209,31,31,902,1724,39,585,2415963,0,17,101979,11,30,0,7761,119208847,1172,1,0,4,4474,323353660,9,1293220784,29,39,5,16704,585,0,0,153013793,9409512,5409371830,0,585,451,0,3,1,7,9,5085,3,5407036241,5377282936,198812057,328061506,328077890,1,3,1,17059198344,73389,73389,8,8,8,328061510,9,3,240746,2465044,3258662,44872,5407036241,2415963,149761096,2122
26020.16,52,253952,62,8192,22118,1,270625,17829541414,14,36985736,1268,1270,31,31,902,1797,39,585,2520016,0,17,106507,11,30,0,7761,119208847,1172,1,0,4,4474,337760408,9,1350718472,29,39,5,16704,585,0,0,159757344,9833607,5648840252,0,585,451,0,3,1,7,9,5085,3,5647087784,5616507349,206956641,342656603,342672987,1,3,1,17817291420,73389,73389,8,8,8,342640223,9,3,252468,2571289,3405664,46856,5647087784,2520016,156357888,2122
26535.24,52,253952,62,8192,22118,1,282403,18607674610,15,39137226,1325,1328,32,32,902,1873,39,585,2624681,0,17,111154,11,30,0,7761,119208847,1172,1,0,4,4474,352530563,9,1409678520,29,40,5,16704,585,0,0,166527208,10434492,5892155267,0,585,451,0,3,1,7,9,5085,3,5888916391,5861358493,216603685,357621167,357637551,1,3,1,18596300716,73389,73389,8,8,8,357621171,9,3,262958,2678168,3564789,48854,5888916391,2624681,162968875,2122
27044.62,52,253952,62,8192,22118,1,294055,19375100872,15,39896165,1380,1382,32,32,902,1948,40,585,2735770,0,17,115761,11,30,0,7761,119208847,1172,1,0,4,4474,367059207,9,1468042976,29,40,5,16704,585,0,0,173342680,11235543,6133764813,0,585,451,0,3,1,7,9,5085,3,6130708336,6103014012,224988989,372373627,372422779,1,3,1,19361724700,73389,73389,8,8,8,372340863,9,3,267736,2791476,3689462,50862,6130708336,2735770,169674921,2122
27552.50,53,253952,62,8192,22118,1,305552,20133877304,15,40909953,1436,1441,32,32,902,2021,40,585,2840442,0,17,120264,11,30,0,7761,119208847,1172,1,0,4,4474,381368692,9,1525151876,29,40,5,16704,585,0,0,179947919,11711340,6375061056,0,585,451,0,3,1,7,9,5085,3,6371395604,6341636770,233092680,386969995,387000604,1,3,1,20122439772,73389,73389,8,8,8,386969999,9,3,274374,2898299,3834896,52849,6371395604,2840442,176119966,2122
28065.61,54,253952,62,8192,22118,1,316879,20879014954,15,41570726,1483,1487,32,32,902,2092,40,585,2938134,0,17,124733,11,30,0,7761,119208847,1172,1,0,4,4474,395562143,9,1581990216,29,40,5,16704,585,0,0,186377900,11822755,6612982846,0,585,451,0,3,1,7,9,5085,3,6607897018,6576354417,240315632,401317173,401317173,1,3,1,20868493028,73389,73389,8,8,8,401317177,9,3,277622,2998063,3966000,54802,6607897018,2938134,182419064,2122
28576.27,57,253952,62,8192,22118,1,328346,21633232282,18,45227430,1543,1543,32,32,902,2171,44,612,3036629,0,17,129233,11,30,0,7761,123733785,1226,1,0,4,4474,409799520,9,1639004168,29,40,5,16704,612,0,0,192839153,11908136,6851991235,0,612,474,0,3,1,7,9,5085,3,6846842276,6814130777,250337523,415807489,415807489,1,3,1,21621989460,73389,73389,8,8,8,415807493,9,3,282795,3098689,4094444,56791,6846842276,3036629,188752103,2222
29085.47,57,253952,62,8192,22118,1,340435,22429297776,18,45812167,1584,1584,35,35,902,2243,46,621,3139312,0,17,133997,11,30,0,7761,125546555,1244,1,0,4,4474,424933025,9,1699417700,29,43,5,16704,621,0,0,199542486,11986072,7102523902,0,621,477,0,3,1,7,9,5085,3,7098208205,7064947038,257877419,431076045,431108813,1,3,1,22415954372,73389,73389,8,8,8,431076049,9,3,292638,3203597,4229459,58867,7098208205,3139312,195320655,2253
29597.02,57,253952,62,8192,22118,1,355298,23409923248,18,46309827,1640,1643,39,39,902,2338,46,621,3285860,0,17,139821,11,30,0,7761,126186053,1244,1,0,4,4474,443399007,9,1773337540,29,47,5,16704,621,0,0,208079812,12454618,7424392253,0,621,477,0,3,1,7,9,5085,3,7421721955,7375009200,267398883,449855922,449905074,1,3,1,23391656008,73389,73389,8,8,8,449839542,9,3,312817,3353078,4437206,61550,7421721955,3285860,203650536,2253
30108.84,60,253952,62,8192,22118,1,370064,24383009260,18,48098891,1694,1694,39,39,902,2438,47,630,3430803,0,17,145648,11,30,0,7761,127929008,1262,1,0,4,4474,461763391,9,1847053564,29,47,5,16704,630,0,0,216729494,13098033,7745387878,0,630,487,0,3,1,7,9,5085,3,7740890795,7682388659,278546868,468496979,468546131,1,3,1,24359287036,73389,73389,8,8,8,468447831,9,3,323825,3500962,4651241,64206,7740890795,3430803,212086491,2281
30620.71,60,253952,62,8192,22118,1,384833,25356060606,18,49448376,1759,1759,40,40,902,2528,47,657,3571709,0,17,151415,11,30,0,7761,132627313,1316,1,0,4,4474,480140353,9,1920173544,29,48,5,16704,657,0,0,225516353,13792995,8063701575,0,657,509,0,3,1,7,9,5085,3,8058128415,7989576434,289410982,487185029,487185029,1,3,1,25332769572,73389,73389,8,8,8,487168649,9,3,327981,3644815,4817514,66836,8058128415,3571709,220707382,2371
31132.90,63,253952,62,8192,22118,1,399739,26337576752,18,51135644,1827,1829,40,40,902,2625,47,666,3714043,0,17,157260,11,30,0,7761,134439713,1334,1,0,4,4474,498656881,9,1994369504,29,48,5,16704,666,0,0,234088833,14537894,8384774299,0,666,517,0,3,1,7,9,5085,3,8381679723,8299881062,300409676,505918357,506000277,1,3,1,26306902628,73389,73389,8,8,8,505901977,9,3,343409,3790069,5026966,69527,8381679723,3714043,229070703,2410
31643.60,64,253952,62,8192,22118,1,414668,27320946066,18,52178284,1903,1907,40,40,902,2719,48,738,3857553,0,17,163111,11,30,0,7761,146296370,1478,1,0,4,4474,517199590,9,2068604484,29,48,5,16704,738,0,0,242878521,15153090,8713499910,0,738,601,0,3,1,7,9,5085,3,8708535975,8610878772,310765832,524790949,524807333,1,3,1,27288277412,73389,73389,8,8,8,524774569,9,3,355388,3936548,5222759,72227,8708535975,3857553,237664914,2672
32151.60,68,253952,62,8192,22118,1,429414,28292456306,19,55022597,1966,1970,40,40,902,2813,54,810,4003343,0,17,168875,11,30,0,7761,159016701,1622,1,0,4,4474,535465911,9,2141669700,29,48,5,16704,810,0,0,251461360,15894438,9045870032,0,810,659,0,3,1,7,9,5085,3,9039559007,8918579004,322994447,543298775,543380695,1,3,1,28251536332,73389,73389,8,8,8,543298779,9,3,362137,4085329,5388793,74994,9039690079,4003381,246081018,2962
32660.75,68,253952,62,8192,22118,1,444213,29267632610,19,55780335,2022,2025,40,40,902,2901,55,873,4154489,2,17,174632,11,30,0,7761,170901375,1748,1,0,4,4474,553722247,9,2214759680,29,48,5,16704,873,0,0,260071908,16764144,9386720425,0,871,709,2,3,1,7,9,5085,3,9380888023,9228381025,333348418,561915256,561931640,1,3,1,29219593344,73389,73389,8,8,8,561915260,9,3,376910,4239489,5596669,77818,9380888023,4154489,254484982,3204
33165.84,70,253952,62,8192,22118,1,458918,30236680410,19,57245398,2080,2083,40,40,902,2997,56,882,4318919,2,17,180384,11,30,0,7761,173317313,1766,1,0,4,4474,571975355,9,2287578340,29,48,5,16704,882,0,0,268667764,17471385,9738894907,0,880,714,2,3,1,7,9,5085,3,9734281469,9537190903,344153178,580310553,580359705,1,3,1,30175296820,73389,73389,8,8,8,580294173,9,3,404455,4407096,5858108,80757,9734281469,4318919,262835683,3241
33676.12,71,253952,62,8192,22118,1,473694,31209555808,19,58798092,2139,2141,42,42,902,3103,57,963,4476105,4,17,186157,11,30,0,7761,186686239,1928,1,0,4,4474,590408505,9,2361375372,29,50,5,16704,963,0,0,277205871,18526476,10084203701,0,959,795,4,3,1,7,9,5085,3,10078440041,9846633837,355319011,598862572,598862572,1,3,1,31140853776,73389,73389,8,8,8,598862576,9,3,411990,4567361,6019694,83595,10078440041,4476105,271196521,3547
33746.68,71,253952,62,8192,22118,1,474620,31270845444,19,58963310,2148,2148,53,53,902,3125,57,963,4484559,4,17,186567,11,46,611,7761,194340428,1935,1,1227,4,4474,591599349,9,2366397396,45,68,40,17562,963,1227,117,278270845,18807518,10108794942,8,959,795,4,3,1,7,9,5085,3,10099428058,9865963165,376189989,600037902,600037902,1,3,1,31201970936,73389,73389,8,8,8,600037906,9,3,420118,4576009,6100373,83762,10099428058,4484559,272180909,3547
