timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55045.63,0,262144,64,131895,8691603816,4,26465711,2475,5,5,9665,909,576,707009,0,1,51926,6,117508164,1154,1,4,309,164371556,5,657421636,5,23015,851,2,24,576,37224340,2035,2781600313,576,108,0,3,1,2,2,769,3,2769243656,2739591611,66361076,166927896,166927896,3,1,8680250624,73389,73389,2,2,2,166927900,3,3,40919,1691499,359076,24603,23008,2769243656,682406,36866497,1103
60049.72,0,262144,64,141736,9339379102,4,28592277,2728,5,5,9665,972,576,756297,0,1,55803,6,117508164,1154,1,4,309,176627230,5,706508920,5,24674,888,2,24,576,39971128,2246,2983068388,576,108,0,3,1,2,2,769,3,2969818869,2943486825,71425570,179393073,179393073,3,1,9328439828,73389,73389,2,2,2,179393077,3,3,43460,1812450,387704,26417,24667,2969818869,729880,39584487,1103
65055.82,0,262144,64,155445,10242493734,4,29274121,3020,5,5,9665,1036,576,826323,0,1,61086,6,117508164,1154,1,4,309,193547865,5,774191460,5,26964,960,2,24,576,44111021,2369,3264099475,576,108,0,3,1,2,2,769,3,3249608616,3227737409,76524973,196768688,196768688,3,1,10231971808,73389,73389,2,2,2,196768692,3,3,46670,1987904,424409,29256,26957,3249608616,797067,43687807,1103
70059.86,0,262144,64,166295,10957335992,4,30879836,3314,5,5,9665,1102,576,881051,0,1,65419,6,117508164,1154,1,4,309,207228478,5,828913912,5,28842,1037,2,24,576,47365870,2630,3493303002,576,108,0,3,1,2,2,769,3,3477794092,3452910607,81605805,210497148,210497148,3,1,10945851728,73389,73389,2,2,2,210497152,3,3,48360,2127645,454835,31370,28835,3477794092,849681,46912452,1103
75063.93,0,262144,64,176785,11649538504,4,32659323,3588,5,5,9665,1185,576,936178,0,1,69597,6,117508164,1154,1,4,309,220376780,5,881507120,5,30663,1131,2,24,576,50441971,2710,3710950494,576,108,0,3,1,2,2,769,3,3694462176,3670578196,86680145,223817723,223817723,3,1,11638521628,73389,73389,2,2,2,223817727,3,3,48479,2266315,477318,33611,30656,3694462176,902567,49966038,1103
80067.80,0,262144,64,184600,12164815372,4,35051470,3815,5,5,9665,1225,576,976243,0,1,72611,6,117508164,1154,1,4,309,229985103,5,919940412,5,32026,1165,2,24,576,52929902,2809,3878528419,576,108,0,3,1,2,2,769,3,3861296220,3832986747,91718590,233724837,233724837,3,1,12153691556,73389,73389,2,2,2,233724841,3,3,57064,2367028,508555,35264,32019,3861296220,940979,52422903,1103
85071.98,0,262144,64,194797,12836235190,4,36870664,4088,5,5,9665,1293,576,1036535,0,1,76657,6,117508164,1154,1,4,309,242787453,5,971149812,5,33804,1216,2,24,576,55984922,2936,4093872948,576,108,0,3,1,2,2,769,3,4075677913,4044383461,96822795,246638415,246638415,3,1,12825197612,73389,73389,2,2,2,246638419,3,3,64932,2511678,551567,37435,33797,4075677913,999100,55434919,1103
90077.30,0,262144,64,204523,13476763420,4,38836377,4345,5,5,9665,1358,576,1094005,0,1,80514,6,117508164,1154,1,4,309,254980848,5,1019923392,5,35494,1318,2,24,576,58884389,3041,4297901799,576,108,0,3,1,2,2,769,3,4278793970,4246190945,101903440,258953977,258953977,3,1,13465606836,73389,73389,2,2,2,258953981,3,3,67371,2648916,581828,39594,35487,4278793970,1054411,58304171,1103
95080.55,0,262144,64,209900,13831322372,4,42050989,4496,5,5,9665,1406,576,1123196,0,1,82635,6,117508164,1154,1,4,309,261654107,5,1046616428,5,36425,1330,2,24,576,60574640,4811,4408857515,576,108,0,3,1,2,2,769,3,4389240966,4357767096,106922790,265762800,265762800,3,1,13819665632,73389,73389,2,2,2,265762804,3,3,73675,2720446,597667,40732,36418,4389240966,1082464,59978742,1103
100084.40,0,262144,64,215264,14183798624,4,45412086,4641,5,5,9665,1438,576,1150131,0,1,84746,6,117508164,1154,1,4,309,268456144,5,1073760072,5,37327,1349,2,24,576,62180952,4962,4518566419,576,108,0,3,1,2,2,769,3,4498458392,4468695158,111995506,272547491,272547491,3,1,14172469564,73389,73389,2,2,2,272547495,3,3,82114,2786026,625221,41760,37320,4498458392,1108371,61557663,1103
105089.51,0,262144,64,222909,14687367270,4,48046806,4843,5,5,9665,1475,576,1191044,0,1,87691,6,117508164,1154,1,4,309,277943770,5,1111775080,5,38638,1371,2,24,576,64438387,5030,4679038649,576,108,0,3,1,2,2,769,3,4658221682,4627136670,117044426,282237739,282237739,3,1,14676362460,73389,73389,2,2,2,282237743,3,3,92126,2885937,660546,43345,38631,4658221682,1147699,63779936,1103
110093.50,0,262144,64,231131,15230258438,4,50529037,5059,5,5,9665,1536,576,1234945,0,1,90991,6,117508164,1154,1,4,309,288165154,5,1152660616,5,40063,1420,2,24,576,66848637,5112,4850910965,576,108,0,3,1,2,2,769,3,4829322184,4798158652,122099836,292670856,292687240,3,1,15218884544,73389,73389,2,2,2,292670860,3,3,95284,2992343,683113,44998,40056,4829322184,1189947,66167812,1103
115097.32,0,262144,64,241162,15892054144,4,52390672,5327,5,5,9665,1600,576,1293634,0,1,94939,6,117508164,1154,1,4,309,300662874,5,1202651496,5,41790,1493,2,24,576,69847789,5185,5059745072,576,108,0,3,1,2,2,769,3,5037218377,5006414153,127191812,305411958,305411958,3,1,15881421848,73389,73389,2,2,2,305411962,3,3,99000,3133907,716791,47021,41783,5037218377,1246613,69133283,1103
120103.45,0,262144,64,248170,16352597362,4,55177060,5518,5,5,9665,1652,576,1330746,0,1,97687,6,117508164,1154,1,4,309,309393273,5,1237573092,5,42994,1535,2,24,576,71958909,5317,5205322816,576,108,0,3,1,2,2,769,3,5182141110,5151382948,132232731,314267066,314267066,3,1,16341887464,73389,73389,2,2,2,314267070,3,3,107727,3225483,756208,48501,42987,5182141110,1282245,71205114,1103
125107.53,0,262144,64,254545,16772585374,4,58187321,5690,5,5,9665,1694,576,1364473,0,1,100171,6,117508164,1154,1,4,309,317255711,5,1269022844,5,44083,1558,2,24,576,73875969,5434,5337259017,576,108,0,3,1,2,2,769,3,5313486192,5283727717,137287052,322337457,322337457,3,1,16761547796,73389,73389,2,2,2,322337461,3,3,116916,3306375,793125,49845,44076,5313486192,1314628,73085358,1103
130111.96,0,262144,64,261275,17216767748,4,60963920,5881,5,5,9665,1731,576,1402314,0,1,102894,6,117508164,1154,1,4,309,325833828,5,1303335312,5,45247,1577,2,24,576,76015159,5503,5478711545,576,108,0,3,1,2,2,769,3,5454302172,5423342974,142346689,330876507,330876507,3,1,17205578396,73389,73389,2,2,2,330876511,3,3,120639,3396951,821163,51346,45240,5454302172,1350968,75196605,1103
135117.71,0,262144,64,267467,17624424824,4,63981578,6051,5,5,9665,1775,576,1437496,0,1,105295,6,117508164,1154,1,4,309,333469965,5,1333879860,5,46310,1584,2,24,576,77921002,5616,5606905877,576,108,0,3,1,2,2,769,3,5581914125,5551593225,147403320,338727873,338744257,3,1,17613849428,73389,73389,2,2,2,338727877,3,3,131394,3480470,854955,52706,46303,5581914125,1384790,77068673,1103
140122.13,0,262144,64,273648,18030214734,4,66964608,6219,5,5,9665,1815,576,1471165,0,1,107763,6,117508164,1154,1,4,309,341323664,5,1365294656,5,47359,1609,2,24,576,79835692,5720,5734336945,576,108,0,3,1,2,2,769,3,5708772859,5679613335,152431998,346530531,346530531,3,1,18019587644,73389,73389,2,2,2,346530535,3,3,136580,3562892,882228,53975,47352,5708772859,1417190,78956159,1103
145125.24,0,262144,64,278231,18333630986,4,70434365,6352,5,5,9665,1842,576,1495154,0,1,109559,6,117508164,1154,1,4,309,346991412,5,1387965648,5,48138,1622,2,24,576,81314957,5914,5828782427,576,108,0,3,1,2,2,769,3,5802790819,5775125238,157474212,352366221,352366221,3,1,18323043524,73389,73389,2,2,2,352366225,3,3,143585,3622397,904610,54967,48131,5802790819,1440187,80413144,1103
150129.50,0,262144,64,282123,18589686510,4,74168402,6462,5,5,9665,1873,576,1515144,0,1,111107,6,117508164,1154,1,4,309,351942363,5,1407769452,5,48802,1646,2,24,576,82518594,6008,5908671113,576,108,0,3,1,2,2,769,3,5882316200,5855605433,162490635,357291328,357291328,3,1,18579149088,73389,73389,2,2,2,357291332,3,3,150674,3672206,925513,55793,48795,5882316200,1459351,81595947,1103
155135.65,0,262144,64,286987,18911216728,4,77589514,6599,5,5,9665,1899,576,1540766,0,1,113016,6,117508164,1154,1,4,309,357957009,5,1431828036,5,49647,1671,2,24,576,84043429,6085,6011669374,576,108,0,3,1,2,2,769,3,5984851881,5956859535,167536947,363473241,363473241,3,1,18900608564,73389,73389,2,2,2,363473245,3,3,157850,3735552,944995,56820,49640,5984851881,1483946,83101302,1103
160140.23,0,262144,64,291555,19211876238,4,81159472,6723,5,5,9665,1934,576,1564584,0,1,114811,6,117508164,1154,1,4,309,363718224,5,1454872896,5,50439,1677,2,24,576,85431244,6147,6107279251,576,108,0,3,1,2,2,769,3,6080030032,6051513238,172588665,369231773,369231773,3,1,19200052228,73389,73389,2,2,2,369231777,3,3,166241,3793879,969402,57777,50432,6080030032,1506807,84464708,1103
165143.75,0,262144,64,296680,19549956316,4,84575752,6861,5,5,9665,1961,576,1591360,0,1,116760,6,117508164,1154,1,4,309,369844625,5,1479378500,5,51317,1689,2,24,576,86941415,6237,6214595804,576,108,0,3,1,2,2,769,3,6186870353,6158183836,177618397,375745684,375745684,3,1,19538775600,73389,73389,2,2,2,375745688,3,3,176381,3860659,1003148,58884,51310,6186870353,1532476,85941313,1103
170147.45,0,262144,64,300317,19789529414,4,88165014,6984,5,5,9665,1987,576,1609709,0,1,118257,6,117508164,1154,1,4,309,374653916,5,1498615664,5,51930,1697,2,24,576,88295421,6333,6288655866,576,108,0,3,1,2,2,769,3,6260584078,6233253582,182634842,380373720,380373720,3,1,19779433472,73389,73389,2,2,2,380373724,3,3,183614,3906529,1030788,59652,51923,6260584078,1550057,87267705,1103
175152.63,0,262144,64,304915,20091817156,4,91824730,7103,5,5,9665,2018,576,1632150,0,1,120063,6,117508164,1154,1,4,309,380287207,5,1521148828,5,52705,1715,2,24,576,89611182,6411,6382833318,576,108,0,3,1,2,2,769,3,6354340942,6328417657,187698670,386183563,386183563,3,1,20081545308,73389,73389,2,2,2,386183567,3,3,190105,3962416,1049156,60532,52698,6354340942,1571618,88565164,1103
180157.77,0,262144,64,309729,20409213888,4,95323585,7232,5,5,9665,2045,576,1657919,0,1,121899,6,117508164,1154,1,4,309,386216808,5,1544867232,5,53550,1742,2,24,576,91028362,6493,6485743369,576,108,0,3,1,2,2,769,3,6456793223,6428345268,192712012,392281841,392281841,3,1,20398655764,73389,73389,2,2,2,392281845,3,3,200661,4025693,1074859,61593,53543,6456793223,1596326,89956741,1103
185162.38,0,262144,64,312856,20615351560,4,99295437,7323,5,5,9665,2068,576,1672459,0,1,123201,6,117508164,1154,1,4,309,390279654,5,1561118616,5,54066,1752,2,24,576,92032703,6602,6547944532,576,108,0,3,1,2,2,769,3,6518708449,6493286357,197745887,396254517,396254517,3,1,20605234916,73389,73389,2,2,2,396254521,3,3,201518,4062569,1086459,62247,54059,6518708449,1610212,90949518,1103
190166.37,0,262144,64,315741,20804760768,4,103366786,7402,5,5,9665,2087,576,1686771,0,1,124347,6,117508164,1154,1,4,309,393847154,5,1575388616,5,54578,1754,2,24,576,92893042,6676,6609358725,576,108,0,3,1,2,2,769,3,6579845545,6552778839,202732754,399897798,399897798,3,1,20794685528,73389,73389,2,2,2,399897802,3,3,210740,4098192,1104984,62877,54571,6579845545,1623894,91791381,1103
195170.81,0,262144,64,317980,20952497350,4,107601875,7467,5,5,9665,2096,576,1697658,0,1,125220,6,117508164,1154,1,4,309,396708047,5,1586832188,5,54956,1763,2,24,576,93604463,6735,6656656390,576,108,0,3,1,2,2,769,3,6626935089,6599697187,207721480,402709369,402709369,3,1,20940887220,73389,73389,2,2,2,402709373,3,3,222230,4125022,1122635,63340,54949,6626935089,1634318,92485196,1103
200175.66,0,262144,64,320050,21089653054,4,112039426,7523,5,5,9665,2116,576,1707357,0,1,126075,6,117508164,1154,1,4,309,399411160,5,1597644640,5,55311,1775,2,24,576,94210684,6805,6699103750,576,108,0,3,1,2,2,769,3,6669189719,6642685254,212804296,405369166,405369166,3,1,21079196664,73389,73389,2,2,2,405369170,3,3,225228,4149719,1132127,63752,55304,6669189719,1643605,93081958,1103
205179.57,0,262144,64,323205,21296720784,4,116138552,7603,5,5,9665,2135,576,1721285,0,1,127301,6,117508164,1154,1,4,309,403253393,5,1612948896,5,55848,1779,2,24,576,95096369,6884,6764793517,576,108,0,3,1,2,2,769,3,6734589222,6707989258,217845627,409348319,409348319,3,1,21286112620,73389,73389,2,2,2,409348323,3,3,231447,4185528,1148639,64357,55841,6734589222,1656928,93951284,1103
210184.89,0,262144,64,326063,21484963820,4,120236932,7683,5,5,9665,2151,576,1733985,0,1,128409,6,117508164,1154,1,4,309,406760669,5,1627042676,5,56351,1801,2,24,576,95961786,6941,6824331576,576,108,0,3,1,2,2,769,3,6793852995,6767516616,222862078,412954514,412954514,3,1,21473634760,73389,73389,2,2,2,412954518,3,3,235329,4219246,1159969,64947,56344,6793852995,1669038,94805378,1103
215188.47,0,262144,64,328709,21658734056,4,124329669,7759,5,5,9665,2168,576,1745778,0,1,129455,6,117508164,1154,1,4,309,410134805,5,1640539220,5,56804,1803,2,24,576,96794538,7007,6879252686,576,108,0,3,1,2,2,769,3,6848525176,6821818978,227835256,416311075,416311075,3,1,21648175932,73389,73389,2,2,2,416311079,3,3,241705,4249738,1174605,65468,56797,6848525176,1680310,95623386,1103
220192.62,0,262144,64,332210,21890347472,4,128330725,7850,5,5,9665,2191,576,1762131,0,1,130851,6,117508164,1154,1,4,309,414534246,5,1658072460,5,57397,1829,2,24,576,97808549,7033,6952234881,576,108,0,3,1,2,2,769,3,6921184678,6894784340,232917335,420768794,420768794,3,1,21879977320,73389,73389,2,2,2,420768798,3,3,243929,4292361,1184111,66167,57390,6921184678,1695964,96627952,1103
225196.90,0,262144,64,336901,22199695342,4,131751982,7985,5,5,9665,2218,576,1786536,0,1,132646,6,117508164,1154,1,4,309,420259661,5,1681038644,5,58215,1853,2,24,576,99321942,7076,7051005667,576,108,0,3,1,2,2,769,3,7019507656,6992164785,237954459,426695040,426711424,3,1,22188142112,73389,73389,2,2,2,426695044,3,3,251954,4355516,1210883,67154,58208,7019507656,1719382,98114671,1103
230201.22,0,262144,64,343430,22629136400,4,134321082,8190,5,5,9665,2266,576,1824162,0,1,135226,6,117508164,1154,1,4,309,428415256,5,1713596340,5,59333,1996,2,24,576,101655063,7170,7186133433,576,108,0,3,1,2,2,769,3,7154010972,7127483324,243009804,434966357,434966357,3,1,22618250596,73389,73389,2,2,2,434966361,3,3,262528,4451406,1248615,68654,59326,7154010972,1755508,100410161,1103
235205.88,0,262144,64,349032,22999707882,4,137467746,8351,5,5,9665,2303,576,1853353,0,1,137456,6,117508164,1154,1,4,309,435500485,5,1742001940,5,60298,2167,2,24,576,103415090,7290,7303587617,576,108,0,3,1,2,2,769,3,7270935067,7243899078,248033261,442102416,442102416,3,1,22989325664,73389,73389,2,2,2,442102420,3,3,275894,4525866,1282252,69813,60291,7270935067,1783540,102136580,1103
240210.74,0,262144,64,354326,23348211980,4,140842443,8492,5,5,9665,2332,576,1879397,0,1,139542,6,117508164,1154,1,4,309,441981965,5,1767863204,5,61208,2235,2,24,576,104993555,7344,7413522527,576,108,0,3,1,2,2,769,3,7380373600,7353884269,253093926,448792677,448792677,3,1,23337219236,73389,73389,2,2,2,448792681,3,3,275998,4593891,1295284,70860,61201,7380373600,1808537,103702061,1103
245216.41,2,262144,64,359549,23692087154,4,143880540,8659,5,5,9665,2370,576,1910308,0,1,141609,6,117508164,1154,1,4,309,448545421,5,1794181684,5,62110,2434,2,24,576,106861881,7424,7523641463,576,108,0,3,1,2,2,769,3,7489989594,7461981802,258125457,455417402,455417402,3,1,23681704936,73389,73389,2,2,2,455417406,3,3,284259,4669534,1318132,72185,62103,7489989594,1838123,105547604,1103
250222.61,2,262144,64,365629,24093043696,4,146595077,8854,5,5,9665,2404,576,1946044,0,1,144006,6,117508164,1154,1,4,309,456194186,5,1824712180,5,63169,2617,2,24,576,109069033,7509,7651717131,576,108,0,3,1,2,2,769,3,7617474423,7588230975,263190805,463125186,463125186,3,1,24082509704,73389,73389,2,2,2,463125190,3,3,295069,4760047,1344280,73633,63162,7617474423,1872411,107728615,1103
255226.29,2,262144,64,371061,24450302178,4,149656525,9019,5,5,9665,2444,576,1976474,0,1,146142,6,117508164,1154,1,4,309,462977698,5,1851910792,5,64094,2702,2,24,576,110936245,7607,7764320631,576,108,0,3,1,2,2,769,3,7729565150,7700606405,268240228,469989638,469989638,3,1,24438609240,73389,73389,2,2,2,469973258,3,3,307207,4836149,1373074,74870,64087,7729565150,1901604,109566980,1103
260229.62,2,262144,64,375418,24737700694,4,153188647,9144,5,5,9665,2470,576,1999936,0,1,147867,6,117508164,1154,1,4,309,468351788,5,1873342636,5,64844,2777,2,24,576,112346197,7706,7854710942,576,108,0,3,1,2,2,769,3,7819543153,7791218697,273274908,475522668,475522668,3,1,24727178768,73389,73389,2,2,2,475522672,3,3,313670,4894567,1392094,75856,64837,7819543153,1924080,110958007,1103
265234.80,2,262144,64,378749,24956930192,4,157103596,9239,5,5,9665,2491,576,2017247,0,1,149222,6,117508164,1154,1,4,309,472674223,5,1890696892,5,65420,2777,2,24,576,113381236,7747,7925178585,576,108,0,3,1,2,2,769,3,7889694813,7860175870,278292282,479743263,479743263,3,1,24946649708,73389,73389,2,2,2,479743267,3,3,317461,4937200,1406918,76572,65413,7889694813,1940675,111978277,1103
270239.48,2,262144,64,382379,25195767020,4,160827598,9350,5,5,9665,2515,576,2035559,0,1,150638,6,117508164,1154,1,4,309,477192214,5,1908768856,5,66034,2792,2,24,576,114604662,7785,7999497164,576,108,0,3,1,2,2,769,3,7963672507,7935210828,283312919,484324306,484324306,3,1,25184863944,73389,73389,2,2,2,484324310,3,3,321783,4983016,1419483,77318,66027,7963672507,1958241,113189199,1103
275243.47,2,262144,64,385677,25413159612,4,164759941,9435,5,5,9665,2540,576,2052725,0,1,151938,6,117508164,1154,1,4,309,481284248,5,1925114112,5,66614,2865,2,24,576,115548682,7822,8068744852,576,108,0,3,1,2,2,769,3,8032607425,8003725122,288256187,488509974,488509974,3,1,25402518680,73389,73389,2,2,2,488509978,3,3,325727,5026163,1432179,77983,66607,8032607425,1974742,114120614,1103
280248.06,2,262144,64,386945,25496597108,4,169464615,9469,5,5,9665,2547,576,2059462,0,1,152439,6,117508164,1154,1,4,309,482913756,5,1931655024,5,66844,2865,2,24,576,115924179,7822,8097424198,576,108,0,3,1,2,2,769,3,8061162621,8030103119,293362317,490113447,490113447,3,1,25485899276,73389,73389,2,2,2,490113451,3,3,333969,5042679,1443195,78257,66837,8061162621,1981205,114485113,1103
285253.44,2,262144,64,388161,25576904250,4,174021697,9501,5,5,9665,2552,576,2065214,0,1,152902,6,117508164,1154,1,4,309,484331148,5,1937324592,5,67042,2865,2,24,576,116277027,7858,8121873705,576,108,0,3,1,2,2,769,3,8085503982,8055367874,298294562,491649225,491649225,3,1,25565759732,73389,73389,2,2,2,491649229,3,3,341266,5057039,1455430,78521,67035,8085503982,1986693,114825748,1103
290258.85,2,262144,64,389381,25657196018,4,178718895,9533,5,5,9665,2557,576,2071188,0,1,153377,6,117508164,1154,1,4,309,485814907,5,1943259628,5,67246,2865,2,24,576,116631271,7922,8147422608,576,108,0,3,1,2,2,769,3,8110941907,8080733455,303368657,493187162,493187162,3,1,25645732456,73389,73389,2,2,2,493187166,3,3,343599,5071846,1457970,78784,67239,8110941907,1992404,115177470,1103
295262.34,2,262144,64,391131,25772535582,4,183086044,9589,5,5,9665,2573,576,2079792,0,1,154033,6,117508164,1154,1,4,309,487983406,5,1951933624,5,67550,2866,2,24,576,117248990,7999,8183958873,576,108,0,3,1,2,2,769,3,8147308470,8117086290,308387766,495419260,495419260,3,1,25761801552,73389,73389,2,2,2,495419264,3,3,356180,5093815,1477192,79177,67543,8147308470,2000615,115776002,1103
