timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55054.85,2,262144,64,190127,12528577292,3,33115149,2314,4,4,9742,1280,576,1085669,0,2,74842,6,117508164,1154,1,4,222,237018191,3,948008244,5,32965,2431,2,25,576,55852834,1796,3988113045,576,48,0,3,1,2,2,534,3,3970262480,3947498997,93146312,240726394,240726394,3,1,12517772520,73389,73389,2,2,2,240726398,4,3,63828,2629439,557509,37365,32959,3970262480,1048304,55297491,855
60059.28,2,262144,64,206398,13600886218,3,36456594,2464,5,5,9742,1362,576,1166786,0,2,81265,6,117508164,1154,1,4,222,257401383,3,1029540972,5,35739,2606,2,25,576,60510495,1959,4328754793,576,48,0,3,1,2,2,534,3,4309406682,4285185739,101464695,261345597,261345597,3,1,13589971076,73389,73389,2,2,2,261345601,4,3,67656,2832147,610960,40420,35732,4309406682,1126366,59901864,855
65063.73,2,262144,64,216422,14261282024,4,40633614,2627,5,5,9742,1427,576,1217760,0,2,85220,6,117508164,1154,1,4,222,269945568,3,1079782272,5,37480,2641,2,25,576,63334043,2066,4539371972,576,48,0,3,1,2,2,534,3,4519085765,4492845999,108665656,274060408,274060408,3,1,14251141248,73389,73389,2,2,2,274060412,4,3,70682,2960334,649848,42416,37473,4519085765,1175344,62686629,855
70068.14,2,262144,64,229217,15103917584,4,42084560,2851,6,6,9742,1539,576,1286305,0,2,90286,6,117508164,1154,1,4,222,285869695,3,1143478780,5,39813,2744,2,25,576,66996466,2326,4816325685,576,48,0,3,1,2,2,534,3,4794792390,4758398406,114046053,290244309,290244309,3,1,15092704100,73389,73389,2,2,2,290244313,4,3,75906,3126394,681887,45015,39805,4794792390,1241290,66317247,855
75072.11,2,262144,64,250597,16513233880,4,46412090,3002,6,6,9742,1659,576,1397994,0,2,98698,6,117508164,1154,1,4,222,312572724,3,1250290896,5,43447,2950,2,25,576,72886170,2585,5260090685,576,48,0,3,1,2,2,534,3,5236584337,5202559487,124688979,317320079,317320079,3,1,16500644140,73389,73389,2,2,2,317320083,4,3,78116,3392703,734796,48854,43439,5236584337,1349140,72154283,855
80076.90,2,262144,64,267302,17613635516,5,50256620,3137,6,6,9742,1769,576,1488889,0,2,105237,6,117508164,1154,1,4,222,333332074,3,1333328296,5,46387,3052,2,25,576,77702030,2703,5617248731,576,48,0,3,1,2,2,534,3,5592159210,5549246432,133684319,338449345,338465729,3,1,17599365972,73389,73389,2,2,2,338449349,4,3,84814,3608295,785643,52149,46379,5592159210,1436740,76919481,855
85081.18,2,262144,64,282386,18608177342,5,50851951,3463,6,6,9742,1881,576,1568155,0,2,111234,6,117508164,1154,1,4,222,352223245,3,1408892980,5,49039,3161,2,25,576,81915938,2833,5933813573,576,48,0,3,1,2,2,534,3,5907303892,5862732251,138796665,357561220,357561220,3,1,18593183472,73389,73389,2,2,2,357561224,4,3,84898,3799435,809771,54964,49031,5907303892,1513191,81109440,855
90084.56,2,262144,64,295536,19472811252,6,53088984,3753,7,7,9742,1954,576,1636606,0,2,116390,6,117508164,1154,1,4,222,368591825,3,1474367300,5,51319,3248,2,25,576,85537025,3019,6213742470,576,48,0,3,1,2,2,534,3,6186010289,6135414955,144916660,374163357,374163357,3,1,19456494596,73389,73389,2,2,2,374163361,4,3,87251,3965550,845802,57498,51310,6186010289,1579108,84694772,855
95088.32,10,262144,64,311708,20539537064,7,56245936,3858,9,9,9742,2071,576,1725393,0,2,122771,6,117508164,1154,1,4,222,388753318,3,1554948548,5,54227,3311,2,25,576,90035332,3124,6561453396,576,48,0,3,1,2,2,534,3,6532168281,6472213763,152917074,394612243,394612243,3,1,20519836668,73389,73389,2,2,2,394612247,4,3,94059,4183421,895520,60678,54216,6532168281,1664715,89143691,855
100092.36,10,262144,64,324684,21394046706,8,59316977,4082,9,9,9742,2147,576,1794980,0,2,127862,6,117508164,1154,1,4,222,404920757,3,1619683028,5,56517,3386,2,25,576,93792965,3262,6841265102,576,48,0,3,1,2,2,534,3,6810748966,6741895112,160014525,411009136,411025520,3,1,21372475104,73389,73389,2,2,2,411009140,4,3,96520,4355081,939510,63203,56506,6810748966,1731777,92857506,855
105095.40,10,262144,64,331889,21869684462,8,62253670,4268,9,9,9742,2201,576,1832565,0,2,130701,6,117508164,1154,1,4,222,413919515,3,1655613368,5,57796,3393,2,25,576,95772170,3325,6994163034,576,48,0,3,1,2,2,534,3,6962962166,6891943427,165074567,420135851,420135851,3,1,21847064284,73389,73389,2,2,2,420135855,4,3,96750,4446922,954341,64705,57785,6962962166,1767860,94822066,855
110099.44,10,262144,64,337757,22256132006,8,65545455,4419,9,9,9742,2217,576,1862085,0,2,132971,6,117508164,1154,1,4,222,421224940,3,1684899760,5,58789,3395,2,25,576,97406940,3389,7118506567,576,48,0,3,1,2,2,534,3,7086769657,7013886766,170116344,427544849,427544849,3,1,22232332180,73389,73389,2,2,2,427544853,4,3,98681,4518777,974688,65855,58778,7086769657,1796230,96436535,855
115103.56,10,262144,64,347834,22919373788,8,67592127,4673,9,9,9742,2281,576,1914051,0,2,136934,6,117508164,1154,1,4,222,433700174,3,1734800696,5,60590,3552,2,25,576,100221214,3499,7336530492,576,48,0,3,1,2,2,534,3,7303829918,7223200939,175177210,440263978,440280362,3,1,22893726888,73389,73389,2,2,2,440263982,4,3,100953,4648672,995224,67751,60579,7303829918,1846300,99230329,855
120107.52,10,262144,64,360847,23777563126,8,68807107,5008,9,9,9742,2388,576,1981407,0,2,142092,6,117508164,1154,1,4,222,449957958,3,1799831832,5,62944,3645,2,25,576,103849174,3568,7617690489,576,48,0,3,1,2,2,534,3,7583732553,7494167809,180285543,456734155,456734155,3,1,23750176092,73389,73389,2,2,2,456734159,4,3,101926,4815483,1018891,70204,62933,7583732553,1911203,102834814,855
125113.03,10,262144,64,372000,24511937010,8,70611036,5292,9,9,9742,2458,576,2038979,0,2,146467,6,117508164,1154,1,4,222,463825551,3,1855302204,5,64932,3687,2,25,576,106899691,3641,7859179056,576,48,0,3,1,2,2,534,3,7824159586,7726335396,185350042,470784262,470800646,3,1,24480781656,73389,73389,2,2,2,470784266,4,3,102230,4956060,1033162,72258,64921,7824159586,1966721,105871024,855
130116.92,10,262144,64,380774,25089809516,8,73082034,5517,9,9,9742,2515,576,2084664,0,2,149900,6,117508164,1154,1,4,222,474693443,3,1898773772,5,66515,3722,2,25,576,109327066,3766,8050906786,576,48,0,3,1,2,2,534,3,8015041487,7909436336,190435125,481840415,481840415,3,1,25055701612,73389,73389,2,2,2,481840419,4,3,104874,5068393,1044572,73990,66504,8015041487,2010674,108287086,855
135121.06,10,262144,64,391765,25815750514,8,74860994,5776,9,9,9742,2583,576,2145611,0,2,154231,6,117508164,1154,1,4,222,488404903,3,1953619612,5,68512,3757,2,25,576,112395495,3853,8294171473,576,48,0,3,1,2,2,534,3,8257240138,8138617161,195515206,495752529,495752529,3,1,25779131540,73389,73389,2,2,2,495752533,4,3,105807,5216820,1081377,76178,68501,8257240138,2069433,111318905,855
140125.20,10,262144,64,406391,26779021988,8,75599067,6084,9,9,9742,2662,576,2232784,0,2,159956,6,117508164,1154,1,4,222,506553007,3,2026212028,5,71170,3911,2,25,576,116445180,3991,8619123925,576,48,0,3,1,2,2,534,3,8580775344,8443175181,200627107,514176720,514193104,3,1,26737189472,73389,73389,2,2,2,514176724,4,3,107049,5426045,1106749,78960,71159,8580775344,2153824,115343248,855
145129.96,10,262144,64,417252,27494307624,8,77423621,6361,9,9,9742,2735,576,2294748,0,2,164195,6,117508164,1154,1,4,222,519977291,3,2079885940,5,73190,3949,2,25,576,119470037,4118,8863580262,576,48,0,3,1,2,2,534,3,8824155720,8670034281,205717255,527819386,527819386,3,1,27446608104,73389,73389,2,2,2,527819390,4,3,110647,5576131,1137815,81087,73179,8824155720,2213661,118337161,855
150134.14,10,262144,64,427826,28191061946,8,79330145,6629,9,9,9742,2821,576,2356430,0,2,168366,6,117508164,1154,1,4,222,533090270,3,2132361080,5,75175,4015,2,25,576,122418367,4182,9103251653,576,48,0,3,1,2,2,534,3,9062771965,8890965025,210810942,541121862,541121862,3,1,28138336856,73389,73389,2,2,2,541121866,4,3,111581,5728144,1171318,83172,75164,9062771965,2273258,121252145,855
155139.22,10,262144,64,436829,28784847146,8,81596975,6867,9,9,9742,2863,576,2408163,0,2,171818,6,117508164,1154,1,4,222,543947497,3,2175789988,5,76837,4035,2,25,576,125024557,4345,9305225267,576,48,0,3,1,2,2,534,3,9263854202,9078748003,215882884,552482834,552482834,3,1,28729107400,73389,73389,2,2,2,552482838,4,3,113519,5854855,1195322,85063,76826,9263854202,2323100,123834455,855
160144.01,10,262144,64,446857,29445891208,8,83466046,7135,9,9,9742,2940,576,2470451,0,2,175786,6,117508164,1154,1,4,222,556658893,3,2226635572,5,78775,4128,2,25,576,127998538,4559,9539012722,576,48,0,3,1,2,2,534,3,9496606094,9288971731,220962756,565056222,565056222,3,1,29382923576,73389,73389,2,2,2,565056226,4,3,117391,6006511,1232251,87387,78764,9496606094,2383064,126771556,855
165149.09,10,262144,64,456303,30068455470,8,85581684,7382,9,9,9742,3000,576,2528515,0,2,179495,6,117508164,1154,1,4,222,568241870,3,2272967480,5,80616,4229,2,25,576,130753505,4678,9760802773,576,48,0,3,1,2,2,534,3,9717412789,9486758957,226058469,576910873,576927257,3,1,29999365428,73389,73389,2,2,2,576910877,4,3,120086,6150844,1251428,89473,80605,9717412789,2439042,129507432,855
170152.87,10,262144,64,461502,30411047364,8,89030427,7514,9,9,9742,3031,576,2557886,0,2,181542,6,117508164,1154,1,4,222,574757333,3,2299029332,5,81610,4257,2,25,576,132220626,5212,9880889277,576,48,0,3,1,2,2,534,3,9836970949,9595809910,231086483,583443327,583443327,3,1,30339053036,73389,73389,2,2,2,583443331,4,3,123629,6221881,1262854,90521,81599,9836970949,2467365,130963106,855
175157.32,10,262144,64,467845,30828395254,8,92218234,7672,9,9,9742,3079,612,2596133,2,2,183967,6,123184664,1226,1,4,222,582342687,3,2329370748,5,82926,4296,2,25,612,133943250,5285,10039122351,610,56,2,3,1,2,2,534,3,9994510273,9729625271,236145090,591305044,591305044,3,1,30747862320,73389,73389,2,2,2,591305048,4,3,127887,6315707,1284157,91817,82915,9994510273,2504316,132664588,909
