event,value,description
DiskWriteElapsedMicroseconds,38,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,32461585,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,256,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,2353,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,182233,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,667,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,30912,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,312,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,702,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,877549,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,113,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,65,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4981,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,128,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,113,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,59988,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,8301,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
QueryPlanOptimizeMicroseconds,422,Total time spent executing query plan optimizations.
SelectedRows,20337,Number of rows SELECTed from all tables.
SelectedBytes,1279844,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
LoadedDataParts,27,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,12555,Microseconds spent by MergeTree tables for loading data parts during initialization.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1973,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,32,Time spent resetting task for Common executor.
ContextLock,1947,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,2,Context lock wait time in microseconds
RWLockAcquiredReadLocks,528,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,10245,Total time spent holding data parts lock in MergeTree tables
PartsLocks,151,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,2870,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLocks,1976,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,28068,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,10259,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,5826,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,1862,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,5,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,16087,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSWriteBytes,16384,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,4508,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,239,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,33,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,253459,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,248,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,293,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,91,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,8583,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,969,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,2042,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,197,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,662,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,167,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1189400,Cumulative time spend in logging
InterfaceHTTPReceiveBytes,250,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,182233,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,2103,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,1,Number of created server HTTP connections
ConcurrencyControlSlotsGranted,2,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlSlotsAcquired,1,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,2,Total number of noncompeting CPU slot acquired
MemoryWorkerRun,808,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,47627,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,20582,Number of rows that passed the filter in the query
FilterTransformPassedBytes,1258657,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
