timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
123938.94,253952,62,145891,9611825974,34,53884602,407,38,38,3885,137,675,1230825,24,36857,39,19,142942340,1352,1,626,0,38,52,8,9,3703,675,0,626,16,0,0,38667845,6058256,2862826983,0,675,373,2,1,14,14,427,1,2863135536,2813690427,107578907,218092847,218092847,1,2,1,9595364372,73389,73389,14,14,14,218076463,9,3,580746,1254863,2597220,21863,2863135536,1230825,36071909,1919
125947.93,253952,62,160146,10551026322,35,56096476,448,41,41,3885,140,675,1376200,24,40907,39,19,143738696,1352,1,626,0,38,55,8,9,3703,675,0,626,16,0,0,42890451,6524496,3135819533,0,675,373,2,1,14,14,427,1,3136916432,3088095017,114898449,239445012,239445012,1,2,1,10534859632,73389,73389,14,14,14,239428628,9,3,594276,1402719,2789540,23955,3136916432,1376200,40102331,1919
127953.50,253952,62,173567,11435097662,38,61699592,488,41,41,3885,142,675,1528502,24,44679,39,19,144004148,1352,1,626,0,38,55,8,9,3703,675,0,626,16,0,0,47026734,7082701,3395079036,0,675,373,2,1,14,14,427,1,3395128272,3346453212,125573432,259527861,259544245,1,2,1,11419225884,73389,73389,14,14,14,259527861,9,3,603634,1557423,2989625,25925,3395128272,1528502,44038668,1919
129957.16,253952,62,189503,12485319302,39,64623461,524,54,54,3885,145,675,1659292,24,49190,39,19,144535052,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,50977131,7625033,3700477807,0,675,373,2,1,14,14,427,1,3701967824,3653511353,134192731,283392811,283409195,1,2,1,12469283684,73389,73389,14,14,14,283392811,9,3,619771,1690433,3168640,28266,3701967824,1659292,47810186,1919
131960.63,253952,62,212295,13987244826,39,66114279,531,54,54,3885,148,675,1741851,24,55571,39,19,145065956,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,55057001,7626694,4140138274,0,675,373,2,1,14,14,427,1,4140927952,4092502020,143837988,317543866,317543866,1,2,1,13971930104,73389,73389,14,14,14,317543866,9,3,627060,1775128,3279002,31615,4140927952,1741851,51779867,1919
133963.97,253952,62,235370,15507717038,39,66496110,535,54,54,3885,152,675,1824594,24,62084,39,19,145596860,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,59028086,7626817,4583727989,0,675,373,2,1,14,14,427,1,4584606672,4536953194,151407747,352104521,352104521,1,2,1,15491878028,73389,73389,14,14,14,352088137,9,3,633303,1859811,3396981,35000,4584606672,1824594,55633141,1919
135967.11,253952,62,258758,17048702018,39,66496110,535,54,54,3885,156,675,1907280,24,68681,39,19,146127764,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,62970358,7626844,5035836407,0,675,373,2,1,14,14,427,1,5035101136,4987532146,157421760,387115736,387115736,1,2,1,17032371488,73389,73389,14,14,14,387099352,9,3,635459,1944355,3514029,38437,5035101136,1907280,59458544,1919
137969.88,253952,62,282188,18592439510,39,66496110,535,54,54,3885,160,675,1989427,24,75293,39,19,146658668,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,66894240,7626992,5485715116,0,675,373,2,1,14,14,427,1,5485857744,5438696159,163447846,422208871,422208871,1,2,1,18577190324,73389,73389,14,14,14,422208871,9,3,637380,2028381,3616236,41876,5485857744,1989427,63280406,1919
139972.89,253952,62,305679,20140014166,39,66496110,535,54,54,3885,164,675,2072287,24,81920,39,19,147455024,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,70755573,7627109,5937432305,0,675,373,2,1,14,14,427,1,5937666891,5891094935,169342421,457381767,457381767,1,2,1,20124797748,73389,73389,14,14,14,457381767,9,3,643183,2113089,3716594,45327,5937666891,2072287,67041557,1919
141975.78,253952,62,328868,21667498730,39,66496110,535,54,54,3885,169,675,2143684,24,88520,39,19,148251380,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,74699173,7627441,6383408800,0,675,373,2,1,14,14,427,1,6383342953,6337521602,175464455,492089878,492106262,1,2,1,21651954632,73389,73389,14,14,14,492089878,9,3,647073,2186227,3818478,48734,6383342953,2143684,70883449,1919
143979.34,253952,62,351792,23177661088,39,66496110,535,54,54,3885,173,675,2211222,24,95032,39,19,148782284,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,78617756,7627740,6823795044,0,675,373,2,1,14,14,427,1,6824079370,6778942834,203730172,526412965,526429349,1,2,1,23162170460,73389,73389,14,14,14,526412965,9,3,652996,2255482,3913577,52103,6824079370,2211222,74707118,1919
145982.32,253952,62,375118,24714687756,39,66496110,535,54,54,3885,178,675,2285743,24,101668,39,19,149844092,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,82492821,7627862,7272618910,0,675,373,2,1,14,14,427,1,7272209219,7228144926,209741213,561354326,561370710,1,2,1,24699590344,73389,73389,14,14,14,561354326,9,3,654794,2331619,4009513,55528,7272209219,2285743,78486426,1919
147985.81,253952,62,397693,26200458656,39,66496110,535,54,54,3885,185,675,2358480,24,108199,39,19,151171352,1352,1,626,0,38,68,68,9,3703,675,0,626,16,0,0,86333532,7628171,7703485859,0,675,373,2,1,14,14,427,1,7703697261,7662408946,215714587,595136741,595136741,1,2,1,26186016604,73389,73389,14,14,14,595136741,9,3,676775,2405970,4119987,58841,7703697261,2358480,82216832,1919
148417.53,253952,62,400982,26415782060,39,66496110,535,99,99,3885,191,675,2368567,24,109422,78,73,158511825,1359,1,626,1038,77,120,314,70,3861,675,385,626,16,1038,56,87420568,7628780,7767140462,8,675,373,2,1,14,14,427,1,7763869224,7725268584,462128895,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,695297,2416304,4207065,59330,7763869224,2368567,83216901,1919
