timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26358.00,253952,62,256491,16899335550,0,2907,0,3,60,60,10,156,675,1783259,126,26,68031,75,179,146127764,1352,1,0,74,74,17,14,376,675,0,0,0,60562794,15449766,4941088885,0,549,314,126,6,1,2,1,14,14,292,1,4991585232,4943862066,251384692,383722533,383722533,1,2,1,16883791452,73389,73389,14,14,14,383722533,6,3,710135,1816549,4558781,38105,4991585232,1783259,56006185,2561
28366.79,253952,62,275827,18173441398,0,2907,0,3,60,60,10,159,675,1902955,126,26,73502,75,179,146658668,1352,1,0,74,74,17,14,376,675,0,0,0,65354798,15850838,5314026153,0,549,314,126,6,1,2,1,14,14,292,1,5363567568,5316236735,270061471,412682463,412682463,1,2,1,18158028372,73389,73389,14,14,14,412682463,6,3,731230,1938922,4762082,40943,5363567568,1902955,60595070,2561
30377.54,253952,62,290439,19135671034,0,2907,0,3,60,60,10,161,675,2027192,126,26,77613,75,179,146924120,1352,1,0,74,74,17,14,376,675,0,0,0,69448319,18055644,5591996859,0,549,314,126,6,1,2,1,14,14,292,1,5643934539,5597530781,284220675,434555042,434555042,1,2,1,19120421848,73389,73389,14,14,14,434555042,6,3,755646,2066142,4982408,43086,5643934539,2027192,64468357,2561
32386.57,253952,62,304496,20062219626,0,2907,0,3,60,60,10,164,675,2163429,126,26,81619,75,179,147455024,1352,1,0,74,74,17,14,376,675,0,0,0,73698007,20535075,5863419755,0,549,314,126,6,1,2,1,14,14,292,1,5914860363,5868318418,300491319,455606262,455622646,1,2,1,20046675528,73389,73389,14,14,14,455606262,6,3,782983,2204755,5217785,45153,5914860363,2163429,68482773,2561
34396.23,253952,62,318828,21005800962,0,2907,0,3,60,60,10,167,675,2297409,126,26,85702,75,179,147720476,1352,1,0,74,74,17,14,376,675,0,0,0,78101108,23039346,6138934438,0,549,314,126,6,1,2,1,14,14,292,1,6190011753,6144172565,325369712,477046824,477063208,1,2,1,20990060256,73389,73389,14,14,14,477046824,6,3,815189,2346370,5468641,47259,6190011753,2297409,72635122,2561
36400.97,253952,62,338610,22309252852,0,2907,0,3,60,60,10,171,675,2421135,126,26,91330,75,179,148516832,1352,1,0,74,74,17,14,376,675,0,0,0,82917524,23293199,6519161594,0,549,314,126,6,1,2,1,14,14,292,1,6570192906,6525035274,334601153,506690564,506706948,1,2,1,22294384816,73389,73389,14,14,14,506690564,6,3,826182,2472821,5676384,50166,6570192906,2421135,77243976,2561
38407.98,253952,62,355359,23412755260,0,2907,0,3,60,60,10,174,675,2549459,126,26,96061,75,179,149047736,1352,1,0,74,74,17,14,376,675,0,0,0,87485047,24915821,6843168713,0,549,314,126,6,1,2,1,14,14,292,1,6892892170,6847668116,358129837,531759738,531776122,1,2,1,23397428472,73389,73389,14,14,14,531759738,6,3,863142,2603568,5921287,52628,6892892170,2549459,81566732,2561
40411.12,253952,62,374991,24706099232,0,2907,0,3,60,60,10,178,675,2655577,126,26,101632,75,179,149844092,1352,1,0,74,74,17,14,376,675,0,0,0,92092242,25459452,7218322244,0,549,314,126,6,1,2,1,14,14,292,1,7269718851,7225673083,368843524,561168069,561168069,1,2,1,24691395036,73389,73389,14,14,14,561168069,6,3,869439,2712226,6081563,55509,7269718851,2655577,86013821,2561
42413.95,253952,62,396303,26108832712,0,2907,0,3,60,60,10,185,675,2732370,126,26,107821,75,179,151171352,1352,1,0,74,74,17,14,376,675,0,0,0,96135976,25459674,7626249618,0,549,314,126,6,1,2,1,14,14,292,1,7676827501,7635614083,375598319,593043907,593060291,1,2,1,26093931908,73389,73389,14,14,14,593043907,6,3,874208,2791111,6167765,58636,7676827501,2732370,89971521,2561
42974.24,253952,62,400982,26415782060,4,20614,4,7,60,60,10,191,675,2749864,126,26,109422,82,179,158511825,1359,1,1035,81,81,17,74,397,675,616,1035,70,98032815,25576221,7766999668,8,549,314,126,6,1,2,1,14,14,292,1,7763869224,7725268584,2607975132,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,6,3,938532,2809090,6410755,59330,7763869224,2749864,91625471,2561
